"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,0.292203150467618
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,0.5510307681529
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,0.464659710193456
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.118026252114543
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.122621834346637
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,1.8806498031763
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.242914407594467
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.989418899147154
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.07022929503724
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,1.59892833329689
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.22408563465148
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.844089755735036
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.0439058915025039
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,1.23225295401435
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,1.04414246808794
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,0.413231019450936
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,"Acy1",12.779082,21.125795,22.631306,211,432,94,18.8453943333333,0.355305781023785
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.602475369251593
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,6.79906615244684
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.2608880696784
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,"Abhd16b",0,0.018444,0,0,1,0,0.006148,6.50567974758187
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.482556532669411
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.210275392253393
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,0.220082455134706
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,0.45637820537066
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,2.20572798707106
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.121156513604236
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.217445821191502
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.115224489610732
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.140912924136527
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.157939136148977
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.0737055364000437
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,0.341449270787981
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,1.46242313668821
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,0.989535129891613
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,3.30894737426113
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,0.156442578601626
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.557773228555669
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,0.36830493368284
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.0205772894558385
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,1.43424954437627
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,3.04017893934721
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,0.0605999765516724
