"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"RTTN",375,0.323204,443,0.409817,432,0.391442,0.374821,"Rttn",2.819966,1.379403,0.916568,70,64,66,1.70531233333333,0.508193077398211
"RUBCN",1368,2.95554,1241,2.87782,1327,3.01412,2.94916,"Rubcn",16.867095,9.496642,9.393638,1097,1173,1155,11.919125,0.305683240931565
"RUBCNL",433,0.786401,344,0.670587,676,1.29075,0.915912666667,"Rubcnl",0.412556,0.218804,0.39237,16,15,27,0.341243333333333,1.42846016010045
"RUFY1",795,2.33582,833,2.62699,960,2.96539,2.64273333333,"Rufy1",15.091714,16.524216,16.994848,340,667,648,16.2035926666667,0.211742593765783
"RUFY2",3900,10.2938,4254,12.0517,3838,10.6501,10.9985333333,"Rufy2",18.741843,24.034715,27.330344,718,883,870,23.3689673333333,0.492369379841865
"RUFY3",9692,16.2157,9798,17.5955,8561,15.0587,16.2899666667,"Rufy3",64.558098,47.905798,46.743002,3056,4026,3979,53.068966,0.319776166363159
"RUFY4",7,0.0219858,7,0.0235984,32,0.105665,0.0504164,"Rufy4",0.039113,0.06458,0,1,3,0,0.0345643333333333,1.01532245618365
"RUNDC1",369,4.91117,376,5.37139,335,4.6875,4.99002,"Rundc1",10.872093,9.694599,8.335661,498,822,723,9.63411766666667,0.563283216131425
"RUNDC3A",2482,42.2697,2376,43.4325,1574,28.1819,37.9613666667,"Rundc3a",305.126966,409.693039,403.462986,2730,5962,5873,372.760997,0.104241392171533
"RUNDC3B",724,0.617742,977,0.894754,651,0.583966,0.698820666667,"Rundc3b",10.470415,9.289353,8.354639,523,835,740,9.371469,0.163797497410155
"RUNX1",1728,0.24808,1180,0.181832,2749,0.414916,0.281609333333,"Runx1",0.176539,0.059692,0.04852,14,8,6,0.094917,1.17050820594894
"RUNX1T1",570,0.671376,927,1.17196,1260,1.56027,1.13453533333,"Runx1t1",7.642053,1.346859,1.282174,310,157,137,3.42369533333333,0.482523133373561
"RUNX2",642,0.333608,919,0.512576,1086,0.593294,0.479826,"Runx2",1.822483,0.606747,0.638882,78,35,27,1.022704,0.731607788386239
"RUNX3",88,0.234313,105,0.300085,211,0.590656,0.375018,"Runx3",0.092945,0.029058,0.018932,5,3,2,0.0469783333333333,1.31332039663349
"RUSC1",1273,21.7583,1548,28.3994,950,17.071,22.4095666667,"Rusc1",56.285155,40.238123,39.288738,1669,1901,1865,45.270672,0.505926662718449
"RUSC2",2542,6.18606,2316,6.04948,1817,4.6487,5.62808,"Rusc2",124.171084,64.621885,69.692889,1595,1477,1592,86.1619526666667,0.0760432711431759
"RUVBL1",3988,7.81606,3525,7.41536,4252,8.76121,7.99754333333,"Ruvbl1",14.956044,19.395084,16.501967,325,728,656,16.9510316666667,0.501227088247946
"RUVBL2",863,6.72789,928,7.76527,707,5.79463,6.76259666667,"Ruvbl2",45.462641,75.160266,107.542659,218,518,550,76.0551886666667,0.100740739215502
"RWDD1",1313,8.73263,1417,10.1156,1225,8.56553,9.13792,"Rwdd1",48.780594,46.097536,49.582604,297,503,527,48.153578,0.206249888868721
"RWDD2A",128,4.00815,180,6.04989,209,6.88048,5.64617333333,"Rwdd2a",12.798132,20.030005,21.591751,196,525,586,18.1399626666667,0.347240663374161
"RWDD2B",313,3.65099,349,4.3695,398,4.88075,4.30041333333,"Rwdd2b",7.426151,7.370997,5.384201,96,210,179,6.72711633333333,0.685949726221282
"RWDD3",574,7.70415,513,7.39045,571,8.05726,7.71728666667,"Rwdd3",5.05782,3.08363,3.337807,55,74,74,3.826419,1.80616035753837
"RWDD4",380,3.39239,535,5.12644,663,6.22262,4.91381666667,"Rwdd4a",14.798786,9.332497,10.689017,349,416,435,11.6067666666667,0.46909860577547
"RXFP1",37,0.0191204,36,0.0199681,39,0.0211883,0.0200922666667,"Rxfp1",2.457729,0.82194,0.824773,196,117,110,1.36814733333333,0.430755406265559
"RXFP2",1,0.00273549,2,0.00587225,5,0.0143795,0.00766241333333,"Rxfp2",0.112325,0.343043,0.122375,4,17,6,0.192581,0.844942535000415
