"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"CCDC47",2162,12.1458,2328,14.0377,3106,18.3447,14.8427333333,"Ccdc47",71.369521,36.451914,31.473594,1685,1749,1559,46.4316763333333,0.33401166810894
"CCDC50",1595,4.00496,2126,5.72982,2238,5.90793,5.21423666667,"Ccdc50",9.974943,7.859024,7.290731,909,1182,1035,8.37489933333333,0.662859028744415
"CCDC51",346,7.28878,398,8.99917,374,8.28302,8.19032333333,"Ccdc51",2.001599,3.141053,2.701075,41,117,102,2.61457566666667,2.54257323150887
"CCDC57",670,1.05098,714,1.20215,990,1.63265,1.29526,"Ccdc57",1.211046,0.721937,0.841312,45,43,53,0.924765,1.19248843365294
"CCDC59",294,0.380104,389,0.539815,377,0.51243,0.477449666667,"Ccdc59",12.590718,13.244009,11.174126,231,393,377,12.3362843333333,0.110784205685702
"CCDC6",3636,5.39178,3311,5.26997,2951,4.60061,5.08745333333,"Ccdc6",10.856725,3.774881,3.559748,866,554,530,6.06378466666667,0.861783536813646
"CCDC60",81,0.0685828,72,0.065434,60,0.0534096,0.0624754666667,"Ccdc60",0.343293,0.181419,0.201276,17,14,19,0.241996,0.855458042269621
"CCDC61",228,1.54039,187,1.35606,161,1.14356,1.34667,"Ccdc61",7.279418,4.229908,9.693826,66,85,126,7.06771733333333,0.290871618704869
"CCDC62",64,0.210945,49,0.173351,59,0.204447,0.196247666667,"Ccdc62",1.336062,1.411226,1.0447,29,39,39,1.263996,0.528378878172488
"CCDC65",425,2.6774,407,2.75207,544,3.60298,3.01081666667,"Ccdc65",2.886718,4.878614,3.165958,77,141,122,3.64376333333333,0.86369962867832
"CCDC66",992,2.67949,1129,3.27322,1073,3.04704,2.99991666667,"Ccdc66",3.461308,2.85495,2.290132,155,247,166,2.86879666666667,1.03389167519013
"CCDC68",324,0.976697,490,1.58544,318,1.00781,1.18998233333,"Ccdc68",0,0.257331,0.074659,0,8,2,0.110663333333333,1.97177872682391
"CCDC69",607,2.46369,526,2.29152,745,3.17901,2.64474,"Ccdc69",0.269182,0.090714,0.208655,5,3,7,0.189517,3.06405036666143
"CCDC71",164,7.5456,157,7.75336,210,10.158,8.48565333333,"Ccdc71",12.007199,8.60771,13.233184,302,555,558,11.2826976666667,0.772277686120419
"CCDC71L",185,4.75354,189,5.21252,397,10.7244,6.89682,"Ccdc71l",4.437451,3.030168,2.7341,243,300,265,3.400573,1.79449812558501
"CCDC73",432,0.392229,531,0.517477,609,0.581315,0.497007,"Ccdc73",6.439898,4.431435,6.669171,117,98,77,5.84683466666667,0.218642200795073
"CCDC74A",161,4.69402,170,5.31996,132,4.04605,4.68667666667,"Ccdc74a",12.068127,15.836974,16.043771,103,244,266,14.649624,0.363374651472138
"CCDC74B",120,3.5848,127,4.07218,102,3.20348,3.62015333333,"Ccdc74a",12.068127,15.836974,16.043771,103,244,266,14.649624,0.295224558323574
"CCDC77",205,0.671038,227,0.797553,283,0.973908,0.814166333333,"Ccdc77",1.438167,1.059494,1.119453,35,65,62,1.20570466666667,0.822488323459291
"CCDC78",51,2.03742,52,2.22974,42,1.764,2.01038666667,"Ccdc78",0.268737,0.244809,0.265948,6,11,12,0.259831333333333,2.38951563357688
"CCDC8",75,4.04896,73,4.23005,96,5.44868,4.57589666667,"Ccdc8",0.815628,0.66219,0.506354,59,88,68,0.661390666666667,3.35616226727529
"CCDC80",153,0.506835,211,0.750236,253,0.881117,0.712729333333,"Ccdc80",2.693959,1.311006,1.124126,86,89,110,1.709697,0.632074115051609
"CCDC81",27,0.0975085,35,0.135671,30,0.113904,0.1156945,"Ccdc81",0.227103,0.209823,0.143143,8,13,10,0.193356333333333,0.934921505702823
"CCDC82",1745,8.19753,2198,11.083,1987,9.8135,9.69801,"Ccdc82",8.141225,3.767998,4.046386,479,369,409,5.31853633333333,1.69311521460482
"CCDC83",8,0.0215276,7,0.0202183,8,0.0226326,0.0214595,"Ccdc83",0,0,0,0,0,0,0,1.0214595
"CCDC85A",951,0.821725,1016,0.94228,1028,0.93385,0.899285,"Ccdc85a",33.517276,20.079908,14.232248,984,1113,855,22.6098106666667,0.0804447365891625
"CCDC85B",615,111.568,640,124.619,427,81.4386,105.8752,"Ccdc85b",5.7903,6.234527,7.594166,386,790,986,6.53966433333333,14.1750607553572
"CCDC85C",652,1.09504,688,1.24025,830,1.46554,1.26694333333,"Ccdc85c",14.116512,13.693095,13.210878,782,1456,1449,13.673495,0.154492391439804
"CCDC86",390,7.59646,388,8.11183,345,7.06486,7.59105,"Ccdc86",2.149136,2.363081,2.257968,95,190,184,2.25672833333333,2.6379387903095
"CCDC87",18,1.08884,24,1.55828,12,0.763155,1.13675833333,"Ccdc87",0.787749,0.609671,0.553854,37,51,47,0.650424666666667,1.29467183597393
"CCDC88A",1386,1.83359,1729,2.45513,1860,2.58696,2.29189333333,"Ccdc88a",16.734175,7.002528,6.73527,1230,860,738,10.1573243333333,0.295043259027187
"CCDC88B",315,3.17525,273,2.95372,483,5.11861,3.74919333333,"Ccdc88b",1.058788,1.199335,1.155027,35,42,56,1.13771666666667,2.22161964089254
"CCDC88C",172,0.205077,187,0.239315,259,0.324658,0.25635,"Ccdc88c",4.791659,1.019705,1.394908,391,180,155,2.40209066666667,0.369287630194453
"CCDC89",42,3.12494,29,2.31596,46,3.59823,3.01304333333,"Ccdc89",0.270807,0.307486,0.23642,8,16,12,0.271571,3.15597267736524
"CCDC9",368,3.62765,294,3.11075,371,3.84494,3.52778,"Ccdc9",109.932201,51.6042,38.007394,340,335,327,66.5145983333333,0.0670637182442444
"CCDC90B",1011,6.46702,1079,7.40824,1178,7.92203,7.26576333333,"Ccdc90b",5.747217,5.525876,6.331668,120,205,231,5.86825366666667,1.20347379908896
"CCDC91",1190,0.463772,1395,0.583542,1579,0.646961,0.564758333333,"Ccdc91",37.407052,27.900404,34.589778,448,821,868,33.299078,0.0456210027958477
"CCDC92",5968,19.2462,4969,17.1999,4818,16.3351,17.5937333333,"Ccdc92",45.915929,44.383909,46.869432,804,1296,1347,45.72309,0.397955985644357
"CCDC93",1298,2.29849,1210,2.29981,1285,2.39226,2.33018666667,"Ccdc93",3.915925,1.894276,1.321101,395,295,225,2.37710066666667,0.986108202085971
"CCDC97",317,3.76681,380,4.84661,372,4.64724,4.42022,"Ccdc97",18.179454,9.672015,11.118815,563,601,647,12.9900946666667,0.387432689280825
"CCDC9B",1095,20.1025,1379,27.1732,1581,30.5145,25.9300666667,"Ccdc9b",1.34049,0.811273,0.806766,96,105,106,0.986176333333333,13.5587491476672
"CCER1",3,0.0105761,0,0,0,0,0.00352536666667,"Ccer1",0,0,0,0,0,0,0,1.00352536666667
"CCHCR1",403,4.45593,406,4.81837,340,3.95231,4.40887,"Cchcr1",1.069458,1.425895,1.6361,33,55,42,1.377151,2.2753581913812
"CCIN",6,0.538364,3,0.288926,2,0.188666,0.338652,"Ccin",0,0,0,0,0,0,0,1.338652
"CCK",20,0.41789,32,0.717667,16,0.351472,0.495676333333,"Cck",234.928139,336.680949,287.920783,1056,2618,2380,286.509957,0.00520217229670762
"CCKAR",24,0.461302,31,0.639553,26,0.525395,0.542083333333,"Cckar",0.352919,0.392193,0.579684,11,28,29,0.441598666666667,1.06970363457583
"CCKBR",18,0.255201,19,0.289137,21,0.313016,0.285784666667,"Cckbr",11.960812,7.582925,7.218196,440,513,501,8.92064433333333,0.129606971428939
"CCL11",0,0,0,0,1,0.0708315,0.0236105,"Ccl11",0,0.221292,0.092419,0,5,2,0.104570333333333,0.926704682454203
"CCL15",3,0.102483,2,0.0733331,4,0.143657,0.106491033333,"Ccl6",1.773594,1.217836,1.404189,17,22,29,1.46520633333333,0.448843173235263
"CCL15",3,0.102483,2,0.0733331,4,0.143657,0.106491033333,"Ccl9",2.928964,1.638446,2.553607,18,26,37,2.37367233333333,0.327978216023054
"CCL15-CCL14",485,4.71608,501,5.22898,287,2.93399,4.29301666667,"Ccl6",1.773594,1.217836,1.404189,17,22,29,1.46520633333333,2.14708870210999
"CCL15-CCL14",485,4.71608,501,5.22898,287,2.93399,4.29301666667,"Ccl9",2.928964,1.638446,2.553607,18,26,37,2.37367233333333,1.56891841995819
"CCL17",6,0.0927852,9,0.149386,6,0.0975477,0.113239633333,"Ccl17",1.164372,1.688323,1.791097,5,13,14,1.54793066666667,0.436919123387842
"CCL18",0,0,1,0.0241609,1,0.0236652,0.0159420333333,"Ccl3",0.119333,0.270039,0.269153,1,4,4,0.219508333333333,0.833075105404473
"CCL19",9,0.921085,2,0.219699,35,3.76585,1.63554466667,"Ccl19",1.497719,0.897159,0.816024,10,11,10,1.07030066666667,1.27302507751853
"CCL2",206,18.1208,168,15.8621,532,49.1995,27.7274666667,"Ccl2",0,0.063492,0.12865,0,1,2,0.0640473333333333,26.9982976948081
"CCL20",25,0.369311,12,0.190272,27,0.419329,0.326304,"Ccl20",0,0,0,0,0,0,0,1.326304
"CCL21",0,0,2,0.331295,6,0.973495,0.43493,"Ccl21a",0,0,0,0,0,0,0,1.43493
"CCL22",5,0.117928,7,0.177209,3,0.0743888,0.123175266667,"Ccl22",0.094577,0.431497,0.156777,3,4,9,0.227617,0.914923194014909
"CCL23",16,0.568474,10,0.381356,13,0.485592,0.478474,"Ccl9",2.928964,1.638446,2.553607,18,26,37,2.37367233333333,0.438238765926389
"CCL23",16,0.568474,10,0.381356,13,0.485592,0.478474,"Ccl6",1.773594,1.217836,1.404189,17,22,29,1.46520633333333,0.599736411516061
"CCL24",10,0.149418,9,0.144339,11,0.172796,0.155517666667,"Ccl24",0.059145,0.221947,0.109282,1,3,1,0.130124666666667,1.02246920251306
"CCL27",18,1.44978,19,1.64257,12,1.01613,1.36949333333,"Gm13306",44.107937,39.060587,46.326479,99,146,177,43.165001,0.0536509290089227
"CCL27",18,1.44978,19,1.64257,12,1.01613,1.36949333333,"Ccl27a",102.6392,98.324732,111.937244,474,848,902,104.300392,0.0225022270888602
"CCL28",289,1.41237,353,1.85168,334,1.71607,1.66004,"Ccl28",0.448711,0.457702,0.139265,25,44,13,0.348559333333333,1.97250497938788
"CCL3",705,64.3484,316,30.9582,500,47.9796,47.7620666667,"Ccl3",0.119333,0.270039,0.269153,1,4,4,0.219508333333333,39.9850212859281
"CCL4",734,71.4368,239,24.9669,412,42.1562,46.1866333333,"Ccl4",0,0,0,0,0,0,0,47.1866333333
"CCL4L2",904,80.7816,245,23.4991,214,20.1046,41.4617666667,"Ccl4",0,0,0,0,0,0,0,42.4617666667
"CCL7",0,0,1,0.0927363,4,0.363335,0.152023766667,"Ccl7",0.112577,0,0.065163,1,0,1,0.0592466666666667,1.08758781398132
"CCL8",5,0.443849,3,0.285843,11,1.02659,0.585427333333,"Ccl8",0.237367,0.269792,0,1,2,0,0.169053,1.35616377814607
"CCL8",5,0.443849,3,0.285843,11,1.02659,0.585427333333,"Ccl12",0.53686,1.111147,1.594053,2,9,13,1.08068666666667,0.761973130665037
"CCM2",1987,4.50844,1857,4.52252,2030,4.84242,4.62446,"Ccm2",29.802321,30.790111,24.541982,455,959,856,28.378138,0.191450526919031
"CCM2L",140,1.12486,212,1.8283,123,1.039,1.33072,"Ccm2l",1.278326,1.113683,0.798967,25,32,28,1.06365866666667,1.12941158227717
"CCN1",1251,68.5105,701,41.2058,1227,70.6452,60.1205,"Ccn1",1.970627,1.997905,3.322837,55,102,173,2.43045633333333,17.8170173472548
"CCN2",658,35.9562,1015,59.5325,3376,193.949,96.4792333333,"Ccn2",11.571924,9.84617,8.007903,381,601,496,9.80866566666667,9.0186186102435
"CCN3",264,5.77301,429,10.0692,495,11.38,9.07407,"Ccn3",32.026349,32.472884,24.287515,1270,2251,1596,29.5955826666667,0.329265505735098
"CCN4",497,2.13582,740,3.41335,590,2.66562,2.73826333333,"Ccn4",0.782002,0.333712,0.275924,61,46,32,0.463879333333333,2.55366904102524
"CCN5",118,1.50845,464,6.3666,229,3.07768,3.65091,"Ccn5",0.128802,0.051083,0.067804,3,2,3,0.082563,4.29620262284966
"CCN6",31,0.320492,31,0.343999,45,0.489109,0.384533333333,"Ccn6",0.106729,0.029616,0,2,1,0,0.0454483333333333,1.32434410117478
"CCNA1",1016,15.6369,919,15.1814,786,12.718,14.5121,"Ccna1",0.8781,0.559914,1.980978,7,11,17,1.139664,7.2497831435216
"CCNA2",182,4.24502,110,2.75386,152,3.72727,3.57538333333,"Ccna2",0.885893,0.215355,0.352407,21,14,15,0.484551666666667,3.08199669709261
"CCNB1",328,5.15717,355,5.9911,269,4.4466,5.19829,"Ccnb1",0.291983,0.255681,0.65683,10,11,19,0.401498,4.42261779895512
"CCNB1IP1",844,6.71889,770,6.5794,642,5.37314,6.22381,"Ccnb1ip1",0,0,0,0,0,0,0,7.22381
"CCNB2",68,0.596362,71,0.668344,122,1.12486,0.796522,"Ccnb2",0.193372,0.219556,0.10818,4,8,4,0.173702666666667,1.53064489927602
"CCNB3",33,0.0386404,44,0.0552994,56,0.0689372,0.0542923333333,"Ccnb3",0,0,0,0,0,0,0,1.0542923333333
"CCNC",871,5.75524,1257,8.915,1166,8.09995,7.59006333333,"Ccnc",15.926044,21.965561,17.956071,406,713,564,18.615892,0.437913470023693
"CCND1",588,7.67277,702,9.83224,1100,15.0906,10.8652033333,"Ccnd1",14.482504,8.622585,8.843367,660,785,699,10.6494853333333,1.01851738457058
"CCND2",661,3.65523,548,3.25263,793,4.61025,3.83937,"Ccnd2",67.881296,20.943905,19.417062,928,810,664,36.0807543333333,0.130508941552187
"CCND3",2301,3.48263,2306,3.7462,1872,2.97875,3.40252666667,"Ccnd3",26.134454,38.649636,33.72997,258,498,463,32.83802,0.130105918332988
"CCNDBP1",2052,29.7249,2520,39.1818,1786,27.1996,32.0354333333,"Ccndbp1",36.621067,42.012543,53.772789,427,974,1098,44.1354663333333,0.731917403695966
"CCNE1",75,1.06334,61,0.928281,66,0.983765,0.991795333333,"Ccne1",9.282194,8.422887,10.008376,161,344,317,9.237819,0.194552700466086
"CCNE2",133,1.37412,135,1.49709,184,1.99861,1.62327333333,"Ccne2",2.464119,2.477495,2.014115,94,129,108,2.31857633333333,0.790481540828401
"CCNF",174,1.03179,132,0.840151,136,0.847852,0.906597666667,"Ccnf",2.17123,1.096299,0.779937,59,86,58,1.34915533333333,0.811609875095673
"CCNG1",1626,33.0957,1266,27.6583,1819,38.9244,33.2261333333,"Ccng1",30.949921,27.259811,24.393059,1189,1896,1601,27.5342636666667,1.19947490964284
"CCNG2",797,0.504143,1071,0.727152,989,0.657703,0.629666,"Ccng2",12.416668,10.468475,9.969363,446,626,514,10.951502,0.136356585138839
"CCNH",3486,6.44343,4064,8.06276,3994,7.76133,7.42250666667,"Ccnh",104.62064,110.067799,85.363842,547,1008,903,100.017427,0.0833767689081014
"CCNI",7765,47.0448,7236,47.0554,6667,42.4658,45.522,"Ccni",166.37694,161.672616,171.205791,3149,5955,5463,166.418449,0.277878574780011
"CCNJ",170,1.69931,191,2.04926,314,3.29983,2.34946666667,"Ccnj",1.698445,1.198632,1.048303,97,121,106,1.31512666666667,1.44677469051513
"CCNJL",272,0.493485,251,0.488786,173,0.329981,0.437417333333,"Ccnjl",0.865555,0.752934,0.554554,33,52,39,0.724347666666667,0.833600648592908
"CCNK",793,2.57139,834,2.9027,1016,3.46359,2.97922666667,"Ccnk",9.774061,4.500921,5.466058,318,313,337,6.58034666666667,0.524939932386997
"CCNL1",1874,22.9696,1906,25.0754,2574,33.1689,27.0713,"Ccnl1",20.455314,9.162308,6.963736,356,362,275,12.193786,2.12761522735021
"CCNL2",2798,35.8758,3172,43.6544,3251,43.8237,41.1179666667,"Ccnl2",13.384091,9.931538,8.121805,523,678,564,10.4791446666667,3.66908579774265
"CCNO",2,0.142205,2,0.152636,3,0.224256,0.173032333333,"Ccno",0.599472,0.48022,1.088713,11,18,29,0.722801666666667,0.68088646303821
"CCNQ",407,5.86606,500,7.73504,315,4.7731,6.12473333333,"Ccnq",7.465984,9.650357,10.12407,117,273,291,9.080137,0.706809176634206
"CCNT1",847,5.18448,901,5.91952,1167,7.50983,6.20461,"Ccnt1",15.783222,7.448109,6.237327,636,562,460,9.822886,0.66568288717076
"CCNT2",1499,6.37039,1850,8.43872,2060,9.20385,8.00432,"Ccnt2",9.867778,4.315269,3.588979,808,643,553,5.92400866666667,1.30044897883336
"CCNY",1946,1.04397,2290,1.31863,2379,1.34177,1.23479,"Ccny",39.553572,33.13586,30.580793,2129,2578,2313,34.4234083333333,0.0630879439654899
"CCP110",1169,6.8999,1492,9.4523,1261,7.82495,8.05905,"Ccp110",20.859907,12.352282,11.937279,1255,1130,1125,15.0498226666667,0.564433027588176
"CCPG1",2720,6.93908,3199,8.75967,3300,8.85086,8.18320333333,"Ccpg1",44.096191,21.371735,19.036309,1572,1440,1224,28.1680783333333,0.314837447581709
"CCR1",232,6.13815,130,3.69176,908,25.2565,11.69547,"Ccr1",0.103956,0.092662,0.06585,4,6,4,0.0874893333333333,11.6741099069784
"CCR1",232,6.13815,130,3.69176,908,25.2565,11.69547,"Ccr1l1",0,0,0.038442,0,0,1,0.012814,12.5348484519369
"CCR10",206,7.1561,182,6.78611,140,5.11299,6.35173333333,"Ccr10",0.043362,0.319196,0.200357,1,14,9,0.187638333333333,6.19021222790608
"CCR2",46,1.11691,58,1.51157,220,5.61592,2.74813333333,"Ccr2",0.186926,0.138862,0.040851,8,11,4,0.122213,3.33994823917563
"CCR3",241,0.408354,136,0.247342,933,1.66203,0.772575333333,"Ccr3",0.020722,0,0.012345,1,0,1,0.0110223333333333,1.75325042275657
"CCR4",4,0.14849,2,0.079691,4,0.156112,0.128097666667,"Ccr4",0,0,0,0,0,0,0,1.128097666667
"CCR5",128,4.17737,58,2.03171,431,14.788,6.99902666667,"Ccr5",2.92121,3.579708,3.099838,66,101,67,3.200252,1.90441589377733
"CCR6",23,0.144069,25,0.168083,40,0.263415,0.191855666667,"Ccr6",0.067142,0.657099,0,1,4,0,0.241413666666667,0.960079382618096
"CCR7",25,0.373161,18,0.288383,87,1.36525,0.675598,"Ccr7",0,0.01981,0.05856,0,1,3,0.0261233333333333,1.63294015988981
"CCR8",2,0.0879653,2,0.0944173,0,0,0.0607942,"Ccr8",0,0,0,0,0,0,0,1.0607942
"CCR9",27,0.282922,5,0.0562359,10,0.110164,0.149773966667,"Ccr9",0.04763,0.078219,0.087515,3,6,7,0.0711213333333333,1.07343018095709
"CCRL2",27,0.808792,19,0.610896,45,1.41718,0.945622666667,"Ccrl2",0.77427,0.345469,0.384117,12,18,19,0.501285333333333,1.29597127439265
"CCS",518,7.03304,441,6.42676,450,6.42338,6.62772666667,"Ccs",11.89735,14.101632,16.218161,132,292,305,14.072381,0.506073105945902
"CCSAP",745,5.84055,794,6.68126,1005,8.28327,6.93502666667,"Ccsap",19.062452,12.814544,9.695723,621,760,592,13.857573,0.534072870896882
"CCSER1",7426,0.879906,8137,1.03487,9614,1.19763,1.03746866667,"Ccser1",4.633992,2.99942,3.597012,151,179,159,3.74347466666667,0.429530841808368
"CCSER2",18255,16.7906,16976,16.7594,16256,15.7194,16.4231333333,"Ccser2",24.267104,10.771211,8.962218,1621,1298,1215,14.6668443333333,1.11210228190178
"CCT2",2861,30.9578,3413,39.6396,2876,32.7175,34.4383,"Cct2",85.080467,82.241424,79.059082,1717,3166,2967,82.126991,0.426315202483391
"CCT3",3228,9.57336,3219,10.2469,2926,9.12312,9.64779333333,"Cct3",106.381571,121.273567,134.741614,1315,2797,3009,120.798917333333,0.0874210835896812
"CCT4",3185,27.0276,3240,29.5109,2814,25.105,27.2145,"Cct4",50.135411,58.886531,56.006254,1278,2478,2491,55.0093986666667,0.503745811804109
"CCT5",4007,42.5259,4260,48.5271,3885,43.3474,44.8001333333,"Cct5",72.189782,86.662759,94.517328,1722,3812,4017,84.456623,0.535945977332851
"CCT6A",3979,56.4915,4114,62.6922,3802,56.7491,58.6442666667,"Cct6a",151.470229,175.791033,168.484188,1952,3762,3685,165.248483333333,0.358765779216833
"CCT6B",282,0.925688,347,1.2226,354,1.22168,1.12332266667,"Cct6b",0.161661,0.09245,0.114244,4,4,5,0.122785,1.89112133371037
"CCT7",3631,32.3606,3906,37.3648,3101,29.0556,32.927,"Cct7",909.786795,930.553913,853.877761,2150,4423,4348,898.072823,0.0377355416959367
"CCT8",3024,29.3609,2788,29.055,3632,37.0741,31.83,"Cct8",162.191351,141.574614,139.593744,2303,3912,3860,147.786569666667,0.22065163592084
"CCT8L2",0,0,2,0.182051,1,0.0891582,0.0904030666667,"Cct8l1",0.036086,0,0,1,0,0,0.0120286666666667,1.07744286558421
"CCZ1",1648,10.3466,1805,12.1635,1761,11.6235,11.3778666667,"Ccz1",17.127776,15.364218,15.105475,380,623,610,15.865823,0.73390232227031
"CCZ1B",1496,8.00778,1779,10.2211,1771,9.96637,9.39841666667,"Ccz1",17.127776,15.364218,15.105475,380,623,610,15.865823,0.616537756068589
"CD101",91,0.457788,37,0.199786,95,0.502441,0.386671666667,"Cd101",0.041791,0.057911,0.034247,2,5,3,0.0446496666666667,1.32740354102795
"CD109",246,0.324269,444,0.628193,375,0.519684,0.490715333333,"Cd109",0.590285,0.260697,0.30213,53,41,48,0.384370666666667,1.07681805836178
"CD14",1789,158.327,802,76.183,3076,286.199,173.569666667,"Cd14",1.068671,1.187874,1.317249,21,48,54,1.19126466666667,79.6661714682571
"CD151",4410,110.932,3970,107.189,3072,81.2415,99.7875,"Cd151",19.459379,24.793823,27.518629,251,621,716,23.9239436666667,4.0438022709381
"CD160",96,0.846256,128,1.2111,133,1.2326,1.096652,"Cd160",0.335215,0.095807,0.063806,12,6,4,0.164942666666667,1.79978986090303
"CD163",10226,54.003,5068,28.7269,26913,149.421,77.3836333333,"Cd163",0.451217,0.187882,0.1427,28,18,17,0.260599666666667,62.1796399015125
"CD164",5070,55.5174,5990,70.4025,7199,82.8765,69.5988,"Cd164",30.222399,26.860943,20.426533,1088,1811,1454,25.836625,2.63068847144527
"CD164L2",0,0,3,0.135291,0,0,0.045097,"Cd164l2",25.794024,33.497697,22.704388,26,46,52,27.3320363333333,0.0368874650485471
"CD177",26,0.478779,16,0.316244,130,2.51677,1.103931,"Cd177",0.025186,0,0,1,0,0,0.00839533333333333,2.08641485184713
"CD180",37,0.37609,23,0.250934,129,1.37854,0.668521333333,"Cd180",1.404908,0.578047,0.600255,19,24,35,0.86107,0.896538729512055
"CD19",7,0.165055,4,0.101235,12,0.297475,0.187921666667,"Cd19",0,0.528417,0.138713,0,1,1,0.222376666666667,0.971813107253084
"CD1D",80,2.82342,65,2.46229,138,5.12038,3.46869666667,"Cd1d2",0,0,0.036387,0,0,1,0.012129,4.41514536849552
"CD1D",80,2.82342,65,2.46229,138,5.12038,3.46869666667,"Cd1d1",0.640464,0.839053,0.96893,6,18,19,0.816149,2.4605341668938
"CD2",34,0.401336,7,0.0886885,119,1.47677,0.655598166667,"Cd2",0.151559,0.086412,0.170003,1,2,3,0.135991333333333,1.45740387103922
"CD200",685,3.92795,1032,6.35178,696,4.19587,4.8252,"Cd200",85.743661,97.732863,84.762661,1409,2522,2305,89.4130616666667,0.0644287439515791
"CD200R1",19,0.0615834,26,0.0904531,134,0.456618,0.202884833333,"Cd200r4",0,0,0.053709,0,0,2,0.017903,1.18172835067094
"CD200R1",19,0.0615834,26,0.0904531,134,0.456618,0.202884833333,"Cd200r1",0.292399,0.111703,0.209021,5,5,9,0.204374333333333,0.998763258266879
"CD200R1",19,0.0615834,26,0.0904531,134,0.456618,0.202884833333,"Cd200r3",1.384828,0,0,6,0,0,0.461609333333333,0.822986557283205
"CD200R1",19,0.0615834,26,0.0904531,134,0.456618,0.202884833333,"Cd200r2",0,0.165977,0.116741,0,7,5,0.0942393333333333,1.0992886077936
"CD200R1L",1,0.00560868,4,0.0240802,5,0.0294828,0.0197238933333,"Cd200r4",0,0,0.053709,0,0,2,0.017903,1.00178886724305
"CD200R1L",1,0.00560868,4,0.0240802,5,0.0294828,0.0197238933333,"Cd200r1",0.292399,0.111703,0.209021,5,5,9,0.204374333333333,0.846683514510826
"CD200R1L",1,0.00560868,4,0.0240802,5,0.0294828,0.0197238933333,"Cd200r2",0,0.165977,0.116741,0,7,5,0.0942393333333333,0.931902064082233
"CD200R1L",1,0.00560868,4,0.0240802,5,0.0294828,0.0197238933333,"Cd200r3",1.384828,0,0,6,0,0,0.461609333333333,0.69767199078274
"CD207",1,0.0311629,3,0.100346,1,0.0327624,0.0547571,"Cd207",0,0,0,0,0,0,0,1.0547571
"CD209",18,0.415291,13,0.321932,219,5.31205,2.01642433333,"Cd209d",0,0,0,0,0,0,0,3.01642433333
"CD209",18,0.415291,13,0.321932,219,5.31205,2.01642433333,"Cd209a",0.224272,0.35974,0.200727,3,7,7,0.261579666666667,2.39098997315006
"CD209",18,0.415291,13,0.321932,219,5.31205,2.01642433333,"Cd209c",2.54215,1.411569,1.665067,44,42,35,1.87292866666667,1.04994752161035
"CD209",18,0.415291,13,0.321932,219,5.31205,2.01642433333,"Cd209b",0.075343,0.086203,0.095618,2,4,2,0.0857213333333333,2.77826753580415
"CD209",18,0.415291,13,0.321932,219,5.31205,2.01642433333,"Cd209e",0,0,0,0,0,0,0,3.01642433333
"CD22",84,0.522213,67,0.447079,89,0.581697,0.516996333333,"Cd22",0.213908,0.118908,0.480414,8,6,6,0.271076666666667,1.19347351195679
"CD226",2283,3.05281,2403,3.44896,1632,2.29431,2.93202666667,"Cd226",0.015874,0.02938,0.138359,1,3,1,0.0612043333333333,3.70524935034817
"CD244",20,0.106758,10,0.0572943,36,0.202028,0.122026766667,"Cd244a",0,0.098505,0,0,3,0,0.032835,1.08635625890583
"CD247",98,0.194615,118,0.251521,161,0.336136,0.260757333333,"Cd247",0.04477,0.243219,0.138359,1,4,4,0.142116,1.10387853189431
"CD248",49,3.35565,75,5.51292,208,14.9755,7.94802333333,"Cd248",1.316917,0.820196,0.972311,47,56,68,1.03647466666667,4.39387903016553
"CD27",615,15.6801,684,18.7184,618,16.5653,16.9879333333,"Cd27",0.183745,0.026306,0,2,1,0,0.070017,16.8108855591079
"CD274",167,1.45408,170,1.58878,161,1.47379,1.50555,"Cd274",0.650195,0.440792,0.708059,35,42,67,0.599682,1.56628004815957
"CD276",1037,5.93024,801,4.91662,1018,6.1204,5.65575333333,"Cd276",8.620918,3.628739,3.680502,116,127,120,5.310053,1.0547856465437
"CD28",8,0.043085,11,0.0635872,48,0.271779,0.1261504,"Cd28",0.148644,0.008671,0.00875,7,1,1,0.055355,1.06708207190945
"CD2AP",723,0.845007,1000,1.25448,962,1.18205,1.09384566667,"Cd2ap",4.995373,2.220068,1.778465,380,302,232,2.99796866666667,0.523727382890111
"CD2BP2",1364,52.533,1410,58.2877,1250,50.6134,53.8113666667,"Cd2bp2",33.902893,30.270094,27.131417,921,1443,1263,30.4348013333333,1.74365239612882
"CD300A",392,3.72266,173,1.76341,484,4.83226,3.43944333333,"Cd300a",0.57161,0.321289,0.235353,16,28,30,0.376084,3.22614268702347
"CD300C",54,1.87066,29,1.0783,94,3.42348,2.12414666667,"Cd300c2",1.320492,1.575884,2.261155,21,43,64,1.719177,1.14893096943303
"CD300C",54,1.87066,29,1.0783,94,3.42348,2.12414666667,"Cd300c",0,0,0,0,0,0,0,3.12414666667
"CD300E",28,0.35308,10,0.135349,93,1.23292,0.573783,"Cd300e",0.134817,0.095915,0.113303,4,5,6,0.114678333333333,1.41187188531221
