"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.636604606118187
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,0.512409116532447
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,"Acy1",8.674023,13.234966,13.062822,36,200,117,11.6572703333333,0.557085623332266
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,0.77208026647728
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,7.51395104062463
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.151613154117589
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,6.49442483071428
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.59872366418692
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.161956289074065
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,0.198853149203289
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.38588960705593
