"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,"Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.175398166772935
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.109224799758856
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,1.8288486678349
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.287886744628397
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,1.06569379606071
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.06445224273296
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,1.77610166961038
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,1.91365433616972
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,0.868817827506469
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.0390717979256034
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,"Abhd12b",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,1.25656055461245
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,"Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.732905222213046
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,"Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,0.337278512046619
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,"Acy1",9.571324,11.354607,9.093965,86,100,183,10.006632,0.640630424759363
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,"Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,1.214002522895
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,"Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,8.07167690645002
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,"Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,0.334706331854056
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,"Abhd16b",0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,"Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.579677116272714
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,"Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.249044443458621
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,"Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,0.150767709388543
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,"Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,0.345797299940388
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,"Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,1.22138538851636
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,"Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.186128722106147
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.375242694849439
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.177146039490133
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.140815884795996
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.12516279949602
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.0498085539514152
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.115809018805978
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,1.51739285841437
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,0.295835402708292
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,2.52077590914956
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,0.16800192477555
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.340366336009791
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,0.310723531248102
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.0141921648316135
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,0.98144247447682
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,3.12406277819258
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,0.03850809739832
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,1.44305346548749
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.0739398951747712
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,0.781655867848068
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.367558842957092
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,4.93443865135578
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,1.34919785493691
