"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,"Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,0.308156956615488
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,"Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,1.93026849796688
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,"Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,0.330064592171916
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,"Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0.181384909579647
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,"Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,1.29200875121512
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,"Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,1.68612083139361
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,"Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,2.07466598482202
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,"Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,0.164484746768988
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,"Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,1.13173210999112
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,"Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,0.567829153322991
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,"Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,0.0810200165889051
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,"Acod1",0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,9.73175591166851
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,3.54265470889495
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,9.7600784786027
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,1.24081314366017
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,"Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,0.163009036601119
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,"Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.818392312073698
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,"Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,0.035915096279506
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,1.25257737966107
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,9.82402336856401
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,3.5762428654019
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,9.8526144637317
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,"Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,1.84680532903085
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,"Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,0.415041176897515
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,"Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,0.0207499575081143
