"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,"Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,1.12494529981616
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,"Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,1.74316882252443
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,"Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.221101777430032
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,"Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,0.406249430040504
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,"Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,0.705750249711018
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,"Abca12",0.053165,0.004381,0.024994,1,1,3,0.0275133333333333,0.994911014942223
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,"Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,1.03981285653145
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,"Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.64280837812141
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,"Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,3.2738224898411
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,"Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.371808795356986
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,"Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,0.786531828621159
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,"Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,0.813989050688719
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,6.05114353342355
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,0.261309150183902
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.25846503563987
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",2.13694,1.316029,0.596432,14,59,33,1.34980033333333,0.954069289007676
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.0769015332758997
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.80069893076469
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0,0,0,0,0,0,0,3.105394
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.957351141651564
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,1.06855973200383
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,4.03064371936356
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.493418442073062
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,0.972763207098337
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.8102193949613
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.838135322867525
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,11.6237700151002
"ABCC12",0,0,0,0,0,0,0,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.405675618259784
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.20237536237963
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.946371003201568
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,1.88764355501005
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.387572641451245
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.918631821944006
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,3.22075589289366
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.665981687735493
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,2.43577892306885
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.0631229640893456
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.487531564534624
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,8.91570144895828
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,"Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,2.11294670801164
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,"Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,0.991138601385566
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.777962141146265
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,"Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.17345521737221
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,"Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,0.108172148221089
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,"Abcg3",0,0.134471,0.142193,0,10,6,0.0922213333333333,0.928766574784598
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",20.105773,22.160102,21.120955,279,1363,786,21.1289433333333,0.559447830239823
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,1.06051494865036
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,1.41164981689983
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.661946104618224
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,1.60243415590019
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,0.538632875994941
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.296997027564441
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",0.508261,0.346372,0.237091,5,12,5,0.363908,1.47946146905314
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.337117510776919
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,1.86911111080572
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,0.285917022916813
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,0.996656473005444
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.444175389458301
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0.992170124103946
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.427471611320023
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.644662690590335
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,2.78023764989564
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.840522234857589
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,0.950722209522115
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.0391230501659726
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.3671094834551
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.441895690570119
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.818930665452979
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.189005488699777
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.331867034252818
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,1.23859364016778
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.503911612223955
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",2.876543,2.528344,3.212496,93,298,218,2.872461,0.581868825362821
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,1.74997720102053
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,1.2400429479434
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.689910389575312
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,2.22485656397316
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.496704651183537
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,3.90050981286292
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,2.30409388001522
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,6.30550436203361
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.966991072479256
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.71892863734198
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,0.814555627302419
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.67997924667102
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,1.44773957585559
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.186755100104293
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.398000940181883
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",25.124783,38.637608,36.052522,224,1188,549,33.2716376666667,1.25779867167713
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,31.424492792221
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,0.701549920721018
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,4.13891406251387
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,1.60447246614015
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,3.42244124182605
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,5.16984312916667
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,1.2275404106463
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,1.11004719803476
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.447375250055514
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.0459118057817289
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.617069503424627
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,0.66046017452221
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0262175622026686
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,7.92170043561893
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.398954946883727
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,10.8318864129449
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.304523530028607
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,8.5812492507145
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,2.71625462889413
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,3.12075847170661
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",0.859081,0.856018,0.384914,8,16,6,0.700004333333333,49.8156630188982
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,4.75149240620131
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.0866688993840328
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.65939696661024
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,1.24359460192411
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.1809177425114
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,1.23508002672004
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.89665511774875
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.711917168556047
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.444665969946387
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.594663609280886
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,1.0775807655918
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.490843523716757
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.830631050877322
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,1.79071248974047
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,1.30537732406807
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0.0396544200168339
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,1.10352117309045
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,0.549982479186612
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.473859089404259
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,2.68385165601548
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,1.06009096087947
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,1.36785004580957
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,0.239841070907968
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0.994876716535415
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,2.60881554001273
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,1.2004937501367
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.244122598721825
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",0.262587,0.519585,0.226514,2,16,4,0.336228666666667,2.30019562519988
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,0.0700394832297588
"ACOT12",0.137311,0.78691,0.64326,0.522493666666667,4,17,11,"Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,1.43251770699614
"ACOT13",14.096614,5.754241,11.441671,10.430842,306,262,371,"Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,0.0651233068358983
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.896109213860464
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot5",0.262587,0.519585,0.226514,2,16,4,0.336228666666667,8.44340714139246
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,9.57626887026403
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,4.40669367077005
"ACOT4",0.689296,0.540441,0.531756,0.587164333333333,24,26,28,"Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.793478749936258
"ACOT6",0.172208,0.138878,0.065032,0.125372666666667,2,2,1,"Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.357994009960072
