"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,"Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,0.749118296369982
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,"Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,10.5995713283876
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,"Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,1.39426831919462
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,"Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,2.86192616949815
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,"Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.30036286093621
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,"Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,0.598937010255993
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,"Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,0.794904605688536
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,"Abca12",0.051568,0.062896,0.025504,6,4,4,0.046656,0.97671473085076
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,"Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,1.04443256550166
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,"Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,1.20897651034127
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,"Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,3.6413605879934
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,"Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.817823820529592
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,"Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,1.11359375217223
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,"Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,0.800841709047962
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,13.9303385891381
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,0.312322321824521
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.02689579328092
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",2.074675,1.93475,1.983411,34,29,83,1.997612,0.747886095109485
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.0771498400254116
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,1.07785936613226
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,3.09752834302761
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.916874522904578
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.07488012110161
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,4.68004176232001
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,0.722162176688748
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,0.896879798466548
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.889840179090621
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,1.01252466602762
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,13.9227403623083
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.686380113646243
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.1715095030082
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.804198190764802
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,1.78348336669769
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.317195836493043
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.83846743449053
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,5.01382603762685
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.93690578032462
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,2.50873371548226
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.0852595328871806
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.634966615418115
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,10.5664527855056
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,"Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,2.24116692864807
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,"Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,1.28830226884697
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,0.93312847446655
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,"Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.241817237292433
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.180273408930238
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,0.895223795947328
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.625806510098527
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,1.08209433764326
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.39687218822221
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,0.811659053740031
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,3.04444830232264
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,0.530703595654895
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.275329870297571
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,1.61966669404663
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.388114037776844
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,1.23028844328229
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,0.449569820950544
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,1.07063367771867
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,0.980576627210916
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0,0,0,0,0,0,1
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.413872919613012
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.99131476717885
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,2.10793776065388
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,0.753195509905219
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,0.654841778357798
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.075396782306723
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.50652779483992
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.576669451255079
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.876991380408211
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.197363843916663
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.25981328392582
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.578337325791599
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.249062928218553
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,0.4043906322554
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,1.71598677069151
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,1.36648421307575
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.47644575259576
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,4.35887717251972
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.233750036626708
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,7.85300989667158
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,2.32301431375267
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,4.69745279621305
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.924879227273571
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.40289584673595
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,0.794832855097098
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.780662886591196
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,1.61047174595802
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.218318612177964
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,0.711702006827547
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,1.41923499051035
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,29.481139045751
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,0.783952727536773
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,5.04976997306839
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,2.38127212323803
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,4.06683952240547
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,5.65546771060669
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,1.55478904574786
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,2.05302985324872
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.696055447124536
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.0756818001335247
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.761548066027973
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,0.910486549569762
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0372347986520158
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,11.4429140007998
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.829840093696049
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,10.2513192126411
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.183047689620272
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,5.2266531033174
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,2.9281043500163
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,4.13002709578891
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,24.2325319585761
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,6.4923789381525
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.106116174468293
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.84173453300271
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,1.34380864409151
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.30965470770267
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,2.27188497445709
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.939913227210864
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.797272765898551
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,0.968971694605721
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.732354883028749
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,1.07697059376097
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.420531100706491
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,1.08706082732743
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,3.35535016322205
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,1.21273586881926
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.0584964487842392
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.518084323776552
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,0.475236565879135
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.961103565896373
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,4.95573446987299
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.947085915191796
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,1.50932023233973
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.307090102934388
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,1.90053911489191
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,1.20569243784725
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,0.335460420487807
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,1.54595888390993
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,0.116315248498744
"ACOT12",0.137311,0.78691,0.64326,0.522493666666667,4,17,11,"Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,1.27929858014772
"ACOT13",14.096614,5.754241,11.441671,10.430842,306,262,371,"Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,0.0799698669432315
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,1.23138609558704
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,5.67480441128564
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,6.9763742524202
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,4.42577667243311
"ACOT4",0.689296,0.540441,0.531756,0.587164333333333,24,26,28,"Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.640515851764922
"ACOT6",0.172208,0.138878,0.065032,0.125372666666667,2,2,1,"Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.411622114844408
"ACOT7",144.140782,166.680788,158.146086,156.322552,2648,4286,4367,"Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,1.25906537440714
