"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.627735632071423
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,1.0807723905069
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,1.25126139425701
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,1.23561633549098
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,1.31320638887935
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.357370492895944
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.308217156835815
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,1.72746332433391
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,0.750080199316532
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,1.03236168826964
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.198070355801119
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,0.61471251118311
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.546080890645326
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0.927879054058234
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.45040397607129
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.57380655030968
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,2.06385469655239
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,1.18420053836257
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,0.363280547423058
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.16025864445873
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.261575538250766
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.286936283273537
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,1.22971900125664
