"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.0490779240188984
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.293522975442547
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.375094150488577
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.877595734564206
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.249047441737915
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.384465637655102
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,1.70515958253519
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0.240040268212902
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,1.35263978939794
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,2.25252466851056
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,1.27246348038921
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.780772531068784
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,5.16663788387068
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.33891532553697
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,11.4761447147349
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,2.26063933214521
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,7.39235507687062
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.00367677521263
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.539202219338531
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,0.735293610100972
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.860994587617816
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,1.57916564481154
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.244880722351629
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.405065643738166
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,1.01408254674647
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,28.0370839628755
