"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,"Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,0.846442746135857
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,"Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,11.1317338336431
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,"Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,1.11860820706777
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,"Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,2.54995203344818
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,"Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.323057418225066
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,"Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,0.643097341565167
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,1.09733225261724
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,"Abca12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,0.992984987302976
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.04542079072945
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,1.36763719135021
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,5.29952972270652
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.746005188084978
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,1.70436830077824
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,0.885112056424653
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,18.2716924265493
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,0.499299984730285
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.29326723249668
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.755585256912493
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0576587569024274
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.88662410711996
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,2.94865994632632
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.979172329052337
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0,0,0,0,0,0,1.078357
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,3.72598419775888
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,0.758951028795911
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.850828309225611
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,1.09965798246497
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,1.99928342922326
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,16.634722316557
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.907593654589217
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.26129611808983
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.885723720532892
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,2.71233893790536
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.674566158887842
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,2.07833506603894
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,6.68873015250203
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,1.09001116598518
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,3.13680166077697
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.112108505001277
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.607389387109275
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,11.5408624040755
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,2.39153359029046
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,1.76724820798846
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.800089883806714
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.195883227308001
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.220319607001505
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,0.952014735435369
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.884403188664389
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,1.06241558893016
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.40536241178551
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.655237636986585
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,2.67339646673415
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.43113030203412
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.22940972049329
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,0.98377143466329
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.419289835323586
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,1.38089922990637
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.351800240602461
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,1.07901607549603
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.750166992557366
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.040812,0,0,1,0,0,0.013604,0.986578584930604
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.29366787382231
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.984217919392942
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,1.94126128154143
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,1.06619528451247
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,1.10627076358555
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,"Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.0543943738591951
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,"Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.350669161538962
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,"Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.491194833419106
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,"Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.777939187135502
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,"Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.143071277932238
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,"Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.283177890426711
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,"Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.836055174089272
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,"Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.269569218366905
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,"Abi3bp",1.005749,0.614508,0.331046,67,69,42,0.650434333333333,1.36525536813239
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,"Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,2.1050758509115
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,"Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,1.86501461602881
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,"Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,0.900370421779168
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,"Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,6.36165759478842
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,"Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.398538331057635
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,"Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,9.92343397344386
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,"Abo",0,0,0,0,0,0,0,2.34074433333333
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,5.46774215062613
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.960224446502885
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.440422398773243
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,0.930311807786492
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,0.746272159600816
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,1.28458615375261
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,0.195132541388603
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,0.620102632540611
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",32.745647,29.059165,34.358911,520,1066,1037,32.0545743333333,1.30411058689275
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,35.759139604765
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,0.491684860845327
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,7.11637038729618
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,2.45286358236278
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",1.157293,1.86023,1.664471,45,84,89,1.56066466666667,4.95641027576955
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,5.83746999058802
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,1.51782892526328
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,1.57904722561444
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.54075383939491
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.056793664078906
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.626831272171396
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,0.753593317894575
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.0323230401118622
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,10.6334628724022
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.820240601161488
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,11.0274912818311
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,0.400605475885689
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",30.626323,20.849619,19.366028,1311,1961,1795,23.61399,7.87304825426516
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,2.36564752883304
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,3.28943598396205
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",2.836098,2.697745,2.366028,43,78,76,2.63329033333333,23.3085812666957
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,7.02127684391303
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",48.447059,53.277535,51.466468,249,586,589,51.0636873333333,0.0906642596488652
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.989563202615865
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,1.08730319509836
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.37069238683625
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,2.32801833469319
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.221119,0.229811,0,2,2,0.15031,0.869330876024724
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.715162146240574
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,0.733856907595885
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.684435544819653
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0.030558,0,0,1,0,0,0.010186,1.08385518442478
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.541677696195427
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,1.0538264730061
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,3.3035192874758
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,2.41774451843558
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,0.163233777050431
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.87817161834113
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0.453686495051229
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.926668329780544
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,5.18005435273672
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0.102752,0.079444,0,3,4,0,0.060732,1.06897092448108
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,1.89792492683006
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,0.268784368033123
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0.971325185425978
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,1.83939058565186
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,1.06905142048613
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,0.218573821272734
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",0.847002,0.96065,0.720038,13,32,26,0.842563333333333,1.6681040362249
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,0.123374775107092
"ACOT12",0.137311,0.78691,0.64326,0.522493666666667,4,17,11,"Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,1.45191141316787
"ACOT13",14.096614,5.754241,11.441671,10.430842,306,262,371,"Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,0.0570577477911992
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,0.80232643834164
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot5",0.847002,0.96065,0.720038,13,32,26,0.842563333333333,6.12316682013644
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,6.75191424440409
"ACOT2",9.413227,10.383521,11.05022,10.2823226666667,97,146,165,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,3.92420379352039
"ACOT4",0.689296,0.540441,0.531756,0.587164333333333,24,26,28,"Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,1.11042539744729
"ACOT6",0.172208,0.138878,0.065032,0.125372666666667,2,2,1,"Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.429950343489791
"ACOT7",144.140782,166.680788,158.146086,156.322552,2648,4286,4367,"Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,0.764564402135548
