"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"DCUN1D3","Dcun1d3",4.234514,8.151633,5.02299,115,414,223,5.80304566666667,1.9967,1.9967,2.27017908588336
"DCUN1D4","Dcun1d4",42.161159,38.668846,37.774405,568,2172,1172,39.5348033333333,18.09575,18.09575,2.12271334371959
"DCUN1D5","Dcun1d5",40.877879,37.667111,33.259407,167,639,400,37.2681323333333,38.67954,38.67954,0.964429837980313
"DCX","Dcx",0.597689,1.337784,1.009421,29,282,128,0.981631333333333,1.04539,1.04539,0.968828112650073
"DCXR","Dcxr",6.051517,7.014643,8.786047,26,116,81,7.284069,411.64442,411.64442,0.0200755628780828
"DDA1","Dda1",20.980556,19.980909,20.196721,195,806,487,20.386062,21.71281,21.71281,0.94158591561326
"DDAH1","Ddah1",27.300506,25.883569,29.751791,594,1952,1247,27.6452886666667,51.37061,51.37061,0.546972599071629
"DDAH2","Ddah2",13.3457,18.611798,15.529645,84,326,236,15.8290476666667,130.98775,130.98775,0.127504618168479
"DDB1","Ddb1",84.902983,102.043801,110.029838,1318,5673,3410,98.9922073333333,128.36381,128.36381,0.772953481606126
"DDB2","Ddb2",2.940051,3.476519,3.531033,35,154,81,3.31586766666667,14.03963,14.03963,0.286966346024913
"DDC","Ddc",12.292051,10.786326,9.331594,83,388,198,10.8033236666667,0.74223,0.74223,6.77483665570371
"DDHD1","Ddhd1",20.40461,24.588348,23.417278,400,1706,905,22.803412,5.45695,5.45695,3.6864792200652
"DDHD2","Ddhd2",21.509354,32.530223,27.228715,344,1505,816,27.0894306666667,39.65176,39.65176,0.69097698763022
"DDI1","Ddi1",0.02016,0.010817,0,1,2,0,0.0103256666666667,0,0,1.01032566666667
"DDI2","Ddi2",6.114242,6.35366,6.757058,409,1603,950,6.40832,3.52297,3.52297,1.63793259738623
"DDIT3","Ddit3",20.053339,20.999961,24.148661,81,334,212,21.733987,84.94864,84.94864,0.264506651879541
"DDIT4","Ddit4",19.254975,22.121173,18.515616,218,928,440,19.9639213333333,245.17603,245.17603,0.0851582557949827
"DDIT4L","Ddit4l",16.203112,6.465408,7.61615,23,86,48,10.09489,0.6586,0.6586,6.68931026166647
"DDN","Ddn",0.471088,0.583365,0.686218,12,54,36,0.580223666666667,0.05227,0.05227,1.50172832701366
"DDO","Ddo",6.697909,6.062685,7.829347,125,374,225,6.86331366666667,1.474,1.474,3.17838062516842
"DDOST","Ddost",23.979299,24.440923,25.15148,321,1234,719,24.5239006666667,112.30657,112.30657,0.225264083686115
"DDR1","Ddr1",20.09373,30.564942,33.132825,454,2294,1320,27.930499,21.671,21.671,1.2761015835208
"DDR2","Ddr2",1.3079,3.136776,1.598495,76,347,178,2.01439033333333,1.39037,1.39037,1.26105595925875
"DDRGK1","Ddrgk1",96.398925,116.881537,115.150601,286,1090,593,109.477021,109.25403,109.25403,1.00202252017455
"DDT","Ddt",54.272911,64.035241,54.416211,154,702,336,57.5747876666667,107.88456,107.88456,0.537953109850163
"DDX1","Ddx1",81.764506,70.757744,76.181867,781,2945,1741,76.2347056666667,121.44331,121.44331,0.630779302410778
"DDX10","Ddx10",4.953094,4.280004,5.4211,103,333,239,4.88473266666667,31.77995,31.77995,0.179522319792027
"DDX11","Ddx11",0.321886,0.786828,0.878289,9,45,29,0.662334333333333,5.61376,5.61376,0.251344822511451
"DDX17","Ddx17",76.976773,82.761225,79.489189,2191,8522,4669,79.7423956666667,81.32112,81.32112,0.980822365714493
"DDX18","Ddx18",24.324503,19.66944,20.423437,143,399,262,21.47246,14.85504,14.85504,1.41737012331725
"DDX19A","Ddx19a",12.22078,12.263086,12.186009,154,570,348,12.2232916666667,14.18598,14.18598,0.870756557473845
"DDX20","Ddx20",3.961832,4.424417,4.777571,75,307,178,4.38794,3.69024,3.69024,1.14875571399331
"DDX21","Ddx21",5.109691,6.078494,7.836128,163,668,398,6.34143766666667,11.38433,11.38433,0.59280055252619
"DDX24","Ddx24",81.355606,86.38306,77.359448,1039,3857,2200,81.6993713333333,193.87859,193.87859,0.424363555449233
"DDX25","Ddx25",6.792021,7.585602,7.56015,327,1380,779,7.312591,14.47869,14.47869,0.53703452940785
"DDX27","Ddx27",17.189411,43.210679,28.474582,117,481,279,29.6248906666667,26.38572,26.38572,1.11827955104582
"DDX28","Ddx28",3.879429,4.208332,4.20588,57,230,130,4.09788033333333,8.53041,8.53041,0.53490671789916
"DDX31","Ddx31",2.059924,2.378219,3.452371,15,135,88,2.63017133333333,3.65888,3.65888,0.77919399798521
"DDX39B","Ddx39b",53.259035,63.249735,69.354943,569,2540,1413,61.954571,272.46079,272.46079,0.230214251191185
"DDX3X","Ddx3x",71.948145,63.968545,75.929179,1948,7564,4711,70.6152896666667,47.79537,47.79537,1.46766567538409
"DDX3Y","Ddx3y",15.928376,21.695832,21.023837,457,1947,1161,19.5493483333333,0,0,20.5493483333333
"DDX4","Ddx4",0.504598,0.52761,0.450963,9,37,17,0.494390333333333,0.12545,0.12545,1.32781583662831
"DDX41","Ddx41",9.182098,8.786559,10.279319,99,443,258,9.415992,77.59953,77.59953,0.132519774609339
"DDX42","Ddx42",18.29012,22.137011,21.149861,493,1865,1129,20.525664,37.03828,37.03828,0.565894777576694
"DDX46","Ddx46",42.304554,27.90613,22.700542,586,1940,1192,30.9704086666667,9.40854,9.40854,3.07155553676756
"DDX47","Ddx47",23.359128,29.413426,34.549033,208,851,475,29.1071956666667,26.87705,26.87705,1.07999934235031
"DDX49","Ddx49",38.077313,32.754764,23.724859,93,348,189,31.5189786666667,58.23885,58.23885,0.548946825717695
"DDX5","Ddx5",371.942152,345.047363,371.329845,5606,20698,12702,362.77312,235.04617,235.04617,1.5411100294489
"DDX50","Ddx50",32.535897,33.112554,26.534903,350,1341,721,30.7277846666667,26.08256,26.08256,1.17152088527328
"DDX51","Ddx51",6.806578,9.613533,12.809586,56,354,184,9.74323233333333,16.37085,16.37085,0.618463249255698
"DDX52","Ddx52",8.695161,8.675078,10.149166,158,559,323,9.173135,6.34554,6.34554,1.38494038559452
"DDX54","Ddx54",7.191636,7.592106,6.937938,154,638,365,7.24056,24.4831,24.4831,0.323373529908057
"DDX55","Ddx55",6.99376,7.111065,6.191877,95,415,207,6.76556733333333,7.68364,7.68364,0.894275595641152
"DDX56","Ddx56",12.300639,14.092583,15.751081,131,616,357,14.048101,82.52333,82.52333,0.180166439724087
"DDX58","Ddx58",2.352504,4.503489,2.602105,34,135,82,3.15269933333333,8.5095,8.5095,0.436689556057977
"DDX59","Ddx59",2.54488,2.890324,3.351462,35,142,91,2.92888866666667,13.72601,13.72601,0.266799266513242
"DDX6","Ddx6",30.442267,33.061248,36.206882,1272,5164,3198,33.236799,8.54086,8.54086,3.58843951174213
"DEAF1","Deaf1",41.843686,59.000156,57.126227,146,763,423,52.6566896666667,64.07214,64.07214,0.824572384843447
"DECR1","Decr1",6.949943,6.99081,8.038315,135,507,326,7.326356,55.30129,55.30129,0.147889257954835
"DECR2","Decr2",111.542407,85.391976,70.84756,145,510,305,89.2606476666667,26.52162,26.52162,3.27962698658969
"DEDD","Dedd",44.756628,41.601128,66.814873,118,528,327,51.057543,26.43799,26.43799,1.89727975700844
"DEDD2","Dedd2",4.842252,5.54899,5.76577,118,486,275,5.38567066666667,35.25065,35.25065,0.176153273573485
"DEF6","Def6",1.8634,4.334036,5.581575,14,44,31,3.926337,14.44733,14.44733,0.318911876680307
"DEF8","Def8",27.54529,30.580788,25.306391,367,1412,857,27.810823,162.18228,162.18228,0.176556075819017
"DEFB1","Defb1",0.224149,0,0,1,0,0,0.0747163333333333,0.19862,0.19862,0.896628066721174
"DEFB103B","Defb14",0,0,0,0,0,0,0,0,0,1
"DEFB105B","Defb12",0,0,0,0,0,0,0,0,0,1
"DEFB106B","Defb34",0,0,0,0,0,0,0,0,0,1
"DEFB110","Defb41",0,0,0,0,0,0,0,0,0,1
"DEFB113","Defb18",0,0,0,0,0,0,0,0,0,1
"DEFB116","Defb29",0,0,0,0,0,0,0,0,0,1
"DEFB119","Defb19",0,0,0,0,0,0,0,0.24044,0.24044,0.806165554158202
"DEFB123","Defb36",0,0,0,0,0,0,0,0,0,1
"DEFB124","Defb25",0,0,1.407332,0,0,1,0.469110666666667,11.1648,11.1648,0.120767350607216
"DEFB126","Defb22",0,0,0,0,0,0,0,0,0,1
"DEFB128","Defb20",0,0.084108,0,0,1,0,0.028036,0,0,1.028036
"DEFB135","Defb30",0,0,0.139941,0,0,1,0.046647,0,0,1.046647
"DEFB136","Defb42",1.447975,2.12175,2.69241,16,53,42,2.08737833333333,0,0,3.08737833333333
"DEGS1","Degs1",50.341931,61.930416,65.635613,535,2265,1339,59.3026533333333,80.61026,80.61026,0.738910197484156
"DEGS2","Degs2",1.41253,1.820017,2.09197,11,48,30,1.774839,1.39037,1.39037,1.1608407903379
"DEK","Dek",57.315347,48.454556,51.415148,479,1384,861,52.395017,21.8069,21.8069,2.34117819607224
"DENND1A","Dennd1a",15.644848,15.307524,16.124021,195,874,564,15.692131,8.26906,8.26906,1.80084399065277
"DENND1B","Dennd1b",2.53473,2.65602,3.09354,136,535,347,2.76143,7.51638,7.51638,0.441670052299216
"DENND1C","Dennd1c",0.312347,0.567175,1.210724,5,33,10,0.696748666666667,2.47758,2.47758,0.487910750196018
"DENND2A","Dennd2a",5.63797,4.629038,4.474704,142,464,276,4.913904,15.1582,15.1582,0.366000173286628
"DENND2C","Dennd2c",0.176328,0.185517,0.109235,4,17,7,0.157026666666667,0.47043,0.47043,0.786862799770589
"DENND2D","Dennd2d",0.464883,0.947077,0.746282,8,24,13,0.719414,4.46383,4.46383,0.314690244755053
"DENND3","Dennd3",1.127918,2.053795,2.65998,41,137,99,1.947231,26.96069,26.96069,0.105406232821865
"DENND4B","Dennd4b",8.211014,14.025768,14.870884,293,1184,716,12.369222,15.9527,15.9527,0.788619040034921
"DENND4C","Dennd4c",6.219905,4.963765,4.176599,202,695,439,5.12008966666667,4.21293,4.21293,1.17402107196273
"DENND5A","Dennd5a",97.119552,118.902431,128.359089,2339,9325,5832,114.793690666667,58.35384,58.35384,1.95090478841245
"DENND5B","Dennd5b",9.272014,9.945458,9.495702,631,2420,1357,9.571058,2.50894,2.50894,3.01260722611387
"DENR","Denr",50.186009,42.183193,35.663251,275,899,490,42.6774843333333,27.70292,27.70292,1.52170874368647
"DEPDC1","Depdc1a",0,0.042559,0,0,2,0,0.0141863333333333,0.12545,0.12545,0.901138507559939
"DEPDC1B","Depdc1b",1.380458,0.487424,0.360365,5,18,12,0.742749,0.62724,0.62724,1.07098461198102
"DEPDC5","Depdc5",136.562766,57.351061,85.527861,325,1346,744,93.1472293333333,14.69823,14.69823,5.99731494145094
"DEPDC7","Depdc7",1.155387,1.455468,1.528016,13,52,25,1.37962366666667,4.66245,4.66245,0.420246300923923
"DEPTOR","Deptor",2.774661,3.6006,3.700194,166,806,470,3.358485,6.08419,6.08419,0.615241121426726
"DERA","Dera",1.94691,6.761759,1.603212,8,42,17,3.43729366666667,20.68833,20.68833,0.204593607099609
"DERL1","Derl1",23.93782,26.923915,30.560853,443,1941,1177,27.1408626666667,16.23495,16.23495,1.6327788979177
"DERL2","Derl2",11.425756,9.997125,7.672344,141,499,309,9.69840833333333,33.79756,33.79756,0.30744708345451
"DERL3","Derl3",0.921121,1.651841,0.73679,5,18,10,1.10325066666667,4.62064,4.62064,0.374201277197377
"DES","Des",1.184333,1.702135,1.517792,19,75,36,1.46808666666667,18.70208,18.70208,0.125270360625206
"DESI1","Desi1",61.251429,66.62054,73.60073,844,3376,1894,67.1575663333333,17.14445,17.14445,3.75638646160855
"DESI2","Desi2",5.031779,5.218894,5.741588,187,659,417,5.33075366666667,4.652,4.652,1.12009088228356
"DET1","Det1",1.79357,2.075051,2.320934,24,105,65,2.063185,4.05612,4.05612,0.605837084562866
"DEXI","Dexi",28.370704,31.792789,32.445785,204,808,469,30.8697593333333,113.19516,113.19516,0.279081524412535
"DFFA","Dffa",39.350414,40.81951,30.79575,272,1135,632,36.988558,27.42066,27.42066,1.33665291376062
"DFFB","Dffb",3.720285,2.719464,4.761838,26,84,67,3.73386233333333,2.47758,2.47758,1.36125188589
"DGAT1","Dgat1",21.522376,19.862674,20.74564,100,334,184,20.71023,44.80555,44.80555,0.473965054453008
"DGAT2","Dgat2",4.262287,10.698553,7.40744,62,361,199,7.45609333333333,4.86108,4.86108,1.44275344020783
"DGAT2L6","Dgat2l6",0.03293,0.035041,0,1,4,0,0.022657,0.01045,0.01045,1.01208075609877
"DGCR2","Dgcr2",37.239392,39.03606,44.046179,867,3677,2344,40.1072103333333,38.51228,38.51228,1.04036543407096
"DGCR6","Dgcr6",29.331127,37.624947,39.739808,149,605,353,35.565294,78.25812,78.25812,0.461344452782882
"DGCR8","Dgcr8",29.209194,30.685288,36.455341,205,774,441,32.1166076666667,9.89987,9.89987,3.03825712294428
"DGKA","Dgka",3.319012,3.517967,3.391321,61,244,135,3.40943333333333,19.24569,19.24569,0.217796149863666
"DGKB","Dgkb",8.662259,8.065727,8.614932,346,1134,708,8.44763933333333,2.19533,2.19533,2.95670222898209
"DGKD","Dgkd",42.951558,36.596733,38.948674,928,3292,2098,39.4989883333333,8.49905,8.49905,4.2634777512839
"DGKE","Dgke",13.777592,13.984829,14.75741,586,2202,1329,14.173277,4.22339,4.22339,2.90487154893661
"DGKG","Dgkg",20.009161,19.62269,24.205053,440,1697,1182,21.278968,4.22339,4.22339,4.26523158332041
"DGKH","Dgkh",3.787469,4.964954,5.549963,383,1885,1184,4.767462,16.02588,16.02588,0.338746778433773
"DGKI","Dgki",5.58965,5.902663,5.262468,105,533,299,5.584927,4.10839,4.10839,1.28904155712465
"DGKQ","Dgkq",16.558349,22.878739,24.45037,241,1308,697,21.2958193333333,20.44789,20.44789,1.03953439398157
"DGKZ","Dgkz",236.003349,245.256687,300.082585,1822,7672,5322,260.447540333333,92.26639,92.26639,2.80323426620601
"DGUOK","Dguok",42.52184,25.089353,38.442872,71,247,175,35.351355,96.83476,96.83476,0.371558687321357
"DHCR24","Dhcr24",19.8592,23.405907,23.932941,542,2439,1406,22.3993493333333,185.42136,185.42136,0.125518606523058
"DHCR7","Dhcr7",37.311818,89.46705,105.938631,175,734,417,77.5724996666667,89.08839,89.08839,0.87217120504281
"DHDDS","Dhdds",21.410147,24.498399,22.125807,365,1490,838,22.6781176666667,40.01765,40.01765,0.577266558826911
"DHDH","Dhdh",1.369209,1.710085,2.241959,48,223,162,1.773751,0.39725,0.39725,1.98515011629987
"DHFR","Dhfr",0.961067,1.000438,1.082528,35,135,83,1.01467766666667,5.1956,5.1956,0.325178782792089
"DHH","Dhh",0.034784,0.160948,0.032964,1,4,2,0.076232,12.83743,12.83743,0.077776870415966
"DHODH","Dhodh",18.60091,15.542665,11.182943,69,295,151,15.1088393333333,7.4432,7.4432,1.90790687575011
"DHPS","Dhps",45.172825,62.411742,62.761959,98,423,253,56.7821753333333,81.86473,81.86473,0.697307229907505
"DHRS1","Dhrs1",36.843665,55.130466,48.28885,231,1014,581,46.754327,25.17306,25.17306,1.82456033035495
"DHRS11","Dhrs11",5.336043,5.844819,5.083762,37,149,77,5.42154133333333,17.17581,17.17581,0.353301521821219
"DHRS13","Dhrs13",9.302993,5.440468,6.27914,55,202,128,7.00753366666667,27.50429,27.50429,0.280923807141545
"DHRS3","Dhrs3",7.190801,7.034059,8.529524,62,221,146,7.58479466666667,78.21631,78.21631,0.108371554628923
"DHRS4","Dhrs4",7.698284,13.052829,12.734111,43,169,114,11.1617413333333,39.2336,39.2336,0.302278228479016
"DHRS7","Dhrs7",15.894092,14.54062,14.906219,112,391,219,15.1136436666667,164.55532,164.55532,0.0973308720412408
"DHRS7B","Dhrs7b",6.409842,7.2304,7.648261,66,312,177,7.09616766666667,56.82757,56.82757,0.140005323873486
"DHRS7C","Dhrs7c",0,0,0,0,0,0,0,0.04182,0.04182,0.959858708798065
"DHRS9","Dhrs9",0,0.009876,0.019138,0,1,1,0.00967133333333333,3.1989,3.1989,0.240460914366461
"DHTKD1","Dhtkd1",0.810027,3.68932,6.871835,28,154,91,3.790394,5.09106,5.09106,0.786463111510969
"DHX15","Dhx15",41.022419,39.144552,39.516266,662,2350,1367,39.8944123333333,48.64214,48.64214,0.823784235194803
"DHX29","Dhx29",7.907869,7.446819,7.915344,187,608,379,7.75667733333333,7.78818,7.78818,0.99641533666053
"DHX30","Dhx30",123.610451,86.447141,88.546309,524,2119,1254,99.5346336666667,56.06443,56.06443,1.76177408004718
"DHX32","Dhx32",14.807113,12.065397,13.353771,115,477,256,13.4087603333333,9.61762,9.61762,1.35706121836469
"DHX33","Dhx33",10.378747,8.079604,12.30015,168,730,468,10.2528336666667,2.84347,2.84347,2.9277797580485
"DHX34","Dhx34",2.625717,2.731346,2.21172,59,202,116,2.52292766666667,7.28639,7.28639,0.425146253877342
"DHX36","Dhx36",26.131012,19.258363,22.477597,721,2586,1597,22.622324,42.27569,42.27569,0.545856669183091
"DHX40","Dhx40",9.544913,7.342805,6.303197,193,582,335,7.730305,11.47842,11.47842,0.699632245107954
"DHX57","Dhx57",8.0229,6.724774,10.122397,159,710,372,8.29002366666667,12.54472,12.54472,0.685877867291953
"DHX58","Dhx58",1.994997,1.330155,1.818224,14,48,26,1.71445866666667,33.48394,33.48394,0.0787166045024631
"DHX8","Dhx8",10.250217,10.118473,8.468147,272,951,537,9.612279,19.91474,19.91474,0.507406690209871
"DHX9","Dhx9",36.201378,41.067329,47.680547,833,3461,2084,41.6497513333333,55.14448,55.14448,0.759642823895302
"DIABLO","Diablo",28.001063,22.642704,23.334168,146,528,309,24.6593116666667,127.56931,127.56931,0.199575712638317
"DIAPH1","Diaph1",9.608809,12.172737,11.263888,260,977,602,11.0151446666667,14.86549,14.86549,0.757313178897511
"DIAPH2","Diaph2",2.306326,1.852061,2.018304,117,395,243,2.058897,3.51252,3.51252,0.677868906952213
"DIAPH3","Diaph3",0.649368,1.011726,0.680976,7,31,13,0.78069,0.35543,0.35543,1.31374545347233
"DICER1","Dicer1",7.462503,7.423156,8.265284,324,1510,922,7.716981,4.5161,4.5161,1.58027972661844
"DIDO1","Dido1",8.97337,8.275608,9.226093,396,1470,914,8.82502366666667,15.05366,15.05366,0.612011445780381
"DIMT1","Dimt1",4.782584,6.177155,6.443953,55,206,116,5.80123066666667,16.7472,16.7472,0.383228377809833
"DIO1","Dio1",0.096453,0,0.044998,1,0,1,0.0471503333333333,0.12545,0.12545,0.930428125046278
"DIO2","Dio2",7.4532,7.673195,7.653991,298,1147,649,7.593462,0.43907,0.43907,5.97153856309978
"DIO3","Dio3",0.11475,0.020218,0.053423,1,1,1,0.062797,1.48446,1.48446,0.427777867222656
"DIP2A","Dip2a",21.336577,35.341961,37.889308,709,2846,1610,31.5226153333333,8.07043,8.07043,3.58556488869142
"DIP2B","Dip2b",12.417958,11.093974,14.379238,553,2462,1427,12.63039,8.46768,8.46768,1.43967582343298
"DIRAS1","Diras1",36.504848,44.38602,40.191502,721,2707,1554,40.36079,98.34012,98.34012,0.416355345654908
"DIRAS2","Diras2",63.222112,73.270458,87.07539,2067,8950,6026,74.5226533333333,10.85118,10.85118,6.37258512091904
"DIS3","Dis3",11.358567,11.7812,7.353107,109,497,254,10.1642913333333,7.66273,7.66273,1.28877286182685
"DIS3L","Dis3l",15.356287,11.917947,12.299953,226,807,469,13.1913956666667,18.61845,18.61845,0.723369872067705
"DIS3L2","Dis3l2",5.365325,5.924551,6.410219,112,473,292,5.90003166666667,11.59341,11.59341,0.547908125493148
"DISC1","Disc1",1.095353,0.402737,0.344357,10,28,13,0.614149,4.1293,4.1293,0.314691868286121
"DISP1","Disp1",2.414481,1.164226,1.522858,40,114,64,1.70052166666667,6.20963,6.20963,0.374571464370109
"DISP2","Disp2",52.186062,74.757179,71.734091,2349,12940,7006,66.2257773333333,14.68777,14.68777,4.28523476143093
"DIXDC1","Dixdc1",37.255647,47.229697,42.492983,929,3385,2096,42.326109,7.92408,7.92408,4.85496645032317
"DKC1","Dkc1",22.152735,23.454664,28.380809,178,588,377,24.662736,16.8831,16.8831,1.43502726037432
"DKK1","Dkk1",0.063021,0.017036,0.030541,1,1,1,0.036866,0.72132,0.72132,0.602366788278763
"DKK2","Dkk2",0.148311,0.106777,0.07548,4,10,4,0.110189333333333,0.55406,0.55406,0.714379968169397
"DKK3","Dkk3",10.533587,13.515447,12.75954,237,1154,615,12.2695246666667,390.25567,390.25567,0.0339152264979742
"DKK4","Dkk4",0,0,0,0,0,0,0,0.05227,0.05227,0.950326437131155
"DKKL1","Dkkl1",0.666944,0.349186,0.642203,2,7,6,0.552777666666667,0.28226,0.28226,1.21096943417612
"DLAT","Dlat",48.789121,57.372193,52.038563,635,2431,1398,52.7332923333333,15.58681,15.58681,3.23951937312439
"DLC1","Dlc1",10.570198,10.906406,11.925978,407,1726,1054,11.134194,5.90647,5.90647,1.75693139910837
"DLD","Dld",74.4595,73.342099,67.985468,820,3133,1737,71.9290223333333,59.11698,59.11698,1.21311852879724
"DLEC1","Dlec1",0.321883,0.910951,1.098661,12,33,20,0.777165,0.50179,0.50179,1.18336451834145
"DLEU7","Dleu7",4.170958,2.957044,2.610735,30,76,38,3.24624566666667,5.57194,5.57194,0.646117534041191
"DLG1","Dlg1",64.100072,49.19933,57.561125,971,3251,2067,56.953509,7.31775,7.31775,6.96745021189625
"DLG2","Dlg2",105.030269,82.994877,86.808503,1896,6668,4027,91.6112163333333,0,0,92.6112163333333
"DLG3","Dlg3",21.504167,27.865172,32.583332,485,1795,1160,27.317557,3.39753,3.39753,6.43942326715224
"DLG4","Dlg4",355.246549,256.671676,285.894557,1630,6333,3798,299.270927333333,46.80225,46.80225,6.28152288508038
"DLG5","Dlg5",8.105106,9.462936,11.413087,180,853,527,9.66037633333333,8.3736,8.3736,1.13727664220079
"DLGAP1","Dlgap1",47.707887,39.317671,49.30053,1560,5084,3377,45.4420293333333,2.46713,2.46713,13.3949489443238
"DLGAP2","Dlgap2",0.586131,2.480218,1.351037,18,145,63,1.472462,0.37634,0.37634,1.79640350494791
"DLGAP3","Dlgap3",19.493746,20.454799,21.972634,408,1780,1064,20.640393,15.34637,15.34637,1.32386535970983
"DLGAP4","Dlgap4",46.461464,65.660235,69.399732,673,2744,1535,60.5071436666667,28.84239,28.84239,2.0610662774217
"DLGAP5","Dlgap5",0,0.164601,0.135775,0,3,1,0.100125333333333,0.2718,0.2718,0.865014415264455
"DLK1","Dlk1",11.681358,14.28105,14.23628,179,856,444,13.3995626666667,0.74223,0.74223,8.26501820463812
"DLK2","Dlk2",0.934991,1.015301,2.028977,9,35,23,1.326423,14.52051,14.52051,0.149893463552422
"DLL1","Dll1",4.863762,2.275547,3.511876,31,112,51,3.550395,1.48446,1.48446,1.83154287048292
"DLL3","Dll3",0.061495,0.481396,1.445093,1,20,11,0.662661333333333,2.20578,2.20578,0.51864486438038
"DLL4","Dll4",0.626127,0.65536,0.580977,16,45,28,0.620821333333333,1.80853,1.80853,0.577106647724373
"DLST","Dlst",79.262274,74.379063,70.763059,759,3078,1708,74.8014653333333,65.59841,65.59841,1.1381873130805
"DLX1","Dlx1",0.035924,0.023163,0,1,2,0,0.0196956666666667,1.35901,1.35901,0.432255762657499
"DLX2","Dlx2",0,0,0,0,0,0,0,0.17772,0.17772,0.849098257650375
"DLX3","Dlx3",0.058017,0.139054,0.246354,1,9,9,0.147808333333333,0.30316,0.30316,0.880788493610403
"DLX4","Dlx4",0.303566,0.345524,0.440521,4,18,13,0.363203666666667,0.02091,0.02091,1.33528290120252
"DLX5","Dlx5",0,0,0,0,0,0,0,0.35543,0.35543,0.737773252768494
"DLX6","Dlx6",0.08414,0.022515,0.04501,1,1,1,0.050555,0.04182,0.04182,1.00838436582135
"DMAP1","Dmap1",11.042893,11.856332,12.97513,105,394,229,11.9581183333333,44.4083,44.4083,0.28536893769054
"DMBT1","Dmbt1",0,0.022563,0,0,2,0,0.007521,0.08363,0.08363,0.929764772108561
"DMBX1","Dmbx1",0.401528,0.366929,0.409827,12,38,25,0.392761333333333,0,0,1.39276133333333
"DMC1","Dmc1",0.665345,0.353983,0.31274,3,9,4,0.444022666666667,0.63769,0.63769,0.881743594127501
"DMD","Dmd",12.774845,17.506528,14.103779,278,1328,779,14.7950506666667,18.10621,18.10621,0.826697218687886
"DMGDH","Dmgdh",0.10134,0.106481,0.141109,2,8,6,0.11631,2.12215,2.12215,0.357545281296542
"DMKN","Dmkn",0.574946,1.430129,0.766979,4,26,13,0.924018,6.60688,6.60688,0.252931293776161
"DMP1","Dmp1",4.906927,4.583627,4.114144,89,316,160,4.53489933333333,0.02091,0.02091,5.42153503573609
"DMPK","Dmpk",12.576769,16.470816,13.198893,49,254,132,14.0821593333333,26.35436,26.35436,0.551362171636746
"DMRT1","Dmrt1",0,0,0,0,0,0,0,0.03136,0.03136,0.969593546385355
"DMRT2","Dmrt2",0,0.018452,0.065029,0,1,2,0.027827,0.11499,0.11499,0.921826204719325
"DMRT3","Dmrt3",0,0.154388,0.135705,0,8,4,0.0966976666666667,0,0,1.09669766666667
"DMRTA1","Dmrta1",0.073687,0.209835,0.143021,2,20,8,0.142181,0.26135,0.26135,0.905522654298965
"DMRTA2","Dmrta2",0,0.038995,0,0,2,0,0.0129983333333333,0.03136,0.03136,0.982196646499121
"DMRTB1","Dmrtb1",0.251995,0.43456,0.059191,2,14,1,0.248582,0,0,1.248582
"DMRTC2","Dmrtc2",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"DMTF1","Dmtf1",68.270756,80.528547,67.254537,294,1212,642,72.0179466666667,17.89713,17.89713,3.86397017254296
"DMWD","Dmwd",29.887776,27.06853,29.67058,274,1211,661,28.8756286666667,18.58709,18.58709,1.52527142452844
"DMXL1","Dmxl1",191.831398,131.66554,182.360067,627,2441,1509,168.619001666667,10.71528,10.71528,14.4784419720798
"DMXL2","Dmxl2",28.757324,36.330148,41.156624,1358,6049,3516,35.4146986666667,28.79012,28.79012,1.22237502456072
"DNA2","Dna2",1.134243,0.615673,0.684373,14,49,23,0.811429666666667,0.36589,0.36589,1.32619000553973
"DNAAF1","Dnaaf1",0.107705,0.014056,0.124791,2,1,5,0.082184,10.86163,10.86163,0.0912340040955585
"DNAAF2","Dnaaf2",0.482736,0.616441,0.58154,11,48,26,0.560239,3.94113,3.94113,0.315765624462421
"DNAAF3","Dnaaf3",0.418341,0.463918,0.584929,6,25,18,0.489062666666667,0.39725,0.39725,1.06570954851792
"DNAH1","Dnah1",0.944899,0.725669,1.045617,26,89,67,0.905395,2.2685,2.2685,0.582957013920759
"DNAH12","Dnah12",0.386639,0.06939,0.094614,8,22,17,0.183547666666667,0.06272,0.06272,1.11369661497541
"DNAH17","Dnah17",0.135338,0.356944,0.127115,2,25,13,0.206465666666667,1.30674,1.30674,0.523017620827083
"DNAH2","Dnah2",0.247392,0.154855,0.395556,5,58,39,0.265934333333333,0.05227,0.05227,1.20305086463867
"DNAH3","Dnah3",0.058717,0.156921,0.352188,5,24,24,0.189275333333333,0.05227,0.05227,1.13019979029463
"DNAH5","Dnah5",0.153664,0.176609,0.19812,17,74,47,0.176131,0.32407,0.32407,0.8882695023677
"DNAH8","Dnah8",0.299394,0.226476,0.471031,9,19,12,0.332300333333333,0.02091,0.02091,1.30501252150859
"DNAJA1","Dnaja1",175.37851,117.846636,120.49989,1592,4958,2935,137.908345333333,221.80104,221.80104,0.623463630750257
"DNAJA2","Dnaja2",123.39234,93.888568,94.746879,1091,3453,2071,104.009262333333,54.42316,54.42316,1.89468197651186
