"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.78435,0.78435,74.5060769094255
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,1.10062,1.10062,7.65671357345292
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.0506,0.0506,3.76748397740973
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,33.05648,33.05648,0.378780191023852
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,30.9185,30.9185,0.0487955261055501
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,1.44219,1.44219,3.09834083343229
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,93.07177,93.07177,0.0515230481294583
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,44.49278,44.49278,0.0492396302592778
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,11.91703,11.91703,2.25690464448871
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,14.34598,14.34598,0.541175995276939
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.06325,0.06325,0.940512579355749
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,7.66637,7.66637,0.239544776725049
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0,0,1.00916866666667
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,17.10385,17.10385,0.510769072140272
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,55.72667,55.72667,0.223373144707184
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,6.61636,6.61636,2.63671215646319
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.8223,0.8223,9.79779802081618
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,6.17358,6.17358,1.89440855658309
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,5.79406,5.79406,0.472421497602317
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.24036,0.24036,1.98734534060004
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.22771,0.22771,0.860966895005064
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,1.12592,1.12592,0.732803837083866
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,58.93997,58.93997,1.55401628217921
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.55663,0.55663,1.79086059842951
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,61.837,61.837,0.0546003893671987
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,0.64519,0.64519,2.39257877003061
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,4.75669,4.75669,5.28171750317167
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,69.59193,69.59193,0.377299822609563
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,31.47513,31.47513,0.188875702730058
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,44.60664,44.60664,0.508582873020244
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,71.80581,71.80581,0.736905117874521
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,34.68843,34.68843,0.954037456957339
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,31.91791,31.91791,7.1161053460968
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,14.34598,14.34598,2.15126261079449
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,2.97293,2.97293,4.8472430506788
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.06325,0.06325,0.97574668861196
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0,0,1.00591566666667
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,11.14533,11.14533,0.180112191270225
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,71.17327,71.17327,0.207281010453501
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,9.04531,9.04531,1.47028487257569
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,28.31244,28.31244,7.37205179780325
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,8.53927,8.53927,0.979615491192373
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,3.30185,3.30185,2.65002088248854
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,13.7514,13.7514,0.784156260874674
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,4.35187,4.35187,0.271672082219237
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,17.74904,17.74904,4.97817534479988
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0.0506,0.0506,0.959348626181864
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,18.11591,18.11591,0.75577038533173
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,11.79052,11.79052,4.54196800964047
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,10.93027,10.93027,3.03268299879215
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,29.64077,29.64077,0.681319583896445
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,6.11033,6.11033,2.6483153852681
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.37952,0.37952,49.7613650641769
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,24.88408,24.88408,2.48293668025546
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,57.51043,57.51043,0.550647955700662
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,1.26508,1.26508,0.927527504547301
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,13.83995,13.83995,1.16098232586139
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,3.52957,3.52957,1.62114321374141
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,752.16463,752.16463,0.0520796778963629
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,7.41336,7.41336,6.55981205289365
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,133.68077,133.68077,0.0895211469313696
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.17711,0.17711,0.863051598123087
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,99.67548,99.67548,0.753775391320045
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,26.17446,26.17446,0.0385681996992765
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,12.22065,12.22065,1.75343635398663
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,6.18623,6.18623,0.438609024945393
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,4.75669,4.75669,4.60045552797412
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,9.24772,9.24772,0.553069137980611
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,53.95557,53.95557,0.0249612308027497
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,464.92872,464.92872,0.0365744499859692
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,12.71403,12.71403,1.32763705003805
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,82.2427,82.2427,0.0369925531007524
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,36.26978,36.26978,0.0658697117789981
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,82.07824,82.07824,0.136298249296888
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,42.62047,42.62047,0.505854430270926
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,27.40158,27.40158,1.39474765136306
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,2.37835,2.37835,8.15146062426924
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,605.13729,605.13729,0.0855613013568813
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,4.26331,4.26331,1.21491741888659
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,53.39893,53.39893,3.08963774348748
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,1863.68724,1863.68724,0.0147316699609099
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.48073,0.48073,2.19609809575907
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,2.32774,2.32774,0.311551182884881
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,9.82965,9.82965,2.46118557232536
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,1020.66473,1020.66473,0.0402378782323238
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,7.69167,7.69167,3.12214131461503
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,32.47455,32.47455,0.386035490643887
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,76.06913,76.06913,0.496172959696487
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,51.90614,51.90614,0.697531842869908
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,0.13916,0.13916,1.40625138991304
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,14.88997,14.88997,0.320818562485224
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,1.115256
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.54398,0.54398,10.4760577641334
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,3.12474,3.12474,2.87363454019728
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,58.85142,58.85142,0.0295245626586637
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0,0,1.016068
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,1.63195,1.63195,1.54597288448995
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,7.31215,7.31215,0.871030319071079
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.20241,0.20241,65.1148144143844
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,105.63399,105.63399,0.530681671013155
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,22.50573,22.50573,3.37541610776039
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.18976,0.18976,0.899019410077103
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,76.4613,76.4613,0.123433508087264
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,389.11261,389.11261,0.746648687755398
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,5.59164,5.59164,0.178734629520625
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,13.32127,13.32127,1.66212163213644
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0,0,1.06280966666667
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,205.92936,205.92936,0.848241784861591
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,29.46366,29.46366,0.0840433924660836
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,1.16387,1.16387,0.924390405461819
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0,0,3.14355166666667
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,1.83436,1.83436,76.3288360217709
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,13.29597,13.29597,0.720955206257428
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,106.24123,106.24123,0.08079460980943
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,34.67578,34.67578,1.30068363840492
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,92.35068,92.35068,0.0154739526268046
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,7.42601,7.42601,2.05607343610242
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0,0,1.06107866666667
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,107.3545,107.3545,0.443942657357716
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,15.85142,15.85142,1.27237051833021
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,3.2639,3.2639,0.253961240491881
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,12.65078,12.65078,0.5393451021358
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0.46808,0.46808,0.888909323742575
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,1.01206,1.01206,3.14641130648854
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.13916,0.13916,0.888657431791847
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,136.09706,136.09706,0.835194571884571
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.16446,0.16446,0.870926151749881
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,23.65695,23.65695,0.68244668000976
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,9.56399,9.56399,0.778833597280321
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,696.3241,696.3241,0.0424784778460021
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,49.31273,49.31273,2.82600084842676
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,42.81023,42.81023,0.47497371428241
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,14.33333,14.33333,1.70332650072315
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,3.50427,3.50427,29.8700470886514
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.70844,0.70844,0.585329306267706
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0.51868,0.51868,0.676382560293588
"ACSM3","Acsm3",0.578683,7.953216,0.307985,1,9,5,2.946628,75.80346,75.80346,0.0513860703671423
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,1
"ACSM5","Acsm5",1.167392,0.530411,1.04196,16,37,32,0.913254333333333,1.12592,1.12592,0.899965348335466
"ACSS1","Acss1",6.481707,7.349056,11.038161,90,441,254,8.28964133333333,86.78433,86.78433,0.105823457709745
"ACSS2","Acss2",21.66178,26.37256,25.142039,306,1411,776,24.3921263333333,127.14031,127.14031,0.198158770907713
"ACSS3","Acss3",1.880805,1.868718,1.826704,43,165,88,1.85874233333333,33.436,33.436,0.0830160974948697
"ACTA1","Acta1",0.383569,0.39472,0.53884,2,13,10,0.439043,2743.75123,2743.75123,0.000524289044584926
"ACTA2","Acta2",10.206045,9.622577,10.670508,95,326,175,10.1663766666667,189.23033,189.23033,0.0586992445771748
"ACTB","Actb",1341.615807,1028.725086,1137.997089,2783,10848,6712,1169.445994,881.43027,881.43027,1.32638921600004
"ACTBL2","Actbl2",0,0.059496,0.105002,0,4,4,0.0548326666666667,0,0,1.05483266666667
"ACTC1","Actc1",0,0.029694,0,0,1,0,0.009898,12463.16647,12463.16647,8.10241103912342e-05
"ACTG1","Actg1",421.073874,536.035053,489.351942,3202,14564,7993,482.153623,170.15296,170.15296,2.82293466031788
"ACTG2","Actg2",0,0.312093,0.151151,0,9,2,0.154414666666667,4.54163,4.54163,0.208316806908196
"ACTL10","Actl10",0.106591,0.285117,0.45635,1,10,9,0.282686,0.08856,0.08856,1.17833284338943
"ACTL6A","Actl6a",12.522326,10.655135,12.492026,71,254,145,11.889829,42.96204,42.96204,0.293203613845035
"ACTL6B","Actl6b",25.579593,21.634274,24.562795,168,689,394,23.925554,0,0,24.925554
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0.053651,0,0,1,0.0178836666666667,0,0,1.01788366666667
"ACTL9","Actl9",0,0.032174,0.056975,0,1,1,0.0297163333333333,0,0,1.02971633333333
"ACTN1","Actn1",10.569857,10.026463,10.456415,149,708,399,10.3509116666667,35.48543,35.48543,0.311108068800797
"ACTN2","Actn2",2.203623,1.072808,0.807368,6,43,15,1.36126633333333,1533.36279,1533.36279,0.00153892309480037
"ACTN4","Actn4",32.219291,44.111705,43.53803,489,2007,1154,39.956342,49.46454,49.46454,0.811586551665784
"ACTR10","Actr10",127.846118,128.727641,140.774903,793,2806,1710,132.449554,210.81256,210.81256,0.63003607529223
"ACTR1A","Actr1a",63.964873,73.98816,62.283988,903,3941,2231,66.7456736666667,83.50778,83.50778,0.801650139983167
"ACTR1B","Actr1b",140.584729,140.358561,143.625242,1093,4643,2641,141.522844,20.64607,20.64607,6.58423649188975
"ACTR2","Actr2",57.821246,62.383079,68.380285,1378,5453,3425,62.8615366666667,93.84347,93.84347,0.673336147092327
"ACTR3","Actr3",76.499837,84.923628,88.497279,861,3061,1901,83.3069146666667,104.47012,104.47012,0.799344066989463
"ACTR3B","Actr3b",18.740312,20.622546,21.368132,228,950,549,20.2436633333333,13.92851,13.92851,1.42302636588202
"ACTR5","Actr5",3.392317,3.962584,3.518118,38,105,65,3.62433966666667,3.65607,3.65607,0.993185168321496
"ACTR6","Actr6",9.147979,11.692093,10.713922,76,303,182,10.517998,30.9944,30.9944,0.360000437576576
"ACTR8","Actr8",23.598822,27.016114,22.334226,287,987,584,24.3163873333333,19.38099,19.38099,1.24215689882255
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",1.216491,0.708266,0.872153,15,33,23,0.932303333333333,1.25243,1.25243,0.857874976506854
"ACVR1","Acvr1",10.71087,8.067406,8.633113,154,550,342,9.13712966666667,23.97322,23.97322,0.405920008179428
"ACVR1B","Acvr1b",14.511199,17.045267,17.419927,437,1953,1127,16.3254643333333,10.04472,10.04472,1.56866487636928
"ACVR1C","Acvr1c",2.05229,1.570526,2.263541,113,369,271,1.962119,0.0759,0.0759,2.75315456826843
"ACVR2A","Acvr2a",6.975064,6.161448,5.002539,201,720,402,6.04635033333333,7.17299,7.17299,0.862150857071076
"ACVR2B","Acvr2b",1.968819,1.95784,2.063383,30,126,62,1.99668066666667,0.0506,0.0506,2.85235167206041
"ACVRL1","Acvrl1",15.014036,19.879249,17.011901,86,373,192,17.3017286666667,13.16946,13.16946,1.29163204996285
"ACY1","Acy1",8.674023,13.234966,13.062822,36,200,117,11.6572703333333,5.02236,5.02236,2.1017126729942
"ACY3","Acy3",3.611599,3.53033,2.102148,18,73,30,3.081359,0,0,4.081359
"ACYP1","Acyp1",25.379229,24.505633,30.086442,72,259,177,26.6571013333333,40.39393,40.39393,0.668143888085363
"ACYP2","Acyp2",28.481269,22.98424,24.737602,117,346,213,25.401037,157.43893,157.43893,0.166632260139601
"ADA","Ada",0.484101,0.454674,0.643301,5,18,7,0.527358666666667,5.95852,5.95852,0.219494758463965
"ADAD1","Adad1",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ADAD2","Adad2",0,0.022048,0.039075,0,1,1,0.0203743333333333,0,0,1.02037433333333
"ADAL","Adal",11.435668,11.190203,12.850595,125,526,284,11.8254886666667,43.1518,43.1518,0.290486201393073
"ADAM10","Adam10",23.377228,20.262773,21.955765,685,2263,1463,21.8652553333333,30.8426,30.8426,0.71807124208869
"ADAM11","Adam11",55.795915,54.957369,54.606606,721,3269,1828,55.1199633333333,0.64519,0.64519,34.11153929536
"ADAM12","Adam12",0.307239,0.758381,0.820879,16,87,66,0.628833,0.08856,0.08856,1.49631899022562
"ADAM15","Adam15",49.965673,51.480704,45.129362,343,1554,811,48.8585796666667,10.82907,10.82907,4.21491965696937
"ADAM17","Adam17",5.421171,12.897747,12.973021,114,531,311,10.4306463333333,16.67372,16.67372,0.64675950130099
"ADAM18","Adam18",0.144031,0.133886,0,2,7,0,0.092639,0,0,1.092639
"ADAM19","Adam19",2.615182,3.013677,3.178297,114,472,256,2.93571866666667,8.9188,8.9188,0.396793832587275
"ADAM1A","Adam1a",2.787087,3.101342,3.349857,75,305,197,3.07942866666667,2.55546,2.55546,1.14737014807273
"ADAM1B","Adam1b",0.053602,0.035735,0,1,3,0,0.029779,5.26272,5.26272,0.164429992080119
"ADAM2","Adam2",0.1252,0.031196,0.165239,1,1,3,0.107211666666667,0,0,1.10721166666667
"ADAM20","Adam25",0.058434,0.015596,0,1,1,0,0.0246766666666667,0.21506,0.21506,0.843313636089301
"ADAM21","Adam21",0.209513,0.334237,0.368602,4,24,15,0.304117333333333,0.44278,0.44278,0.903892023269891
"ADAM22","Adam22",30.279681,45.37552,48.664399,1303,6041,3580,41.4398666666667,2.3657,2.3657,12.6095215457904
"ADAM23","Adam23",60.922865,74.252702,70.555705,1489,6187,3507,68.5770906666667,83.65959,83.65959,0.82184535345218
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0,0.146549,0,0,7,0,0.0488496666666667,3.2892,3.2892,0.244532702291026
"ADAM29","Adam29",0,0,0,0,0,0,0,0,0,1
"ADAM32","Adam32",0,0.580325,1.931946,0,8,8,0.837423666666667,0.54398,0.54398,1.19005665012932
"ADAM33","Adam33",0.836836,0.93188,2.04287,4,27,19,1.27052866666667,8.48867,8.48867,0.239288400446708
"ADAM3A","Adam3",0,0.360959,0,0,2,0,0.120319666666667,0,0,1.12031966666667
"ADAM5","Adam5",0,0.393045,0.227056,0,6,8,0.206700333333333,0,0,1.20670033333333
"ADAM7","Adam7",0,0,0.052884,0,0,1,0.017628,0,0,1.017628
"ADAM8","Adam8",2.366782,1.501168,0.438611,6,36,16,1.43552033333333,0.0253,0.0253,2.37542215286583
"ADAM9","Adam9",15.279117,15.16946,15.616793,380,1437,799,15.3551233333333,112.00998,112.00998,0.144722823004953
"ADAMDEC1","Adamdec1",0,0.033796,0,0,2,0,0.0112653333333333,0.08856,0.08856,0.928993655226476
"ADAMTS1","Adamts1",5.081839,4.830322,5.651011,114,478,353,5.187724,36.80111,36.80111,0.163691595299715
"ADAMTS10","Adamts10",17.667156,26.394146,23.52364,262,1217,708,22.528314,0.27832,0.27832,18.4056527317104
"ADAMTS12","Adamts12",0.016635,0.079186,0.046635,1,18,6,0.0474853333333333,1.32833,1.32833,0.44988697192122
"ADAMTS13","Adamts13",0.045027,0,0,1,0,0,0.015009,2.06208,2.06208,0.331476969902811
"ADAMTS15","Adamts15",1.139255,1.291551,1.899309,47,200,116,1.44337166666667,5.11091,5.11091,0.399837612837804
