"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,16.91372,21.94082,33.27512,24.04322,0.589759117770531
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,139.31873,160.19007,140.39784,146.635546666667,1.46369103430014
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,2.55114,2.18303,2.97138,2.56851666666667,2.61868376683122
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,100.62092,85.88421,147.54227,111.349133333333,0.101469339327347
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,17.4604,16.66286,17.12915,17.0841366666667,0.639643621361705
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,2.79963,4.11736,1.83527,2.91742,0.371150825458252
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,76.41823,54.02305,65.08639,65.17589,1.41042317174226
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,8.61424,10.05851,6.77301,8.48192,0.106296158021442
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,19.76305,20.08939,15.7964,18.5496133333333,0.739003806383894
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,9.04495,19.39856,10.05027,12.83126,4.20020538017987
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,36.0804,28.37937,21.43328,28.6310166666667,1.22104237620376
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,7.91847,8.78738,8.08391,8.26325333333333,2.25365278433495
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,19.4483,16.1931,16.18967,17.2770233333333,1.03027697617427
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,83.24335,93.48336,137.25167,104.65946,0.649698553573275
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,43.51847,43.99217,49.00597,45.5055366666667,1.38195441388663
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,73.75113,74.22297,58.16045,68.7115166666667,0.462171104678782
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,6.44411,3.67523,2.97138,4.36357333333333,0.391702297970507
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,25.67705,28.43464,26.69875,26.9368133333333,0.616710269030923
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,8.54797,5.94115,4.17305,6.22072333333333,1.01694543990745
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,67.88682,57.25614,45.24804,56.797,0.678661026235502
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,193.90317,178.5662,144.28686,172.252076666667,0.318553528449289
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,18.85193,25.06338,17.26024,20.39185,0.563615442329672
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.89456,2.68043,0.69915,1.42471333333333,0.418980113113028
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,299.60981,317.03652,304.52305,307.05646,0.246340230402353
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.14909,0.05527,0,0.06812,0.981228700895031
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,18.95132,11.68887,21.1711,17.27043,1.26880255874292
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,8.41545,8.04128,6.16125,7.53932666666667,0.369109352103484
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,115.24856,79.80489,91.19524,95.41623,0.274677783328941
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,6.80856,6.24512,9.94102,7.6649,0.654098450838055
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,99.64354,88.26067,80.7517,89.55197,0.0151488550350331
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,63.01646,61.15243,33.38436,52.51775,0.318419340623749
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,36.95839,37.99575,40.70358,38.5525733333333,0.460330461431418
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,20.49195,31.50193,31.19952,27.7311333333333,0.107178507867192
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,24.91503,22.63165,26.08699,24.5445566666667,0.0961046104147172
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,18.22243,17.18789,9.94102,15.1171133333333,0.70257113866958
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,43.56816,32.08223,31.52725,35.72588,0.600819040959672
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,27.96314,25.78184,27.98781,27.2442633333333,1.4025162041755
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,1.32527,1.63036,0.52436,1.15999666666667,12.7493192119124
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,52.48059,49.82279,36.42129,46.2415566666667,1.09780242211889
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,17.75858,19.89596,16.93251,18.1956833333333,0.333121092328918
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,15.12461,11.57834,8.215,11.6393166666667,13.2976324405723
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,850.20868,1070.84452,774.50407,898.51909,0.0305384925182633
