"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,16.18134,16.18134,0.859622551752851
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,147.18796,147.18796,1.45823470408797
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,1.72186,1.72186,3.43324662791865
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,73.3969,73.3969,0.153232088075354
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,11.78333,11.78333,0.904881800490691
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,2.28198,2.28198,0.443011129460468
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,50.39035,50.39035,1.81621663729993
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,4.23204,4.23204,0.192638371775955
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,9.37688,9.37688,1.39225264883729
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,4.41875,4.41875,10.7209472049212
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,21.57512,21.57512,1.60268149183703
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,4.89589,4.89589,3.54079819444845
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,33.79411,33.79411,0.54119494171092
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,42.59012,42.59012,1.57482471563128
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,26.90666,26.90666,2.30298185689963
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,41.15869,41.15869,0.764223192577062
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,5.29005,5.29005,0.334007519813038
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,41.69807,41.69807,0.4035058181006
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,4.06608,4.06608,1.4494602664519
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,28.96045,28.96045,1.30921168852048
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,57.71345,57.71345,0.939990076095568
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,20.45487,20.45487,0.561959918657163
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,1.24472,1.24472,0.452576119367523
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,149.67739,149.67739,0.50363693805244
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.26969,0.26969,0.825453457143082
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,10.60085,10.60085,1.99826463865435
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,5.91241,5.91241,0.455983561931849
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,51.5106,51.5106,0.504343815026553
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,17.65426,17.65426,0.30382859822189
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,79.76571,79.76571,0.0169844190890746
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,30.05995,30.05995,0.54865145200384
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,42.25819,42.25819,0.420897275945511
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,19.58357,19.58357,0.149602814283431
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,21.69959,21.69959,0.108149515769521
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,21.80332,21.80332,0.49656886219492
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,25.95238,25.95238,0.818688664971331
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,22.19748,22.19748,1.70764397684576
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,1.59739,1.59739,10.6023689164892
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,29.87324,29.87324,1.67983325797141
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,12.34346,12.34346,0.479222555469121
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,7.24011,7.24011,20.3969349114676
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,537.46943,537.46943,0.0510148867689666
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,1.57664,1.57664,1.26204216861235
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,64.37269,64.37269,0.0158592423431456
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,4.87515,4.87515,4.53669750275879
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,101.6935,101.6935,0.400313758903923
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,21.38841,21.38841,1.21208348426708
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,9.95775,9.95775,1.17928993938841
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,28.48331,28.48331,1.29699203832044
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,200.71085,200.71085,0.18295355620847
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,18.40109,18.40109,0.0825698624836714
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,17.9032,17.9032,0.269679066683595
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,1.115256
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,14.29352,14.29352,1.05762595312699
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,3.2985,3.2985,2.75747245163041
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.97503,0.97503,0.894714004344238
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.53938,0.53938,0.660050150060414
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.56012,0.56012,2.6080835662214
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,38.85596,38.85596,0.181657515379548
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,73.60435,73.60435,1.04946566788666
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,97.73114,97.73114,0.573159633323387
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,35.35,35.35,2.18271305823017
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.12447,0.12447,0.951219092846704
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,8.81676,8.81676,0.973979194764871
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,127.9778,127.9778,2.25835041637657
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,1.84633,1.84633,0.413920498794354
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,2.94583,2.94583,6.03261992195981
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0,0,1.06280966666667
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,33.44144,33.44144,5.09636442804559
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,8.81676,8.81676,0.260805941403613
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.53938,0.53938,1.29939369529724
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0,0,3.14355166666667
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,128.33047,128.33047,1.67279527915322
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,41.69807,41.69807,0.241386882357915
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,7.92471,7.92471,0.970845364536588
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,45.41148,45.41148,0.999815203767114
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,6.45179,6.45179,0.193846579144071
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,11.70035,11.70035,1.36409589761962
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.20745,0.20745,0.878776484878601
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,49.4983,49.4983,0.952570376956584
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,24.0853,24.0853,0.854733648790327
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,12.15675,12.15675,0.0823049258618833
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,6.14061,6.14061,1.03107176184294
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,1.05801,1.05801,0.634102846924942
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,2.86285,2.86285,1.63888536529592
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.82981,0.82981,0.553239407370164
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,36.98888,36.98888,3.01411150666546
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.47714,0.47714,0.686569090720356
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,20.97351,20.97351,0.765788154312473
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,41.9885,41.9885,0.19139049590782
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,43.06726,43.06726,0.672183074993393
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,28.00617,28.00617,4.90184735408593
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,10.72532,10.72532,1.77468143015855
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,6.67999,6.67999,3.40074236207773
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,16.26432,16.26432,7.79311070462086
"ACSM1","Acsm1",0,0,0,0,0,0,0,1.51441,1.51441,0.397707613316842
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0,0,1.02720866666667
"ACSM3","Acsm3",0.578683,7.953216,0.307985,1,9,5,2.946628,0.62236,0.62236,2.43264626839912
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,1
"ACSM5","Acsm5",1.167392,0.530411,1.04196,16,37,32,0.913254333333333,5.539,5.539,0.292591272875567
"ACSS1","Acss1",6.481707,7.349056,11.038161,90,441,254,8.28964133333333,29.04343,29.04343,0.309207082324932
"ACSS2","Acss2",21.66178,26.37256,25.142039,306,1411,776,24.3921263333333,60.70077,60.70077,0.411536619937374
"ACSS3","Acss3",1.880805,1.868718,1.826704,43,165,88,1.85874233333333,5.26931,5.26931,0.455989946793719
"ACTA1","Acta1",0.383569,0.39472,0.53884,2,13,10,0.439043,82.19291,82.19291,0.0172976639475648
"ACTA2","Acta2",10.206045,9.622577,10.670508,95,326,175,10.1663766666667,69.72498,69.72498,0.157884479665695
"ACTB","Actb",1341.615807,1028.725086,1137.997089,2783,10848,6712,1169.445994,3491.18631,3491.18631,0.335161383185194
"ACTBL2","Actbl2",0,0.059496,0.105002,0,4,4,0.0548326666666667,0,0,1.05483266666667
"ACTC1","Actc1",0,0.029694,0,0,1,0,0.009898,18.52556,18.52556,0.0517218456218413
"ACTG1","Actg1",421.073874,536.035053,489.351942,3202,14564,7993,482.153623,1159.14406,1159.14406,0.416460023938751
"ACTG2","Actg2",0,0.312093,0.151151,0,9,2,0.154414666666667,26.26356,26.26356,0.0423427705944002
"ACTL10","Actl10",0.106591,0.285117,0.45635,1,10,9,0.282686,0.74683,0.74683,0.734293548885696
"ACTL6A","Actl6a",12.522326,10.655135,12.492026,71,254,145,11.889829,67.56747,67.56747,0.187987525279845
"ACTL6B","Actl6b",25.579593,21.634274,24.562795,168,689,394,23.925554,40.0177,40.0177,0.607678002423344
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0.053651,0,0,1,0.0178836666666667,0.10373,0.10373,0.922221618209767
"ACTL9","Actl9",0,0.032174,0.056975,0,1,1,0.0297163333333333,0,0,1.02971633333333
"ACTN1","Actn1",10.569857,10.026463,10.456415,149,708,399,10.3509116666667,25.99387,25.99387,0.420499604786815
"ACTN2","Actn2",2.203623,1.072808,0.807368,6,43,15,1.36126633333333,64.70461,64.70461,0.035937605189854
"ACTN4","Actn4",32.219291,44.111705,43.53803,489,2007,1154,39.956342,796.8895,796.8895,0.0513308446846337
"ACTR10","Actr10",127.846118,128.727641,140.774903,793,2806,1710,132.449554,63.0035,63.0035,2.08503525588444
"ACTR1A","Actr1a",63.964873,73.98816,62.283988,903,3941,2231,66.7456736666667,75.76186,75.76186,0.882543409795785
"ACTR1B","Actr1b",140.584729,140.358561,143.625242,1093,4643,2641,141.522844,70.53405,70.53405,1.99237767189192
"ACTR2","Actr2",57.821246,62.383079,68.380285,1378,5453,3425,62.8615366666667,55.16177,55.16177,1.13709978632559
"ACTR3","Actr3",76.499837,84.923628,88.497279,861,3061,1901,83.3069146666667,37.94317,37.94317,2.16487036537258
"ACTR3B","Actr3b",18.740312,20.622546,21.368132,228,950,549,20.2436633333333,43.35769,43.35769,0.478917259517647
"ACTR5","Actr5",3.392317,3.962584,3.518118,38,105,65,3.62433966666667,9.43911,9.43911,0.442982176322183
"ACTR6","Actr6",9.147979,11.692093,10.713922,76,303,182,10.517998,18.31811,18.31811,0.596227995388783
"ACTR8","Actr8",23.598822,27.016114,22.334226,287,987,584,24.3163873333333,13.44296,13.44296,1.75285310859639
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",1.216491,0.708266,0.872153,15,33,23,0.932303333333333,0.26969,0.26969,1.52187016778374
"ACVR1","Acvr1",10.71087,8.067406,8.633113,154,550,342,9.13712966666667,9.12794,9.12794,1.00090735792932
"ACVR1B","Acvr1b",14.511199,17.045267,17.419927,437,1953,1127,16.3254643333333,11.99079,11.99079,1.33367288158252
"ACVR1C","Acvr1c",2.05229,1.570526,2.263541,113,369,271,1.962119,0.58087,0.58087,1.87372712493753
"ACVR2A","Acvr2a",6.975064,6.161448,5.002539,201,720,402,6.04635033333333,8.40185,8.40185,0.749464236648461
"ACVR2B","Acvr2b",1.968819,1.95784,2.063383,30,126,62,1.99668066666667,0.85056,0.85056,1.61933720963744
"ACVRL1","Acvrl1",15.014036,19.879249,17.011901,86,373,192,17.3017286666667,11.2647,11.2647,1.49222799307498
"ACY1","Acy1",8.674023,13.234966,13.062822,36,200,117,11.6572703333333,14.97811,14.97811,0.792163174075866
"ACY3","Acy3",3.611599,3.53033,2.102148,18,73,30,3.081359,14.35575,14.35575,0.26578701789232
"ACYP1","Acyp1",25.379229,24.505633,30.086442,72,259,177,26.6571013333333,32.25895,32.25895,0.831568685521742
"ACYP2","Acyp2",28.481269,22.98424,24.737602,117,346,213,25.401037,455.27652,455.27652,0.057861923291604
"ADA","Ada",0.484101,0.454674,0.643301,5,18,7,0.527358666666667,13.42221,13.42221,0.105903233045883
"ADAD1","Adad1",0,0,0,0,0,0,0,0,0,1
"ADAD2","Adad2",0,0.022048,0.039075,0,1,1,0.0203743333333333,2.09528,2.09528,0.329654936979315
"ADAL","Adal",11.435668,11.190203,12.850595,125,526,284,11.8254886666667,6.32732,6.32732,1.75036557249672
"ADAM10","Adam10",23.377228,20.262773,21.955765,685,2263,1463,21.8652553333333,25.70344,25.70344,0.856266283794647
"ADAM11","Adam11",55.795915,54.957369,54.606606,721,3269,1828,55.1199633333333,19.9155,19.9155,2.68317579466584
"ADAM12","Adam12",0.307239,0.758381,0.820879,16,87,66,0.628833,1.95006,1.95006,0.552135549785428
"ADAM15","Adam15",49.965673,51.480704,45.129362,343,1554,811,48.8585796666667,157.24943,157.24943,0.315063249622237
"ADAM17","Adam17",5.421171,12.897747,12.973021,114,531,311,10.4306463333333,11.9493,11.9493,0.882723107297949
"ADAM18","Adam18",0.144031,0.133886,0,2,7,0,0.092639,0,0,1.092639
"ADAM19","Adam19",2.615182,3.013677,3.178297,114,472,256,2.93571866666667,4.56397,4.56397,0.707357995579895
"ADAM1A","Adam1a",2.787087,3.101342,3.349857,75,305,197,3.07942866666667,1.5559,1.5559,1.59608304967591
"ADAM1B","Adam1b",0.053602,0.035735,0,1,3,0,0.029779,0.37342,0.37342,0.74979176071413
"ADAM2","Adam2",0.1252,0.031196,0.165239,1,1,3,0.107211666666667,1.34844,1.34844,0.471466874464183
"ADAM20","Adam25",0.058434,0.015596,0,1,1,0,0.0246766666666667,0,0,1.02467666666667
"ADAM21","Adam21",0.209513,0.334237,0.368602,4,24,15,0.304117333333333,0.41491,0.41491,0.921696315195548
"ADAM22","Adam22",30.279681,45.37552,48.664399,1303,6041,3580,41.4398666666667,21.4299,21.4299,1.89211127408801
"ADAM23","Adam23",60.922865,74.252702,70.555705,1489,6187,3507,68.5770906666667,13.42221,13.42221,4.82430159224326
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0,0.146549,0,0,7,0,0.0488496666666667,18.21438,18.21438,0.054586703638976
"ADAM29","Adam29",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ADAM32","Adam32",0,0.580325,1.931946,0,8,8,0.837423666666667,8.92048,8.92048,0.185215197920531
"ADAM33","Adam33",0.836836,0.93188,2.04287,4,27,19,1.27052866666667,7.98694,7.98694,0.252647582677381
"ADAM3A","Adam3",0,0.360959,0,0,2,0,0.120319666666667,0.74683,0.74683,0.641344416266418
"ADAM5","Adam5",0,0.393045,0.227056,0,6,8,0.206700333333333,0,0,1.20670033333333
"ADAM7","Adam7",0,0,0.052884,0,0,1,0.017628,0,0,1.017628
"ADAM8","Adam8",2.366782,1.501168,0.438611,6,36,16,1.43552033333333,7.5098,7.5098,0.286201830046926
"ADAM9","Adam9",15.279117,15.16946,15.616793,380,1437,799,15.3551233333333,17.84096,17.84096,0.868062101577273
"ADAMDEC1","Adamdec1",0,0.033796,0,0,2,0,0.0112653333333333,0.12447,0.12447,0.899326201084363
"ADAMTS1","Adamts1",5.081839,4.830322,5.651011,114,478,353,5.187724,17.15637,17.15637,0.340801823271943
"ADAMTS10","Adamts10",17.667156,26.394146,23.52364,262,1217,708,22.528314,7.03266,7.03266,2.92908127569199
"ADAMTS12","Adamts12",0.016635,0.079186,0.046635,1,18,6,0.0474853333333333,2.6554,2.6554,0.28655833378928
"ADAMTS13","Adamts13",0.045027,0,0,1,0,0,0.015009,7.07415,7.07415,0.125710941709034
