"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,4.06608,4.06608,2.09887000073693
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,28.96045,28.96045,0.668247372786457
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,57.71345,57.71345,1.9974219024772
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,20.45487,20.45487,0.279119752298662
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.24472,1.24472,0.448889987763878
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,149.67739,149.67739,0.676044028016855
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.26969,0.26969,0.863038221928187
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,10.60085,10.60085,3.5657098114937
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,5.91241,5.91241,0.409908121769397
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,51.5106,51.5106,0.431428079917833
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,17.65426,17.65426,0.169908285471165
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,79.76571,79.76571,0.0181040072575354
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,30.05995,30.05995,0.490981623172821
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,42.25819,42.25819,0.344977625431546
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,19.58357,19.58357,0.100800573790973
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,21.69959,21.69959,0.0988629163199276
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,21.80332,21.80332,0.392052122234833
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,25.95238,25.95238,0.442654575712176
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,22.19748,22.19748,1.09755286637457
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,1.59739,1.59739,6.43184889446714
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,29.87324,29.87324,1.36114044611666
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,12.34346,12.34346,0.347624479208042
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,7.24011,7.24011,14.3617779374304
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,537.46943,537.46943,0.0353165855054514
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,1.57664,1.57664,0.606740949453552
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,64.37269,64.37269,0.016757405373202
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,4.87515,4.87515,7.54738364126873
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,101.6935,101.6935,0.371350870957428
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,21.38841,21.38841,0.915882563046386
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,9.95775,9.95775,0.863071494300077
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,28.48331,28.48331,1.01603603304152
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,200.71085,200.71085,0.16930986112051
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,18.40109,18.40109,0.0744533769322583
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,17.9032,17.9032,0.146607435072721
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,1.063928
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,14.29352,14.29352,0.944397082337269
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,3.2985,3.2985,1.26541793648947
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.97503,0.97503,0.726497319028065
"ACE3P","Ace3",0.03383,0.034681,0,1,1,0,0.022837,0,0,1.022837
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.53938,0.53938,0.66042411013958
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.56012,0.56012,3.04415280021195
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,38.85596,38.85596,0.138805823102325
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,73.60435,73.60435,0.560087975209667
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,97.73114,97.73114,0.6169435634323
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,35.35,35.35,1.18208069692801
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.12447,0.12447,1.06471730385574
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,8.81676,8.81676,0.882687091599808
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,127.9778,127.9778,1.7637988889044
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,1.84633,1.84633,0.56817679842698
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,2.94583,2.94583,3.63255538125059
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0,0,1.19010033333333
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,33.44144,33.44144,4.1502145380681
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,8.81676,8.81676,0.259681402010439
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.53938,0.53938,1.60970455637984
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0,0,2.73399466666667
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,128.33047,128.33047,0.966143966950196
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,41.69807,41.69807,0.200955734064795
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,7.92471,7.92471,1.0845782850834
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,45.41148,45.41148,0.99038633688619
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,6.45179,6.45179,0.155097455331761
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,11.70035,11.70035,1.0572571097122
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0.20745,0.20745,0.856710146727953
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,49.4983,49.4983,0.744679306036045
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,24.0853,24.0853,0.827200272669651
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,12.15675,12.15675,0.0807605221654284
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,6.14061,6.14061,1.3774682181681
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,1.05801,1.05801,0.855659593490799
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,2.86285,2.86285,1.21836795802754
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,0.82981,0.82981,0.579651985725294
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,36.98888,36.98888,1.49877307956083
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.47714,0.47714,0.705326960658209
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,20.97351,20.97351,0.472935093209961
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,41.9885,41.9885,0.125840546502747
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,43.06726,43.06726,0.631556594775048
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,28.00617,28.00617,4.40195415894848
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,10.72532,10.72532,3.32171900923244
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,6.67999,6.67999,9.11165995441834
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,16.26432,16.26432,4.58490791026425
"ACSM1","Acsm1",0,0,0,0,0,0,0,1.51441,1.51441,0.397707613316842
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0,0,1.04364266666667
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,0.62236,0.62236,2.25688996277029
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0,0,1.00614733333333
"ACSM5","Acsm5",0.163657,0.030481,0.29587,6,1,12,0.163336,5.539,5.539,0.177907325279095
"ACSS1","Acss1",6.028145,10.007418,9.563296,250,241,508,8.532953,29.04343,29.04343,0.317305747046859
"ACSS2","Acss2",18.71586,17.12475,17.603764,521,478,980,17.8147913333333,60.70077,60.70077,0.304936086427014
"ACSS3","Acss3",0.270661,0.365425,0.567388,7,19,39,0.401158,5.26931,5.26931,0.223494770556887
"ACTA1","Acta1",2.92908,4.247516,2.921494,52,74,99,3.36603,82.19291,82.19291,0.0524807943369213
"ACTA2","Acta2",9.888823,10.858859,14.812093,171,196,448,11.8532583333333,69.72498,69.72498,0.181735764836319
"ACTB","Actb",1338.442156,1336.811776,1222.922158,6581,7424,12805,1299.39203,3491.18631,3491.18631,0.372371893869546
"ACTBL2","Actbl2",0.026725,0,0,1,0,0,0.00890833333333333,0,0,1.00890833333333
"ACTC1","Actc1",0.054823,0,0.057199,1,0,2,0.0373406666666667,18.52556,18.52556,0.0531273196091004
"ACTG1","Actg1",533.854181,697.997865,581.991909,8440,9587,17032,604.614651666667,1159.14406,1159.14406,0.522016767182057
"ACTG2","Actg2",0.143131,0.14681,0.401161,1,2,5,0.230367333333333,26.26356,26.26356,0.0451286381284518
"ACTL10","Actl10",0.952299,0.600651,0.862865,17,11,31,0.805271666666667,0.74683,0.74683,1.03345584096144
"ACTL6A","Actl6a",7.557008,12.276269,9.663815,94,111,225,9.832364,67.56747,67.56747,0.15798109511697
"ACTL6B","Actl6b",35.86115,41.196074,36.374725,535,582,1108,37.8106496666667,40.0177,40.0177,0.946192733055892
"ACTL7A","Actl7a",0,0.053803,0,0,1,0,0.0179343333333333,0,0,1.01793433333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.10373,0.10373,0.906018682105225
"ACTL9","Actl9",0.059117,0,0.031171,1,0,1,0.030096,0,0,1.030096
"ACTN1","Actn1",33.864388,28.934032,31.956368,1209,985,2176,31.5849293333333,25.99387,25.99387,1.20712329626442
"ACTN2","Actn2",14.886157,16.737765,16.669772,268,326,649,16.097898,64.70461,64.70461,0.260223719461998
"ACTN4","Actn4",52.979119,53.63751,54.046956,1411,1322,2613,53.5545283333333,796.8895,796.8895,0.0683735383575462
"ACTR10","Actr10",84.074177,92.426345,91.04317,1205,1246,2205,89.1812306666667,63.0035,63.0035,1.40900467422354
"ACTR1A","Actr1a",61.70184,72.684492,56.340866,1804,1946,3202,63.5757326666667,75.76186,75.76186,0.841247628270949
"ACTR1B","Actr1b",122.146702,131.986356,134.627942,2618,2671,4864,129.587,70.53405,70.53405,1.82552225129152
"ACTR2","Actr2",82.532384,89.852759,78.117374,4076,4260,7172,83.500839,55.16177,55.16177,1.50459714855853
"ACTR3","Actr3",100.782284,100.575295,99.81557,2076,2089,3710,100.391049666667,37.94317,37.94317,2.60356436485953
"ACTR3B","Actr3b",35.603748,43.533124,39.755446,899,1078,1897,39.6307726666667,43.35769,43.35769,0.915980355754925
"ACTR5","Actr5",3.346304,4.096994,3.535604,57,52,114,3.659634,9.43911,9.43911,0.446363147816241
"ACTR6","Actr6",11.04082,13.233711,10.107169,169,164,304,11.4605666666667,18.31811,18.31811,0.645019966584033
"ACTR8","Actr8",25.990056,22.990452,25.147238,455,467,887,24.7092486666667,13.44296,13.44296,1.78005399631839
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.35505,0.280845,0.226752,9,7,11,0.287549,0.26969,0.26969,1.01406563806914
"ACVR1","Acvr1",8.108536,7.904635,7.087214,302,294,527,7.70012833333333,9.12794,9.12794,0.859022499475049
"ACVR1B","Acvr1b",22.098817,24.174792,22.678394,1369,1472,2693,22.984001,11.99079,11.99079,1.84623113759825
"ACVR1C","Acvr1c",4.522133,4.713695,3.983638,581,544,966,4.40648866666667,0.58087,0.58087,3.41994513569532
"ACVR2A","Acvr2a",10.208157,11.71447,10.380043,641,648,1136,10.7675566666667,8.40185,8.40185,1.25162140075269
"ACVR2B","Acvr2b",2.233509,2.60413,3.419332,66,52,137,2.75232366666667,0.85056,0.85056,2.02766928209119
"ACVRL1","Acvrl1",28.495335,18.946416,20.66065,237,213,454,22.7008003333333,11.2647,11.2647,1.9324402825453
"ACY1","Acy1",9.571324,11.354607,9.093965,86,100,183,10.006632,14.97811,14.97811,0.688856942404327
"ACY3","Acy3",1.109291,1.666564,0.839006,10,23,24,1.20495366666667,14.35575,14.35575,0.143591401700774
"ACYP1","Acyp1",17.566235,16.39642,14.898027,103,92,163,16.286894,32.25895,32.25895,0.519766679344958
"ACYP2","Acyp2",15.543694,11.705775,12.407704,133,94,194,13.2190576666667,455.27652,455.27652,0.0311632465038233
"ADA","Ada",0.649475,0.560006,0.317154,14,8,13,0.508878333333333,13.42221,13.42221,0.104621852915284
"ADAD1","Adad1",0,0,0,0,0,0,0,0,0,1
"ADAD2","Adad2",0,0,0.042343,0,0,2,0.0141143333333333,2.09528,2.09528,0.3276325028215
"ADAL","Adal",7.830871,6.978128,7.524622,200,170,354,7.44454033333333,6.32732,6.32732,1.15247325534211
"ADAM10","Adam10",16.60468,18.415744,16.296354,1050,1158,2005,17.1055926666667,25.70344,25.70344,0.678024728898848
"ADAM11","Adam11",31.053563,30.269436,31.879236,994,1157,2081,31.0674116666667,19.9155,19.9155,1.53318886312384
"ADAM12","Adam12",1.197992,0.537611,0.889221,69,50,141,0.874941333333333,1.95006,1.95006,0.635560406680994
"ADAM15","Adam15",42.157036,42.000058,53.519479,670,676,1402,45.892191,157.24943,157.24943,0.296318230024588
"ADAM17","Adam17",9.399549,5.108095,9.676901,221,176,382,8.061515,11.9493,11.9493,0.699768713366746
"ADAM18","Adam18",0.348735,0.325276,1.454176,10,10,15,0.709395666666667,0,0,1.70939566666667
"ADAM19","Adam19",3.196038,2.621631,2.697094,233,235,395,2.83825433333333,4.56397,4.56397,0.689840946901823
"ADAM1A","Adam1a",3.49633,2.379589,3.362294,190,129,360,3.07940433333333,1.5559,1.5559,1.59607352921997
"ADAM1B","Adam1b",0.090653,0.095105,0.100435,4,4,9,0.0953976666666667,0.37342,0.37342,0.797569328149195
"ADAM2","Adam2",0,0,0.089934,0,0,3,0.029978,1.34844,1.34844,0.438579652875952
"ADAM20","Adam25",0,0,0,0,0,0,0,0,0,1
"ADAM21","Adam21",0.20328,0.155304,0.265859,8,6,20,0.208147666666667,0.41491,0.41491,0.853868915101785
"ADAM22","Adam22",40.637208,42.956179,45.10655,3088,3283,6181,42.899979,21.4299,21.4299,1.95720796793566
"ADAM23","Adam23",50.975901,56.737387,44.313727,1885,2181,3830,50.6756716666667,13.42221,13.42221,3.58306193479825
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.151852,0.079236,0.155724,2,3,8,0.128937333333333,18.21438,18.21438,0.0587548145364739
"ADAM29","Adam29",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ADAM32","Adam32",1.43203,0.563668,0.088941,2,2,5,0.694879666666667,8.92048,8.92048,0.170846538339543
"ADAM33","Adam33",1.9498,1.41936,2.388925,45,38,86,1.91936166666667,7.98694,7.98694,0.324844904568926
"ADAM3A","Adam3",0.029978,0.030545,0.015685,1,1,1,0.0254026666666667,0.74683,0.74683,0.58700770347811
"ADAM5","Adam5",0.108981,0.2155,0.095015,3,2,5,0.139832,0,0,1.139832
"ADAM7","Adam7",0,0.055535,0.057108,0,1,4,0.0375476666666667,0,0,1.03754766666667
"ADAM8","Adam8",2.33144,1.427531,2.085774,34,21,57,1.94824833333333,7.5098,7.5098,0.346453304817191
"ADAM9","Adam9",16.026197,14.423145,12.933197,751,695,1247,14.4608463333333,17.84096,17.84096,0.82059758809176
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"ADAMTS1","Adamts1",1.475477,2.232718,1.469624,99,108,169,1.72593966666667,17.15637,17.15637,0.150136820667714
"ADAMTS10","Adamts10",4.931463,5.730022,9.436422,182,161,391,6.69930233333333,7.03266,7.03266,0.958499716573754
"ADAMTS12","Adamts12",0.016006,0.040975,0.022189,2,5,4,0.02639,2.6554,2.6554,0.28078732833616
