"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,4.43791,4.43791,0.398614663844504
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.18621,0.18621,0.84574794232612
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,28.7688,28.7688,0.267521622190571
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,9.12409,9.12409,0.855151162557162
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,16.97577,16.97577,1.21170130681467
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,19.58265,19.58265,0.789837395411507
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,4.2517,4.2517,2.14199383056915
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,35.25497,35.25497,0.073911797472181
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.83793,0.83793,0.792695405519615
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.83793,0.83793,0.590265679324022
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,9.86891,9.86891,0.168673552975107
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,21.22747,21.22747,5.12044479196238
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.48965,1.48965,0.559492699777077
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,2.14137,2.14137,0.776351613043566
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,6.26893,6.26893,0.525769175564125
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.62069,0.62069,13.8896881369458
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,22.4378,22.4378,0.872522549044705
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,114.29935,114.29935,0.0448876048882033
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,12.13441,12.13441,1.6649207945643
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,29.32742,29.32742,1.36100200192873
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,13.28268,13.28268,1.98746817824106
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,52.78936,52.78936,3.12376502217787
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,10.27236,10.27236,1.75734483876195
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,26.44123,26.44123,0.703650310135515
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.06207,0.06207,0.957350582667181
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0,0,1.01655733333333
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,8.37926,8.37926,0.190209782008389
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,12.59993,12.59993,0.578989671270367
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,12.19648,12.19648,1.1359195027765
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,242.09863,242.09863,0.958863109731772
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,2.0793,2.0793,2.63597170352569
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,68.67892,68.67892,0.248560047524655
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,19.67575,19.67575,0.355809422471575
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,2.48274,2.48274,0.388628015106879
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,94.22016,94.22016,0.444010533063586
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,4.31377,4.31377,0.188190305564599
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,5.2448,5.2448,3.35879558459305
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,7.97582,7.97582,3.35844338827353
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,24.02055,24.02055,1.0480276945684
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,29.73087,29.73087,0.520557265924026
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,34.57222,34.57222,0.494311028849666
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,21.91022,21.91022,2.86944462631379
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,28.64467,28.64467,2.76920125382854
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,34.38601,34.38601,1.94994942916706
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,12.78613,12.78613,0.308328201363738
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,29.04811,29.04811,0.520322964295148
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,3.69308,3.69308,2.26568550575173
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,41.71011,41.71011,0.468764702315213
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,26.78261,26.78261,4.22118479869242
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,56.73071,56.73071,0.103731237672289
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.36551,1.36551,0.42596832536465
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,123.85792,123.85792,0.815843717936889
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.06207,0.06207,1.03175026128221
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,5.05859,5.05859,6.82753985113148
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,4.43791,4.43791,0.52105551581398
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,48.9411,48.9411,0.453625317290435
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,42.02045,42.02045,0.0736745741463265
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,75.50647,75.50647,0.0191118868770184
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,75.22716,75.22716,0.200058150751867
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,32.49292,32.49292,0.445560066625026
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,5.52411,5.52411,0.318025855889411
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,18.43438,18.43438,0.11547307743631
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,18.15507,18.15507,0.46672186528162
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,12.44476,12.44476,0.887378750779734
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,16.85163,16.85163,1.4262261018555
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,1.24137,1.24137,7.45348603755739
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,40.59287,40.59287,1.01033700407466
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,15.76543,15.76543,0.276671301203329
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,5.80342,5.80342,17.3945794909031
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,558.18304,558.18304,0.0340083663243196
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,2.23447,2.23447,0.483341320216295
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,87.42364,87.42364,0.012388956919967
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,12.22752,12.22752,3.35225431524579
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,92.14086,92.14086,0.409437068400127
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,32.58602,32.58602,0.610526473018635
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,12.25855,12.25855,0.713299845508496
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,44.13078,44.13078,0.663762189205091
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,167.8025,167.8025,0.202317122080538
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,9.15512,9.15512,0.142241220848859
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,16.07577,16.07577,0.162297200458115
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,1.063928
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,14.86543,14.86543,0.910353874220029
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,5.30687,5.30687,0.862456178738423
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.0931,0.0931,1.31264660140884
"ACE3P","Ace3",0.03383,0.034681,0,1,1,0,0.022837,0,0,1.022837
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0,0,1.01664366666667
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,2.94826,2.94826,1.20287004064238
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,43.29286,43.29286,0.124901379891326
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,34.35498,34.35498,1.18187025797592
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,77.08922,77.08922,0.780024968021621
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,28.27225,28.27225,1.4678965003829
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.34138,0.34138,0.89254548798004
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,7.69651,7.69651,0.996391349326722
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,73.39614,73.39614,3.05783203716394
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,1.36551,1.36551,0.683665960687829
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,1.61378,1.61378,5.48379970770302
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0,0,1.19010033333333
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,37.45841,37.45841,3.71672580847726
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,7.4172,7.4172,0.302859620776505
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.65172,0.65172,1.50022219262345
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.37241,0.37241,1.99211217250433
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,54.80659,54.80659,2.2390160970834
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,44.47216,44.47216,0.188696160463897
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,12.19648,12.19648,0.733494588455912
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,43.5101,43.5101,1.03269360587073
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,11.35856,11.35856,0.0935184735654208
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,11.85511,11.85511,1.04452901090176
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0,0,1.03443466666667
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,54.83762,54.83762,0.673471380048075
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,24.85848,24.85848,0.802466618300844
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,37.21013,37.21013,0.0278079661074171
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,6.70341,6.70341,1.27683238115761
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,1.05517,1.05517,0.856842013069478
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,2.88619,2.88619,1.21105058339059
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,1.86206,1.86206,0.370590763296367
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,144.6509,144.6509,0.390912178823932
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,1.45861,1.45861,0.423762478256684
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,25.57227,25.57227,0.391086045716079
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,30.53776,30.53776,0.171530772424336
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,69.45478,69.45478,0.395018885399495
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,27.62053,27.62053,4.46126716265096
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,11.26545,11.26545,3.17544145003513
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,6.39307,6.39307,9.46527725739555
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,6.70341,6.70341,10.2753608250545
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,1
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0.31034,0.31034,0.796467074703258
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,2.94826,2.94826,0.927367498594318
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0,0,1.00614733333333
"ACSM5","Acsm5",0.163657,0.030481,0.29587,6,1,12,0.163336,13.62406,13.62406,0.0795494548025651
"ACSS1","Acss1",6.028145,10.007418,9.563296,250,241,508,8.532953,11.762,11.762,0.746979548660085
"ACSS2","Acss2",18.71586,17.12475,17.603764,521,478,980,17.8147913333333,32.46188,32.46188,0.562275381219864
"ACSS3","Acss3",0.270661,0.365425,0.567388,7,19,39,0.401158,10.33442,10.33442,0.123619735284205
"ACTA1","Acta1",2.92908,4.247516,2.921494,52,74,99,3.36603,95.18222,95.18222,0.0453933169768799
"ACTA2","Acta2",9.888823,10.858859,14.812093,171,196,448,11.8532583333333,176.80245,176.80245,0.072289545691487
"ACTB","Actb",1338.442156,1336.811776,1222.922158,6581,7424,12805,1299.39203,3982.32224,3982.32224,0.326459159377475
"ACTBL2","Actbl2",0.026725,0,0,1,0,0,0.00890833333333333,0.06207,0.06207,0.949945232737327
"ACTC1","Actc1",0.054823,0,0.057199,1,0,2,0.0373406666666667,18.06197,18.06197,0.0544193840755529
"ACTG1","Actg1",533.854181,697.997865,581.991909,8440,9587,17032,604.614651666667,1354.27508,1354.27508,0.446857365418884
"ACTG2","Actg2",0.143131,0.14681,0.401161,1,2,5,0.230367333333333,42.08252,42.08252,0.028558388258935
"ACTL10","Actl10",0.952299,0.600651,0.862865,17,11,31,0.805271666666667,0.62069,0.62069,1.11389079137075
"ACTL6A","Actl6a",7.557008,12.276269,9.663815,94,111,225,9.832364,96.95117,96.95117,0.110589429406509
"ACTL6B","Actl6b",35.86115,41.196074,36.374725,535,582,1108,37.8106496666667,9.34133,9.34133,3.75296501191497
"ACTL7A","Actl7a",0,0.053803,0,0,1,0,0.0179343333333333,0.40345,0.40345,0.725308584796988
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.31034,0.31034,0.76316070638155
"ACTL9","Actl9",0.059117,0,0.031171,1,0,1,0.030096,0,0,1.030096
"ACTN1","Actn1",33.864388,28.934032,31.956368,1209,985,2176,31.5849293333333,34.13774,34.13774,0.927348467298504
"ACTN2","Actn2",14.886157,16.737765,16.669772,268,326,649,16.097898,55.02383,55.02383,0.305189738009701
"ACTN4","Actn4",52.979119,53.63751,54.046956,1411,1322,2613,53.5545283333333,726.69933,726.69933,0.0749685015284174
"ACTR10","Actr10",84.074177,92.426345,91.04317,1205,1246,2205,89.1812306666667,66.44445,66.44445,1.33711863120934
"ACTR1A","Actr1a",61.70184,72.684492,56.340866,1804,1946,3202,63.5757326666667,66.07204,66.07204,0.962781699597428
"ACTR1B","Actr1b",122.146702,131.986356,134.627942,2618,2671,4864,129.587,44.81354,44.81354,2.85040186809402
"ACTR2","Actr2",82.532384,89.852759,78.117374,4076,4260,7172,83.500839,57.28933,57.28933,1.44967936670399
"ACTR3","Actr3",100.782284,100.575295,99.81557,2076,2089,3710,100.391049666667,51.64109,51.64109,1.92608188140988
"ACTR3B","Actr3b",35.603748,43.533124,39.755446,899,1078,1897,39.6307726666667,18.93093,18.93093,2.03857886544515
"ACTR5","Actr5",3.346304,4.096994,3.535604,57,52,114,3.659634,4.2517,4.2517,0.887262029438087
"ACTR6","Actr6",11.04082,13.233711,10.107169,169,164,304,11.4605666666667,17.22404,17.22404,0.683743377794752
"ACTR8","Actr8",25.990056,22.990452,25.147238,455,467,887,24.7092486666667,20.32747,20.32747,1.2054523422922
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0.34138,0.34138,0.745500902056091
"ACTRT3","Actrt3",0.35505,0.280845,0.226752,9,7,11,0.287549,0.74482,0.74482,0.737926548297246
"ACVR1","Acvr1",8.108536,7.904635,7.087214,302,294,527,7.70012833333333,14.33785,14.33785,0.567232586922765
"ACVR1B","Acvr1b",22.098817,24.174792,22.678394,1369,1472,2693,22.984001,8.5034,8.5034,2.52372845507923
"ACVR1C","Acvr1c",4.522133,4.713695,3.983638,581,544,966,4.40648866666667,0.49655,0.49655,3.61263483790496
"ACVR2A","Acvr2a",10.208157,11.71447,10.380043,641,648,1136,10.7675566666667,2.94826,2.94826,2.98044117324256
"ACVR2B","Acvr2b",2.233509,2.60413,3.419332,66,52,137,2.75232366666667,0.24827,0.24827,3.0060192639947
"ACVRL1","Acvrl1",28.495335,18.946416,20.66065,237,213,454,22.7008003333333,17.75162,17.75162,1.26393348059172
"ACY1","Acy1",9.571324,11.354607,9.093965,86,100,183,10.006632,20.60678,20.60678,0.509406399287631
"ACY3","Acy3",1.109291,1.666564,0.839006,10,23,24,1.20495366666667,10.92408,10.92408,0.184916041041881
"ACYP1","Acyp1",17.566235,16.39642,14.898027,103,92,163,16.286894,30.01017,30.01017,0.557458859464492
"ACYP2","Acyp2",15.543694,11.705775,12.407704,133,94,194,13.2190576666667,605.10691,605.10691,0.0234596527973368
"ADA","Ada",0.649475,0.560006,0.317154,14,8,13,0.508878333333333,4.03446,4.03446,0.29971006489938
"ADAD1","Adad1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAD2","Adad2",0,0,0.042343,0,0,2,0.0141143333333333,1.14827,1.14827,0.472060929647267
"ADAL","Adal",7.830871,6.978128,7.524622,200,170,354,7.44454033333333,8.5965,8.5965,0.879960436964865
"ADAM10","Adam10",16.60468,18.415744,16.296354,1050,1158,2005,17.1055926666667,30.755,30.755,0.570165097359996
"ADAM11","Adam11",31.053563,30.269436,31.879236,994,1157,2081,31.0674116666667,4.84135,4.84135,5.48972611924755
"ADAM12","Adam12",1.197992,0.537611,0.889221,69,50,141,0.874941333333333,0.55862,0.55862,1.20294961782431
"ADAM15","Adam15",42.157036,42.000058,53.519479,670,676,1402,45.892191,204.26781,204.26781,0.228443958163728
"ADAM17","Adam17",9.399549,5.108095,9.676901,221,176,382,8.061515,13.22061,13.22061,0.637210007165656
"ADAM18","Adam18",0.348735,0.325276,1.454176,10,10,15,0.709395666666667,0,0,1.70939566666667
"ADAM19","Adam19",3.196038,2.621631,2.697094,233,235,395,2.83825433333333,3.28964,3.28964,0.894773065649643
"ADAM1A","Adam1a",3.49633,2.379589,3.362294,190,129,360,3.07940433333333,0.80689,0.80689,2.25769379061998
"ADAM1B","Adam1b",0.090653,0.095105,0.100435,4,4,9,0.0953976666666667,0.27931,0.27931,0.856240994494428
"ADAM2","Adam2",0,0,0.089934,0,0,3,0.029978,0,0,1.029978
"ADAM20","Adam25",0,0,0,0,0,0,0,0.37241,0.37241,0.728645229924002
"ADAM21","Adam21",0.20328,0.155304,0.265859,8,6,20,0.208147666666667,0.15517,0.15517,1.0458613595113
"ADAM22","Adam22",40.637208,42.956179,45.10655,3088,3283,6181,42.899979,11.63787,11.63787,3.47368496431756
"ADAM23","Adam23",50.975901,56.737387,44.313727,1885,2181,3830,50.6756716666667,6.54824,6.54824,6.84605572513151
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.151852,0.079236,0.155724,2,3,8,0.128937333333333,14.02751,14.02751,0.0751247101704363
"ADAM29","Adam29",0,0,0,0,0,0,0,0.52758,0.52758,0.654630199400359
"ADAM32","Adam32",1.43203,0.563668,0.088941,2,2,5,0.694879666666667,1.70689,1.70689,0.626135405083571
"ADAM33","Adam33",1.9498,1.41936,2.388925,45,38,86,1.91936166666667,5.2448,5.2448,0.467486815697327
"ADAM3A","Adam3",0.029978,0.030545,0.015685,1,1,1,0.0254026666666667,0.68275,0.68275,0.609361263804289
"ADAM5","Adam5",0.108981,0.2155,0.095015,3,2,5,0.139832,0,0,1.139832
"ADAM7","Adam7",0,0.055535,0.057108,0,1,4,0.0375476666666667,0,0,1.03754766666667
"ADAM8","Adam8",2.33144,1.427531,2.085774,34,21,57,1.94824833333333,11.35856,11.35856,0.238559211860713
"ADAM9","Adam9",16.026197,14.423145,12.933197,751,695,1247,14.4608463333333,17.25507,17.25507,0.846934376769486
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAMTS1","Adamts1",1.475477,2.232718,1.469624,99,108,169,1.72593966666667,29.29639,29.29639,0.0899757253807027
"ADAMTS10","Adamts10",4.931463,5.730022,9.436422,182,161,391,6.69930233333333,7.94478,7.94478,0.860759273378812
"ADAMTS12","Adamts12",0.016006,0.040975,0.022189,2,5,4,0.02639,21.87919,21.87919,0.0448612909810181
