"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,44.49278,44.49278,0.0603433702373578
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,11.91703,11.91703,2.2496407972008
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,14.34598,14.34598,0.402018161542415
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0.06325,0.06325,0.942900854298926
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,7.66637,7.66637,0.25011979256213
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0,0,1.00323466666667
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,17.10385,17.10385,0.439895252483127
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,55.72667,55.72667,0.15262005214361
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,6.61636,6.61636,2.85979969434218
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.8223,0.8223,8.92111434268049
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,6.17358,6.17358,1.56813041744847
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,5.79406,5.79406,0.39441364957036
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.24036,0.24036,1.17459339761575
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.22771,0.22771,0.883650862174292
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,1.12592,1.12592,0.862354964752515
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,58.93997,58.93997,1.89880864137903
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.55663,0.55663,0.894843989901261
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,61.837,61.837,0.0388116502485266
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,0.64519,0.64519,2.3230018012104
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,4.75669,4.75669,3.91038577145316
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,69.59193,69.59193,0.289693297803304
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,31.47513,31.47513,0.159368466474704
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,44.60664,44.60664,0.479486152308816
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,71.80581,71.80581,0.566928371971047
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,34.68843,34.68843,0.795394249620956
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,31.91791,31.91791,5.10437392086355
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,14.34598,14.34598,1.29085426063807
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,2.97293,2.97293,4.86014855534832
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.06325,0.06325,0.956288110353476
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0,0,1.01655733333333
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,11.14533,11.14533,0.146889956880546
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,71.17327,71.17327,0.109101596754588
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,9.04531,9.04531,1.49225250390481
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,28.31244,28.31244,7.95219737194629
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,8.53927,8.53927,0.850898199407991
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,3.30185,3.30185,4.02603430307116
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,13.7514,13.7514,0.498707015379331
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,4.35187,4.35187,0.252900450372175
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,17.74904,17.74904,2.25498233509556
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,18.11591,18.11591,1.0972538930486
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,11.79052,11.79052,2.35680670788469
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,10.93027,10.93027,2.1979577439013
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,29.64077,29.64077,0.522087978424389
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,6.11033,6.11033,2.47298517321512
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.37952,0.37952,47.6539721545658
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,24.88408,24.88408,3.17152695144403
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,57.51043,57.51043,1.17929282010062
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,1.26508,1.26508,1.87660156227006
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,13.83995,13.83995,1.05355622267371
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,3.52957,3.52957,2.3474730125229
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,752.16463,752.16463,0.0265824910020005
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,7.41336,7.41336,13.9392027679785
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,133.68077,133.68077,0.0444642394010667
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.17711,0.17711,0.856022235248476
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,99.67548,99.67548,1.01181091628932
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,26.17446,26.17446,0.0403242971525469
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,12.22065,12.22065,3.12883743739277
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,6.18623,6.18623,0.394289217016433
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,4.75669,4.75669,3.93534258981
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,9.24772,9.24772,0.309289611087474
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,53.95557,53.95557,0.0266066387811099
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,464.92872,464.92872,0.0327300379050827
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,12.71403,12.71403,1.08816355707744
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,82.2427,82.2427,0.0249251365785428
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,36.26978,36.26978,0.0602136011177599
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,82.07824,82.07824,0.107610488618921
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,42.62047,42.62047,0.273509073454122
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,27.40158,27.40158,0.896445221240039
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,2.37835,2.37835,4.94502345819705
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,605.13729,605.13729,0.069328873771595
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,4.26331,4.26331,0.881292063992684
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,53.39893,53.39893,2.17545878200178
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,1863.68724,1863.68724,0.0101984403918947
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.48073,0.48073,1.05579882895599
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,2.32774,2.32774,0.329195389864192
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,9.82965,9.82965,4.09450083797722
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,1020.66473,1020.66473,0.0373266488965188
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,7.69167,7.69167,2.35917313166898
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,32.47455,32.47455,0.282522742401815
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,76.06913,76.06913,0.388691364925663
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,51.90614,51.90614,0.645513658717117
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,0.13916,0.13916,1.26801912520337
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,14.88997,14.88997,0.174408741279352
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,1.063928
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.54398,0.54398,9.35449660401473
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,3.12474,3.12474,1.31872530147355
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,58.85142,58.85142,0.0239735999580294
"ACE3P","Ace3",0.03383,0.034681,0,1,1,0,0.022837,0,0,1.022837
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0,0,1.01664366666667
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,1.63195,1.63195,1.80445816473211
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,7.31215,7.31215,0.665560574981603
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,0.20241,0.20241,34.7510411035615
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,105.63399,105.63399,0.571220689888218
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,22.50573,22.50573,1.82800675977021
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.18976,0.18976,1.00628922359692
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,76.4613,76.4613,0.111863954430578
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,389.11261,389.11261,0.583141622449306
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,5.59164,5.59164,0.245343900253452
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,13.32127,13.32127,1.00085020392744
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0,0,1.19010033333333
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,205.92936,205.92936,0.690764060740342
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,29.46366,29.46366,0.0836810153474665
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,1.16387,1.16387,1.14514596533063
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0,0,2.73399466666667
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,1.83436,1.83436,44.0846799042229
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,13.29597,13.29597,0.600198657383864
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,106.24123,106.24123,0.0902595640376996
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,34.67578,34.67578,1.28841739876932
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,92.35068,92.35068,0.0123807739447283
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,7.42601,7.42601,1.59358169920678
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0,0,1.03443466666667
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,107.3545,107.3545,0.347055627592763
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,15.85142,15.85142,1.231383883376
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,3.2639,3.2639,0.249195806655878
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,12.65078,12.65078,0.720542220542221
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,0.46808,0.46808,1.19949594027573
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,1.01206,1.01206,2.33908167085806
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,0.13916,0.13916,0.931083429895713
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,136.09706,136.09706,0.415302200256276
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.16446,0.16446,0.894720872049419
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,23.65695,23.65695,0.421465104159274
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,9.56399,9.56399,0.512088361815312
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,696.3241,696.3241,0.0399110953811386
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,49.31273,49.31273,2.53780366652071
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,42.81023,42.81023,0.889021087844856
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,14.33333,14.33333,4.56374820951048
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,3.50427,3.50427,17.5733953189603
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.70844,0.70844,0.585329306267706
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0.51868,0.51868,0.687203799791047
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,75.80346,75.80346,0.0476734772105319
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0,0,1.00614733333333
"ACSM5","Acsm5",0.163657,0.030481,0.29587,6,1,12,0.163336,1.12592,1.12592,0.547215323248288
"ACSS1","Acss1",6.028145,10.007418,9.563296,250,241,508,8.532953,86.78433,86.78433,0.108595155878048
"ACSS2","Acss2",18.71586,17.12475,17.603764,521,478,980,17.8147913333333,127.14031,127.14031,0.146829606806268
"ACSS3","Acss3",0.270661,0.365425,0.567388,7,19,39,0.401158,33.436,33.436,0.0406887559530724
"ACTA1","Acta1",2.92908,4.247516,2.921494,52,74,99,3.36603,2743.75123,2743.75123,0.00159068332032408
"ACTA2","Acta2",9.888823,10.858859,14.812093,171,196,448,11.8532583333333,189.23033,189.23033,0.0675668193044365
"ACTB","Actb",1338.442156,1336.811776,1222.922158,6581,7424,12805,1299.39203,881.43027,881.43027,1.47364848442926
"ACTBL2","Actbl2",0.026725,0,0,1,0,0,0.00890833333333333,0,0,1.00890833333333
"ACTC1","Actc1",0.054823,0,0.057199,1,0,2,0.0373406666666667,12463.16647,12463.16647,8.32258353708161e-05
"ACTG1","Actg1",533.854181,697.997865,581.991909,8440,9587,17032,604.614651666667,170.15296,170.15296,3.53844100427282
"ACTG2","Actg2",0.143131,0.14681,0.401161,1,2,5,0.230367333333333,4.54163,4.54163,0.222022641954323
"ACTL10","Actl10",0.952299,0.600651,0.862865,17,11,31,0.805271666666667,0.08856,0.08856,1.65840345655422
"ACTL6A","Actl6a",7.557008,12.276269,9.663815,94,111,225,9.832364,42.96204,42.96204,0.246402669211893
"ACTL6B","Actl6b",35.86115,41.196074,36.374725,535,582,1108,37.8106496666667,0,0,38.8106496666667
"ACTL7A","Actl7a",0,0.053803,0,0,1,0,0.0179343333333333,0,0,1.01793433333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0,1
"ACTL9","Actl9",0.059117,0,0.031171,1,0,1,0.030096,0,0,1.030096
"ACTN1","Actn1",33.864388,28.934032,31.956368,1209,985,2176,31.5849293333333,35.48543,35.48543,0.893094293621682
"ACTN2","Actn2",14.886157,16.737765,16.669772,268,326,649,16.097898,1533.36279,1533.36279,0.0111433215869371
"ACTN4","Actn4",52.979119,53.63751,54.046956,1411,1322,2613,53.5545283333333,49.46454,49.46454,1.08104677726842
"ACTR10","Actr10",84.074177,92.426345,91.04317,1205,1246,2205,89.1812306666667,210.81256,210.81256,0.42575959927337
"ACTR1A","Actr1a",61.70184,72.684492,56.340866,1804,1946,3202,63.5757326666667,83.50778,83.50778,0.764139498951063
"ACTR1B","Actr1b",122.146702,131.986356,134.627942,2618,2671,4864,129.587,20.64607,20.64607,6.0328272060471
"ACTR2","Actr2",82.532384,89.852759,78.117374,4076,4260,7172,83.500839,93.84347,93.84347,0.890950520895113
"ACTR3","Actr3",100.782284,100.575295,99.81557,2076,2089,3710,100.391049666667,104.47012,104.47012,0.961324872548421
"ACTR3B","Actr3b",35.603748,43.533124,39.755446,899,1078,1897,39.6307726666667,13.92851,13.92851,2.72168975113167
"ACTR5","Actr5",3.346304,4.096994,3.535604,57,52,114,3.659634,3.65607,3.65607,1.00076545240944
"ACTR6","Actr6",11.04082,13.233711,10.107169,169,164,304,11.4605666666667,30.9944,30.9944,0.389460863984531
"ACTR8","Actr8",25.990056,22.990452,25.147238,455,467,887,24.7092486666667,19.38099,19.38099,1.26143276978531
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.35505,0.280845,0.226752,9,7,11,0.287549,1.25243,1.25243,0.571626643225317
"ACVR1","Acvr1",8.108536,7.904635,7.087214,302,294,527,7.70012833333333,23.97322,23.97322,0.348378316185631
"ACVR1B","Acvr1b",22.098817,24.174792,22.678394,1369,1472,2693,22.984001,10.04472,10.04472,2.17153544861255
"ACVR1C","Acvr1c",4.522133,4.713695,3.983638,581,544,966,4.40648866666667,0.0759,0.0759,5.0250847352604
"ACVR2A","Acvr2a",10.208157,11.71447,10.380043,641,648,1136,10.7675566666667,7.17299,7.17299,1.43981048143539
"ACVR2B","Acvr2b",2.233509,2.60413,3.419332,66,52,137,2.75232366666667,0.0506,0.0506,3.57160067263151
"ACVRL1","Acvrl1",28.495335,18.946416,20.66065,237,213,454,22.7008003333333,13.16946,13.16946,1.67266785984317
"ACY1","Acy1",9.571324,11.354607,9.093965,86,100,183,10.006632,5.02236,5.02236,1.82762770741038
"ACY3","Acy3",1.109291,1.666564,0.839006,10,23,24,1.20495366666667,0,0,2.20495366666667
"ACYP1","Acyp1",17.566235,16.39642,14.898027,103,92,163,16.286894,40.39393,40.39393,0.417619056707107
"ACYP2","Acyp2",15.543694,11.705775,12.407704,133,94,194,13.2190576666667,157.43893,157.43893,0.0897447216202903
"ADA","Ada",0.649475,0.560006,0.317154,14,8,13,0.508878333333333,5.95852,5.95852,0.216838973421551
"ADAD1","Adad1",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ADAD2","Adad2",0,0,0.042343,0,0,2,0.0141143333333333,0,0,1.01411433333333
"ADAL","Adal",7.830871,6.978128,7.524622,200,170,354,7.44454033333333,43.1518,43.1518,0.191261518971669
"ADAM10","Adam10",16.60468,18.415744,16.296354,1050,1158,2005,17.1055926666667,30.8426,30.8426,0.568596555138923
"ADAM11","Adam11",31.053563,30.269436,31.879236,994,1157,2081,31.0674116666667,0.64519,0.64519,19.4916159633031
"ADAM12","Adam12",1.197992,0.537611,0.889221,69,50,141,0.874941333333333,0.08856,0.08856,1.72240513461209
"ADAM15","Adam15",42.157036,42.000058,53.519479,670,676,1402,45.892191,10.82907,10.82907,3.96414857634624
"ADAM17","Adam17",9.399549,5.108095,9.676901,221,176,382,8.061515,16.67372,16.67372,0.51271124584977
"ADAM18","Adam18",0.348735,0.325276,1.454176,10,10,15,0.709395666666667,0,0,1.70939566666667
"ADAM19","Adam19",3.196038,2.621631,2.697094,233,235,395,2.83825433333333,8.9188,8.9188,0.386967610329207
"ADAM1A","Adam1a",3.49633,2.379589,3.362294,190,129,360,3.07940433333333,2.55546,2.55546,1.1473633041388
"ADAM1B","Adam1b",0.090653,0.095105,0.100435,4,4,9,0.0953976666666667,5.26272,5.26272,0.174907654608008
"ADAM2","Adam2",0,0,0.089934,0,0,3,0.029978,0,0,1.029978
"ADAM20","Adam25",0,0,0,0,0,0,0,0.21506,0.21506,0.823004625285994
"ADAM21","Adam21",0.20328,0.155304,0.265859,8,6,20,0.208147666666667,0.44278,0.44278,0.837374836542416
"ADAM22","Adam22",40.637208,42.956179,45.10655,3088,3283,6181,42.899979,2.3657,2.3657,13.0433428410138
"ADAM23","Adam23",50.975901,56.737387,44.313727,1885,2181,3830,50.6756716666667,83.65959,83.65959,0.610393597071125
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.151852,0.079236,0.155724,2,3,8,0.128937333333333,3.2892,3.2892,0.263204638005533
"ADAM29","Adam29",0,0,0,0,0,0,0,0,0,1
"ADAM32","Adam32",1.43203,0.563668,0.088941,2,2,5,0.694879666666667,0.54398,0.54398,1.09773421071948
"ADAM33","Adam33",1.9498,1.41936,2.388925,45,38,86,1.91936166666667,8.48867,8.48867,0.307668162837012
"ADAM3A","Adam3",0.029978,0.030545,0.015685,1,1,1,0.0254026666666667,0,0,1.02540266666667
"ADAM5","Adam5",0.108981,0.2155,0.095015,3,2,5,0.139832,0,0,1.139832
"ADAM7","Adam7",0,0.055535,0.057108,0,1,4,0.0375476666666667,0,0,1.03754766666667
"ADAM8","Adam8",2.33144,1.427531,2.085774,34,21,57,1.94824833333333,0.0253,0.0253,2.87549822816086
"ADAM9","Adam9",16.026197,14.423145,12.933197,751,695,1247,14.4608463333333,112.00998,112.00998,0.136809566140383
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"ADAMTS1","Adamts1",1.475477,2.232718,1.469624,99,108,169,1.72593966666667,36.80111,36.80111,0.0721126884016545
"ADAMTS10","Adamts10",4.931463,5.730022,9.436422,182,161,391,6.69930233333333,0.27832,0.27832,6.02298511588126
"ADAMTS12","Adamts12",0.016006,0.040975,0.022189,2,5,4,0.02639,1.32833,1.32833,0.440826686938707
"ADAMTS13","Adamts13",1.528298,0.582745,1.099048,11,6,15,1.07003033333333,2.06208,2.06208,0.676020983558017
