"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,12.96287,12.96287,0.652532036751757
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,12.28337,12.28337,0.119175254472321
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,45.76731,45.76731,0.0702816632672124
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,65.06526,65.06526,0.0613817559586788
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,5.22697,5.22697,0.440854487281401
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,8.45723,8.45723,3.07264153104732
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,3.61706,3.61706,1.33621020014179
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0,0,1.00253933333333
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.57497,0.57497,1.37629965438495
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.01045,0.01045,0.992859287116301
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,58.67791,58.67791,0.133446323215184
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,7.97635,7.97635,0.964493066038349
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,33.23304,33.23304,0.63626438084377
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,31.39315,31.39315,0.501863717071871
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,3.54388,3.54388,2.47566154916063
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,18.64981,18.64981,0.136371293157542
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.15681,0.15681,1.25942779425028
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.06272,0.06272,1.02083992020476
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,1.82944,1.82944,0.647936576377893
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,25.43441,25.43441,4.30554466697006
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.45997,0.45997,0.954088782646219
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.7945,0.7945,1.3590457880561
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,6.76369,6.76369,0.492263257978272
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,1.589,1.589,8.69481601647998
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,23.9395,23.9395,0.819984723029732
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,25.36124,25.36124,0.196330357246725
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,15.03275,15.03275,1.36394270061801
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,40.28945,40.28945,0.999666484618549
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,29.98187,29.98187,0.916225263355633
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,62.56677,62.56677,2.64328864488998
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,9.4399,9.4399,1.89747254922621
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,4.96562,4.96562,3.2367180611571
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.09409,0.09409,0.929332443705119
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.21953,0.21953,0.833564843286621
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,2.06988,2.06988,0.581139002175981
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,33.57802,33.57802,0.227723247311442
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,27.69246,27.69246,0.522441749504922
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,152.8051,152.8051,1.51554342693014
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,2.89574,2.89574,2.0835445041678
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,66.64381,66.64381,0.256038145495747
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,32.82534,32.82534,0.217488624406042
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,5.26878,5.26878,0.215909687903122
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,86.71535,86.71535,0.481999490397063
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,14.72959,14.72959,0.0635744479036008
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,40.91668,40.91668,0.500397614187638
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,21.57691,21.57691,1.33520412374117
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,20.10291,20.10291,1.24258831285985
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,9.24127,9.24127,1.56203065309934
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,13.96645,13.96645,1.17487718641807
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,33.32713,33.32713,1.91509187242472
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,20.06109,20.06109,3.89780668205365
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,14.84458,14.84458,4.35486014776031
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,28.44514,28.44514,0.14435837855302
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,12.37745,12.37745,1.1687370662321
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,3.27208,3.27208,2.48896166114243
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,43.05974,43.05974,0.454405586596744
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,16.78901,16.78901,6.59258334218711
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,33.63029,33.63029,0.172926013614093
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.56451,0.56451,0.644056179464071
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,47.79537,47.79537,2.08758637687688
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,1.81898,1.81898,0.388718969272574
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,15.0223,15.0223,2.58173075442768
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,17.48943,17.48943,0.15324717960478
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,128.13382,128.13382,0.175434656338156
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,3.15709,3.15709,0.762435581941534
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,107.02734,107.02734,0.013535305044075
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,67.23968,67.23968,0.223475031926683
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,24.54583,24.54583,0.584170006089709
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,11.31115,11.31115,0.168533050662746
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,39.86084,39.86084,0.0549217213025152
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,7.42229,7.42229,1.06147971632418
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,23.71997,23.71997,0.482629806319884
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,31.85313,31.85313,0.774978233935904
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,10.45393,10.45393,1.45854043110094
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,32.77307,32.77307,1.24426993656978
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,28.90512,28.90512,0.155107664952802
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,5.8542,5.8542,17.2657100755741
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,745.69976,745.69976,0.0254679359568385
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.09409,0.09409,1.4289071282984
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,16.41267,16.41267,0.0629126186085573
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,5.09106,5.09106,7.27985129025161
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,141.03397,141.03397,0.268494365584984
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,82.49196,82.49196,0.245594358227227
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,11.19616,11.19616,0.775434371692948
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,20.22836,20.22836,1.41113610911692
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,80.75661,80.75661,0.417723239747832
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,0.48088,0.48088,0.975417769614463
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,11.22752,11.22752,0.226648549065278
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,1.063928
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,16.4963,16.4963,0.825497714754929
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,6.07373,6.07373,0.76895767862217
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.1359,0.1359,1.2631869002553
"ACE3P","Ace3",0.03383,0.034681,0,1,1,0,0.022837,0,0,1.022837
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.10454,0.10454,0.920422679727911
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.08363,0.08363,4.38271704056428
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,11.8234,11.8234,0.431417512776123
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,247.40272,247.40272,0.168214741502562
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,36.56785,36.56785,1.62137416257074
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,93.47905,93.47905,0.454795357630431
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.1359,0.1359,1.05400358012736
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,12.07429,12.07429,0.662760833156778
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,112.07659,112.07659,2.01183021466542
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,4.03522,4.03522,0.32118133203051
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,1.43219,1.43219,5.89322626932929
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.22999,0.22999,0.967569113028019
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,113.34151,113.34151,1.25010912484888
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,11.03935,11.03935,0.211741497672217
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,2.35213,2.35213,0.739215662877037
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.09409,0.09409,2.49887547337666
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,824.49103,824.49103,0.151366700293925
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,123.19957,123.19957,0.0690857625352487
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,22.4864,22.4864,0.41213411449463
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,12.56562,12.56562,3.38836674377335
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,12.28337,12.28337,0.0870075640945533
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,6.50234,6.50234,1.78977963319889
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0.63769,0.63769,0.631642537150906
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,91.26281,91.26281,0.407586101051984
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,61.68864,61.68864,0.331010004364427
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,7.92408,7.92408,0.119065046480982
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,6.57552,6.57552,1.29838787744384
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,0.49133,0.49133,1.18079566561392
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,1.62036,1.62036,1.79607865585899
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,1.60991,1.60991,0.406394473372645
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,34.69659,34.69659,1.59501819828355
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.03136,0.03136,1.01018719619402
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,12.0952,12.0952,0.793576577677317
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,29.46963,29.46963,0.1775438800318
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,41.32439,41.32439,0.65756337342763
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,27.2743,27.2743,4.51589714570004
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,18.97388,18.97388,1.94995756124165
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,4.58928,4.58928,12.5199412685236
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,22.19369,22.19369,3.41279534793012
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.15681,0.15681,0.864446192546745
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0.07318,0.07318,0.972476813457823
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,0.9304,0.9304,1.89675093244923
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0,0,1.00614733333333
"ACSM5","Acsm5",0.163657,0.030481,0.29587,6,1,12,0.163336,7.64182,7.64182,0.134617013545758
"ACSS1","Acss1",6.028145,10.007418,9.563296,250,241,508,8.532953,10.40166,10.40166,0.836102199153457
"ACSS2","Acss2",18.71586,17.12475,17.603764,521,478,980,17.8147913333333,70.14587,70.14587,0.264453738963812
"ACSS3","Acss3",0.270661,0.365425,0.567388,7,19,39,0.401158,5.10152,5.10152,0.229640810814354
"ACTA1","Acta1",2.92908,4.247516,2.921494,52,74,99,3.36603,1.11857,1.11857,2.06083820690371
"ACTA2","Acta2",9.888823,10.858859,14.812093,171,196,448,11.8532583333333,82.33516,82.33516,0.154235719153036
"ACTB","Actb",1338.442156,1336.811776,1222.922158,6581,7424,12805,1299.39203,3647.18813,3647.18813,0.356448731167819
"ACTBL2","Actbl2",0.026725,0,0,1,0,0,0.00890833333333333,0,0,1.00890833333333
"ACTC1","Actc1",0.054823,0,0.057199,1,0,2,0.0373406666666667,4.652,4.652,0.183535149799481
"ACTG1","Actg1",533.854181,697.997865,581.991909,8440,9587,17032,604.614651666667,3916.71136,3916.71136,0.15458378528087
"ACTG2","Actg2",0.143131,0.14681,0.401161,1,2,5,0.230367333333333,3.1989,3.1989,0.293021346860686
"ACTL10","Actl10",0.952299,0.600651,0.862865,17,11,31,0.805271666666667,1.54718,1.54718,0.708733449016821
"ACTL6A","Actl6a",7.557008,12.276269,9.663815,94,111,225,9.832364,17.77168,17.77168,0.577058846091559
"ACTL6B","Actl6b",35.86115,41.196074,36.374725,535,582,1108,37.8106496666667,30.92273,30.92273,1.21576850309064
"ACTL7A","Actl7a",0,0.053803,0,0,1,0,0.0179343333333333,0,0,1.01793433333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"ACTL9","Actl9",0.059117,0,0.031171,1,0,1,0.030096,0,0,1.030096
"ACTN1","Actn1",33.864388,28.934032,31.956368,1209,985,2176,31.5849293333333,19.08888,19.08888,1.62203812922041
"ACTN2","Actn2",14.886157,16.737765,16.669772,268,326,649,16.097898,5.38377,5.38377,2.67833866195054
"ACTN4","Actn4",52.979119,53.63751,54.046956,1411,1322,2613,53.5545283333333,154.94816,154.94816,0.349824764417441
"ACTR10","Actr10",84.074177,92.426345,91.04317,1205,1246,2205,89.1812306666667,226.8921,226.8921,0.395718985724677
"ACTR1A","Actr1a",61.70184,72.684492,56.340866,1804,1946,3202,63.5757326666667,278.2209,278.2209,0.231271128581946
"ACTR1B","Actr1b",122.146702,131.986356,134.627942,2618,2671,4864,129.587,132.78582,132.78582,0.976089992197977
"ACTR2","Actr2",82.532384,89.852759,78.117374,4076,4260,7172,83.500839,57.96704,57.96704,1.43301815726209
"ACTR3","Actr3",100.782284,100.575295,99.81557,2076,2089,3710,100.391049666667,75.04877,75.04877,1.33323720642249
"ACTR3B","Actr3b",35.603748,43.533124,39.755446,899,1078,1897,39.6307726666667,30.56729,30.56729,1.28711627341678
"ACTR5","Actr5",3.346304,4.096994,3.535604,57,52,114,3.659634,6.39781,6.39781,0.629866676759744
"ACTR6","Actr6",11.04082,13.233711,10.107169,169,164,304,11.4605666666667,37.71778,37.71778,0.321830607712185
"ACTR8","Actr8",25.990056,22.990452,25.147238,455,467,887,24.7092486666667,13.86191,13.86191,1.72987514166528
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.35505,0.280845,0.226752,9,7,11,0.287549,2.62394,2.62394,0.355289822679183
"ACVR1","Acvr1",8.108536,7.904635,7.087214,302,294,527,7.70012833333333,8.99038,8.99038,0.870850591602455
"ACVR1B","Acvr1b",22.098817,24.174792,22.678394,1369,1472,2693,22.984001,13.88282,13.88282,1.61152261466577
"ACVR1C","Acvr1c",4.522133,4.713695,3.983638,581,544,966,4.40648866666667,0.08363,0.08363,4.98923863926494
"ACVR2A","Acvr2a",10.208157,11.71447,10.380043,641,648,1136,10.7675566666667,5.34196,5.34196,1.85550786612761
"ACVR2B","Acvr2b",2.233509,2.60413,3.419332,66,52,137,2.75232366666667,1.01403,1.01403,1.86309224126089
"ACVRL1","Acvrl1",28.495335,18.946416,20.66065,237,213,454,22.7008003333333,15.74362,15.74362,1.41551231653211
"ACY1","Acy1",9.571324,11.354607,9.093965,86,100,183,10.006632,23.16591,23.16591,0.45546110202347
"ACY3","Acy3",1.109291,1.666564,0.839006,10,23,24,1.20495366666667,3.93068,3.93068,0.447190583584144
"ACYP1","Acyp1",17.566235,16.39642,14.898027,103,92,163,16.286894,33.84983,33.84983,0.496039550264664
"ACYP2","Acyp2",15.543694,11.705775,12.407704,133,94,194,13.2190576666667,88.38798,88.38798,0.159071249475228
"ADA","Ada",0.649475,0.560006,0.317154,14,8,13,0.508878333333333,1.589,1.589,0.58280352774559
"ADAD1","Adad1",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ADAD2","Adad2",0,0,0.042343,0,0,2,0.0141143333333333,0.99312,0.99312,0.50880746434401
"ADAL","Adal",7.830871,6.978128,7.524622,200,170,354,7.44454033333333,6.65915,6.65915,1.10254275387391
"ADAM10","Adam10",16.60468,18.415744,16.296354,1050,1158,2005,17.1055926666667,13.71556,13.71556,1.23037061903636
"ADAM11","Adam11",31.053563,30.269436,31.879236,994,1157,2081,31.0674116666667,52.30101,52.30101,0.601628593279314
"ADAM12","Adam12",1.197992,0.537611,0.889221,69,50,141,0.874941333333333,0.11499,0.11499,1.68157681533766
"ADAM15","Adam15",42.157036,42.000058,53.519479,670,676,1402,45.892191,99.64686,99.64686,0.465908136627412
"ADAM17","Adam17",9.399549,5.108095,9.676901,221,176,382,8.061515,9.50262,9.50262,0.862786142886251
"ADAM18","Adam18",0.348735,0.325276,1.454176,10,10,15,0.709395666666667,0.01045,0.01045,1.6917172216999
"ADAM19","Adam19",3.196038,2.621631,2.697094,233,235,395,2.83825433333333,6.81596,6.81596,0.491079065570107
"ADAM1A","Adam1a",3.49633,2.379589,3.362294,190,129,360,3.07940433333333,0.91995,0.91995,2.1247450888478
"ADAM1B","Adam1b",0.090653,0.095105,0.100435,4,4,9,0.0953976666666667,0.28226,0.28226,0.854271104664161
"ADAM2","Adam2",0,0,0.089934,0,0,3,0.029978,0,0,1.029978
"ADAM20","Adam25",0,0,0,0,0,0,0,0.14636,0.14636,0.872326319829722
"ADAM21","Adam21",0.20328,0.155304,0.265859,8,6,20,0.208147666666667,0.53315,0.53315,0.788016610681712
"ADAM22","Adam22",40.637208,42.956179,45.10655,3088,3283,6181,42.899979,19.30841,19.30841,2.16166499494544
"ADAM23","Adam23",50.975901,56.737387,44.313727,1885,2181,3830,50.6756716666667,51.57969,51.57969,0.982806700965081
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.151852,0.079236,0.155724,2,3,8,0.128937333333333,7.84045,7.84045,0.127701342503304
"ADAM29","Adam29",0,0,0,0,0,0,0,0.09409,0.09409,0.914001590362767
"ADAM32","Adam32",1.43203,0.563668,0.088941,2,2,5,0.694879666666667,0.71087,0.71087,0.990653683018971
"ADAM33","Adam33",1.9498,1.41936,2.388925,45,38,86,1.91936166666667,24.57719,24.57719,0.114139264972683
"ADAM3A","Adam3",0.029978,0.030545,0.015685,1,1,1,0.0254026666666667,0.02091,0.02091,1.00440064909411
"ADAM5","Adam5",0.108981,0.2155,0.095015,3,2,5,0.139832,0.02091,0.02091,1.11648627205141
"ADAM7","Adam7",0,0.055535,0.057108,0,1,4,0.0375476666666667,0.01045,0.01045,1.02681742457981
"ADAM8","Adam8",2.33144,1.427531,2.085774,34,21,57,1.94824833333333,4.00386,4.00386,0.589194808274679
"ADAM9","Adam9",16.026197,14.423145,12.933197,751,695,1247,14.4608463333333,19.93565,19.93565,0.738493733575663
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.22999,0.22999,0.813014739957235
"ADAMTS1","Adamts1",1.475477,2.232718,1.469624,99,108,169,1.72593966666667,18.81707,18.81707,0.137555131342154
"ADAMTS10","Adamts10",4.931463,5.730022,9.436422,182,161,391,6.69930233333333,5.1956,5.1956,1.24270487657908
"ADAMTS12","Adamts12",0.016006,0.040975,0.022189,2,5,4,0.02639,0.86768,0.86768,0.549553456694937
