"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,1.36960574474905
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.654275942241038
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,1.04002094267581
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,1.0361232533016
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,1.28745114425064
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,1.47309420806951
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.45517123982632
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.289685789110249
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,5.54518521393294
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,0.968826632808084
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,1.00596783933005
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.405414569428757
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,1.03591109167937
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.556146894102953
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0.927879054058234
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.412183845116026
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.455706615043209
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,1.56805272154083
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,1.37025586341902
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,0.817993632767476
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.562839076813463
