"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,1.51620310631902
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.17492079428163
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.198316338039387
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.630224623419599
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,1.38052472003003
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.550371393319997
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.966764582612356
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.16297585726013
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,0.76134575313046
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,2.18451205759119
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.65670157503535
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.290792442165338
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,5.0985809395018
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,0.714183254144937
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,1.46880250091309
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.456663948436909
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,1.51976636385494
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.778402756795664
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.018444,0,0,1,0,0.006148,0.993889566942438
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.315295523243787
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.664726514650374
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,2.33784875681113
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,1.150237270356
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,2.66282970210186
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.172364951294915
