"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.739575032585668
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,1.09941309899985
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.924944564013661
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.456942191034312
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,14.4632091872659
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.40893251734838
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.1347227561318
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.900214543374799
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,1.06713210754854
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.310713751539544
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.620046317631143
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,1.35249396111205
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.548641600408209
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,1.72299093722108
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,"Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.0626587015552192
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,"Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.743437502847203
