"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.56136950375016
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,1.34249916750896
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.652265258073964
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,1.04129304466417
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.15669816294998
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,0.845708613154397
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,3.41512133880621
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,0.675940007405313
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.258775830526727
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,5.19915628703151
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.501300016594908
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,1.19883430497681
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,0.920188963419828
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,1.8042276376312
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,0.998651765691424
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0,0,0,0,0,0,1
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.378752720798553
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.787283966607936
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,1.60154566498964
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,0.871533604583207
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,1.47449790242419
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.264798541704562
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.810730559801882
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.694404927635881
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.709706326803197
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.100110637005475
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.200868929374134
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.609861789785539
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.2596364417135
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,1.29657547219137
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,2.32719389842858
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,1.60354194558202
