"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,5.28606797644102
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,2.91667633376597
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",1.157293,1.86023,1.664471,45,84,89,1.56066466666667,7.65406924295958
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,9.01466929202548
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,1.73668773179954
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,2.44014966411702
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.667559778093276
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.058434275931748
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.679245201960668
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,0.897717762175122
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.0463538285927467
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,19.9389902292057
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,1.14812090669908
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,9.17762643227061
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,0.618836274057877
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",30.626323,20.849619,19.366028,1311,1961,1795,23.61399,8.58567010062164
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,2.60432678305656
