"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,1.04962366830345
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.550942129826994
"ABCC11",0.147705,0.168729,0.111362,0.142598666666667,9,7,7,0.446327,0.700426,0.435039,0.527264,5,6,8,0.748134354418533
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCC13",0.065046,0,0.010734,0.02526,3,0,1,0,0.032583,0.030135,0.020906,0,1,1,1.00426483927022
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,1.027977,1.07924,0.751123,0.95278,20,15,18,0.650832146990444
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.997618169039626
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,1.93963176713994
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.812783871578085
"ABCC5.AS1",0,0.388532,0,0.129510666666667,0,2,0,0,0,0,0,0,0,0,1.12951066666667
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,1.58633763631536
"ABCC6P1",0.326616,0.114229,0.382804,0.274549666666667,8,7,15,0.068151,0,0.668788,0.245646333333333,3,0,10,1.02320348285054
"ABCC6P2",0.427513,0.600883,0.259824,0.429406666666667,3,6,3,0.199733,0,0.688996,0.296243,2,0,5,1.1027304808332
