"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"POF1B",0.081611,0.072265,0.046588,5,6,4,0,0.015987,0.014533,0,1,1,0,0,1
"POFUT1",8.677804,3.614225,3.369163,335,314,272,17.546598,9.260817,4.357911,4.339158,659,471,428,20.176683,0.875802787433707
"POFUT2",33.401478,23.317844,24.290388,616,688,727,0,13.033188,7.660221,8.781856,429,334,300,0,1
"POGK",12.820859,15.496402,11.437794,1202,1908,1570,0,3.707241,3.30962,2.800558,484,430,364,0,1
"POGLUT1",7.547743,6.42725,5.622368,269,421,362,0,2.008339,2.004663,0.867882,70,109,60,0,1
"POGLUT2",4.639115,5.04245,2.159265,68,95,60,36.211191,4.848065,5.926831,6.105131,112,130,84,7.518717,4.36816846950075
"POGLUT3",3.498509,2.456675,2.198388,142,121,125,0,3.1354,1.718598,2.361613,114,84,87,0,1
"POGZ",38.397459,53.464209,26.313206,1857,2626,2208,0,48.894455,7.096807,5.754218,1048,770,685,0,1
"POLA1",1.326198,1.010153,1.932092,116,106,114,0,1.722564,1.147772,1.054349,154,133,107,0,1
"POLA2",5.2197,1.531405,4.565329,63,55,97,0,7.656585,8.280974,6.451654,200,163,149,7.42133766666667,0.118745980695941
"POLA2.1",1.093334,0.892883,0.879364,76,85,89,0,0.756471,0.424645,0.377719,72,38,34,0,1
"POLB",75.987222,105.524493,86.803191,488,896,732,0,16.527317,17.160019,19.940276,133,129,136,3.75935866666667,0.210112342867484
"POLD1",4.123011,5.567651,4.808957,76,137,116,6.66271366666667,9.105514,12.302374,7.457063,256,182,135,3.62734433333333,1.65596357536393
