"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"MSL2",7.467677,6.528217,4.67053,316,401,356,4.53749333333333,8.205075,6.704367,9.144102,340,241,303,24.621293,0.216128566709468
"MSL3",17.166844,21.329797,14.542393,312,467,366,0.043866,28.191599,36.543679,44.818024,577,597,558,0.0678066666666667,0.97757958681659
"MSL3P1",0.141019,0.346211,0.242085,3,13,11,1.53771266666667,0.448899,0,0.129468,14,0,2,38.079903,0.0649365139587646
"MSLN",0.279259,0.139788,0.451557,4,3,6,29.383344,0.241489,0.036779,0.344567,4,1,2,30.634409,0.960452398525922
"MSMB",0.087482,0,0,1,0,0,0.301102333333333,0,0,0,0,0,0,0.610798333333333,0.807737571121566
"MSMO1",128.744327,64.15686,68.310226,3240,2400,2238,47.0367233333333,76.171895,56.096027,64.600475,2149,1264,1412,17.8848156666667,2.54366916687052
"MSMP",0,0.156124,0.169078,0,1,1,0,0,0,0,0,0,0,0,1
"MSN",49.441574,34.846004,38.79188,3150,3037,3592,42.9705716666667,79.327466,54.085977,65.097655,5832,3038,3217,67.7519606666667,0.639553712218496
"MSR1",0.023983,0.426778,0.38944,1,2,3,37.2420953333333,0.987668,0.191694,0.214611,8,1,1,2.02927533333333,12.6241728219708
"MSRA",3.136669,2.452289,3.968211,54,66,80,54.9989426666667,5.478641,5.869207,7.88021,101,65,97,3.380332,12.784177698555
"MSRB1",8.765293,11.755906,11.576698,111,132,149,0.742749333333333,17.253403,11.0015,13.820707,172,80,120,0.86383,0.935036636030825
"MSRB2",16.5067,16.051523,17.923598,178,262,241,2.831496,26.094386,21.64513,22.162436,254,182,198,3.51926033333333,0.847814845216927
"MSRB3",2.789879,1.042016,1.094271,82,49,41,0.270112333333333,5.778386,4.656766,4.72619,291,117,111,0,1.27011233333333
"MSS51",2.003747,1.951259,1.833299,73,92,96,0.597724,3.333198,2.194712,2.575984,141,65,68,0.624486,0.983525866027777
"MST1",27.231882,20.918958,19.812964,329,385,398,4.393037,12.710375,12.988711,11.663131,246,167,118,5.92503666666667,0.778773782665892
"MST1L",2.071377,1.400333,2.469128,51,40,70,0,0.871451,0.828886,0.742332,33,18,15,0.039928,0.961605034194675
"MST1R",1.562933,0.439927,1.546171,9,16,20,1.30162266666667,0.261489,1.432206,2.150651,16,13,15,2.753584,0.613180007871588
"MSTN",0.167414,0.088718,0.051972,7,5,3,0.110499666666667,4.160197,1.926174,1.512823,192,69,49,2.091043,0.35926373934839
"MSTO1",35.898354,32.023772,24.291391,402,548,445,0.0545093333333333,39.963753,49.003674,55.390047,657,619,667,0.060635,0.994224529016423
"MSX1",1.087799,1.946791,1.116729,19,32,30,8.66718466666667,1.565219,0.83652,0.971503,34,18,19,7.67687833333333,1.11413163758779
"MSX2",0.32193,0,0,8,0,0,90.7582363333333,0.714641,0.26327,0.275698,20,5,7,91.5396983333333,0.991555386346894
"MT1A",0,0,0,0,0,0,19.2413866666667,0,0,0,0,0,0,29.6665843333333,0.660046989473983
"MT1B",0,0,0,0,0,0,17.0605786666667,0,0,0,0,0,0,24.923916,0.696676330330135
"MT1E",0,0,0,0,0,0,10.06728,0,0.798359,2.693191,0,2,5,7.439629,1.31134674284853
"MT1F",1.03072,0.503702,0.714674,3,3,4,0.744592666666667,8.759862,28.483214,37.061371,32,75,84,0.952068,0.893715109651235
"MT1G",0,0,0.256678,0,0,1,22.03,0.325629,0,0,1,0,0,17.8179686666667,1.2238302873144
"MT1H",0,0,0,0,0,0,0.04682,0,0,0,0,0,0,7.615772,0.121500429677108
"MT1HL1",0,0,0,0,0,0,8.92371533333333,0,0,0,0,0,0,4.89014366666667,1.68480021794601
"MT1JP",0,0,0,0,0,0,0.846055333333333,0,0,0,0,0,0,5.77488633333333,0.272485063587045
"MT1L",0,0,0,0,0,0,2.55658766666667,0,0,0,0,0,0,3.36590233333333,0.814628316238865
"MT1M",0,0,0,0,0,0,0.046363,0,0,0,0,0,0,0,1.046363
"MT1X",1.141963,3.09332,5.549229,3,11,22,1.50029666666667,5.634712,10.79074,9.376255,20,25,20,10.84302,0.211119855127042
"MT2A",3.021993,0,0.521982,8,0,2,1.828831,11.077292,9.450093,3.965533,34,22,8,4.30803633333333,0.532933616568437
"MT3",2.909152,4.236444,9.325354,8,16,37,6.790092,52.759796,19.043745,20.580462,172,49,45,5.55406366666667,1.18858961343626
"MT4",0,0,0,0,0,0,0.00349666666666667,0,0,0,0,0,0,0.004181,0.999318515951474
"MTA1",89.293433,78.723156,63.891664,821,1123,1071,489.853842,93.756978,60.539852,87.846916,1246,589,698,311.161570666667,1.57243520062931
"MTA2",27.690658,27.314088,19.317644,618,1005,775,0.00529566666666667,36.369156,29.204918,33.755583,1101,660,743,0,1.00529566666667
"MTA3",35.599457,28.694886,26.844658,1135,1478,1246,5.24299833333333,44.772942,30.5187,29.152531,1045,808,757,6.62577266666667,0.81867092112808
"MTAP",21.49592,15.265053,12.417931,354,483,487,30.6384843333333,66.288315,40.026683,59.725376,1428,891,944,28.771678,1.06270410197683
"MTBP",0.872967,0.68831,1.25035,38,43,44,14.208806,3.8657,2.736305,2.383079,152,73,90,16.625566,0.862883268542979
"MTCH1",106.432357,102.148515,107.397748,2748,3657,4262,17.6148256666667,84.56509,81.29038,95.212508,2731,1954,1938,20.696655,0.857958319688757
"MTCH2",93.486358,106.004746,86.620996,1538,2284,2211,0.02666,97.935042,115.429788,135.121616,1771,1656,1691,0.035549,0.991416147376899
"MTCL1",29.065648,14.922368,18.786193,1026,1059,1226,24.4635976666667,27.855811,27.924226,26.322594,1315,1041,938,23.506463,1.03905641816474
"MTCP1",0.236486,0.614478,0.860539,8,19,19,10.7857883333333,0.426483,0.90017,1.206697,14,16,23,5.439277,1.83029683819058
"MTDH",40.480757,42.037555,37.042767,1505,2210,2133,0,42.943232,39.442806,41.87316,1693,1474,1489,0,1
"MTERF1",5.761056,6.99212,5.219454,129,173,157,0.243443333333333,4.853501,7.866749,5.943313,135,110,109,0.264972,0.982980914465564
"MTERF2",13.173951,14.968225,12.406742,267,404,354,68.0087013333333,17.477338,10.009597,15.05793,358,216,252,80.5806803333333,0.845895143940554
"MTERF3",8.733431,7.296681,7.969048,126,161,181,8.24632233333333,17.519736,10.893031,13.655627,219,135,157,10.2760193333333,0.819998800995316
"MTERF4",23.761235,32.399928,16.965405,451,801,508,0.644680333333333,32.424162,28.963981,34.58224,697,482,504,0.744881666666667,0.942574138265346
"MTF1",1.449967,2.334743,1.179803,191,301,225,1.91532533333333,3.07326,2.424284,1.81882,245,192,187,2.57686533333333,0.815050347622816
"MTF2",11.846193,13.130572,11.396836,444,820,608,21.6747423333333,18.162193,17.394534,19.079921,757,522,558,12.578805,1.6698628733039
"MTFMT",35.357244,43.378192,48.283813,147,214,202,0.525709333333333,30.429407,59.719636,37.37379,165,138,135,0.556042333333333,0.980506314416896
"MTFP1",1.767822,1.342208,3.262757,15,28,61,0,9.279138,4.587857,5.085742,150,50,54,0.007228,0.992823869074331
"MTFR1",17.630764,14.239638,11.136342,167,190,157,0,15.330229,13.921407,14.896374,219,144,146,0,1
"MTFR1L",42.632234,41.512519,33.540809,948,1264,1163,0.128505666666667,50.597645,60.538915,54.119964,1374,1043,1010,0.244046666666667,0.907124866698462
"MTFR2",0.301105,0.145655,0.485729,5,2,13,103.913271333333,1.340464,1.327199,0.859163,26,9,15,106.392573333333,0.976913654985205
"MTG1",21.641183,22.036846,16.849031,216,301,229,0.455218333333333,35.968022,31.15896,41.161046,473,328,404,0.926804,0.755249798803269
"MTG2",13.723865,14.291294,11.177167,228,299,264,0.084457,18.4065,16.512808,18.803532,298,222,236,0.0424726666666667,1.04027379774626
"MTHFD1",46.545752,34.799405,31.58411,661,1023,883,1.345159,49.70876,53.616725,81.088435,933,983,995,2.61869333333333,0.648067902963132
"MTHFD1L",19.642028,15.643536,14.058465,565,727,699,55.1299556666667,21.514374,14.305432,17.430957,529,356,362,40.858747,1.34093731154128
"MTHFD2",48.39318,60.130067,51.40448,1270,2050,1973,219.020785,36.011376,46.086932,52.948878,1084,1081,1051,170.623613666667,1.28199599285523
"MTHFD2L",8.488825,8.127917,5.224933,174,260,200,1.41040933333333,8.688225,10.283932,9.197974,161,157,148,68.03358,0.034916475914089
"MTHFD2P1",0.242411,0.644505,0.745961,1,7,5,0,0.82883,1.122448,0.673458,5,9,5,0.0212336666666667,0.979207827395689
"MTHFR",26.974497,17.375091,12.20464,992,1227,1033,50.741614,16.00342,16.936871,17.426609,1042,797,788,97.5620873333333,0.524964673536304
"MTHFS",3.542873,3.079238,3.852652,42,50,57,0,3.349529,4.603967,3.943807,37,43,32,0,1
"MTHFSD",5.90728,5.573772,4.960013,105,153,159,0,8.151416,7.393965,9.739807,202,130,134,0,1
"MTIF2",18.782007,12.389565,12.987972,343,380,401,33.1138766666667,13.626069,17.07777,19.528033,327,294,349,40.1256253333333,0.829504144682671
"MTIF3",49.35789,44.367788,50.151889,253,307,352,0.272707,72.200355,62.740801,43.156494,394,237,262,11.093455,0.105239321599989
"MTLN",21.757965,18.146631,23.132977,73,83,114,0.139883333333333,24.101203,15.437305,13.970932,104,45,38,0.112836666666667,1.02430425549122
"MTM1",2.208006,2.019884,1.557297,64,135,111,36.1973623333333,3.654133,2.150974,3.475525,168,70,112,24.5804603333333,1.45413185879467
"MTMR1",7.69223,7.480265,6.269281,316,419,326,0.149997,15.242423,12.984064,14.820921,560,406,449,0.428025,0.805305929518041
"MTMR10",1.090232,1.215204,1.071687,81,77,73,14.3618956666667,4.771894,3.324551,4.040051,350,190,193,14.322081,1.00259851561068
"MTMR11",5.684414,2.368324,2.283411,125,59,79,28.8461713333333,9.981828,5.408199,5.45961,294,133,105,31.450097,0.919755997442268
"MTMR12",7.737581,4.014359,4.4823,219,289,262,0.686471333333333,7.636291,9.368427,8.607792,424,303,314,7.951101,0.188409373699764
"MTMR14",9.2871,8.584233,6.54431,203,318,268,0,15.884867,16.305093,17.064847,386,313,304,0,1
"MTMR2",21.544535,26.526527,23.858438,1216,1989,1823,0.174724666666667,20.063058,24.393801,26.357189,1228,1104,1157,0.132086333333333,1.03766349975076
"MTMR3",26.396786,20.16954,13.443126,1178,1709,1350,0.0208566666666667,17.110862,14.706109,23.139405,1156,782,811,0.107786333333333,0.921528489699729
"MTMR4",53.421025,58.1998,47.572295,2690,4089,3536,12.24356,45.52876,48.948454,43.606741,2128,1932,1905,2.80914033333333,3.4767844818179
"MTMR6",23.295881,23.999292,18.328849,2113,2466,2342,24.7812663333333,21.969872,29.733738,17.607928,1689,1347,1252,54.3148366666667,0.466082300643751
"MTMR7",13.756914,14.244265,15.453027,875,1349,1182,2.06163133333333,20.300005,19.619471,18.397942,1222,975,882,1.75723366666667,1.11039966265705
"MTMR8",1.438024,1.204232,1.830847,22,35,46,13.3118236666667,1.225183,1.684225,3.106386,22,17,17,6.56099166666667,1.8928500780872
"MTMR9",13.710373,15.456125,12.940104,1584,2437,2112,1.41380333333333,15.643626,19.899002,18.117477,2019,1981,1659,0.868202333333333,1.29204599002214
"MTNR1A",0,0.086999,0,0,2,0,0.196964666666667,0.30671,0.135338,0.469712,6,2,6,0.398574,0.855846502699655
"MTNR1B",0.058804,0,0,1,0,0,0.691524666666667,0,0,0,0,0,0,0.313057333333333,1.28823366941073
"MTO1",43.275275,39.689502,24.845658,287,330,351,0,47.864933,75.386973,50.494737,324,259,276,0,1
"MTOR",16.754669,16.13876,12.961014,1147,1606,1224,9.36916266666667,15.526277,15.998416,25.517546,1575,1311,1262,9.63341933333333,0.975148476855579
"MTOR.AS1",0.138885,0,0,1,0,0,0,0.120621,0,0,1,0,0,0,1
"MTPAP",7.130844,8.702004,7.41928,332,530,481,0,8.695842,8.018127,6.436105,359,268,293,0.111713333333333,0.89951246424438
"MTPN",62.442644,56.459244,58.326972,3755,4621,4868,4.216918,49.220618,56.785301,64.268379,3336,2955,3069,4.49269666666667,0.949791753777289
"MTR",5.7211,5.284611,5.324143,721,898,919,0.243681666666667,12.025674,7.674839,6.667185,1614,728,649,0.123115,1.10735024166418
"MTRES1",11.3179,11.258147,9.757809,152,210,200,0,11.170127,11.609049,15.516626,179,137,176,0,1
"MTREX",35.937391,42.025039,35.161493,830,1363,1244,0,46.388956,41.194846,44.525147,1205,842,927,1.55523,0.391354202948463
"MTRF1",8.041763,8.052762,5.472793,111,143,121,4.51083233333333,14.241724,6.629451,11.419614,169,112,106,1.24589366666667,2.45373697567457
"MTRF1L",19.110603,17.909144,13.225491,732,877,838,3.522288,14.773217,13.684539,18.978483,604,547,570,11.0364286666667,0.37571676161085
"MTRNR2L1",0.04492,0.231771,0.124354,1,7,4,30.9117013333333,0.117566,0.205882,0.05658,3,4,1,91.000763,0.346863442136163
"MTRNR2L10",0,0,0.101215,0,0,2,20.275648,0,0.166414,0,0,2,0,2.64287933333333,5.84033838434396
"MTRNR2L2",0.657933,1.160158,0.936312,9,22,19,0.0152656666666667,0.852438,1.20454,0.919281,13,14,10,0.0796986666666667,0.940323164240887
"MTRNR2L3",0.215877,0,0.050071,3,0,1,192.824306666667,0,0.0825,0,0,1,0,186.415753333333,1.03419431514882
"MTRNR2L4",0.369354,0.368878,0.300802,9,12,11,5.80687966666667,0.179506,0.242524,0.060402,5,5,1,6.44695433333333,0.914048799278703
"MTRNR2L5",0.072602,0.099771,0.057304,2,3,2,1.029318,0,0.187678,0.266004,0,4,5,6.46166633333333,0.271965792806156
"MTRNR2L6",0.06064,0.146843,0.069868,1,4,2,14.354847,0.089414,0.116227,0.137161,2,2,2,17.112073,0.847768612681718
"MTRNR2L7",0,0.033271,0.063128,0,1,2,2.00936266666667,0.039898,0,0.056509,1,0,1,1.50415433333333,1.20174808182084
"MTRNR2L8",146.904827,139.859494,156.088156,2619,3382,4026,0,136.554538,189.677131,234.51904,2796,2958,3311,0.037284,0.964056131204183
"MTRR",23.28465,29.858669,23.668109,232,367,315,5.09054766666667,29.410229,23.165374,20.939006,279,211,170,3.28508733333333,1.4213357145113
"MTSS1",27.925189,25.646342,21.240883,1402,1919,1727,0,23.993663,16.588852,17.750942,938,778,796,0,1
"MTSS2",33.653732,30.548701,23.558794,1281,1842,1675,0.583287666666667,49.396037,36.573421,35.310151,2196,1177,1156,0.405121666666667,1.12679756082807
"MTTP",0.435664,0.148608,0.270378,13,13,12,0.359252333333333,0.882318,0.639331,0.623965,44,6,27,0.962551666666667,0.692594420019515
"MTURN",27.406948,26.386515,21.51278,2502,3304,2863,22.480366,36.992462,38.032933,37.297852,3831,2963,2650,27.439747,0.82561796347907
"MTUS1",16.492123,14.373811,11.51226,444,610,799,42.0539106666667,16.666463,21.255255,22.467608,696,879,858,49.8123446666667,0.847312025239221
"MTUS2",4.134672,6.939181,3.544182,212,435,264,0.0147203333333333,1.886581,6.399621,7.494549,112,343,342,0.0167583333333333,0.997995590561507
"MTX1",16.523066,13.111588,14.755292,302,355,404,0.105304,15.570768,16.525577,19.716388,345,277,295,0.154035333333333,0.957773101112444
"MTX2",64.392345,63.823739,57.498462,859,1088,1102,0,44.595425,49.227752,63.104145,666,579,699,0,1
"MTX3",2.826819,2.792924,2.715844,294,381,388,0,5.344572,3.002816,3.108461,663,275,250,0,1
"MUC1",11.590553,9.658473,20.133267,71,98,144,4.110347,6.523961,4.757036,5.483315,102,61,62,4.30977633333333,0.962441104706922
"MUC12",1.132654,0.829261,2.143886,23,19,46,0.0239256666666667,0.590451,1.283775,2.656323,9,8,15,0,1.02392566666667
"MUC12.AS1",2.188601,3.317465,1.289951,5,10,4,0,0.401128,2.641302,0,1,5,0,0,1
"MUC13",0,0,0,0,0,0,0.730875666666667,0,0,0,0,0,0,1.32251866666667,0.745258021607577
"MUC15",0,0,0,0,0,0,0.253425333333333,0,0,0,0,0,0,0.248898333333333,1.00362479465235
"MUC16",0,0,0,0,0,0,23.042274,0,0,0,0,0,0,26.5835736666667,0.871615632206999
"MUC17",0.966827,0,0,3,0,0,0.043005,0,0.368132,0,0,1,0,0.100522666666667,0.947736045418419
"MUC19",0.750007,0,0,4,0,0,65.5315863333333,1.159124,0.332444,1.061035,10,7,8,53.0579756666667,1.23074505681792
"MUC2",0.02315,0.029079,0.02744,5,4,4,27.9736413333333,0,0,0,0,0,0,29.2661543333333,0.957295103112043
"MUC20",11.104885,9.107722,7.0115,294,387,286,0,9.713827,8.137877,8.337306,271,207,205,0,1
"MUC21",0.056,0.012962,0,0,1,0,0.0806696666666667,0.044257,0.02031,0.044038,3,1,2,0,1.08066966666667
"MUC22",0,0,0,0,0,0,0.204802333333333,0,0,0,0,0,0,0.289060666666667,0.934635866633637
"MUC3A",12.543092,6.349665,11.972606,488,311,578,0,0.881783,0.655346,0.474281,41,25,17,0,1
"MUC4",0.830545,1.048411,0.871535,77,73,86,3.814129,0.367558,0.513588,0.901664,21,52,39,3.32151833333333,1.11399018323421
"MUC5AC",0.003342,0.00243,0.002277,1,1,1,4.516173,0.002873,0.181962,0,1,1,0,6.140091,0.772563402903408
"MUC5B",0.061454,0.022441,0.008831,11,6,4,0.019494,0.255876,0.083093,1.386848,29,22,25,0.0842383333333333,0.940285884253616
"MUC5B.AS1",0,0,0,0,0,0,10.4226576666667,0,0,0,0,0,0,12.765188,0.829822132953554
"MUC6",1.61187,0.608469,0.597316,69,64,69,0,0.162631,0.48448,0.38624,25,35,40,0,1
"MUC7",0,0,0,0,0,0,0,24.865907,17.255907,15.605002,176,115,152,0,1
"MUCL1",0.140234,0.088616,0.057623,7,6,4,0.200720666666667,0.072139,0.093302,0.076749,4,4,3,0.0549973333333333,1.13812673144198
"MUCL3",0,0.008548,0,0,1,0,0.0302193333333333,0,0.013225,0,0,1,0,0.0130246666666667,1.01697359129788
"MUL1",8.911277,8.209007,8.092988,341,429,447,18.0269113333333,10.033135,11.016389,12.793221,444,370,374,13.6814426666667,1.29598376435667
"MUS81",63.159639,59.098232,72.135247,399,624,602,0.463742666666667,59.140751,77.630166,105.708332,490,410,438,0.163501666666667,1.25804947994631
"MUSK",0,0,0,0,0,0,14.775814,1.664372,0,0.019841,84,0,2,17.5530756666667,0.850307209620428
"MUSTN1",1.154695,0.194818,0.742065,8,2,5,0,3.617633,0.868965,0,21,4,0,0,1
"MUTYH",8.219682,10.753072,9.234964,88,130,111,20.211085,16.66328,11.521699,14.69925,167,88,100,17.923615,1.12087912378264
"MVB12A",11.477059,13.634692,11.544178,113,186,178,16.0848976666667,17.17125,9.291159,11.657557,208,90,84,13.0166903333333,1.21889670531115
"MVB12B",20.650911,14.129208,10.448196,1326,1421,1081,44.617995,21.251083,17.452422,21.401702,1626,965,1035,56.4139273333333,0.794545803061884
"MVD",233.305489,158.344128,108.700617,1499,1406,1351,0.090386,162.069004,147.676816,179.546201,1568,1005,988,3.80926433333333,0.226726152780262
"MVK",34.901867,23.23473,22.101306,507,600,499,47.94424,29.918657,33.973348,25.730154,568,443,367,26.687193,1.76775738876816
"MVP",10.475173,4.754516,5.822199,115,89,97,0.267464333333333,56.207001,92.9402,15.186042,356,293,272,0.139168,1.11262283818834
"MX1",33.966724,15.181135,19.537575,397,357,481,0,94.113816,74.885095,49.69447,1604,1002,749,0,1
"MX2",3.302005,1.942953,1.954259,53,71,78,0,2.293935,0.762883,0.525666,40,22,17,0.008599,0.991474312387778
"MXD1",6.094113,9.671476,5.364836,449,588,492,1.906379,5.65803,6.731137,5.258297,370,322,329,1.533676,1.14709970809212
"MXD3",2.283528,2.395721,2.346155,33,48,59,1.25148266666667,12.301617,2.571946,5.894002,172,32,71,0.113999333333333,2.02108080256182
"MXD4",13.173872,11.301052,8.19784,339,444,325,0.068387,32.578831,38.083728,44.922336,1377,1040,1132,0.272209666666667,0.839788462541159
"MXI1",15.436997,13.477523,15.027499,371,466,532,0.252744333333333,21.142545,12.36115,13.863309,589,299,271,0.0789746666666667,1.16105073829352
"MXRA5",2.812896,0.184461,0.180901,458,41,43,7.88727366666667,2.757364,0.426714,0.347898,520,61,44,3.84732466666667,1.83343891276384
"MXRA7",118.675403,120.969894,133.199565,2797,4049,4559,0,100.905668,90.243445,85.771162,3187,2260,2206,0,1
"MXRA8",10.180508,3.941587,6.491588,147,118,136,0.217306666666667,34.174917,12.056417,10.541771,541,131,140,0.0167843333333333,1.1972122570732
"MYADM",25.071873,15.909751,21.778061,1109,868,1318,4.43238733333333,25.091746,12.994131,16.313541,1172,483,458,6.053042,0.770219053471301
"MYADML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MYADML2",1.12779,0.962894,1.204724,42,50,68,5.25845833333333,0.580333,1.052152,1.142871,26,35,33,4.25258933333333,1.19149964639662
"MYB",0.617248,0.031265,0.076008,7,2,6,2.706512,0.464013,0.22331,0.356122,17,8,12,2.20410133333333,1.1568023649689
"MYBBP1A",15.332191,19.151558,16.37623,372,577,483,3.29057866666667,22.836524,22.104841,24.52064,567,471,432,3.33303666666667,0.99020132916792
"MYBL1",0.180165,0.12361,0.027724,9,10,1,5.01013533333333,2.202087,1.858213,2.212829,125,69,83,4.27380733333333,1.13961981419875
"MYBL2",0.14345,0,0.016288,6,0,1,0.0144973333333333,5.563331,1.72565,4.663364,272,64,150,0.006109,1.00833740015578
"MYBPC1",0,0,0,0,0,0,3.59537833333333,52.223347,0.348784,0.090798,2003,4,3,4.96129033333333,0.770869740673034
"MYBPC2",3.136518,1.616767,3.204363,57,65,81,0.594004333333333,8.4151,0,0,344,0,0,0.470970333333333,1.08364138773703
"MYBPC3",0.014423,0,0,1,0,0,0.115074333333333,0,0,0,0,0,0,0.13113,0.985805639787941
"MYBPH",0.075308,0.027286,0.025056,2,1,1,8.76287433333333,68.79757,0.128075,0,2192,3,0,7.738506,1.11722465297081
"MYBPHL",0.65465,0.343388,0.136552,8,6,3,4.63889333333333,0.317786,0.674518,0.90179,6,9,5,0.704330666666667,3.30856766449077
"MYC",18.754499,9.482545,13.357515,549,343,606,2.37623566666667,12.904342,17.731297,18.094594,465,461,425,3.60331833333333,0.733435192221843
"MYCBP",3.685696,3.458024,2.111977,40,53,49,73.7211086666667,14.399277,7.468115,9.467143,173,68,69,109.229837333333,0.677866451355736
"MYCBP2",52.933793,46.07722,46.18763,2328,2773,2791,2.52018933333333,74.187591,70.229094,51.72332,3622,2535,1767,2.70163366666667,0.950982633703803
"MYCBP2.AS1",0,0,0.144748,0,0,1,0,1.288182,0,0.25362,3,0,2,0,1
"MYCBPAP",2.847572,2.838811,3.842402,29,26,35,76.74377,1.995988,2.768748,1.471464,19,11,9,46.6266883333333,1.63235725011743
"MYCL",1.177469,1.052599,1.233946,58,71,91,8.71015933333333,0.824982,0.748742,0.912448,46,27,33,11.9389866666667,0.750457480441539
"MYCL.AS1",0.216769,0.079759,0.224654,2,1,3,0.997347666666667,0,0,0.141159,0,0,1,1.32041766666667,0.860770754920127
"MYCN",10.814125,20.173356,13.951196,317,835,634,43.1144343333333,7.14281,5.998147,8.582484,254,165,226,48.4983513333333,0.891230377275731
"MYCNOS",2.069968,2.399085,3.426514,14,27,22,0.232473333333333,1.81973,0.839973,1.722581,16,9,10,0.248435333333333,0.987214395833077
"MYCNUT",0,0,0,0,0,0,1.20743066666667,0,0,0,0,0,0,1.11979533333333,1.04134141252001
"MYCT1",0,0,0,0,0,0,0.0400236666666667,1.075253,1.694202,1.562771,38,54,45,0.0152443333333333,1.02440726091223
"MYD88",28.249679,27.354125,26.776095,883,1143,1077,0.09418,11.556679,21.457679,24.150128,467,459,454,0.099895,0.99480404947745
"MYDGF",42.596949,27.977292,40.856269,367,399,476,7.479773,53.29018,50.358669,41.120524,549,406,409,19.7986213333333,0.407708417981038
"MYEF2",57.130123,49.07329,40.169188,1749,2223,1892,9.140543,72.049145,69.582101,68.769447,2099,1402,1430,4.72567666666667,1.77106455539753
"MYEOV",0.097011,0.0205,0.019392,1,1,1,1.71394566666667,0.540094,0.226637,0.772141,6,2,4,5.605428,0.410865982744293
"MYF5",0,0,0,0,0,0,3.50751766666667,0.735402,0,0,17,0,0,2.66928766666667,1.22844488526065
"MYF6",0.480452,0.039105,0.111527,9,1,3,0.059871,3.765314,0.061043,0,81,1,0,0.108404,0.956213618860993
"MYH1",0,0.007478,0,0,1,0,4.46428466666667,0.040207,0,0,5,0,0,3.83029,1.13125395507654
"MYH10",84.164639,94.33361,64.549413,3982,6397,5146,8.65542666666667,135.054157,101.616801,79.703098,5551,3883,3539,6.962663,1.21258763138245
"MYH11",0.577873,0.240237,0.219558,23,16,16,0,0.587119,0.646292,0.833895,36,21,26,0.0263826666666667,0.974295486933399
"MYH13",0,0,0,0,0,0,16.8490036666667,0.072932,0,0,8,0,0,19.4553146666667,0.872585142664798
"MYH14",3.370579,1.420411,2.324188,201,150,195,0.633498,1.531421,0.399868,0.681958,93,32,39,0.925571333333333,0.848318611584371
"MYH15",1.61098,0.316307,0.248922,100,38,42,0.080327,0.55492,0.237651,0.263536,56,15,13,0.0721233333333333,1.00765179379238
"MYH2",0,0,0,0,0,0,9.16115333333333,0.951256,0,0,96,0,0,4.524678,1.83922996658508
"MYH3",1.336675,1.118805,0.426317,29,41,22,15.176684,534.266803,0.45888,0.755545,34190,12,13,13.004568,1.15510053576804
"MYH4",0,0,0,0,0,0,1.935614,0.017759,0,0,2,0,0,0.154771333333333,2.54216043926734
"MYH6",0.78527,0.021374,0.007397,3,1,1,0.232594333333333,0.182111,0.077213,0,13,1,0,0.215102666666667,1.01439521708454
"MYH7",0.60724,0.259429,0.306162,62,36,45,22.091581,3.630849,0,0.0129,426,0,1,23.3566036666667,0.948062435798554
"MYH7B",0.552467,0.412971,0.727943,33,32,31,0.0279096666666667,0.943642,0.461993,0.273631,60,22,11,3.20981033333333,0.24417006593567
"MYH8",0.010058,0,0,1,0,0,0,51.140901,0,0,5872,0,0,0,1
"MYH9",98.248443,27.06647,21.540993,3153,1288,1313,0.0689726666666667,103.449283,114.239355,92.561582,4263,3245,2865,0,1.06897266666667
"MYL1",0,0,0,0,0,0,0.793439,231.769795,0,0,3401,0,0,1.18283,0.821611852503402
"MYL10",0.226977,0.055668,0,3,1,0,9.84388766666667,0.19688,0.09465,0,3,1,0,7.588873,1.2625507056242
"MYL12A",66.155113,39.02835,43.170641,518,407,545,0.244633333333333,161.219476,100.920986,128.705396,1544,766,812,0.0199773333333333,1.22025587496716
"MYL12B",151.084746,141.122488,146.304129,2116,2697,2979,0.0482406666666667,159.187498,165.719418,185.213711,2515,2022,1956,0.0346416666666667,1.01314368098456
"MYL2",0,0,0.096684,0,0,1,1.419075,0,0,0,0,0,0,0.637565333333333,1.47723877072793
"MYL3",0.904796,0.932306,2.083856,8,16,25,0,0.648312,3.30445,2.523678,16,32,31,0,1
"MYL4",0.291915,0,0.214054,2,0,3,43.1597463333333,90.465059,0,0.247649,922,0,2,29.20124,1.46218321940865
"MYL5",10.682878,8.732223,9.366557,101,113,128,335.523395,14.907819,16.404859,11.302967,166,132,94,414.790013,0.809359014113694
"MYL6",1208.455009,1247.938211,1178.675153,5427,7370,7632,166.785929,1325.167032,1315.422936,1563.269381,6947,5174,4936,187.784597,0.888769166904014
"MYL6B",1221.972533,1446.19904,1318.459201,1104,1679,1615,2.65602033333333,1712.565956,983.888164,851.918587,1667,672,602,4.41708533333333,0.674905435001455
