"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"HLA.DRB5",0.823194,0.301355,0.50194,14,7,13,28.3870683333333,0.744738,13.718895,17.485947,15,211,235,30.605871,0.929797768690929
"HLA.DRB6",0,0.178519,0,0,2,0,3.78090433333333,0.105444,3.395503,8.565535,1,28,69,5.58821266666667,0.725675471516352
"HLA.E",3.889971,2.520783,4.237161,155,120,241,17.000325,14.756457,9.393948,12.28979,661,330,379,2.14391366666667,5.7254514304411
"HLA.F",9.479937,8.791598,12.008097,63,92,134,0.367931,2.424593,3.812591,4.198421,23,23,23,0.384494333333333,0.988036546676609
"HLA.F.AS1",0.430222,0.500065,1.408414,14,10,30,0.0976556666666667,1.099172,0.14644,0.595091,16,4,6,0.0251473333333333,1.070729670727
"HLA.G",0.052502,0.174738,0.622127,1,4,19,7.04160166666667,0.042174,0.157166,0.251194,1,2,2,11.5332993333333,0.641618894817214
"HLA.J",1.195295,1.915196,2.503422,20,40,56,10.8823906666667,1.896661,1.232695,1.433133,39,18,18,11.3118266666667,0.965120041759306
"HLA.L",2.015355,1.877297,2.409051,91,99,151,36.006566,2.890926,0.932198,1.212548,136,34,30,36.3204546666667,0.991589366488961
"HLA.V",0.206332,0.382134,0.656427,9,21,33,5.59211266666667,0.499742,0.127438,0,17,9,0,0.111558,5.93051614640592
"HLCS",6.663031,5.390115,4.296027,508,612,575,9.45749833333333,5.373757,6.884267,5.726711,589,492,410,17.6919156666667,0.559466376792092
"HLF",1.390094,0.512554,0.553377,85,30,40,29.0438356666667,1.816382,0.494747,0.451929,52,15,22,30.4570726666667,0.955074109565906
"HLTF",20.08995,17.55094,16.19596,1261,1913,1701,29.3621543333333,17.345352,10.627943,13.247158,1217,703,732,28.1314553333333,1.04224639606631
"HLTF.AS1",0,0,0,0,0,0,23.233357,0.303623,0,0,1,0,0,29.001077,0.807749568457159
"HLX",0.38479,0.093485,0.098242,7,2,7,0.518439,0.331901,0.292039,0,7,3,0,0.0479703333333333,1.44893319181109
"HLX.AS1",0.385038,0.278392,0.125365,2,2,1,27.1614213333333,0.16357,0,0,1,0,0,29.068995,0.936560112279554
"HM13",91.118321,85.332446,78.704713,913,1246,1189,0.652888333333333,122.682806,148.860576,199.662553,1315,1223,1307,0.539239,1.07383475427359
"HM13.AS1",0,0,0,0,0,0,0.0755213333333333,0.21748,0.277254,0,1,1,0,0.111837333333333,0.967336948570414
"HMBOX1",25.126341,41.890803,35.149527,307,604,505,3.88590633333333,30.513297,29.357836,31.623184,403,268,242,5.306786,0.774706218560981
"HMBS",11.82139,12.07863,9.207602,155,226,227,49.255837,13.413128,10.659348,15.321352,216,150,158,48.901375,1.00710325116292
"HMCES",15.067891,19.429902,16.846504,323,526,493,100.486868666667,23.526145,21.763174,21.906543,604,358,411,63.3208713333333,1.57782173286687
"HMCN1",1.243224,2.613256,4.120109,92,105,135,25.664897,36.254765,40.645276,39.656495,2113,1293,1025,9.971794,2.43031331065822
"HMCN2",6.132098,4.804108,7.11829,501,554,589,0.19092,2.763235,3.503093,2.373012,256,249,148,0.869422333333333,0.637052408524772
"HMG20A",21.279547,26.936999,19.132393,542,914,733,25.0849043333333,36.396933,33.563626,30.157904,1041,695,738,79.8690693333333,0.322557246526657
"HMG20B",9.093506,5.308583,8.760247,118,106,176,11.018772,78.204385,49.350648,59.757986,1042,478,604,14.9908906666667,0.751601161594668
"HMGA1",44.379316,42.954132,51.966922,1265,1684,1981,976.316203333333,31.870688,29.730647,33.172022,1041,701,721,944.133056,1.03405144612076
"HMGA2",3.831179,0.142296,0.505731,119,11,7,2.023277,25.850422,11.482676,10.085456,1356,427,505,34.6825533333333,0.0847270365368099
"HMGA2.AS1",0.261993,0.077486,0.126962,4,1,3,23.9059766666667,0.385133,0.216745,0.246451,7,4,3,37.788684,0.642093881469829
"HMGB1",177.120717,179.100929,163.972233,3729,5099,4541,1.01528133333333,212.464704,139.87627,157.944519,4884,2658,3059,1.319727,0.868757975974472
"HMGB2",5.414542,3.081196,3.16667,78,55,65,0.292562,40.63294,7.502363,19.048068,609,88,205,9.82199833333333,0.119438384685268
"HMGB3",58.732138,64.60566,46.576798,1385,2264,1753,8.113686,47.915976,51.138176,48.223719,1237,1025,1073,14.3855093333333,0.592355170215576
"HMGB4",0,0.020585,0,0,1,0,29.2581903333333,0,0,0,0,0,0,36.9765756666667,0.796759312870117
"HMGCL",9.047475,6.158139,7.012726,162,155,184,83.526678,13.709688,7.861158,9.511925,296,134,139,92.6983633333333,0.902114775466196
"HMGCLL1",16.686285,17.973175,17.544541,376,514,499,71.7042676666667,12.60876,21.82005,21.438507,330,392,388,57.753218,1.23745166888845
"HMGCR",216.394371,159.748104,132.494298,5750,6047,5101,45.6847393333333,220.878892,173.641273,165.761813,6197,4186,4218,40.3220396666667,1.12977819366919
"HMGCS1",216.805548,151.551349,121.067157,10018,9411,8426,15.625466,228.369195,151.268116,158.451269,10975,5383,5582,20.5262263333333,0.772335370935661
"HMGCS2",0,0,0,0,0,0,122.335657333333,0,0,0,0,0,0,87.67592,1.39085850288707
"HMGN1",93.305739,87.113314,66.065177,1329,2054,1623,10.784023,149.548856,91.033835,105.646777,2464,1121,1391,14.0988106666667,0.780460346192389
"HMGN2",43.246867,32.665875,37.539347,590,640,688,23.6274596666667,92.881666,48.705071,92.811619,1573,577,1094,24.115797,0.980556566318268
"HMGN3",21.857788,16.549427,14.917707,236,237,227,6.49099566666667,49.024509,17.422602,28.928848,593,159,246,8.045081,0.828184475812507
"HMGN3.AS1",0.396133,0.551374,0.498992,18,34,32,2.853226,0.667487,0.509553,0.534635,34,20,19,5.17139433333333,0.624368787971902
"HMGN4",19.920298,28.936674,16.939255,578,724,703,0.605398,33.999417,35.576803,23.27355,706,480,536,0.408511333333333,1.13978351611891
"HMGN5",2.124237,2.541551,2.604639,19,41,41,268.704686333333,3.784943,2.893441,4.796176,57,24,33,144.717637666667,1.85087193734427
"HMGXB3",21.404646,21.887257,17.784457,975,1348,1277,4.49855933333333,40.326745,32.598612,41.221765,1998,1445,1470,7.76368833333333,0.627425248844046
"HMGXB4",6.638328,6.239976,5.738205,345,458,478,0.0380433333333333,6.805816,4.526838,4.541137,451,226,226,0.0233566666666667,1.01435146429886
"HMHB1",0,0,0,0,0,0,49.9539053333333,0,0,0,0,0,0,60.6262236666667,0.826821802499868
"HMMR",0.654179,0.567317,0.264077,19,16,8,10.1573203333333,5.850643,1.294042,2.802872,179,39,84,11.3450536666667,0.903788726610369
"HMOX1",1.134909,0.416573,0.545787,20,13,18,10.9630506666667,1.608224,1.349121,1.78251,35,27,26,7.27741066666667,1.44526484771888
"HMOX2",48.484202,62.355061,61.66554,618,980,1011,39.03562,53.267593,65.003874,62.151511,696,647,588,32.7309973333333,1.18690887210846
"HMSD",1.24796,0.64121,7.915176,7,6,17,9.60439833333333,0.550516,2.758585,1.375984,4,12,7,4.40226366666667,1.96295460341285
"HMX1",2.039606,0.238793,0.815711,32,6,23,4.73425866666667,10.917016,11.793307,14.772127,234,173,180,5.222996,0.921462695246255
"HMX2",3.073308,0.252191,0.99178,70,8,35,31.1077056666667,0,0,0,0,0,0,30.2238543333333,1.0283069259771
"HMX3",5.145188,1.282775,1.760748,210,72,113,17.802981,0.083735,0.193908,0.064623,4,7,2,32.735782,0.557360164350125
"HNF1A",0.021173,0.450992,0,1,6,0,0.0128066666666667,0.018305,0,0.182991,1,0,2,0.302962,0.777310978114992
"HNF1A.AS1",0.52147,0.653449,0.697878,9,12,11,7.70172533333333,0.307971,0.52353,0.666706,8,5,8,6.93385133333333,1.09678452087624
"HNF1B",0.778067,0.127502,0.10364,29,8,6,1.96815433333333,0.058384,0.025644,0.146444,3,1,3,1.64070266666667,1.12400171772463
"HNF4A",0.06043,0.009292,0.02564,6,1,4,0.309536333333333,0.008083,0.042341,0,1,4,0,29.869693,0.0424214239297208
"HNF4A.AS1",0,0,0,0,0,0,0.01918,0.125617,0,0,1,0,0,0.776140666666667,0.573817163880789
"HNF4G",0.412168,0.453125,0.2483,5,23,12,14.2570783333333,0,0.045309,0.050332,0,2,1,34.833666,0.425774977456488
"HNMT",4.003584,2.715352,5.129815,20,58,62,112.374036,3.193294,1.641339,2.947735,12,7,12,106.152530333333,1.05806214419121
"HNRNPA0",18.299715,20.92561,18.722497,2654,4137,3896,13.3107353333333,17.991647,17.204926,20.312446,2956,2166,2343,18.1908306666667,0.745706925453218
"HNRNPA1",446.204968,504.236204,407.408041,5309,8323,7364,4.33123066666667,979.249138,622.077737,650.113793,13239,6176,7069,29.3336656666667,0.175752931586013
"HNRNPA1L2",11.027925,9.609139,8.529012,208,247,234,0.0334153333333333,8.708749,11.416153,12.327371,190,189,182,0.024118,1.00907838094178
"HNRNPA1P33",0.420634,0.316621,0,2,2,0,41.680278,0.287696,0.23937,0.813281,2,1,3,22.569485,1.81082777158686
"HNRNPA2B1",321.958619,331.814542,246.780681,6202,8616,6557,4.28098033333333,478.989279,366.971305,547.910147,10994,6297,7167,1.23680466666667,2.36094837069665
"HNRNPA3",83.067778,84.805586,68.793738,3134,4571,3729,0.127709666666667,147.467752,103.823764,122.361348,5489,2993,3414,0.220989333333333,0.923603209200845
"HNRNPAB",51.837823,58.36021,49.705878,1148,1776,1698,0.705031666666667,54.299486,56.047696,63.544739,1355,1048,1091,0.462988666666667,1.16544420713216
"HNRNPC",307.276449,273.981392,266.864241,2954,3807,3745,2.112743,436.964882,296.52238,363.012477,4882,2517,2954,41.8274996666667,0.0726809415498682
