"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ACIN1",105.63399,105.63399,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.631733771026232
"ACLY",22.50573,22.50573,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.165466518871551
"ACMSD",0.18976,0.18976,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.13000782300445
"ACO1",76.4613,76.4613,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,7.88631931516485
"ACO2",389.11261,389.11261,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,9.74970476918847
"ACOT1",5.59164,5.59164,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,1.37910391427888
"ACOT11",13.32127,13.32127,0.37798,0.458171,0.465699,0.43395,35,34,33,9.98728686495345
"ACOT12",0,0,0.838379,0.711122,0.64397,0.731157,19,13,12,0.57764835887213
"ACOT13",205.92936,205.92936,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,16.3136266650507
"ACOT2",29.46366,29.46366,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,1.66984458735429
"ACOT4",1.16387,1.16387,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,1.75644121250428
"ACOT6",0,0,0,0.122286,0,0.040762,0,1,0,0.960834465516612
"ACOT7",1.83436,1.83436,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,0.0714461972428195
"ACOT8",13.29597,13.29597,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,1.21122780710146
"ACOT9",106.24123,106.24123,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,4.06077816577491
"ACOX1",34.67578,34.67578,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,1.25855377464862
"ACOX2",92.35068,92.35068,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,12.6840321676126
"ACOX3",7.42601,7.42601,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,0.829377842021656
"ACOXL",0,0,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,0.831433968622791
"ACP1",107.3545,107.3545,58.248272,76.17287,65.299677,66.5736063333333,903,859,858,1.60350328892466
"ACP2",15.85142,15.85142,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.117915108518521
"ACP5",3.2639,3.2639,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,0.566546554681041
"ACP6",12.65078,12.65078,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.577731252182592
"ACR",0.46808,0.46808,0.050784,0.062833,0,0.0378723333333333,1,1,0,1.41450923475816
"ACRBP",1.01206,1.01206,0.933344,1.400639,0.994766,1.109583,9,11,8,0.953771432553258
"ACRV1",0.13916,0.13916,0.230836,0.190941,0.387534,0.269770333333333,4,4,4,0.897138616405959
"ACSBG1",136.09706,136.09706,1.680716,3.357604,1.221717,2.086679,49,54,34,44.4157166974603
"ACSBG2",0.16446,0.16446,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,0.840674092896295
"ACSF2",23.65695,23.65695,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.469495807727345
"ACSF3",9.56399,9.56399,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,0.588992552857495
"ACSL1",696.3241,696.3241,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,25.0113984501599
"ACSL3",49.31273,49.31273,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.369682217707651
"ACSL4",42.81023,42.81023,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,1.43109139990775
"ACSL5",14.33333,14.33333,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,10.4189411861967
"ACSL6",3.50427,3.50427,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,0.837301581892072
"ACSM1",0.70844,0.70844,0,0.132055,0,0.0440183333333333,0,1,0,1.63640804519716
"ACSM2A",0.17711,0.17711,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.415903286730451
"ACSM2B",0.51868,0.51868,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.942069636034716
"ACSM3",75.80346,75.80346,0.848148,3.771251,3.221045,2.61348133333333,19,43,27,21.2546995307572
"ACSM4",0,0,0.291138,0.408874,0.146039,0.282017,9,5,4,0.780020857757736
"ACSM5",1.12592,1.12592,0,0.083985,0,0.027995,0,1,0,2.06802562269272
"ACSS1",86.78433,86.78433,2.170075,1.974672,2.210112,2.11828633333333,125,92,110,28.1514654576835
"ACSS2",127.14031,127.14031,53.386125,66.083436,55.009702,58.1597543333333,306,259,305,2.16600476868106
"ACSS3",33.436,33.436,7.547094,17.434579,3.069008,9.350227,223,394,163,3.32707678778446
"ACTA1",2743.75123,2743.75123,0.240853,0.05949,0.233685,0.178009333333333,5,1,4,2329.9910725099
"ACTA2",189.23033,189.23033,6.327661,72.105899,6.461854,28.2984713333333,99,1023,93,6.49284148089911
"ACTB",881.43027,881.43027,1508.849694,1933.919489,1684.423797,1709.06432666667,16993,17349,16522,0.516021681897822
"ACTBL2",0,0,0.024972,0,0,0.008324,1,0,0,0.991744716975893
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",12463.16647,12463.16647,0.053354,2.151921,0.356773,0.854016,1,24,3,6722.79336855777
"ACTG1",170.15296,170.15296,1419.3332,1648.589858,1463.03336,1510.318806,26010,23050,24917,0.113247422926596
"ACTG1P10",0.17711,0.17711,0.214912,0,0,0.0716373333333333,3,0,0,1.09842197857982
"ACTG2",4.54163,4.54163,7.933159,66.52499,5.367457,26.6085353333333,155,991,99,0.200721622248076
"ACTL10",0.08856,0.08856,0.108181,0.047738,0.13155,0.095823,3,1,3,0.993372104801597
"ACTL6A",42.96204,42.96204,127.358034,224.770196,142.955043,165.027757666667,297,293,270,0.264787289895599
"ACTL6B",0,0,28.097481,15.805406,34.483202,26.1286963333333,158,77,164,0.0368613363396784
"ACTL7A",0,0,0,0,0,0,0,0,0,1
"ACTL7B",0,0,0,0,0.060404,0.0201346666666667,0,0,1,0.980262736553736
"ACTL8",0,0,0,0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",35.48543,35.48543,90.571305,205.524402,69.241953,121.77922,1789,3484,1635,0.297162907534353
"ACTN2",1533.36279,1533.36279,1.088077,0.737005,1.599137,1.14140633333333,35,16,39,716.521085286787
"ACTN4",49.46454,49.46454,278.496919,323.301901,259.392949,287.063923,4353,4197,3672,0.175185214012377
"ACTN4P1",0,0,0,0,0,0,0,0,0,1
"ACTR10",210.81256,210.81256,106.898089,119.583704,114.844543,113.775445333333,926,725,903,1.84545186807901
"ACTR1A",83.50778,83.50778,74.839265,81.902002,83.592002,80.1110896666667,2113,1784,2155,1.04187701518118
"ACTR1B",20.64607,20.64607,21.363274,19.600556,20.09068,20.3515033333333,569,419,496,1.0137960621352
"ACTR2",93.84347,93.84347,75.976968,94.052154,82.283986,84.1043693333333,4054,4017,3903,1.11443714045422
"ACTR3",104.47012,104.47012,45.55178,67.520844,47.924974,53.665866,1318,1529,1194,1.92935972147592
"ACTR3B",13.92851,13.92851,10.065129,3.446338,9.264419,7.591962,128,93,123,1.73749720960125
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",3.90909,3.90909,0.124921,0.064517,0.014714,0.0680506666666667,4,4,1,4.59630816515571
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",3.65607,3.65607,2.283258,2.083983,2.205831,2.191024,85,62,72,1.45911469171025
"ACTR6",30.9944,30.9944,13.415528,14.382194,12.825706,13.5411426666667,179,170,172,2.20026725089097
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",19.38099,19.38099,27.345583,31.670753,28.516672,29.1776693333333,451,420,408,0.675366602201045
"ACTRT1",0,0,0.102041,0,0,0.0340136666666667,2,0,0,0.967105205895087
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",1.25243,1.25243,1.292807,1.228868,1.115009,1.212228,30,23,23,1.01817262958429
"ACVR1",23.97322,23.97322,7.037928,8.229634,8.26402,7.84386066666667,266,286,274,2.82379166082143
"ACVR1B",10.04472,10.04472,23.506718,19.491365,37.165374,26.7211523333333,1068,588,961,0.398422109845674
"ACVR1C",0.0759,0.0759,0.0076,0,0,0.00253333333333333,1,0,0,1.0731812741056
"ACVR2A",7.17299,7.17299,16.277364,13.847823,12.988231,14.3711393333333,858,613,699,0.531710097915535
"ACVR2B",0.0506,0.0506,4.35859,4.450622,4.619946,4.476386,801,656,751,0.191841846064174
"ACVRL1",13.16946,13.16946,0.590729,2.94744,0.548938,1.362369,17,29,14,5.99798761328141
"ACY1",5.02236,5.02236,20.950655,16.690042,15.695317,17.7786713333333,158,95,107,0.3207021355824
"ACY3",0,0,0,0,0,0,0,0,0,1
"ACYP1",40.39393,40.39393,10.41891,8.717873,14.17402,11.103601,56,39,67,3.41996815658414
"ACYP2",157.43893,157.43893,10.213957,4.257689,7.281641,7.25109566666667,107,43,69,19.2021685847217
"ADA",5.95852,5.95852,1.881756,4.803617,1.30235,2.66257433333333,34,81,20,1.89989864142006
"ADAD1",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ADAD2",0,0,0.3516,0,0,0.1172,2,0,0,0.895094880057286
"ADAL",43.1518,43.1518,7.68946,6.63051,7.245079,7.18834966666667,179,129,165,5.39202669614052
"ADAM10",30.8426,30.8426,123.897107,145.822332,94.147613,121.289017333333,2639,2371,2045,0.260388060141198
"ADAM11",0.64519,0.64519,76.352617,40.073029,61.625283,59.3503096666667,3716,1536,3032,0.0272606720510117
"ADAM12",0.08856,0.08856,263.2453,223.75449,242.910757,243.303515666667,19064,13110,16722,0.00445576887024932
"ADAM15",10.82907,10.82907,60.668103,38.00024,71.175865,56.614736,825,388,844,0.205313272632196
"ADAM17",16.67372,16.67372,20.368008,22.287947,19.327487,20.6611473333333,954,877,913,0.815917999542099
"ADAM18",0,0,0.173553,0,0.041788,0.0717803333333333,3,0,1,0.933027010198918
"ADAM19",8.9188,8.9188,29.941341,40.231067,28.930422,33.0342766666667,3088,3156,2634,0.291435604674229
"ADAM1B",5.26272,5.26272,0.246283,0.130195,0.235106,0.203861333333333,7,3,6,5.20219382963265
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.21506,0.21506,0.04832,0.029938,0.054296,0.0441846666666667,2,1,2,1.16364474483121
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.44278,0.44278,0.668215,0.347816,0.872414,0.629481666666667,26,11,31,0.885422665080614
"ADAM21P1",0.08856,0.08856,0.092513,0.167063,0.171162,0.143579333333333,3,4,4,0.951888485801014
"ADAM22",2.3657,2.3657,4.293794,2.708427,3.651038,3.55108633333333,478,274,429,0.739537717698023
"ADAM23",83.65959,83.65959,37.576591,23.373305,38.05317,33.001022,1238,742,1078,2.48991309731807
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",3.2892,3.2892,0.348438,0.553339,0.041631,0.314469333333333,9,6,4,3.26306585572682
"ADAM29",0,0,0.239099,0.065655,0.330303,0.211685666666667,6,2,12,0.825296549682715
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.54398,0.54398,2.254211,1.354362,2.923583,2.17738533333333,55,59,42,0.48592784255734
"ADAM33",8.48867,8.48867,2.494698,2.736092,1.700388,2.31039266666667,101,92,56,2.86632764008459
"ADAM3A",0,0,0.436679,0.176368,0.214035,0.275694,6,2,3,0.783887045012362
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0,0,0,0.04341,0,0.01447,0,1,0,0.985736394373417
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,0,0,0,1
"ADAM8",0.0253,0.0253,5.202434,6.064427,4.039568,5.102143,86,51,59,0.168022938826573
"ADAM9",112.00998,112.00998,71.058484,58.878118,62.020836,63.9858126666667,3410,2438,2937,1.73899464148683
