"Hs_symbol","Heart","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"AATF",24.35275,24.35275,18.011852,16.629179,17.421425,17.354152,333,266,229,1.38130870878698
"AATK",0.83495,0.83495,0.807211,1.215351,1.261386,1.09464933333333,81,68,60,0.876017751897374
"ABAT",46.07413,46.07413,3.072307,1.855792,1.672802,2.20030033333333,274,169,145,14.7092850973049
"ABCA1",15.72492,15.72492,1.876267,0.885241,0.804978,1.18882866666667,396,171,159,7.64103662141364
"ABCA10",28.56546,28.56546,0.159011,0.678309,0.402902,0.413407333333333,12,6,3,20.9178623194729
"ABCA11P",9.27302,9.27302,1.985955,1.111808,0.940415,1.34605933333333,66,38,32,4.37884066018222
"ABCA12",0,0,0,0.006599,0,0.00219966666666667,0,1,0,0.997805161246977
"ABCA13",0.0253,0.0253,0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,0.941295639480618
"ABCA17P",1.08797,1.08797,0.02167,0.266152,1.014407,0.434076333333333,2,4,5,1.45596852236364
"ABCA2",0.78435,0.78435,24.315816,17.365586,16.698512,19.4599713333333,805,444,402,0.0872117546466422
"ABCA3",1.10062,1.10062,2.864033,2.329955,1.427765,2.207251,295,201,155,0.654959652362724
"ABCA4",0.0506,0.0506,0.012157,0.012809,0,0.008322,1,1,0,1.04192906631017
"ABCA5",33.05648,33.05648,4.156998,3.19961,2.228167,3.194925,168,152,100,8.11849556309112
"ABCA6",30.9185,30.9185,0.307074,0.113031,0.186072,0.202059,11,7,9,26.5531891529451
"ABCA7",1.44219,1.44219,11.353326,7.85688,8.990523,9.400243,435,267,221,0.234820474867751
"ABCA8",93.07177,93.07177,3.234198,1.719767,1.436738,2.13023433333333,96,64,65,30.0526286477168
"ABCA9",44.49278,44.49278,0.287344,0.110486,0.190728,0.196186,11,7,5,38.0315268695671
"ABCB1",11.91703,11.91703,0.03239,0.180298,0.191402,0.134696666666667,3,5,3,11.3836855077275
"ABCB10",14.34598,14.34598,4.005154,2.663769,2.895076,3.18799966666667,137,128,111,3.66427440817211
"ABCB10P3",0,0,0.115241,0.054277,0,0.056506,5,2,0,0.946516157977333
"ABCB10P4",0.20241,0.20241,0,0,0.054181,0.0180603333333333,0,0,2,1.1810793138979
"ABCB11",0.06325,0.06325,0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,0.972203469179192
"ABCB4",7.66637,7.66637,11.373936,10.12465,10.942716,10.8137673333333,248,158,162,0.733582248191672
"ABCB5",0,0,0.238192,0,0.073851,0.104014333333333,1,0,5,0.905785341555046
"ABCB6",17.10385,17.10385,8.326215,7.061364,8.704006,8.03052833333333,123,101,86,2.00473874083041
"ABCB7",55.72667,55.72667,13.831658,11.114692,9.446497,11.4642823333333,350,248,280,4.55113808263917
"ABCB8",6.61636,6.61636,11.02178,6.985446,5.674411,7.893879,471,342,268,0.856359750340656
"ABCB9",0.8223,0.8223,4.324097,2.790693,3.029996,3.38159533333333,187,127,124,0.415898744947236
"ABCC1",6.17358,6.17358,4.111846,2.414281,2.166516,2.89754766666667,483,341,276,1.84053682302624
"ABCC10",5.79406,5.79406,14.897475,9.350053,15.513101,13.253543,250,167,160,0.476657628212157
"ABCC11",0.10121,0.10121,0.152197,0,0.378463,0.176886666666667,2,0,3,0.935697574957657
"ABCC12",0.24036,0.24036,0.174113,0,0.046512,0.0735416666666667,1,0,1,1.1553906462255
"ABCC13",0,0,0,0.021593,0,0.00719766666666667,0,1,0,0.992853769518264
"ABCC2",0.22771,0.22771,0.206724,0.320286,0.182112,0.236374,3,4,1,0.992992411681255
"ABCC3",1.12592,1.12592,0.348225,0.325404,0.504307,0.392645333333333,2,3,3,1.52653367595866
"ABCC4",2.60606,2.60606,0.874694,0.850797,0.835235,0.853575333333333,82,50,37,1.9454617976142
"ABCC5",58.93997,58.93997,26.815209,20.139758,16.661965,21.205644,1688,1220,1081,2.69931239102996
"ABCC6",0.55663,0.55663,2.370812,3.482122,1.641663,2.498199,98,80,51,0.44498040277297
"ABCC6P1",0.16446,0.16446,1.554418,1.274452,1.425343,1.418071,38,40,29,0.481565677765458
"ABCC6P2",0.15181,0.15181,2.969539,3.945743,2.768744,3.22800866666667,30,40,28,0.272423755675051
"ABCC8",1.54339,1.54339,0.18336,0.761856,0.182109,0.375775,9,6,1,1.84869618942051
"ABCC9",61.837,61.837,5.937915,4.245439,2.802442,4.32859866666667,581,434,370,11.7924062086117
"ABCD1",0.64519,0.64519,9.855316,6.357848,6.647314,7.62015933333333,690,437,443,0.190853780815652
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",4.75669,4.75669,0.210704,0.12733,0.165506,0.167846666666667,19,13,17,4.92932005914018
"ABCD3",69.59193,69.59193,10.323186,7.852999,5.423063,7.866416,539,489,336,7.96172094790048
"ABCD4",31.47513,31.47513,36.841234,32.142947,25.91358,31.632587,577,476,396,0.995174853896812
"ABCE1",44.60664,44.60664,25.279482,10.850918,4.462396,13.530932,450,444,265,3.13859014686739
"ABCF1",71.80581,71.80581,30.647549,12.146954,19.277681,20.690728,895,681,599,3.35654063800901
"ABCF2",34.68843,34.68843,6.164294,6.22041,10.611419,7.66537433333333,480,500,342,4.11850990241891
"ABCF3",31.91791,31.91791,42.225453,35.384299,25.704264,34.4380053333333,787,609,496,0.928887212764119
"ABCG1",14.34598,14.34598,4.885127,3.443918,3.219942,3.84966233333333,306,199,192,3.16433989527931
"ABCG2",2.97293,2.97293,0.576877,0.198017,0.199392,0.324762,10,14,4,2.99897641991543
"ABCG4",1.02471,1.02471,0.753032,0.371896,0.214828,0.446585333333333,40,26,15,1.39964781430108
"ABCG5",0.06325,0.06325,0,0.01593,0,0.00531,0,1,0,1.057633963653
"ABCG8",0,0,0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,0.956149699896481
"ABHD1",11.14533,11.14533,0.548215,0.837679,0.573511,0.653135,17,19,15,7.34684705120876
"ABHD10",71.17327,71.17327,4.682414,3.63352,2.996599,3.77084433333333,164,141,99,15.1279867791397
"ABHD11",9.04531,9.04531,16.413349,19.071503,13.597818,16.36089,302,309,281,0.578617225268981
"ABHD12",28.31244,28.31244,31.484105,29.04836,22.06709,27.533185,638,567,468,1.02731048076126
"ABHD12B",0.43013,0.43013,0.21345,0.366161,0.189974,0.256528333333333,7,7,3,1.13815977090316
"ABHD13",8.53927,8.53927,1.172633,1.326137,0.716184,1.07165133333333,82,109,59,4.60466964035454
"ABHD14A",3.30185,3.30185,8.546513,7.684425,5.406513,7.21248366666667,139,127,86,0.52381839338818
"ABHD14B",13.7514,13.7514,8.124944,8.387924,5.480449,7.33110566666667,292,279,180,1.77064132783976
"ABHD15",4.35187,4.35187,1.644095,1.578787,1.43262,1.551834,123,111,101,2.09726416373479
"ABHD16A",17.74904,17.74904,19.452254,20.109003,15.952975,18.504744,486,433,358,0.961255374589895
"ABHD16B",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ABHD2",18.11591,18.11591,3.332886,2.82704,2.375777,2.84523433333333,614,430,406,4.97132511126543
"ABHD3",11.79052,11.79052,2.331696,3.741765,1.156728,2.410063,72,76,34,3.75081633389178
"ABHD4",10.93027,10.93027,15.0237,23.747182,16.357654,18.3761786666667,409,343,303,0.615718414102155
"ABHD5",29.64077,29.64077,7.210165,4.691474,4.783658,5.56176566666667,177,215,128,4.66959223424468
"ABHD6",6.11033,6.11033,2.357982,2.891814,1.502824,2.25087333333333,64,48,45,2.18720610461599
"ABHD8",0.37952,0.37952,4.748047,3.701303,3.322699,3.92401633333333,184,148,137,0.280161540216933
"ABI1",24.88408,24.88408,10.258949,6.855637,7.216852,8.11047933333333,359,321,284,2.84113261804959
"ABI2",57.51043,57.51043,21.727203,10.892244,9.493522,14.0376563333333,933,760,670,3.89092746256625
"ABI3",1.26508,1.26508,0.029558,0.160231,0.222847,0.137545333333333,1,5,7,1.99119976463942
"ABI3BP",33.27154,33.27154,0.659504,0.308934,0,0.322812666666667,5,4,0,25.9080827267555
"ABL1",13.83995,13.83995,7.760499,5.097737,3.86969,5.57597533333333,787,524,458,2.25669185904286
"ABL2",3.52957,3.52957,1.446018,0.98648,1.194757,1.209085,315,194,136,2.05042811842912
"ABLIM1",752.16463,752.16463,59.262507,38.678189,34.133185,44.024627,7498,5439,4652,16.7278371900782
"ABLIM2",7.41336,7.41336,6.864886,5.835002,6.004859,6.23491566666667,163,143,105,1.16288293984721
"ABLIM3",133.68077,133.68077,1.439051,0.939932,0.795889,1.05829066666667,79,55,65,65.4333093868181
"ABO",0.17711,0.17711,0.108377,0.428422,0.100191,0.21233,15,12,11,0.970948504120165
"ABR",99.67548,99.67548,137.5781,52.298863,84.704982,91.527315,1454,973,842,1.08806226572121
"ABRA",26.17446,26.17446,1.22541,0.904378,0.700678,0.943488666666667,55,43,33,13.9823094757778
"ABRACL",12.22065,12.22065,1.304502,3.067132,2.188819,2.18681766666667,11,29,19,4.1485429613011
"ABT1",6.18623,6.18623,3.32542,2.791458,2.174212,2.76369666666667,199,168,128,1.90935418989664
"ABTB1",4.75669,4.75669,4.435767,2.908722,2.928956,3.42448166666667,118,103,97,1.30109930014401
"ABTB2",9.24772,9.24772,6.950399,6.045716,4.152189,5.71610133333333,790,633,438,1.52584356479831
"ACAA1",53.95557,53.95557,73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,0.834192483057755
"ACAA2",464.92872,464.92872,33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,15.7789083260168
"ACACA",12.71403,12.71403,7.1497,4.870629,6.747958,6.25609566666667,693,417,430,1.89000126652134
"ACACB",82.2427,82.2427,26.02878,14.841445,7.767875,16.2127,1315,753,655,4.83612100367752
"ACAD10",36.26978,36.26978,20.02537,13.653281,10.050915,14.576522,659,558,399,2.39268945917452
"ACAD11",82.07824,82.07824,6.08628,6.516346,6.250521,6.28438233333333,364,279,315,11.4049807105585
"ACAD8",42.62047,42.62047,17.886304,13.41606,11.385466,14.2292766666667,633,534,433,2.86425093947338
"ACAD9",27.40158,27.40158,9.950716,8.300763,6.289277,8.180252,369,346,279,3.09376910350609
"ACADL",2.37835,2.37835,0.430319,0.363646,0.199827,0.331264,20,21,12,2.53770101197058
"ACADM",605.13729,605.13729,55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,13.3986450878072
"ACADS",4.26331,4.26331,15.466497,14.289382,12.849752,14.201877,587,501,461,0.346227640178907
"ACADSB",53.39893,53.39893,6.230585,3.533107,3.515221,4.42630433333333,558,395,389,10.0250422125851
"ACADVL",1863.68724,1863.68724,539.418883,513.721339,438.661315,497.267179,4271,3691,3049,3.74234410490842
"ACAN",0.48073,0.48073,0,0.022851,0,0.007617,0,2,0,1.4695365401735
"ACAP1",2.32774,2.32774,14.853065,11.82895,6.245988,10.976001,42,44,28,0.277867378267587
"ACAP2",9.82965,9.82965,2.720509,0.953916,0.841565,1.50533,159,108,106,4.32264412273034
"ACAP3",3.95969,3.95969,32.135196,15.329502,11.519368,19.6613553333333,755,449,440,0.240046691999844
"ACAT1",1020.66473,1020.66473,106.632562,103.500411,97.170077,102.43435,946,923,785,9.87742205563239
"ACAT2",7.69167,7.69167,7.765272,8.394048,3.664681,6.60800033333333,210,229,100,1.14243817286899
"ACBD3",32.47455,32.47455,26.857783,13.437707,11.62415,17.3065466666667,382,312,276,1.82855623234238
"ACBD4",2.70727,2.70727,4.538466,2.387986,1.850638,2.92569666666667,119,81,68,0.944359769688437
"ACBD5",76.06913,76.06913,7.618894,5.044549,4.657079,5.77350733333333,439,324,287,11.3780241472143
"ACBD6",51.90614,51.90614,23.154423,24.794667,23.033485,23.6608583333333,532,463,433,2.14534868514647
"ACBD7",0.13916,0.13916,0.572654,0.568327,0.510339,0.55044,37,38,33,0.734733366012229
"ACCS",14.88997,14.88997,8.564602,4.575821,7.352098,6.83084033333333,163,107,122,2.02915259711804
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",0.54398,0.54398,6.047245,4.588355,4.00999,4.88186333333333,85,83,68,0.262498448620874
"ACE",3.12474,3.12474,1.157448,0.481306,0.687591,0.775448333333333,31,27,17,2.32321038160314
"ACE2",58.85142,58.85142,0.292,0.608641,1.089188,0.663276333333333,17,9,22,35.9840507560479
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0,0,0,0,0,0,0,1
"ACER2",1.63195,1.63195,0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,2.47178957082832
"ACER3",7.31215,7.31215,5.889447,3.785697,2.608854,4.094666,373,369,276,1.6315397319471
"ACHE",0.20241,0.20241,0.074404,0.220625,0.154447,0.149825333333333,5,9,7,1.04573274317607
"ACIN1",105.63399,105.63399,48.187336,30.018075,26.134553,34.779988,1665,1167,1053,2.98026902636189
"ACLY",22.50573,22.50573,20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,1.39675853539238
"ACMSD",0.18976,0.18976,0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,1.10128632741028
"ACO1",76.4613,76.4613,8.895559,7.661565,6.460032,7.67238533333333,708,594,504,8.93194859576504
"ACO2",389.11261,389.11261,146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,3.30324935241273
"ACOT1",5.59164,5.59164,6.652744,7.561148,4.666439,6.29344366666667,192,191,127,0.903776090041782
"ACOT11",13.32127,13.32127,20.174206,15.320592,11.474642,15.65648,1325,899,708,0.859801710805644
"ACOT12",0,0,0.102651,0,0,0.034217,1,0,0,0.966915067147417
"ACOT13",205.92936,205.92936,28.624228,30.396445,27.420034,28.813569,613,576,520,6.94077787198171
"ACOT2",29.46366,29.46366,88.207517,93.696934,77.668179,86.52421,1144,999,964,0.348059811108264
"ACOT4",1.16387,1.16387,0.124947,0.174781,0.261237,0.186988333333333,6,8,12,1.82299180137968
"ACOT6",0,0,0.188194,0,0.040322,0.076172,5,0,1,0.929219492794832
"ACOT7",1.83436,1.83436,18.509861,18.078012,11.411107,15.99966,521,479,300,0.166730393431398
"ACOT8",13.29597,13.29597,14.918157,12.104523,11.463739,12.8288063333333,289,242,204,1.03378192270584
"ACOT9",106.24123,106.24123,29.935853,23.797934,22.855973,25.52992,918,759,709,4.04227491074229
"ACOX1",34.67578,34.67578,26.743277,25.166,14.165662,22.0249796666667,569,533,438,1.54943806754574
"ACOX2",92.35068,92.35068,17.904677,19.718667,13.035042,16.8861286666667,296,273,205,5.21916630142398
"ACOX3",7.42601,7.42601,11.241262,6.789727,5.371668,7.80088566666667,239,160,120,0.957404779375045
"ACOXL",0,0,0.725081,0.07677,0.356086,0.385979,14,3,7,0.721511653495471
"ACP1",107.3545,107.3545,30.223411,32.418039,30.824921,31.155457,582,628,585,3.36970797833786
"ACP2",15.85142,15.85142,43.214406,45.839884,42.704658,43.9196493333333,569,466,395,0.375145849313101
"ACP5",3.2639,3.2639,0.224677,1.062225,0,0.428967333333333,1,4,0,2.98390306099836
"ACP6",12.65078,12.65078,5.616296,6.558338,5.860511,6.011715,182,148,113,1.94685323062903
"ACR",0.46808,0.46808,0,0.037509,0.037908,0.025139,0,1,1,1.4320789668523
"ACRBP",1.01206,1.01206,0.3985,0.030659,0.225437,0.218198666666667,4,1,2,1.65166820080797
"ACRV1",0.13916,0.13916,0.027065,0.168649,0.254211,0.149975,1,3,3,0.990595447727124
"ACSBG1",136.09706,136.09706,0.540764,0.319036,0.523883,0.461227666666667,30,21,25,93.8232030007644
"ACSBG2",0.16446,0.16446,0.522338,0.103219,0.103778,0.243111666666667,4,1,1,0.936730006824273
"ACSF2",23.65695,23.65695,61.978687,54.648487,53.059789,56.562321,577,446,412,0.428352254941214
"ACSF3",9.56399,9.56399,19.299129,13.763293,10.433563,14.4986616666667,273,225,190,0.681606594633924
"ACSL1",696.3241,696.3241,43.878419,27.152981,30.101182,33.7108606666667,716,624,486,20.0895076240403
"ACSL3",49.31273,49.31273,71.523045,48.918818,50.907122,57.1163283333333,1224,1079,919,0.865724512247662
"ACSL4",42.81023,42.81023,36.054531,15.661033,10.428141,20.7145683333333,1246,833,675,2.01755012245619
"ACSL5",14.33333,14.33333,0.1358,0,0.182111,0.105970333333333,3,0,1,13.8641422268409
"ACSL6",3.50427,3.50427,0.165731,0.038947,0.026724,0.077134,5,3,2,4.1817174093474
"ACSM1",0.70844,0.70844,0,0.159858,0,0.053286,0,2,0,1.62200959663377
"ACSM2A",0.17711,0.17711,1.918943,2.292445,1.490272,1.90055333333333,10,6,4,0.40582256718833
"ACSM2B",0.51868,0.51868,0,0.111241,0,0.0370803333333333,0,2,0,1.46438029069429
"ACSM3",75.80346,75.80346,1.027824,2.197071,1.355443,1.52677933333333,11,13,11,30.3957923775958
"ACSM4",0,0,0,0,0,0,0,0,0,1
"ACSM5",1.12592,1.12592,0.347033,0.226793,0.050724,0.208183333333333,7,6,1,1.7596005021313
"ACSS1",86.78433,86.78433,0.37447,0.329271,0.198105,0.300615333333333,29,24,13,67.4944603144255
"ACSS2",127.14031,127.14031,136.021315,95.971222,128.057604,120.016713666667,1559,1286,1185,1.058864566038
"ACSS3",33.436,33.436,2.79066,4.630495,1.143408,2.85485433333333,125,108,90,8.93315207846591
"ACTA1",2743.75123,2743.75123,636.770692,441.289829,564.554107,547.538209333333,19134,12570,15960,5.00375576996876
"ACTA2",189.23033,189.23033,51.781238,68.388245,46.909126,55.6928696666667,1324,1661,1126,3.35545424175006
"ACTB",881.43027,881.43027,429.465479,453.29093,375.743403,419.499937333333,7846,7769,6339,2.09852651963772
"ACTBL2",0,0,0,0.022184,0.02198,0.0147213333333333,0,1,1,0.9854922402341
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",12463.16647,12463.16647,5080.246607,4691.279529,4052.296585,4607.940907,121009,106500,94643,2.70434503750516
"ACTG1",170.15296,170.15296,124.614163,112.983909,79.093729,105.563933666667,2936,2870,2190,1.60610587570246
"ACTG1P10",0.17711,0.17711,0.051013,0.053834,0,0.034949,1,1,0,1.13736039167147
"ACTG2",4.54163,4.54163,0.271346,0.303675,0.231978,0.268999666666667,8,3,6,4.36692786102649
"ACTL10",0.08856,0.08856,0.248173,0.129837,0.099075,0.159028333333333,11,5,4,0.939200508471895
"ACTL6A",42.96204,42.96204,129.936939,63.089341,28.578082,73.8681206666667,238,226,162,0.587193048370094
"ACTL6B",0,0,0,0,0,0,0,0,0,1
"ACTL7A",0,0,0,0,0,0,0,0,0,1
"ACTL7B",0,0,0,0,0,0,0,0,0,1
"ACTL8",0,0,0,0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",35.48543,35.48543,97.368685,90.347999,62.458246,83.3916433333333,3154,2333,1894,0.432334631236987
"ACTN2",1533.36279,1533.36279,978.395053,817.138475,753.753803,849.762443666667,32985,24389,21981,1.80351495464129
"ACTN4",49.46454,49.46454,80.761957,61.78139,43.622584,62.0553103333333,1727,1358,1104,0.800321808476178
"ACTN4P1",0,0,0,0.036878,0,0.0122926666666667,0,1,0,0.987856608003351
"ACTR10",210.81256,210.81256,123.432299,114.333934,91.069828,109.612020333333,961,968,829,1.91491448543924
"ACTR1A",83.50778,83.50778,64.377145,42.659304,39.165459,48.7339693333333,3101,2292,2094,1.69919636684539
"ACTR1B",20.64607,20.64607,19.202777,14.33055,13.258617,15.5973146666667,779,576,553,1.30419109565194
"ACTR2",93.84347,93.84347,26.040333,13.291404,11.523641,16.9517926666667,1146,882,773,5.28323113803045
"ACTR3",104.47012,104.47012,38.861514,29.33901,25.230379,31.1436343333333,1098,1075,941,3.28121328491552
"ACTR3B",13.92851,13.92851,7.030276,2.889677,2.312428,4.07746033333333,129,80,93,2.94015295441993
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",3.90909,3.90909,0.6982,1.16039,0.413306,0.757298666666667,10,10,5,2.79354334759259
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",3.65607,3.65607,1.163629,0.795908,0.976133,0.978556666666667,62,40,49,2.35326593291069
"ACTR6",30.9944,30.9944,7.680683,7.620821,3.561405,6.28763633333333,89,134,72,4.3902300466969
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",19.38099,19.38099,17.708309,15.074514,11.257858,14.680227,360,281,217,1.29978921861272
"ACTRT1",0,0,0,0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",1.25243,1.25243,0.448872,0.581869,0.461129,0.49729,14,18,14,1.50433783702556
"ACVR1",23.97322,23.97322,7.233818,5.194846,4.253429,5.56069766666667,358,289,222,3.80648846644511
"ACVR1B",10.04472,10.04472,7.139766,4.870088,4.743164,5.58433933333333,614,453,436,1.67742266017274
"ACVR1C",0.0759,0.0759,0.00775,0.013681,0,0.00714366666666667,1,2,0,1.06826864489045
"ACVR2A",7.17299,7.17299,2.344089,1.398215,1.171016,1.63777333333333,115,94,85,3.09844287858952
"ACVR2B",0.0506,0.0506,1.1158,1.888897,1.517997,1.50756466666667,261,178,121,0.418972245847033
"ACVRL1",13.16946,13.16946,1.239071,1.061599,0.85141,1.05069333333333,40,22,30,6.90959480370867
"ACY1",5.02236,5.02236,29.01427,20.193338,18.22011,22.475906,288,174,168,0.256533656251648
"ACY3",0,0,0,0,0.038868,0.012956,0,0,1,0.987209710984485
"ACYP1",40.39393,40.39393,12.321627,16.716988,15.356579,14.798398,78,114,101,2.62013464909543
"ACYP2",157.43893,157.43893,14.923638,15.092443,14.910934,14.9756716666667,179,179,196,9.9175129099945
"ADA",5.95852,5.95852,4.945909,4.204043,4.670719,4.60689033333333,124,113,122,1.24106582906235
"ADAD1",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ADAD2",0,0,0,0,0,0,0,0,0,1
"ADAL",43.1518,43.1518,13.118704,10.233636,7.871906,10.408082,497,431,361,3.87022112919595
"ADAM10",30.8426,30.8426,24.348027,13.702235,11.245455,16.4319056666667,536,434,351,1.82668496542461
"ADAM11",0.64519,0.64519,11.764671,7.939555,6.243467,8.649231,981,771,582,0.170499597325424
"ADAM12",0.08856,0.08856,0.692991,0.787749,1.408243,0.962994333333333,57,72,53,0.554540571776145
"ADAM15",10.82907,10.82907,11.532537,17.778786,12.695181,14.002168,314,295,237,0.788490703476991
"ADAM17",16.67372,16.67372,5.863159,4.842983,3.098865,4.601669,292,270,199,3.15508110172165
"ADAM18",0,0,0.106287,0,0.174783,0.09369,1,0,1,0.914335872139272
"ADAM19",8.9188,8.9188,21.431505,16.071382,16.202989,17.9019586666667,2888,2073,1947,0.524749851320523
"ADAM1B",5.26272,5.26272,0.459583,0.2042,0.207801,0.290528,18,8,8,4.85283542859977
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.21506,0.21506,0.018165,0.036213,0.036804,0.030394,1,2,2,1.17921882309097
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.44278,0.44278,0.092614,0.093693,0.038026,0.0747776666666667,5,5,2,1.34239856739363
"ADAM21P1",0.08856,0.08856,0.024479,0,0,0.00815966666666667,1,0,0,1.07974960315479
"ADAM22",2.3657,2.3657,0.473128,0.221024,0.122401,0.272184333333333,42,22,22,2.64560717485123
"ADAM23",83.65959,83.65959,41.864549,35.696454,23.789355,33.7834526666667,1340,1061,895,2.43390415584391
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",3.2892,3.2892,0.222073,0,0.032833,0.0849686666666667,7,0,4,3.9532938892859
"ADAM29",0,0,0.022632,0,0,0.007544,1,0,0,0.992512485807071
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.54398,0.54398,1.741478,1.890163,5.623824,3.085155,39,39,22,0.377948939513923
"ADAM33",8.48867,8.48867,0.151082,0.049411,0.215616,0.138703,10,3,12,8.33287520977814
"ADAM3A",0,0,0.13521,0.063743,0.062082,0.0870116666666667,3,1,1,0.919953327701175
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,0,0,0,1
"ADAM8",0.0253,0.0253,1.440741,0.605901,0.327876,0.791506,22,10,8,0.572311786843025
"ADAM9",112.00998,112.00998,26.964509,19.212823,18.44891,21.5420806666667,1015,721,645,5.01328966350075
"ADAMDEC1",0.08856,0.08856,0,0,0,0,0,0,0,1.08856
"ADAMTS1",36.80111,36.80111,7.164372,3.536363,3.442214,4.71431633333333,277,249,139,6.61515880377408
"ADAMTS10",0.27832,0.27832,2.733393,2.863047,1.555908,2.384116,70,54,46,0.377741188540818
"ADAMTS12",1.32833,1.32833,9.689995,10.514763,8.128071,9.44427633333333,421,377,273,0.22292880097102
