"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACAN",0.48073,0.48073,0.61022,0.60714,1.230414,0.815924666666667,0.815413781849247
"ACAP1",2.32774,2.32774,11.702953,8.178989,5.156753,8.34623166666667,0.356051520942754
"ACAP2",9.82965,9.82965,18.902318,8.651381,7.061189,11.538296,0.863725820478317
"ACAP3",3.95969,3.95969,213.831943,213.096372,204.054479,210.327598,0.0234692015947676
"ACAT1",1020.66473,1020.66473,113.018886,107.505607,145.26679,121.930427666667,8.31091821115522
"ACAT2",7.69167,7.69167,94.414141,82.903806,86.300184,87.8727103333333,0.0977990877897198
"ACBD3",32.47455,32.47455,43.967242,69.083492,58.658097,57.236277,0.574805803605886
"ACBD4",2.70727,2.70727,5.340975,3.641431,4.100437,4.36094766666667,0.691532585376851
"ACBD5",76.06913,76.06913,15.374346,21.627524,21.759596,19.5871553333333,3.7435541118794
"ACBD6",51.90614,51.90614,30.045769,28.430908,40.527744,33.0014736666667,1.55599549944997
"ACBD7",0.13916,0.13916,1.327791,0.639002,1.059258,1.00868366666667,0.567117669598216
"ACCS",14.88997,14.88997,14.477036,14.943544,19.448083,16.2895543333333,0.919050294394517
"ACCSL",0,0,0,0,0,0,1
"ACD",0.54398,0.54398,13.137008,9.048602,13.611827,11.932479,0.119387783270323
"ACE",3.12474,3.12474,6.841322,8.479831,10.149919,8.49035733333333,0.434624309193556
"ACE2",58.85142,58.85142,0,0.095415,0.225191,0.106868666666667,54.0727385302562
"ACER1",0,0,0,0,0,0,1
"ACER2",1.63195,1.63195,2.060095,1.631226,2.154176,1.948499,0.892640628333264
"ACER3",7.31215,7.31215,7.649808,4.8069,3.760922,5.40587666666667,1.29758195989828
"ACHE",0.20241,0.20241,52.081818,67.700639,62.028934,60.603797,0.0195184397481214
"ACIN1",105.63399,105.63399,122.816081,100.430979,109.79734,111.0148,0.951963401264833
"ACLY",22.50573,22.50573,200.668971,184.300449,184.729433,189.899617666667,0.123131362374145
"ACMSD",0.18976,0.18976,0.185122,0.039662,0.088863,0.104549,1.0771455136893
"ACO1",76.4613,76.4613,9.64322,6.563351,6.68116,7.62924366666667,8.97660362740945
"ACO2",389.11261,389.11261,71.653142,76.994982,73.567485,74.0718696666667,5.19652183610418
"ACOT1",5.59164,5.59164,4.205801,4.758707,5.368048,4.77751866666667,1.14091193474292
"ACOT11",13.32127,13.32127,1.265227,0.289037,0.841305,0.798523,7.96279502680811
"ACOT12",0,0,0.237945,0.109798,0.174106,0.173949666666667,0.851825277006482
"ACOT13",205.92936,205.92936,11.326065,11.195552,12.209772,11.5771296666667,16.4528287045038
"ACOT2",29.46366,29.46366,24.173517,18.076715,19.437196,20.562476,1.41280899280769
"ACOT4",1.16387,1.16387,0.591094,0.748843,1.193545,0.844494,1.17315101052104
"ACOT6",0,0,0.245134,0.088672,0.12044,0.151415333333333,0.868496337550944
"ACOT7",1.83436,1.83436,80.632403,114.029529,128.44021,107.700714,0.0260748977233029
"ACOT8",13.29597,13.29597,20.763417,18.37889,19.993785,19.7120306666667,0.690225416815721
"ACOT9",106.24123,106.24123,18.917753,21.089502,23.207269,21.071508,4.85880846927179
"ACOX1",34.67578,34.67578,21.711569,42.59937,35.250653,33.1871973333333,1.04354210882374
"ACOX2",92.35068,92.35068,5.471821,1.789143,2.323278,3.19474733333333,22.2541842408943
"ACOX3",7.42601,7.42601,11.236717,10.706481,12.961887,11.6350283333333,0.666877016632465
"ACOXL",0,0,0.106301,0.156535,0.132989,0.131941666666667,0.883437750767487
"ACP1",107.3545,107.3545,74.872622,58.654584,76.070071,69.865759,1.52901064673561
"ACP2",15.85142,15.85142,104.027156,109.16421,127.822959,113.671441666667,0.14695393861869
"ACP5",3.2639,3.2639,0,2.031601,2.612106,1.54790233333333,1.67349428752306
"ACP6",12.65078,12.65078,17.588665,10.559517,14.810767,14.3196496666667,0.891063457521624
"ACPP",0.44278,0.44278,0.265858,0.022854,0.050647,0.113119666666667,1.29615893349592
"ACR",0.46808,0.46808,0.041913,0,0.163679,0.0685306666666667,1.37392406769171
"ACRBP",1.01206,1.01206,0.967429,0.571787,0.527381,0.688865666666667,1.19136769709531
"ACRV1",0.13916,0.13916,0.120346,0.767177,1.18959,0.692371,0.673114819386529
"ACSBG1",136.09706,136.09706,6.630397,3.875408,5.355253,5.28701933333333,21.8063684444425
"ACSBG2",0.16446,0.16446,0.74582,0.53011,0.820644,0.698858,0.685436922921162
"ACSF2",23.65695,23.65695,42.632059,13.17411,6.555456,20.7872083333333,1.1317168139562
"ACSF3",9.56399,9.56399,22.250491,16.962759,21.849371,20.354207,0.494702987565869
"ACSL1",696.3241,696.3241,85.585307,101.814344,82.647096,90.0155823333333,7.66159026974235
"ACSL3",49.31273,49.31273,127.281776,105.351012,89.76463,107.465806,0.463857983040296
"ACSL4",42.81023,42.81023,69.219653,62.683685,53.413498,61.7722786666667,0.697923206398816
"ACSL5",14.33333,14.33333,0.206791,0.83348,0.182037,0.407436,10.8945131430488
"ACSL6",3.50427,3.50427,13.388689,15.367533,10.761177,13.1724663333333,0.317818359490899
"ACSM1",0.70844,0.70844,0.060423,0,0,0.020141,1.67470967248645
"ACSM2A",0.17711,0.17711,0.816039,2.615985,1.21988,1.55063466666667,0.461496903254406
"ACSM2B",0.51868,0.51868,0.4576,0.459343,0.100414,0.339119,1.13408890472019
"ACSM3",75.80346,75.80346,1.696961,2.786466,2.358993,2.28080666666667,23.4099317037883
"ACSM4",0,0,0.215017,0.529825,0.278182,0.341008,0.745707706441721
"ACSM5",1.12592,1.12592,0.201606,0,0.029441,0.0770156666666667,1.97389886312393
"ACSS1",86.78433,86.78433,7.426916,3.07265,5.466344,5.32197,13.8855973691745
"ACSS2",127.14031,127.14031,183.462238,133.340645,131.295035,149.365972666667,0.852189546128652
"ACSS3",33.436,33.436,6.876982,2.730375,3.127256,4.244871,6.56565242500721
"ACTA1",2743.75123,2743.75123,43.17532,0.074509,0.342321,14.5307166666667,176.730494085377
"ACTA2",189.23033,189.23033,25.800466,5.539749,5.485474,12.2752296666667,14.3297204475232
"ACTB",881.43027,881.43027,2138.164791,2243.689595,2712.36844,2364.740942,0.373003761457496
"ACTBL2",0,0,0,0.02739,0.030881,0.0194236666666667,0.980946423649179
"ACTC1",12463.16647,12463.16647,869.621513,0.354562,0.525835,290.167303333333,42.8075760131996
"ACTG1",170.15296,170.15296,1869.624603,1654.156602,1676.836666,1733.53929033333,0.0986734408115419
"ACTG2",4.54163,4.54163,5.162967,3.078347,2.858471,3.69992833333333,1.1790881917703
"ACTL10",0.08856,0.08856,0.061689,0.082599,0,0.048096,1.03860715049003
"ACTL6A",42.96204,42.96204,158.27347,137.510766,210.020503,168.601579666667,0.259207727229915
"ACTL6B",0,0,50.973446,92.448261,75.837415,73.086374,0.0134977587106639
"ACTL7A",0,0,0,0,0.059905,0.0199683333333333,0.98042259481912
"ACTL7B",0,0,0.043131,0,0,0.014377,0.985826768548577
"ACTL8",0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,1
