"Hs_symbol","Heart","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ABCA1",15.72492,15.72492,4.587007,4.124422,3.096802,3.936077,771,969,758,3.38830208685967
"ABCA10",28.56546,28.56546,1.20466,0.95142,0.489229,0.881769666666667,24,31,27,15.7115190683096
"ABCA11P",9.27302,9.27302,1.784649,1.474793,0.919267,1.392903,51,54,37,4.29312011393692
"ABCA12",0,0,0.060479,0.006374,0,0.0222843333333333,9,1,0,0.978201433195526
"ABCA13",0.0253,0.0253,0.018797,0.084847,0.059631,0.054425,1,8,6,0.972378310453565
"ABCA17P",1.08797,1.08797,4.66571,1.657589,2.029971,2.78442333333333,35,13,40,0.55172738779224
"ABCA2",0.78435,0.78435,86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,0.0208798211858362
"ABCA3",1.10062,1.10062,55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,0.0398935303986687
"ABCA4",0.0506,0.0506,0.709647,0.545438,0.159905,0.471663333333333,39,1,1,0.713886101667274
"ABCA5",33.05648,33.05648,10.668791,9.107596,7.662206,9.14619766666667,513,604,633,3.35657564723836
"ABCA6",30.9185,30.9185,0.332708,0.201177,0.26943,0.267771666666667,9,14,15,25.1768522985869
"ABCA7",1.44219,1.44219,42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,0.0533375858364564
"ABCA8",93.07177,93.07177,0.244206,0.413915,0.141469,0.26653,6,7,6,74.2752007453436
"ABCA9",44.49278,44.49278,4.035468,0.682386,0.739211,1.81902166666667,21,27,35,16.1377901198584
"ABCB1",11.91703,11.91703,2.608253,0.395444,0.72192,1.24187233333333,71,28,37,5.76171524486155
"ABCB10",14.34598,14.34598,4.784184,6.526598,5.638334,5.64970533333333,213,397,298,2.30776842442542
"ABCB10P3",0,0,0.002934,0,0,0.000978,0,0,0,0.999022955549473
"ABCB10P4",0.20241,0.20241,0.064339,0.102838,0.076226,0.0811343333333333,2,4,4,1.11217446613942
"ABCB11",0.06325,0.06325,1.713152,2.345963,2.257067,2.105394,8,17,14,0.342388115646517
"ABCB4",7.66637,7.66637,2.613821,0.236469,0.112046,0.987445333333333,20,11,9,4.36055767403917
"ABCB5",0,0,0.031732,0.170177,0.033162,0.078357,3,5,1,0.927336679782298
"ABCB6",17.10385,17.10385,39.80428,30.533985,38.474452,36.2709056666667,602,671,937,0.485736787882545
"ABCB7",55.72667,55.72667,6.507055,5.040312,4.209266,5.252211,171,274,200,9.07305751517343
"ABCB8",6.61636,6.61636,21.51191,19.464312,14.629305,18.5351756666667,551,761,665,0.389879268554312
"ABCB9",0.8223,0.8223,13.522164,13.523465,13.352624,13.4660843333333,392,512,531,0.125970508536369
"ABCC1",6.17358,6.17358,11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,0.629813853385606
"ABCC10",5.79406,5.79406,36.128396,35.014973,37.78168,36.3083496666667,526,739,582,0.182105616053829
"ABCC11",0.10121,0.10121,0.147705,0.168729,0.111362,0.142598666666667,9,7,7,0.963776724169116
"ABCC12",0.24036,0.24036,0,0,0,0,0,0,0,1.24036
"ABCC13",0,0,0.065046,0,0.010734,0.02526,3,0,1,0.975362347111952
"ABCC2",0.22771,0.22771,0.525342,0.194318,0.093136,0.270932,8,4,5,0.965991886269289
"ABCC3",1.12592,1.12592,0.735677,0.386222,0.301105,0.474334666666667,6,5,4,1.44195212122802
"ABCC4",2.60606,2.60606,7.050166,6.396275,5.373786,6.273409,388,482,551,0.495786776187067
"ABCC5",58.93997,58.93997,40.658816,35.616212,29.02946,35.101496,2274,2699,2335,1.66031817628832
"ABCC6",0.55663,0.55663,1.563937,2.080382,1.038311,1.56087666666667,47,91,70,0.60785043663433
"ABCC6P1",0.16446,0.16446,0.326616,0.114229,0.382804,0.274549666666667,8,7,15,0.913624655401163
"ABCC6P2",0.15181,0.15181,0.427513,0.600883,0.259824,0.429406666666667,3,6,3,0.80579587800999
"ABCC8",1.54339,1.54339,59.334917,46.332088,44.755074,50.140693,729,907,811,0.0497331938775253
"ABCC9",61.837,61.837,2.011239,0.868414,0.975146,1.284933,245,158,167,27.5005875445801
"ABCD1",0.64519,0.64519,10.618352,6.729346,8.415782,8.58782666666667,351,364,475,0.171591545946457
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",4.75669,4.75669,1.015291,0.95263,0.78988,0.919267,101,128,108,2.9994211331722
"ABCD3",69.59193,69.59193,11.715671,11.503515,12.736033,11.985073,658,873,979,5.43639069260527
"ABCD4",31.47513,31.47513,58.610022,52.354869,50.095508,53.6867996666667,722,999,947,0.593838553324498
"ABCE1",44.60664,44.60664,47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,0.930571452959422
"ABCF1",71.80581,71.80581,49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,1.36915947600832
"ABCF2",34.68843,34.68843,19.522918,29.608502,27.332976,25.488132,499,751,734,1.34733661097732
"ABCF3",31.91791,31.91791,46.460597,40.982435,31.451225,39.631419,710,879,744,0.810159005276188
"ABCG1",14.34598,14.34598,2.981022,2.516257,2.216058,2.57111233333333,133,150,148,4.29725490759789
"ABCG2",2.97293,2.97293,0,0.032841,0.010415,0.0144186666666667,0,3,1,3.91645987061227
"ABCG4",1.02471,1.02471,12.913126,10.418173,10.808669,11.3799893333333,598,780,776,0.163546990670536
"ABCG5",0.06325,0.06325,0.106507,0.151389,0.042838,0.100244666666667,5,10,3,0.966375963649297
"ABCG8",0,0,0.375379,0.464493,0.42013,0.420000666666667,27,45,55,0.7042250214906
"ABHD1",11.14533,11.14533,0.400221,0.717874,0.22597,0.448021666666667,14,18,14,8.38753333571206
"ABHD10",71.17327,71.17327,22.938499,24.352688,21.626771,22.9726526666667,576,818,829,3.0106501355336
"ABHD11",9.04531,9.04531,6.937606,7.064101,6.864255,6.95532066666667,76,110,135,1.26271591314861
"ABHD12",28.31244,28.31244,64.546737,62.306897,62.683147,63.178927,766,1044,1187,0.456729979296787
"ABHD12B",0.43013,0.43013,1.904262,0.479376,0.66991,1.01784933333333,10,10,16,0.708739734119561
"ABHD13",8.53927,8.53927,2.367033,2.196661,1.88721,2.15030133333333,196,246,214,3.02805001510967
"ABHD14A",3.30185,3.30185,22.540257,19.428712,18.954588,20.3078523333333,283,320,352,0.201890361013546
"ABHD14B",13.7514,13.7514,3.320588,2.072545,1.528819,2.30731733333333,54,55,44,4.46023121256785
"ABHD15",4.35187,4.35187,0.626613,0.218831,0.501833,0.449092333333333,33,16,41,3.69325672139134
"ABHD16A",17.74904,17.74904,37.200716,47.134845,37.037113,40.457558,666,1034,935,0.452246608447126
"ABHD16B",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ABHD2",18.11591,18.11591,13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,1.39173481138589
"ABHD3",11.79052,11.79052,1.597983,1.039653,1.180823,1.27281966666667,33,27,32,5.62760001930055
"ABHD4",10.93027,10.93027,25.455379,4.883742,6.507743,12.282288,182,133,112,0.898208953156263
"ABHD5",29.64077,29.64077,10.403327,7.362645,6.909279,8.22508366666667,314,407,402,3.32146255873163
"ABHD6",6.11033,6.11033,11.668832,13.764524,17.829011,14.420789,180,342,395,0.461087302342312
"ABHD8",0.37952,0.37952,9.661101,10.705984,15.55678,11.9746216666667,265,375,569,0.106324487560524
"ABI1",24.88408,24.88408,25.555257,19.141618,16.288946,20.328607,935,970,821,1.21358511598999
"ABI2",57.51043,57.51043,43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,1.46621319333257
"ABI3",1.26508,1.26508,0.107534,0.068506,0,0.05868,1,1,0,2.13953224770469
"ABI3BP",33.27154,33.27154,1.876574,1.343379,0.53984,1.25326433333333,21,26,23,15.2097290553128
"ABL1",13.83995,13.83995,18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,0.6946046155072
"ABL2",3.52957,3.52957,4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,0.89409966505913
"ABLIM1",752.16463,752.16463,78.965193,95.017141,84.824801,86.269045,7302,12899,12481,8.63037552433397
"ABLIM2",7.41336,7.41336,29.024891,22.325349,27.889239,26.4131596666667,811,842,921,0.306909531856349
"ABLIM3",133.68077,133.68077,59.162438,43.070208,35.850085,46.027577,2210,2652,2304,2.86386793859271
"ABO",0.17711,0.17711,0.94183,1.656334,1.424069,1.34074433333333,43,107,83,0.502878500328884
"ABR",99.67548,99.67548,475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,0.210396356486505
"ABRA",26.17446,26.17446,0.023562,0,0.016861,0.0134743333333333,1,0,1,26.8131704042497
"ABRACL",12.22065,12.22065,17.048097,16.217016,13.732567,15.6658933333333,152,196,170,0.793275807997491
"ABT1",6.18623,6.18623,3.263841,4.270345,3.155402,3.563196,152,271,212,1.57482387344309
"ABTB1",4.75669,4.75669,3.761994,3.647191,4.428543,3.94590933333333,98,109,136,1.16392954500851
"ABTB2",9.24772,9.24772,1.172037,1.371578,1.223632,1.255749,92,149,130,4.54293451975375
"ACAA1",53.95557,53.95557,39.895704,46.043135,40.381622,42.1068203333333,585,998,977,1.27486948875012
"ACAA2",464.92872,464.92872,13.144815,9.897038,9.823666,10.955173,271,275,335,38.9729801484261
"ACACA",12.71403,12.71403,100.200507,77.444775,45.429501,74.358261,3946,4127,3502,0.181984427692672
"ACACB",82.2427,82.2427,5.011705,4.261474,2.549066,3.94074833333333,60,56,49,16.8481967475237
"ACAD10",36.26978,36.26978,12.856185,11.636386,10.582543,11.6917046666667,221,279,250,2.93654642767452
"ACAD11",82.07824,82.07824,18.399625,10.629317,9.67092,12.899954,358,253,310,5.97687157813616
"ACAD8",42.62047,42.62047,23.137744,24.865645,22.47821,23.4938663333333,569,801,726,1.78087319520633
"ACAD9",27.40158,27.40158,17.669058,19.626573,12.870046,16.7218923333333,447,569,481,1.60262682256449
"ACADL",2.37835,2.37835,0.160831,0.314712,0.317482,0.264341666666667,8,12,13,2.67202298956638
"ACADM",605.13729,605.13729,31.655912,30.807253,30.544017,31.002394,568,773,686,18.9403733358198
"ACADS",4.26331,4.26331,3.004861,4.19166,2.473391,3.223304,78,146,97,1.24625411762923
"ACADSB",53.39893,53.39893,3.572105,3.466148,3.181139,3.406464,336,406,350,12.3452568771695
"ACADVL",1863.68724,1863.68724,223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,8.56898937089562
"ACAN",0.48073,0.48073,0.292759,0.315011,0.284229,0.297333,25,26,39,1.1413646303609
"ACAP1",2.32774,2.32774,11.286318,12.913279,6.490646,10.230081,45,54,54,0.296323775402867
"ACAP2",9.82965,9.82965,11.321554,4.989484,5.03907,7.11670266666667,561,490,425,1.3342425421686
"ACAP3",3.95969,3.95969,201.068487,222.065102,155.227804,192.787131,2075,3473,3111,0.0255934951635153
"ACAT1",1020.66473,1020.66473,109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,9.14943863162109
"ACAT2",7.69167,7.69167,119.603573,70.690947,60.766009,83.686843,2428,1983,1817,0.102633061903134
"ACBD3",32.47455,32.47455,65.899098,64.268898,51.033552,60.400516,1039,1267,1242,0.545183529076531
"ACBD4",2.70727,2.70727,3.64765,3.399864,4.113433,3.72031566666667,75,106,119,0.785386033857764
"ACBD5",76.06913,76.06913,28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,3.05646876906307
"ACBD6",51.90614,51.90614,45.008644,45.056697,44.61445,44.8932636666667,636,975,991,1.15280840308655
"ACBD7",0.13916,0.13916,1.034596,0.949647,0.691054,0.891765666666667,40,52,53,0.602167604620516
"ACCS",14.88997,14.88997,5.273883,5.411674,5.203006,5.29618766666667,72,100,76,2.52374465966522
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",0.54398,0.54398,12.408905,8.62736,10.509139,10.5151346666667,165,217,228,0.134082669868327
"ACE",3.12474,3.12474,5.405634,2.557996,4.848241,4.27062366666667,108,104,195,0.78259049798724
"ACE2",58.85142,58.85142,0.05341,0,0.099057,0.0508223333333333,1,0,1,56.9567453045504
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,0.913329310625125
"ACER2",1.63195,1.63195,0.989215,1.238033,0.764366,0.997204666666667,43,73,48,1.31781686871017
"ACER3",7.31215,7.31215,5.100368,4.487993,5.453281,5.01388066666667,507,602,712,1.38216078115285
"ACHE",0.20241,0.20241,150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,0.00857618874046842
"ACIN1",105.63399,105.63399,80.771096,83.773455,54.064282,72.869611,1809,2688,1954,1.44354340785685
"ACLY",22.50573,22.50573,258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,0.110386045150142
"ACMSD",0.18976,0.18976,0.069346,0.050982,0.281347,0.133891666666667,2,2,7,1.04927131486694
"ACO1",76.4613,76.4613,12.481148,12.32891,11.425298,12.078452,956,1358,1328,5.92281869444488
"ACO2",389.11261,389.11261,69.325062,71.569862,65.685688,68.860204,2171,3126,3037,5.58418939057206
"ACOT1",5.59164,5.59164,2.514575,1.663513,2.042674,2.07358733333333,51,52,55,2.14460800528199
"ACOT11",13.32127,13.32127,1.059936,0.383645,0.558014,0.667198333333333,60,46,67,8.59002178305121
"ACOT12",0,0,0.137311,0.78691,0.64326,0.522493666666667,4,17,11,0.656817182162334
"ACOT13",205.92936,205.92936,14.096614,5.754241,11.441671,10.430842,306,262,371,18.1027224416189
"ACOT2",29.46366,29.46366,9.413227,10.383521,11.05022,10.2823226666667,97,146,165,2.70012309522082
"ACOT4",1.16387,1.16387,0.689296,0.540441,0.531756,0.587164333333333,24,26,28,1.3633559893924
"ACOT6",0,0,0.172208,0.138878,0.065032,0.125372666666667,2,2,1,0.888594533721866
"ACOT7",1.83436,1.83436,144.140782,166.680788,158.146086,156.322552,2648,4286,4367,0.0180162345701079
"ACOT8",13.29597,13.29597,21.302306,21.395702,21.651743,21.449917,347,511,489,0.636793891042003
"ACOT9",106.24123,106.24123,15.355328,9.120068,8.944808,11.140068,361,377,386,8.8336597455632
"ACOX1",34.67578,34.67578,32.7541,26.088828,22.676301,27.1730763333333,735,866,739,1.26630757599552
"ACOX2",92.35068,92.35068,0.363302,0.170177,0,0.177826333333333,2,1,0,79.2567438493337
"ACOX3",7.42601,7.42601,12.315552,13.017171,11.277513,12.203412,264,352,310,0.638169133857218
"ACOXL",0,0,0.066887,0.263478,0.058643,0.129669333333333,2,6,3,0.885214788516286
"ACP1",107.3545,107.3545,61.38661,54.776346,47.901782,54.688246,891,1273,1150,1.94573375501897
"ACP2",15.85142,15.85142,93.073029,93.19527,67.827959,84.6987526666667,600,764,662,0.196635534073001
"ACP5",3.2639,3.2639,5.678997,0.947109,4.648666,3.75825733333333,17,15,26,0.896105380877537
"ACP6",12.65078,12.65078,7.807588,6.333138,5.476793,6.539173,192,222,243,1.81064687068462
"ACR",0.46808,0.46808,0.12567,0.035491,0.308103,0.156421333333333,1,1,3,1.26950269567263
"ACRBP",1.01206,1.01206,0.628518,0.288323,1.583194,0.833345,6,4,18,1.0974802887618
"ACRV1",0.13916,0.13916,0.438865,0.108582,0.152571,0.233339333333333,4,3,4,0.923638749865541
"ACSBG1",136.09706,136.09706,0.55242,0.59011,0.153687,0.432072333333333,22,36,23,95.7333346988758
"ACSBG2",0.16446,0.16446,0.197015,0.231607,0.314471,0.247697666666667,2,4,3,0.933286990197679
"ACSF2",23.65695,23.65695,3.790468,0.103387,0.401622,1.43182566666667,28,1,5,10.1392753345669
"ACSF3",9.56399,9.56399,15.936521,17.370704,11.494527,14.9339173333333,269,384,286,0.662987624386654
"ACSL1",696.3241,696.3241,66.084552,37.18949,48.558232,50.610758,814,835,908,13.5112160143046
"ACSL3",49.31273,49.31273,73.488712,65.270923,63.439938,67.3998576666667,2253,3100,3088,0.735567758710687
"ACSL4",42.81023,42.81023,54.339586,41.762906,53.930897,50.0111296666667,3694,4075,4130,0.858836694781686
"ACSL5",14.33333,14.33333,0.142479,0.46299,0.406441,0.337303333333333,6,13,6,11.4658579080787
"ACSL6",3.50427,3.50427,11.708049,13.623248,10.446289,11.925862,765,1133,1069,0.348469603033051
"ACSM1",0.70844,0.70844,0,0,0,0,0,0,0,1.70844
"ACSM2A",0.17711,0.17711,2.512588,2.655216,3.553189,2.90699766666667,9,16,15,0.301282493727281
"ACSM2B",0.51868,0.51868,0.796975,0.262418,0.897249,0.652214,9,2,14,0.919178750452423
"ACSM3",75.80346,75.80346,3.872745,2.186119,2.135456,2.73144,48,24,27,20.5827937739854
"ACSM4",0,0,0.061611,0.022679,0,0.0280966666666667,2,1,0,0.972671182022443
"ACSM5",1.12592,1.12592,0.022484,0.016566,0,0.0130166666666667,1,1,0,2.0986031819154
"ACSS1",86.78433,86.78433,0.353285,0.35178,0.113193,0.272752666666667,16,26,8,68.9720259867196
"ACSS2",127.14031,127.14031,146.808707,110.205765,81.323006,112.779159333333,912,903,911,1.12621951815089
"ACSS3",33.436,33.436,0.364544,0.348917,0.164893,0.292784666666667,30,34,21,26.6370733563775
"ACTA1",2743.75123,2743.75123,4.15909,2.452237,3.446297,3.35254133333333,90,68,106,630.608883361935
"ACTA2",189.23033,189.23033,8.348186,2.056176,1.61452,4.006294,137,28,26,37.9982338232633
"ACTB",881.43027,881.43027,1765.679464,2247.587352,2160.56381,2057.943542,20610,36378,39169,0.428584005340347
"ACTBL2",0,0,0.117374,0,0,0.0391246666666667,5,0,0,0.962348438140563
"ACTBP1",0,0,0,0.048285,0.045657,0.031314,0,1,1,0.969636793449909
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",12463.16647,12463.16647,1.111111,1.335114,1.670489,1.372238,22,24,38,5254.18042793345
"ACTG1",170.15296,170.15296,1443.150928,1808.077082,1625.665986,1625.631332,28017,45544,48114,0.105219269193322
"ACTG1P10",0.17711,0.17711,0.547728,0.049996,0.047476,0.215066666666667,8,1,1,0.968761659168221
"ACTG2",4.54163,4.54163,2.589937,0.036068,0,0.875335,57,1,0,2.95500803856378
"ACTL10",0.08856,0.08856,0.26036,0.131968,0.19882,0.197049333333333,7,5,9,0.909369371577
"ACTL6A",42.96204,42.96204,59.834895,86.693273,51.995615,66.1745943333333,108,173,115,0.654444443413411
"ACTL6B",0,0,142.900347,135.126617,106.324192,128.117052,688,989,886,0.00774491040889007
"ACTL7A",0,0,0,0.033462,0,0.011154,0,1,0,0.988969039335254
"ACTL7B",0,0,0,0,0,0,0,0,0,1
"ACTL8",0,0,0.040507,0,0,0.0135023333333333,1,0,0,0.986677550816361
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",35.48543,35.48543,60.429453,20.280129,28.820641,36.5100743333333,1218,642,688,0.972683489661262
"ACTN2",1533.36279,1533.36279,14.750099,6.175347,6.173399,9.03294833333333,325,140,165,152.932392256248
"ACTN4",49.46454,49.46454,127.535578,103.462361,102.995419,111.331119333333,1725,1822,2043,0.449248082806427
"ACTN4P1",0,0,0,0,0,0,0,0,0,1
"ACTR10",210.81256,210.81256,157.59723,204.668492,146.120837,169.462186333333,1359,2145,1819,1.2425779849251
"ACTR1A",83.50778,83.50778,121.577592,133.893846,110.388319,121.953252333333,3612,4992,4748,0.687316345003177
"ACTR1B",20.64607,20.64607,35.74644,38.012808,33.295135,35.6847943333333,1025,1582,1445,0.590055645489376
"ACTR2",93.84347,93.84347,90.042114,90.869445,84.111564,88.341041,4966,6866,6444,1.06158904058438
"ACTR3",104.47012,104.47012,90.295305,79.77323,77.820988,82.629841,2346,3037,2842,1.26115413755241
"ACTR3B",13.92851,13.92851,17.121055,10.72034,9.94134,12.594245,310,443,425,1.09814925359959
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",3.90909,3.90909,2.335739,0.036714,0.337758,0.903403666666667,15,4,5,2.57911134982578
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",3.65607,3.65607,2.258189,2.089738,1.574489,1.97413866666667,87,110,90,1.56551880118569
"ACTR6",30.9944,30.9944,29.796825,19.749229,23.008826,24.18496,449,546,514,1.27037724102004
"ACTR6P1",0,0,0.068914,0,0,0.0229713333333333,1,0,0,0.977544499454856
"ACTR8",19.38099,19.38099,16.878315,19.754835,16.982766,17.871972,349,559,466,1.07996080112879
"ACTRT1",0,0,0,0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",1.25243,1.25243,1.932933,1.298673,1.10969,1.44709866666667,47,43,39,0.920449195891298
"ACVR1",23.97322,23.97322,10.293467,6.920874,8.64507,8.61980366666667,387,394,432,2.59602179684125
"ACVR1B",10.04472,10.04472,48.344712,56.21844,50.405514,51.656222,1934,3134,2948,0.209751470585945
"ACVR1C",0.0759,0.0759,0.085592,0.01581,0.078937,0.060113,12,3,11,1.01489180870341
"ACVR2A",7.17299,7.17299,21.953394,22.142775,18.03743,20.7111996666667,1579,2187,1704,0.376441197422547
"ACVR2B",0.0506,0.0506,5.621371,6.286207,4.135278,5.34761866666667,1079,1653,1157,0.165510887652566
"ACVRL1",13.16946,13.16946,0.977561,0.665953,0.737498,0.793670666666667,19,12,30,7.89969990774969
"ACY1",5.02236,5.02236,11.585949,14.971368,6.534318,11.030545,94,148,90,0.500589125430311
"ACY3",0,0,0,0.060569,0.057567,0.0393786666666667,0,1,1,0.962113262538901
"ACYP1",40.39393,40.39393,51.832918,41.241443,48.301687,47.1253493333333,288,314,378,0.860127366833036
"ACYP2",157.43893,157.43893,18.41451,13.003516,14.903801,15.440609,192,190,228,9.63704750839826
"ADA",5.95852,5.95852,2.258658,0.858817,1.431334,1.51626966666667,50,22,40,2.76541107345543
"ADAD1",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ADAD2",0,0,0.178842,0.074922,0.070358,0.108040666666667,7,4,2,0.902493951786366
"ADAL",43.1518,43.1518,8.23178,6.902908,8.197069,7.77725233333333,203,306,300,5.03025301350001
"ADAM10",30.8426,30.8426,48.401335,37.964021,33.127324,39.8308933333333,1280,1456,1284,0.779865376445352
"ADAM11",0.64519,0.64519,12.135299,18.856095,12.260095,14.417163,544,1288,1005,0.1067115914906
"ADAM12",0.08856,0.08856,5.204425,0.663844,0.321587,2.06328533333333,342,35,34,0.355357037150528
"ADAM15",10.82907,10.82907,18.325861,18.913974,21.753602,19.664479,250,395,414,0.572434949847997
"ADAM17",16.67372,16.67372,9.314443,10.543808,8.210981,9.35641066666667,495,521,480,1.70654878112211
"ADAM18",0,0,0.035333,0,0,0.0117776666666667,1,0,0,0.988359432062314
"ADAM19",8.9188,8.9188,12.802374,10.819058,9.049793,10.8904083333333,1337,1480,1403,0.83418497682656
"ADAM1B",5.26272,5.26272,0.566388,0.466906,0.553207,0.528833666666667,17,19,24,4.09640377272348
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.21506,0.21506,0.114799,0.050835,0.079841,0.081825,5,3,5,1.12315762715781
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.44278,0.44278,0.189499,0.210079,0.228701,0.209426333333333,8,12,14,1.19294574645445
"ADAM21P1",0.08856,0.08856,0.042586,0.029771,0.053179,0.0418453333333333,0,1,2,1.04483838931946
"ADAM22",2.3657,2.3657,7.358498,6.092743,6.007486,6.48624233333333,912,1197,1183,0.449584698188815
"ADAM23",83.65959,83.65959,27.791034,31.634925,27.866773,29.0975773333333,1328,1806,1813,2.81283736104031
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",3.2892,3.2892,0.355878,0.070795,0.656699,0.361124,14,11,18,3.1512191394759
"ADAM29",0,0,1.590352,2.275208,1.575598,1.81371933333333,35,73,69,0.355401474537024
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.54398,0.54398,10.297747,6.150251,3.037132,6.49504333333333,131,136,131,0.206000143205754
"ADAM33",8.48867,8.48867,0.444232,0.218073,0.256207,0.306170666666667,18,12,18,7.26449478781742
"ADAM3A",0,0,0.231017,0.145255,0.379927,0.252066333333333,4,3,8,0.798679729162379
"ADAM3B",0,0,0,0.072133,0,0.0240443333333333,0,1,0,0.976520222269023
"ADAM5",0,0,0,0,0.191015,0.0636716666666667,0,0,2,0.940139736102776
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0.036155,0,0,0.0120516666666667,1,0,0,0.988091846430765
