"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,12.96287,12.96287,0.426348928742205
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,12.28337,12.28337,0.107828736231845
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,45.76731,45.76731,0.0535827411640025
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,65.06526,65.06526,0.0383955400059477
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,5.22697,5.22697,0.350052647328208
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,8.45723,8.45723,4.11132350593144
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,3.61706,3.61706,1.62441633131618
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0,0,1.05315433333333
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.57497,0.57497,1.28873544681274
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,58.67791,58.67791,0.167615945889079
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,7.97635,7.97635,0.917740915479751
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,33.23304,33.23304,0.670702494821767
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,31.39315,31.39315,0.406106723180672
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,3.54388,3.54388,1.25378340390445
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,18.64981,18.64981,0.114138491245802
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.15681,0.15681,0.952459493492161
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.06272,0.06272,0.948170418046773
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,1.82944,1.82944,0.588297919965317
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,25.43441,25.43441,2.02456174861982
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.45997,0.45997,0.843974191250505
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.7945,0.7945,1.16815120274914
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,6.76369,6.76369,0.393699559530756
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,1.589,1.589,6.61248628814214
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,23.9395,23.9395,0.857214392162366
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,25.36124,25.36124,0.179753936714156
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,15.03275,15.03275,1.278185380965
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,40.28945,40.28945,0.728744606673133
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,29.98187,29.98187,1.06857479336571
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,62.56677,62.56677,3.26313164357205
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,9.4399,9.4399,1.55258013327075
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,4.96562,4.96562,2.84691767159155
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.09409,0.09409,0.946546140323617
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.21953,0.21953,0.828529023476257
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,2.06988,2.06988,0.719871243609957
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,33.57802,33.57802,0.259329905722383
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,27.69246,27.69246,0.64310421622963
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,152.8051,152.8051,1.8189045096684
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,2.89574,2.89574,1.92862502802206
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,66.64381,66.64381,0.228112786668876
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,32.82534,32.82534,0.277931367430453
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,5.26878,5.26878,0.214232381207614
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,86.71535,86.71535,0.630042962833757
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,14.72959,14.72959,0.0644393146928814
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,40.91668,40.91668,0.296203492261315
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,21.57691,21.57691,1.85074461769421
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,20.10291,20.10291,1.7948698860331
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,9.24127,9.24127,1.8338453466546
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,13.96645,13.96645,1.3244700647114
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,33.32713,33.32713,2.64182929556496
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,20.06109,20.06109,3.57620417556736
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,14.84458,14.84458,3.0124545007399
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,28.44514,28.44514,0.133376951170889
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,12.37745,12.37745,0.856326130914337
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,3.27208,3.27208,1.31707482069624
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,43.05974,43.05974,0.311349378518045
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,16.78901,16.78901,3.8666709764437
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,33.63029,33.63029,0.136846750826131
"ABO","Abo",0,0,0,0,0,0,0,0.56451,0.56451,0.639177761727314
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,47.79537,47.79537,1.79348955990428
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,1.81898,1.81898,0.374410484170397
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,15.0223,15.0223,2.36175226611244
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,17.48943,17.48943,0.192124329053591
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,128.13382,128.13382,0.196280181804168
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,3.15709,3.15709,0.875059877622728
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,107.02734,107.02734,0.0111589991940929
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,67.23968,67.23968,0.356313311160506
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,24.54583,24.54583,0.41452650654399
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,11.31115,11.31115,0.16361409508183
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,39.86084,39.86084,0.0532093564400536
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,7.42229,7.42229,1.08732743707471
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,23.71997,23.71997,0.627500801983174
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,31.85313,31.85313,0.997547833849215
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,10.45393,10.45393,1.9436140841324
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,32.77307,32.77307,1.51168489173968
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,28.90512,28.90512,0.187400072852631
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,5.8542,5.8542,19.8893803312811
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,745.69976,745.69976,0.0274066317275009
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.09409,0.09409,1.44563000606288
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,16.41267,16.41267,0.0584845019938547
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,5.09106,5.09106,3.3263648144439
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,141.03397,141.03397,0.332331638691786
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,82.49196,82.49196,0.30835418564055
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,11.19616,11.19616,0.717022543707746
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,20.22836,20.22836,1.20032959054146
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,80.75661,80.75661,0.516268234050637
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,0.48088,0.48088,0.931981884645166
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,11.22752,11.22752,0.221183581516666
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,16.4963,16.4963,0.920276401296274
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,6.07373,6.07373,1.01531813248927
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.1359,0.1359,1.35162631687062
"ACE3P","Ace3",0,0,0.017317,0,0,1,0.00577233333333333,0,0,1.00577233333333
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.10454,0.10454,0.914576203668495
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.08363,0.08363,3.40251931009662
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,11.8234,11.8234,0.445023056807607
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,247.40272,247.40272,0.170853962468688
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,36.56785,36.56785,0.813278073317123
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,93.47905,93.47905,0.435100652825503
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.1359,0.1359,0.933825160665552
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,12.07429,12.07429,0.527058958204741
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,112.07659,112.07659,2.29854567893614
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,4.03522,4.03522,0.331858654305737
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,1.43219,1.43219,5.55601481243927
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0.22999,0.22999,0.85253809651569
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,113.34151,113.34151,1.7521031630012
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,11.03935,11.03935,0.238805278801043
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,2.35213,2.35213,0.426394561070126
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.09409,0.09409,2.39235163469184
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,824.49103,824.49103,0.24926686443421
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,123.19957,123.19957,0.0692139406494456
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,22.4864,22.4864,0.477357094602266
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,12.56562,12.56562,3.07568733804033
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,12.28337,12.28337,0.112886965682152
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,6.50234,6.50234,1.80406668674929
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0.63769,0.63769,0.645847708255734
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,91.26281,91.26281,0.423191525744049
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,61.68864,61.68864,0.30904438188482
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,7.92408,7.92408,0.146137939895952
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,6.57552,6.57552,0.797388298097028
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,0.49133,0.49133,0.87698743180025
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,1.62036,1.62036,1.36001083820544
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,1.60991,1.60991,0.391456921247604
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,34.69659,34.69659,2.1338969072396
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.03136,0.03136,0.978871587030717
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,12.0952,12.0952,0.83788517930234
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,29.46963,29.46963,0.234404804609267
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,41.32439,41.32439,0.809017172683017
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,27.2743,27.2743,4.19612573962927
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,18.97388,18.97388,1.44059721996928
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,4.58928,4.58928,13.2086571675302
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,22.19369,22.19369,3.95812248934947
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.15681,0.15681,0.864446192546745
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.07318,0.07318,0.944405101349882
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,0.9304,0.9304,1.01204517198508
"ACSM4","Acsm4",0.032515,0.018361,0,1,1,0,0.0169586666666667,0,0,1.01695866666667
"ACSM5","Acsm5",0,0.103164,0.161887,0,6,8,0.0883503333333333,7.64182,7.64182,0.125939944749293
"ACSS1","Acss1",9.943921,7.44783,6.344807,292,386,415,7.912186,10.40166,10.40166,0.781656881541811
"ACSS2","Acss2",18.226148,17.723046,18.224044,626,1144,1142,18.057746,70.14587,70.14587,0.267868619780741
"ACSS3","Acss3",0.734858,0.60194,0.346877,48,65,38,0.561225,5.10152,5.10152,0.25587476563217
"ACTA1","Acta1",3.585673,4.303819,3.346984,66,151,119,3.745492,1.11857,1.11857,2.23995053267062
"ACTA2","Acta2",15.624107,13.404868,15.517049,296,436,554,14.8486746666667,82.33516,82.33516,0.190179927255995
"ACTB","Actb",1395.959313,1572.045538,1463.033274,8217,16340,16001,1477.01270833333,3647.18813,3647.18813,0.405136099254107
"ACTBL2","Actbl2",0.024943,0,0.014532,1,0,1,0.0131583333333333,0,0,1.01315833333333
"ACTC1","Actc1",0,0,0,0,0,0,0,4.652,4.652,0.176928520877565
"ACTG1","Actg1",669.163615,698.177045,673.971237,10977,21201,20212,680.437299,3916.71136,3916.71136,0.173937596821834
"ACTG2","Actg2",0.611885,0.175024,0.099914,7,4,3,0.295607666666667,3.1989,3.1989,0.308558828899632
"ACTL10","Actl10",0.254595,0.105854,0.077653,5,4,3,0.146034,1.54718,1.54718,0.449922659568621
"ACTL6A","Actl6a",5.337694,7.134668,7.305312,89,203,211,6.592558,17.77168,17.77168,0.404468752929946
"ACTL6B","Actl6b",38.475074,40.535358,35.640714,563,1196,1110,38.2170486666667,30.92273,30.92273,1.22849921252558
"ACTL7A","Actl7a",0.097759,0,0,2,0,0,0.0325863333333333,0,0,1.03258633333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"ACTL9","Actl9",0.055109,0.060875,0,1,2,0,0.0386613333333333,0,0,1.03866133333333
"ACTN1","Actn1",23.980828,10.2768,8.384307,975,632,532,14.2139783333333,19.08888,19.08888,0.757333327359879
"ACTN2","Actn2",7.314407,4.876111,3.283167,131,173,86,5.157895,5.38377,5.38377,0.964617302941679
"ACTN4","Actn4",63.1012,34.865722,27.396091,1672,1722,1634,41.787671,154.94816,154.94816,0.274371117940731
"ACTR10","Actr10",99.732217,132.025899,140.933302,1514,2604,2580,124.230472666667,226.8921,226.8921,0.549516515345054
"ACTR1A","Actr1a",63.002197,75.013199,66.463893,2349,4256,4010,68.159763,278.2209,278.2209,0.247688346395273
"ACTR1B","Actr1b",137.315193,170.468768,166.570017,3046,5855,5218,158.117992666667,132.78582,132.78582,1.18934871174439
"ACTR2","Actr2",92.32534,56.271803,49.74149,4892,5093,4363,66.1128776666667,57.96704,57.96704,1.13814221752807
"ACTR3","Actr3",106.79007,92.095801,94.22518,2418,3617,3248,97.7036836666667,75.04877,75.04877,1.29789980385832
"ACTR3B","Actr3b",39.040706,42.988335,39.285356,1058,2070,1912,40.4381323333333,30.56729,30.56729,1.31269210417915
"ACTR5","Actr5",1.655298,3.488506,3.028739,57,111,87,2.724181,6.39781,6.39781,0.503416686830292
"ACTR6","Actr6",11.018148,8.613238,9.329918,181,284,298,9.653768,37.71778,37.71778,0.27516474343312
"ACTR8","Actr8",23.439745,26.829135,21.342911,523,1009,917,23.870597,13.86191,13.86191,1.67344553963791
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.363621,0.493898,0.649441,10,24,32,0.50232,2.62394,2.62394,0.414554324850853
"ACVR1","Acvr1",10.711349,6.741105,6.615735,444,439,393,8.02272966666667,8.99038,8.99038,0.90314178906775
"ACVR1B","Acvr1b",24.009448,11.368391,10.09028,1603,1375,1234,15.1560396666667,13.88282,13.88282,1.08554962477989
"ACVR1C","Acvr1c",3.314034,1.219423,0.718173,468,213,168,1.75054333333333,0.08363,0.08363,2.53826798199878
"ACVR2A","Acvr2a",12.514011,5.744765,5.341047,825,707,544,7.86660766666667,5.34196,5.34196,1.39808634344377
"ACVR2B","Acvr2b",1.929773,0.686498,0.67679,71,29,40,1.097687,1.01403,1.01403,1.04153711712338
"ACVRL1","Acvrl1",12.582997,20.940623,17.187393,229,362,348,16.903671,15.74362,15.74362,1.06928316576702
"ACY1","Acy1",6.602693,9.864639,8.338537,74,156,177,8.268623,23.16591,23.16591,0.383541236394574
"ACY3","Acy3",1.108628,1.280322,1.709566,12,37,47,1.366172,3.93068,3.93068,0.479887561147752
"ACYP1","Acyp1",15.402887,21.43491,22.59737,97,235,240,19.8117223333333,33.84983,33.84983,0.597182893957685
"ACYP2","Acyp2",14.525832,16.757983,20.208801,131,261,297,17.1642053333333,88.38798,88.38798,0.203206352054642
"ADA","Ada",0.60434,1.298299,0.401885,14,35,17,0.768174666666667,1.589,1.589,0.682956611304236
"ADAD1","Adad1",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ADAD2","Adad2",0,0.020208,0.019589,0,1,1,0.0132656666666667,0.99312,0.99312,0.508381666265286
"ADAL","Adal",8.868136,6.54983,6.090581,222,329,298,7.16951566666667,6.65915,6.65915,1.06663476582475
"ADAM10","Adam10",20.699286,11.778541,9.67486,1332,1439,1149,14.0508956666667,13.71556,13.71556,1.02278782911875
"ADAM11","Adam11",48.344554,24.285039,26.595301,1655,1785,1743,33.0749646666667,52.30101,52.30101,0.639293039037472
"ADAM12","Adam12",0.827122,0.27961,0.555161,52,33,50,0.553964333333333,0.11499,0.11499,1.39370248462617
"ADAM15","Adam15",46.208836,42.61884,40.50396,861,1418,1393,43.1105453333333,99.64686,99.64686,0.438270457054828
"ADAM17","Adam17",6.531468,4.180438,3.7324,226,256,227,4.81476866666667,9.50262,9.50262,0.553649343370194
"ADAM18","Adam18",2.352645,0.20333,0.237599,8,11,13,0.931191333333333,0.01045,0.01045,1.91121909380309
"ADAM19","Adam19",3.027888,1.231458,0.981498,298,143,177,1.746948,6.81596,6.81596,0.351453692188803
"ADAM1A","Adam1a",2.013564,0.633309,0.739017,119,69,81,1.12863,0.91995,0.91995,1.10869033047736
"ADAM1B","Adam1b",0.088639,0,0,4,0,0,0.0295463333333333,0.28226,0.28226,0.80291542536875
"ADAM2","Adam2",0,0,0.029683,0,0,1,0.00989433333333333,0,0,1.00989433333333
"ADAM20","Adam25",0,0,0,0,0,0,0,0.14636,0.14636,0.872326319829722
"ADAM21","Adam21",0.327239,0.201938,0.079843,14,15,6,0.203006666666667,0.53315,0.53315,0.784663383665438
"ADAM22","Adam22",40.93577,14.501028,11.662182,3288,1921,1760,22.3663266666667,19.30841,19.30841,1.15057390837917
"ADAM23","Adam23",41.066406,24.382817,23.376903,1931,2038,1906,29.6087086666667,51.57969,51.57969,0.582139390069943
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.062589,0,0.012877,3,0,1,0.0251553333333333,7.84045,7.84045,0.115961894850752
"ADAM29","Adam29",0,0,0,0,0,0,0,0.09409,0.09409,0.914001590362767
"ADAM32","Adam32",1.358671,0.216618,0.095814,5,2,5,0.557034333333333,0.71087,0.71087,0.910083368890292
"ADAM33","Adam33",1.232301,1.066814,0.682982,34,39,24,0.994032333333333,24.57719,24.57719,0.0779613528043281
"ADAM3A","Adam3",0.994868,0.185508,0.178298,3,1,3,0.452891333333333,0.02091,0.02091,1.42313360955749
"ADAM5","Adam5",0,0.11194,0.211581,0,4,13,0.107840333333333,0.02091,0.02091,1.08514984997045
"ADAM7","Adam7",0.050089,0,0,2,0,0,0.0166963333333333,0.01045,0.01045,1.00618173421083
"ADAM8","Adam8",0.663245,0.992273,0.7227,23,26,20,0.792739333333333,4.00386,4.00386,0.358271281237551
"ADAM9","Adam9",15.841952,8.76951,9.122416,925,905,798,11.244626,19.93565,19.93565,0.584869636242486
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.22999,0.22999,0.813014739957235
"ADAMTS1","Adamts1",2.782818,0.862728,1.160106,145,113,140,1.601884,18.81707,18.81707,0.131295090545676
"ADAMTS10","Adamts10",4.399909,3.414722,3.055412,141,210,201,3.62334766666667,5.1956,5.1956,0.746230819721523
"ADAMTS12","Adamts12",0.022268,0.044537,0.008392,3,3,2,0.0250656666666667,0.86768,0.86768,0.548844377338016
"ADAMTS13","Adamts13",1.956722,1.346145,0.758726,13,19,12,1.35386433333333,5.32105,5.32105,0.372385020421185
