"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,4.06608,4.06608,1.11065143069197
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,28.96045,28.96045,0.457869380021551
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,57.71345,57.71345,1.17152455981835
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,20.45487,20.45487,0.22088424057879
"ABO","Abo",0,0,0,0,0,0,0,1.24472,1.24472,0.445489860650772
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,149.67739,149.67739,0.580803706957405
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.26969,0.26969,0.831270362581943
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,10.60085,10.60085,3.26189057985694
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,5.91241,5.91241,0.513897372021239
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,51.5106,51.5106,0.482691297883983
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,17.65426,17.65426,0.195006538274189
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,79.76571,79.76571,0.0149256039475168
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,30.05995,30.05995,0.78283147053789
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,42.25819,42.25819,0.244795810149862
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,19.58357,19.58357,0.0978585185498272
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,21.69959,21.69959,0.0957805405295867
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,21.80332,21.80332,0.401598846132932
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,25.95238,25.95238,0.575526205848983
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,22.19748,22.19748,1.41276417380968
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,1.59739,1.59739,8.5709191406245
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,29.87324,29.87324,1.65367287873468
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,12.34346,12.34346,0.419997636794854
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,7.24011,7.24011,16.5441712145428
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,537.46943,537.46943,0.0380049900573433
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,1.57664,1.57664,0.61384179913893
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,64.37269,64.37269,0.0155779322119578
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,4.87515,4.87515,3.44860772349075
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,101.6935,101.6935,0.459643326987589
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,21.38841,21.38841,1.14992959899043
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,9.95775,9.95775,0.798058147582
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,28.48331,28.48331,0.864252645536294
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,200.71085,200.71085,0.209251711877009
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,18.40109,18.40109,0.0711379274738344
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,17.9032,17.9032,0.143072425127315
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,14.29352,14.29352,1.05282707970435
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,3.2985,3.2985,1.67083548524679
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.97503,0.97503,0.777361525310164
"ACE3P","Ace3",0,0,0.017317,0,0,1,0.00577233333333333,0,0,1.00577233333333
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.53938,0.53938,0.656229131208668
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.56012,0.56012,2.36332589800785
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,38.85596,38.85596,0.143183319801271
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,73.60435,73.60435,0.568875528035564
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,97.73114,97.73114,0.309457671274399
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,35.35,35.35,1.13089123337918
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.12447,0.12447,0.943317296148408
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,8.81676,8.81676,0.701954786168417
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,127.9778,127.9778,2.01516623274186
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,1.84633,1.84633,0.587065214972731
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,2.94583,2.94583,3.4246999152692
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0,0,1.04861333333333
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,33.44144,33.44144,5.81677541163591
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,8.81676,8.81676,0.292872631431688
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.53938,0.53938,0.928510179422884
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0,0,2.617448
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,128.33047,128.33047,1.59102151771865
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,41.69807,41.69807,0.201328576834191
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,7.92471,7.92471,1.25622005271506
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,45.41148,45.41148,0.89899321604626
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,6.45179,6.45179,0.201229413782908
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,11.70035,11.70035,1.06569674589021
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0.20745,0.20745,0.875976921059533
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,49.4983,49.4983,0.773191163530918
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,24.0853,24.0853,0.77230776590274
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,12.15675,12.15675,0.0991237704346945
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,6.14061,6.14061,0.845954477278552
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,1.05801,1.05801,0.635505982316251
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,2.86285,2.86285,0.922561839056655
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,0.82981,0.82981,0.558346130654731
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,36.98888,36.98888,2.00513526589886
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.47714,0.47714,0.683461960274585
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,20.97351,20.97351,0.499340979206326
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,41.9885,41.9885,0.166142751355983
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,43.06726,43.06726,0.777020362358207
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,28.00617,28.00617,4.09025107416801
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,10.72532,10.72532,2.45403246990274
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,6.67999,6.67999,9.61288795080896
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,16.26432,16.26432,5.31752574095012
"ACSM1","Acsm1",0,0,0,0,0,0,0,1.51441,1.51441,0.397707613316842
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0,0,1.01351666666667
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,0.62236,0.62236,1.204203752558
"ACSM4","Acsm4",0.032515,0.018361,0,1,1,0,0.0169586666666667,0,0,1.01695866666667
"ACSM5","Acsm5",0,0.103164,0.161887,0,6,8,0.0883503333333333,5.539,5.539,0.166439873579039
"ACSS1","Acss1",9.943921,7.44783,6.344807,292,386,415,7.912186,29.04343,29.04343,0.296643425867153
"ACSS2","Acss2",18.226148,17.723046,18.224044,626,1144,1142,18.057746,60.70077,60.70077,0.308873714217829
"ACSS3","Acss3",0.734858,0.60194,0.346877,48,65,38,0.561225,5.26931,5.26931,0.249026607393796
"ACTA1","Acta1",3.585673,4.303819,3.346984,66,151,119,3.745492,82.19291,82.19291,0.0570420243744329
"ACTA2","Acta2",15.624107,13.404868,15.517049,296,436,554,14.8486746666667,69.72498,69.72498,0.224088782586671
"ACTB","Actb",1395.959313,1572.045538,1463.033274,8217,16340,16001,1477.01270833333,3491.18631,3491.18631,0.423234208352799
"ACTBL2","Actbl2",0.024943,0,0.014532,1,0,1,0.0131583333333333,0,0,1.01315833333333
"ACTC1","Actc1",0,0,0,0,0,0,0,18.52556,18.52556,0.0512149203403129
"ACTG1","Actg1",669.163615,698.177045,673.971237,10977,21201,20212,680.437299,1159.14406,1159.14406,0.587373001763246
"ACTG2","Actg2",0.611885,0.175024,0.099914,7,4,3,0.295607666666667,26.26356,26.26356,0.0475215880342357
"ACTL10","Actl10",0.254595,0.105854,0.077653,5,4,3,0.146034,0.74683,0.74683,0.65606498628945
"ACTL6A","Actl6a",5.337694,7.134668,7.305312,89,203,211,6.592558,67.56747,67.56747,0.11073119658637
"ACTL6B","Actl6b",38.475074,40.535358,35.640714,563,1196,1110,38.2170486666667,40.0177,40.0177,0.956100626477512
"ACTL7A","Actl7a",0.097759,0,0,2,0,0,0.0325863333333333,0,0,1.03258633333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.10373,0.10373,0.906018682105225
"ACTL9","Actl9",0.055109,0.060875,0,1,2,0,0.0386613333333333,0,0,1.03866133333333
"ACTN1","Actn1",23.980828,10.2768,8.384307,975,632,532,14.2139783333333,25.99387,25.99387,0.563608639047804
"ACTN2","Actn2",7.314407,4.876111,3.283167,131,173,86,5.157895,64.70461,64.70461,0.0937208972094956
"ACTN4","Actn4",63.1012,34.865722,27.396091,1672,1722,1634,41.787671,796.8895,796.8895,0.0536260610021814
"ACTR10","Actr10",99.732217,132.025899,140.933302,1514,2604,2580,124.230472666667,63.0035,63.0035,1.95661913280784
"ACTR1A","Actr1a",63.002197,75.013199,66.463893,2349,4256,4010,68.159763,75.76186,75.76186,0.900965179843219
"ACTR1B","Actr1b",137.315193,170.468768,166.570017,3046,5855,5218,158.117992666667,70.53405,70.53405,2.224367174327
"ACTR2","Actr2",92.32534,56.271803,49.74149,4892,5093,4363,66.1128776666667,55.16177,55.16177,1.19499221030011
"ACTR3","Actr3",106.79007,92.095801,94.22518,2418,3617,3248,97.7036836666667,37.94317,37.94317,2.534556988213
"ACTR3B","Actr3b",39.040706,42.988335,39.285356,1058,2070,1912,40.4381323333333,43.35769,43.35769,0.934181476387371
"ACTR5","Actr5",1.655298,3.488506,3.028739,57,111,87,2.724181,9.43911,9.43911,0.356752730836249
"ACTR6","Actr6",11.018148,8.613238,9.329918,181,284,298,9.653768,18.31811,18.31811,0.551491217308525
"ACTR8","Actr8",23.439745,26.829135,21.342911,523,1009,917,23.870597,13.44296,13.44296,1.7219875288722
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.363621,0.493898,0.649441,10,24,32,0.50232,0.26969,0.26969,1.18321795083839
"ACVR1","Acvr1",10.711349,6.741105,6.615735,444,439,393,8.02272966666667,9.12794,9.12794,0.890875110502893
"ACVR1B","Acvr1b",24.009448,11.368391,10.09028,1603,1375,1234,15.1560396666667,11.99079,11.99079,1.24365336262588
"ACVR1C","Acvr1c",3.314034,1.219423,0.718173,468,213,168,1.75054333333333,0.58087,0.58087,1.73989216907989
"ACVR2A","Acvr2a",12.514011,5.744765,5.341047,825,707,544,7.86660766666667,8.40185,8.40185,0.943070530445249
"ACVR2B","Acvr2b",1.929773,0.686498,0.67679,71,29,40,1.097687,0.85056,0.85056,1.13354173871693
"ACVRL1","Acvrl1",12.582997,20.940623,17.187393,229,362,348,16.903671,11.2647,11.2647,1.4597724363417
"ACY1","Acy1",6.602693,9.864639,8.338537,74,156,177,8.268623,14.97811,14.97811,0.580082562956445
"ACY3","Acy3",1.108628,1.280322,1.709566,12,37,47,1.366172,14.35575,14.35575,0.154090291910196
"ACYP1","Acyp1",15.402887,21.43491,22.59737,97,235,240,19.8117223333333,32.25895,32.25895,0.625748026721629
"ACYP2","Acyp2",14.525832,16.757983,20.208801,131,261,297,17.1642053333333,455.27652,455.27652,0.0398096429185822
"ADA","Ada",0.60434,1.298299,0.401885,14,35,17,0.768174666666667,13.42221,13.42221,0.122600812681736
"ADAD1","Adad1",0,0,0,0,0,0,0,0,0,1
"ADAD2","Adad2",0,0.020208,0.019589,0,1,1,0.0132656666666667,2.09528,2.09528,0.327358321918103
"ADAL","Adal",8.868136,6.54983,6.090581,222,329,298,7.16951566666667,6.32732,6.32732,1.11493911370961
"ADAM10","Adam10",20.699286,11.778541,9.67486,1332,1439,1149,14.0508956666667,25.70344,25.70344,0.563631339882302
"ADAM11","Adam11",48.344554,24.285039,26.595301,1655,1785,1743,33.0749646666667,19.9155,19.9155,1.62917284629422
"ADAM12","Adam12",0.827122,0.27961,0.555161,52,33,50,0.553964333333333,1.95006,1.95006,0.526756856922684
"ADAM15","Adam15",46.208836,42.61884,40.50396,861,1418,1393,43.1105453333333,157.24943,157.24943,0.278740626954128
"ADAM17","Adam17",6.531468,4.180438,3.7324,226,256,227,4.81476866666667,11.9493,11.9493,0.44904115795191
"ADAM18","Adam18",2.352645,0.20333,0.237599,8,11,13,0.931191333333333,0,0,1.93119133333333
"ADAM19","Adam19",3.027888,1.231458,0.981498,298,143,177,1.746948,4.56397,4.56397,0.493702877621554
"ADAM1A","Adam1a",2.013564,0.633309,0.739017,119,69,81,1.12863,1.5559,1.5559,0.832829922923432
"ADAM1B","Adam1b",0.088639,0,0,4,0,0,0.0295463333333333,0.37342,0.37342,0.749622353929121
"ADAM2","Adam2",0,0,0.029683,0,0,1,0.00989433333333333,1.34844,1.34844,0.430027734723192
"ADAM20","Adam25",0,0,0,0,0,0,0,0,0,1
"ADAM21","Adam21",0.327239,0.201938,0.079843,14,15,6,0.203006666666667,0.41491,0.41491,0.850235468451468
"ADAM22","Adam22",40.93577,14.501028,11.662182,3288,1921,1760,22.3663266666667,21.4299,21.4299,1.04174903439902
"ADAM23","Adam23",41.066406,24.382817,23.376903,1931,2038,1906,29.6087086666667,13.42221,13.42221,2.12233136715293
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.062589,0,0.012877,3,0,1,0.0251553333333333,18.21438,18.21438,0.0533535473605359
"ADAM29","Adam29",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ADAM32","Adam32",1.358671,0.216618,0.095814,5,2,5,0.557034333333333,8.92048,8.92048,0.156951511754808
"ADAM33","Adam33",1.232301,1.066814,0.682982,34,39,24,0.994032333333333,7.98694,7.98694,0.221881122310078
"ADAM3A","Adam3",0.994868,0.185508,0.178298,3,1,3,0.452891333333333,0.74683,0.74683,0.831730238966203
"ADAM5","Adam5",0,0.11194,0.211581,0,4,13,0.107840333333333,0,0,1.10784033333333
"ADAM7","Adam7",0.050089,0,0,2,0,0,0.0166963333333333,0,0,1.01669633333333
"ADAM8","Adam8",0.663245,0.992273,0.7227,23,26,20,0.792739333333333,7.5098,7.5098,0.210667622427476
"ADAM9","Adam9",15.841952,8.76951,9.122416,925,905,798,11.244626,17.84096,17.84096,0.649893954448181
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"ADAMTS1","Adamts1",2.782818,0.862728,1.160106,145,113,140,1.601884,17.15637,17.15637,0.143304195717536
"ADAMTS10","Adamts10",4.399909,3.414722,3.055412,141,210,201,3.62334766666667,7.03266,7.03266,0.575568699119179
"ADAMTS12","Adamts12",0.022268,0.044537,0.008392,3,3,2,0.0250656666666667,2.6554,2.6554,0.280425033284091
"ADAMTS13","Adamts13",1.956722,1.346145,0.758726,13,19,12,1.35386433333333,7.07415,7.07415,0.291530914502868
