"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,4.43791,4.43791,0.37325363359575
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.18621,0.18621,0.843021050235624
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,28.7688,28.7688,0.336021920041565
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,9.12409,9.12409,0.813699173621201
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,16.97577,16.97577,1.27728521967812
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,19.58265,19.58265,0.639134222269727
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,4.2517,4.2517,1.08479946176159
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,35.25497,35.25497,0.061861854158662
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.83793,0.83793,0.599486741424682
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.83793,0.83793,0.548247031533664
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,9.86891,9.86891,0.153148169104967
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,21.22747,21.22747,2.40774570085274
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.48965,1.48965,0.494919767838853
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,2.14137,2.14137,0.667303543782914
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,6.26893,6.26893,0.420496735191195
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.62069,0.62069,10.5632335610141
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,22.4378,22.4378,0.91213758686111
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,114.29935,114.29935,0.0410976875989905
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,12.13441,12.13441,1.56023960472276
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,29.32742,29.32742,0.992153767118997
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,13.28268,13.28268,2.3179435045337
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,52.78936,52.78936,3.85627824288422
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,10.27236,10.27236,1.43792261188725
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,26.44123,26.44123,0.618909174260775
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.06207,0.06207,0.975083249377787
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0,0,1.010416
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,8.37926,8.37926,0.235617557604047
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,12.59993,12.59993,0.659350060380213
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,12.19648,12.19648,1.39826999321031
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,242.09863,242.09863,1.15079541994951
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,2.0793,2.0793,2.4399771593111
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,68.67892,68.67892,0.221450303764754
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,19.67575,19.67575,0.454693203390445
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,2.48274,2.48274,0.385608936258999
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,94.22016,94.22016,0.580385907774152
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,4.31377,4.31377,0.1907504464815
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,5.2448,5.2448,1.98819289648988
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,7.97582,7.97582,4.65518411316923
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,24.02055,24.02055,1.5138347345149
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,29.73087,29.73087,0.611141348531081
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,34.57222,34.57222,0.557249870826167
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,21.91022,21.91022,3.95833901493162
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,28.64467,28.64467,2.54071838209027
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,34.38601,34.38601,1.34886855944859
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,12.78613,12.78613,0.284873492415928
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,29.04811,29.04811,0.381237289133992
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,3.69308,3.69308,1.19892458683849
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,41.71011,41.71011,0.3211879498008
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,26.78261,26.78261,2.4758022614386
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,56.73071,56.73071,0.082088764656916
"ABO","Abo",0,0,0,0,0,0,0,1.36551,1.36551,0.42274181888895
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,123.85792,123.85792,0.700908574054947
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.06207,0.06207,0.993772224680733
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,5.05859,5.05859,6.24579371327872
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,4.43791,4.43791,0.653241655954831
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,48.9411,48.9411,0.507526059030872
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,42.02045,42.02045,0.0845575224495947
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,75.50647,75.50647,0.0157565366693823
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,75.22716,75.22716,0.318976941202235
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,32.49292,32.49292,0.316169019203661
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,5.52411,5.52411,0.308743670273289
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,18.43438,18.43438,0.111872825374414
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,18.15507,18.15507,0.478086845936872
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,12.44476,12.44476,1.15374324272058
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,16.85163,16.85163,1.83583060295708
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,1.24137,1.24137,9.93232695479402
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,40.59287,40.59287,1.22747575886604
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,15.76543,15.76543,0.334272468207894
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,5.80342,5.80342,20.0378325410847
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,558.18304,558.18304,0.0365971853032834
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,2.23447,2.23447,0.488997991427756
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,87.42364,87.42364,0.0115169578331466
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,12.22752,12.22752,1.53173744335043
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,92.14086,92.14086,0.506784906216241
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,32.58602,32.58602,0.766542011626663
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,12.25855,12.25855,0.659568479710577
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,44.13078,44.13078,0.564604216161712
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,167.8025,167.8025,0.250045708248792
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,9.15512,9.15512,0.1359071417505
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,16.07577,16.07577,0.15838387766213
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,14.86543,14.86543,1.01487523502357
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,5.30687,5.30687,1.1387719000603
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.0931,0.0931,1.40454883664197
"ACE3P","Ace3",0,0,0.017317,0,0,1,0.00577233333333333,0,0,1.00577233333333
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0,0,1.010186
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,2.94826,2.94826,0.933847315019781
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,43.29286,43.29286,0.128840374423026
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,34.35498,34.35498,1.20041332225333
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,77.08922,77.08922,0.391258981286619
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,28.27225,28.27225,1.40432991428173
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.34138,0.34138,0.790776662839762
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,7.69651,7.69651,0.792377823594369
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,73.39614,73.39614,3.49361818144508
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,1.36551,1.36551,0.706393688182816
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,1.61378,1.61378,5.17001571160031
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0,0,1.04861333333333
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,37.45841,37.45841,5.20921487220437
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,7.4172,7.4172,0.341569682713175
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.65172,0.65172,0.865358535344974
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.37241,0.37241,1.90719099977412
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,54.80659,54.80659,3.68715523859578
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,44.47216,44.47216,0.189046257460975
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,12.19648,12.19648,0.849575012932742
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,43.5101,43.5101,0.937396358729067
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,11.35856,11.35856,0.121334470466894
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,11.85511,11.85511,1.05286704405226
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0,0,1.05769833333333
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,54.83762,54.83762,0.699256868995013
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,24.85848,24.85848,0.749215421788133
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,37.21013,37.21013,0.0341309141493805
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,6.70341,6.70341,0.784150265921196
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,1.05517,1.05517,0.636384175842712
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,2.88619,2.88619,0.917021041174003
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,1.86206,1.86206,0.356969222634513
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,144.6509,144.6509,0.522982302203419
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,1.45861,1.45861,0.410625922777504
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,25.57227,25.57227,0.41292196714846
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,30.53776,30.53776,0.226465914721485
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,69.45478,69.45478,0.48600191971834
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,27.62053,27.62053,4.14536411450102
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,11.26545,11.26545,2.34596496663392
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,6.39307,6.39307,9.98595757017495
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,6.70341,6.70341,11.9172504124797
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,1
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.31034,0.31034,0.773476095262807
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,2.94826,2.94826,0.494813411477461
"ACSM4","Acsm4",0.032515,0.018361,0,1,1,0,0.0169586666666667,0,0,1.01695866666667
"ACSM5","Acsm5",0,0.103164,0.161887,0,6,8,0.0883503333333333,13.62406,13.62406,0.0744219001654351
"ACSS1","Acss1",9.943921,7.44783,6.344807,292,386,415,7.912186,11.762,11.762,0.698337721360288
"ACSS2","Acss2",18.226148,17.723046,18.224044,626,1144,1142,18.057746,32.46188,32.46188,0.569536021287507
"ACSS3","Acss3",0.734858,0.60194,0.346877,48,65,38,0.561225,10.33442,10.33442,0.137741940037514
"ACTA1","Acta1",3.585673,4.303819,3.346984,66,151,119,3.745492,95.18222,95.18222,0.0493385575837197
"ACTA2","Acta2",15.624107,13.404868,15.517049,296,436,554,14.8486746666667,176.80245,176.80245,0.0891364245355824
"ACTB","Actb",1395.959313,1572.045538,1463.033274,8217,16340,16001,1477.01270833333,3982.32224,3982.32224,0.371050248832827
"ACTBL2","Actbl2",0.024943,0,0.014532,1,0,1,0.0131583333333333,0.06207,0.06207,0.95394685221627
"ACTC1","Actc1",0,0,0,0,0,0,0,18.06197,18.06197,0.0524604749666483
"ACTG1","Actg1",669.163615,698.177045,673.971237,10977,21201,20212,680.437299,1354.27508,1354.27508,0.502803681006221
"ACTG2","Actg2",0.611885,0.175024,0.099914,7,4,3,0.295607666666667,42.08252,42.08252,0.0300726992447672
"ACTL10","Actl10",0.254595,0.105854,0.077653,5,4,3,0.146034,0.62069,0.62069,0.707127211249529
"ACTL6A","Actl6a",5.337694,7.134668,7.305312,89,203,211,6.592558,96.95117,96.95117,0.0775137040221163
"ACTL6B","Actl6b",38.475074,40.535358,35.640714,563,1196,1110,38.2170486666667,9.34133,9.34133,3.79226353541243
"ACTL7A","Actl7a",0.097759,0,0,2,0,0,0.0325863333333333,0.40345,0.40345,0.735748571971451
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.31034,0.31034,0.76316070638155
"ACTL9","Actl9",0.055109,0.060875,0,1,2,0,0.0386613333333333,0,0,1.03866133333333
"ACTN1","Actn1",23.980828,10.2768,8.384307,975,632,532,14.2139783333333,34.13774,34.13774,0.432981128932405
"ACTN2","Actn2",7.314407,4.876111,3.283167,131,173,86,5.157895,55.02383,55.02383,0.109915637684892
"ACTN4","Actn4",63.1012,34.865722,27.396091,1672,1722,1634,41.787671,726.69933,726.69933,0.0587985576405574
"ACTR10","Actr10",99.732217,132.025899,140.933302,1514,2604,2580,124.230472666667,66.44445,66.44445,1.85679433469569
"ACTR1A","Actr1a",63.002197,75.013199,66.463893,2349,4256,4010,68.159763,66.07204,66.07204,1.03112657673749
"ACTR1B","Actr1b",137.315193,170.468768,166.570017,3046,5855,5218,158.117992666667,44.81354,44.81354,3.47316519672277
"ACTR2","Actr2",92.32534,56.271803,49.74149,4892,5093,4363,66.1128776666667,57.28933,57.28933,1.15137500579723
"ACTR3","Actr3",106.79007,92.095801,94.22518,2418,3617,3248,97.7036836666667,51.64109,51.64109,1.87503115278705
"ACTR3B","Actr3b",39.040706,42.988335,39.285356,1058,2070,1912,40.4381323333333,18.93093,18.93093,2.07908674273269
"ACTR5","Actr5",1.655298,3.488506,3.028739,57,111,87,2.724181,4.2517,4.2517,0.70913818382619
"ACTR6","Actr6",11.018148,8.613238,9.329918,181,284,298,9.653768,17.22404,17.22404,0.584599682617027
"ACTR8","Actr8",23.439745,26.829135,21.342911,523,1009,917,23.870597,20.32747,20.32747,1.16612973784514
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0.34138,0.34138,0.745500902056091
"ACTRT3","Actrt3",0.363621,0.493898,0.649441,10,24,32,0.50232,0.74482,0.74482,0.861017182288144
"ACVR1","Acvr1",10.711349,6.741105,6.615735,444,439,393,8.02272966666667,14.33785,14.33785,0.588265608717432
"ACVR1B","Acvr1b",24.009448,11.368391,10.09028,1603,1375,1234,15.1560396666667,8.5034,8.5034,1.70002732355438
"ACVR1C","Acvr1c",3.314034,1.219423,0.718173,468,213,168,1.75054333333333,0.49655,0.49655,1.83792277794483
"ACVR2A","Acvr2a",12.514011,5.744765,5.341047,825,707,544,7.86660766666667,2.94826,2.94826,2.24570004677166
"ACVR2B","Acvr2b",1.929773,0.686498,0.67679,71,29,40,1.097687,0.24827,0.24827,1.68047537792305
"ACVRL1","Acvrl1",12.582997,20.940623,17.187393,229,362,348,16.903671,17.75162,17.75162,0.95477996034476
"ACY1","Acy1",6.602693,9.864639,8.338537,74,156,177,8.268623,20.60678,20.60678,0.428968268293563
"ACY3","Acy3",1.108628,1.280322,1.709566,12,37,47,1.366172,10.92408,10.92408,0.198436441218107
"ACYP1","Acyp1",15.402887,21.43491,22.59737,97,235,240,19.8117223333333,30.01017,30.01017,0.671125709189383
"ACYP2","Acyp2",14.525832,16.757983,20.208801,131,261,297,17.1642053333333,605.10691,605.10691,0.0299686491502519
"ADA","Ada",0.60434,1.298299,0.401885,14,35,17,0.768174666666667,4.03446,4.03446,0.351214363937079
"ADAD1","Adad1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAD2","Adad2",0,0.020208,0.019589,0,1,1,0.0132656666666667,1.14827,1.14827,0.471665883090425
"ADAL","Adal",8.868136,6.54983,6.090581,222,329,298,7.16951566666667,8.5965,8.5965,0.851301585647545
"ADAM10","Adam10",20.699286,11.778541,9.67486,1332,1439,1149,14.0508956666667,30.755,30.755,0.4739693171679
"ADAM11","Adam11",48.344554,24.285039,26.595301,1655,1785,1743,33.0749646666667,4.84135,4.84135,5.83340574810047
"ADAM12","Adam12",0.827122,0.27961,0.555161,52,33,50,0.553964333333333,0.55862,0.55862,0.997012955905438
"ADAM15","Adam15",46.208836,42.61884,40.50396,861,1418,1393,43.1105453333333,204.26781,204.26781,0.214892658197763
"ADAM17","Adam17",6.531468,4.180438,3.7324,226,256,227,4.81476866666667,13.22061,13.22061,0.408897274214444
"ADAM18","Adam18",2.352645,0.20333,0.237599,8,11,13,0.931191333333333,0,0,1.93119133333333
"ADAM19","Adam19",3.027888,1.231458,0.981498,298,143,177,1.746948,3.28964,3.28964,0.640367956285376
"ADAM1A","Adam1a",2.013564,0.633309,0.739017,119,69,81,1.12863,0.80689,0.80689,1.17806285938823
"ADAM1B","Adam1b",0.088639,0,0,4,0,0,0.0295463333333333,0.27931,0.27931,0.804766892569692
"ADAM2","Adam2",0,0,0.029683,0,0,1,0.00989433333333333,0,0,1.00989433333333
"ADAM20","Adam25",0,0,0,0,0,0,0,0.37241,0.37241,0.728645229924002
"ADAM21","Adam21",0.327239,0.201938,0.079843,14,15,6,0.203006666666667,0.15517,0.15517,1.04141093230145
"ADAM22","Adam22",40.93577,14.501028,11.662182,3288,1921,1760,22.3663266666667,11.63787,11.63787,1.84891335855383
"ADAM23","Adam23",41.066406,24.382817,23.376903,1931,2038,1906,29.6087086666667,6.54824,6.54824,4.05507888814699
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.062589,0,0.012877,3,0,1,0.0251553333333333,14.02751,14.02751,0.0682185760204674
"ADAM29","Adam29",0,0,0,0,0,0,0,0.52758,0.52758,0.654630199400359
"ADAM32","Adam32",1.358671,0.216618,0.095814,5,2,5,0.557034333333333,1.70689,1.70689,0.575211528112828
"ADAM33","Adam33",1.232301,1.066814,0.682982,34,39,24,0.994032333333333,5.2448,5.2448,0.319310839952174
"ADAM3A","Adam3",0.994868,0.185508,0.178298,3,1,3,0.452891333333333,0.68275,0.68275,0.863402961422275
"ADAM5","Adam5",0,0.11194,0.211581,0,4,13,0.107840333333333,0,0,1.10784033333333
"ADAM7","Adam7",0.050089,0,0,2,0,0,0.0166963333333333,0,0,1.01669633333333
"ADAM8","Adam8",0.663245,0.992273,0.7227,23,26,20,0.792739333333333,11.35856,11.35856,0.145060535639535
"ADAM9","Adam9",15.841952,8.76951,9.122416,925,905,798,11.244626,17.25507,17.25507,0.670752070520683
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAMTS1","Adamts1",2.782818,0.862728,1.160106,145,113,140,1.601884,29.29639,29.29639,0.0858809911015801
"ADAMTS10","Adamts10",4.399909,3.414722,3.055412,141,210,201,3.62334766666667,7.94478,7.94478,0.516876621523018
"ADAMTS12","Adamts12",0.022268,0.044537,0.008392,3,3,2,0.0250656666666667,21.87919,21.87919,0.0448034072301802
"ADAMTS13","Adamts13",1.956722,1.346145,0.758726,13,19,12,1.35386433333333,6.54824,6.54824,0.311842804856938
