"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,44.49278,44.49278,0.0479145775073173
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,11.91703,11.91703,3.01011393485964
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,14.34598,14.34598,0.488729143832239
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0.06325,0.06325,0.990504898503017
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,7.66637,7.66637,0.234206440143528
"ABCB5","Abcb5",0,0,0,0,0,0,0,0,0,1
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,17.10385,17.10385,0.552532711734428
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,55.72667,55.72667,0.145222056339049
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,6.61636,6.61636,3.01458772081852
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,0.8223,0.8223,7.21894089886407
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,6.17358,6.17358,0.794169903079541
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,5.79406,5.79406,0.330111842796011
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.24036,0.24036,0.888302320831587
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.22771,0.22771,0.820747299172171
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,1.12592,1.12592,0.782980388098643
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,58.93997,58.93997,0.892861563549887
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.55663,0.55663,0.791567039052312
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,61.837,61.837,0.0333600797831426
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,0.64519,0.64519,1.85787740828314
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,4.75669,4.75669,2.97388377696211
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,69.59193,69.59193,0.302846208246939
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,31.47513,31.47513,0.145912785157955
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,44.60664,44.60664,0.449338663551331
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,71.80581,71.80581,0.413283829958076
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,34.68843,34.68843,0.927652052313126
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,31.91791,31.91791,6.30133379265776
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,14.34598,14.34598,1.05622328019021
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,2.97293,2.97293,4.27483721082425
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.06325,0.06325,0.974001097264676
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0,0,1.010416
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,11.14533,11.14533,0.181956219660835
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,71.17327,71.17327,0.124244261991547
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,9.04531,9.04531,1.83690120065981
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,28.31244,28.31244,9.54396119872655
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,8.53927,8.53927,0.787630674744154
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,3.30185,3.30185,3.58692608993805
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,13.7514,13.7514,0.637303781336009
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,4.35187,4.35187,0.250935778833691
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,17.74904,17.74904,2.94758766315502
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,0.0506,0.0506,0.964785836664763
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,18.11591,18.11591,0.649504365735139
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,11.79052,11.79052,3.26680187096902
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,10.93027,10.93027,3.17486340767365
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,29.64077,29.64077,0.612938425938164
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,6.11033,6.11033,2.78786146353263
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.37952,0.37952,65.7376606839094
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,24.88408,24.88408,2.90984875645571
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,57.51043,57.51043,0.815770390566833
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,1.26508,1.26508,1.73384736962933
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,13.83995,13.83995,0.771933867701711
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,3.52957,3.52957,1.24220378534828
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,752.16463,752.16463,0.0182137770684567
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,7.41336,7.41336,8.17559793788292
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,133.68077,133.68077,0.035187225813059
"ABO","Abo",0,0,0,0,0,0,0,0.17711,0.17711,0.849538275947023
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,99.67548,99.67548,0.869268134273278
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,26.17446,26.17446,0.0388399867620798
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,12.22065,12.22065,2.86224227502682
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,6.18623,6.18623,0.494316120320854
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,4.75669,4.75669,4.40294851149995
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,9.24772,9.24772,0.354976781827242
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,53.95557,53.95557,0.0219354835187771
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,464.92872,464.92872,0.052185463762211
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,12.71403,12.71403,0.772159873258748
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,82.2427,82.2427,0.0241976493634477
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,36.26978,36.26978,0.0583362445391414
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,82.07824,82.07824,0.110230873932813
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,42.62047,42.62047,0.355608295829917
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,27.40158,27.40158,1.15389948962933
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,2.37835,2.37835,6.589613174084
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,605.13729,605.13729,0.0842288381014583
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,4.26331,4.26331,1.0647713447748
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,53.39893,53.39893,2.50603809057764
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,1863.68724,1863.68724,0.0109747763026111
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.48073,0.48073,1.06815512168548
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,2.32774,2.32774,0.306024909798642
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,9.82965,9.82965,1.87089034887246
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,1020.66473,1020.66473,0.0462014402709194
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,7.69167,7.69167,2.96204243066446
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,32.47455,32.47455,0.261240902914801
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,76.06913,76.06913,0.330625617113709
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,51.90614,51.90614,0.79779663885263
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,0.13916,0.13916,1.21155354237625
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,14.88997,14.88997,0.170203384063448
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.54398,0.54398,10.42852368554
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,3.12474,3.12474,1.74122158810818
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,58.85142,58.85142,0.0256520619449519
"ACE3P","Ace3",0,0,0.017317,0,0,1,0.00577233333333333,0,0,1.00577233333333
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0,0,1.010186
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,1.63195,1.63195,1.40088983453333
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,7.31215,7.31215,0.686550250737375
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,0.20241,0.20241,35.2962708227643
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,105.63399,105.63399,0.286523168331849
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,22.50573,22.50573,1.74884576370669
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.18976,0.18976,0.891551237224314
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,76.4613,76.4613,0.0889595406566462
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,389.11261,389.11261,0.666247900403254
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,5.59164,5.59164,0.253500090013006
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,13.32127,13.32127,0.943581376977507
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0,0,1.04861333333333
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,205.92936,205.92936,0.968147397417811
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,29.46366,29.46366,0.0943767207660975
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,1.16387,1.16387,0.660543378299066
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0,0,2.617448
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,1.83436,1.83436,72.5975390093942
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,13.29597,13.29597,0.601312234613438
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,106.24123,106.24123,0.104543743732393
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,34.67578,34.67578,1.16952189038801
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,92.35068,92.35068,0.0160632930936693
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,7.42601,7.42601,1.60630258766209
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0,0,1.05769833333333
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,107.3545,107.3545,0.360343495963096
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,15.85142,15.85142,1.14966999813666
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,3.2639,3.2639,0.30585770460533
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,12.65078,12.65078,0.442511783209458
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,0.46808,0.46808,0.890876291936861
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,1.01206,1.01206,1.77117879188493
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,0.13916,0.13916,0.896860259606494
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,136.09706,136.09706,0.555612520064252
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.16446,0.16446,0.866984696769318
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,23.65695,23.65695,0.444997211739489
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,9.56399,9.56399,0.676091861755517
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,696.3241,696.3241,0.049103649699377
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,49.31273,49.31273,2.35810137911419
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,42.81023,42.81023,0.656794451889433
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,14.33333,14.33333,4.81479778582561
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,3.50427,3.50427,20.3814305092723
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.70844,0.70844,0.585329306267706
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.51868,0.51868,0.667366836112062
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,75.80346,75.80346,0.0254370310920888
"ACSM4","Acsm4",0.032515,0.018361,0,1,1,0,0.0169586666666667,0,0,1.01695866666667
"ACSM5","Acsm5",0,0.103164,0.161887,0,6,8,0.0883503333333333,1.12592,1.12592,0.51194322144452
"ACSS1","Acss1",9.943921,7.44783,6.344807,292,386,415,7.912186,86.78433,86.78433,0.101523654620363
"ACSS2","Acss2",18.226148,17.723046,18.224044,626,1144,1142,18.057746,127.14031,127.14031,0.148725611792261
"ACSS3","Acss3",0.734858,0.60194,0.346877,48,65,38,0.561225,33.436,33.436,0.0453370019746777
"ACTA1","Acta1",3.585673,4.303819,3.346984,66,151,119,3.745492,2743.75123,2743.75123,0.00172893337222405
"ACTA2","Acta2",15.624107,13.404868,15.517049,296,436,554,14.8486746666667,189.23033,189.23033,0.0833130798157511
"ACTB","Actb",1395.959313,1572.045538,1463.033274,8217,16340,16001,1477.01270833333,881.43027,881.43027,1.67493427932083
"ACTBL2","Actbl2",0.024943,0,0.014532,1,0,1,0.0131583333333333,0,0,1.01315833333333
"ACTC1","Actc1",0,0,0,0,0,0,0,12463.16647,12463.16647,8.02299939114982e-05
"ACTG1","Actg1",669.163615,698.177045,673.971237,10977,21201,20212,680.437299,170.15296,170.15296,3.98145202396733
"ACTG2","Actg2",0.611885,0.175024,0.099914,7,4,3,0.295607666666667,4.54163,4.54163,0.233795411578663
"ACTL10","Actl10",0.254595,0.105854,0.077653,5,4,3,0.146034,0.08856,0.08856,1.052798192107
"ACTL6A","Actl6a",5.337694,7.134668,7.305312,89,203,211,6.592558,42.96204,42.96204,0.172707135519644
"ACTL6B","Actl6b",38.475074,40.535358,35.640714,563,1196,1110,38.2170486666667,0,0,39.2170486666667
"ACTL7A","Actl7a",0.097759,0,0,2,0,0,0.0325863333333333,0,0,1.03258633333333
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0,1
"ACTL9","Actl9",0.055109,0.060875,0,1,2,0,0.0386613333333333,0,0,1.03866133333333
"ACTN1","Actn1",23.980828,10.2768,8.384307,975,632,532,14.2139783333333,35.48543,35.48543,0.416987776581867
"ACTN2","Actn2",7.314407,4.876111,3.283167,131,173,86,5.157895,1533.36279,1533.36279,0.00401332399360389
"ACTN4","Actn4",63.1012,34.865722,27.396091,1672,1722,1634,41.787671,49.46454,49.46454,0.847875973901674
"ACTR10","Actr10",99.732217,132.025899,140.933302,1514,2604,2580,124.230472666667,210.81256,210.81256,0.59123251551592
"ACTR1A","Actr1a",63.002197,75.013199,66.463893,2349,4256,4010,68.159763,83.50778,83.50778,0.818383384346388
"ACTR1B","Actr1b",137.315193,170.468768,166.570017,3046,5855,5218,158.117992666667,20.64607,20.64607,7.35089522794053
"ACTR2","Actr2",92.32534,56.271803,49.74149,4892,5093,4363,66.1128776666667,93.84347,93.84347,0.707617273668569
"ACTR3","Actr3",106.79007,92.095801,94.22518,2418,3617,3248,97.7036836666667,104.47012,104.47012,0.935844992559662
"ACTR3B","Actr3b",39.040706,42.988335,39.285356,1058,2070,1912,40.4381323333333,13.92851,13.92851,2.77577148244087
"ACTR5","Actr5",1.655298,3.488506,3.028739,57,111,87,2.724181,3.65607,3.65607,0.799855027952759
"ACTR6","Actr6",11.018148,8.613238,9.329918,181,284,298,9.653768,30.9944,30.9944,0.332988522991524
"ACTR8","Actr8",23.439745,26.829135,21.342911,523,1009,917,23.870597,19.38099,19.38099,1.22028404900841
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.363621,0.493898,0.649441,10,24,32,0.50232,1.25243,1.25243,0.666977442140266
"ACVR1","Acvr1",10.711349,6.741105,6.615735,444,439,393,8.02272966666667,23.97322,23.97322,0.36129620716378
"ACVR1B","Acvr1b",24.009448,11.368391,10.09028,1603,1375,1234,15.1560396666667,10.04472,10.04472,1.46278399693851
"ACVR1C","Acvr1c",3.314034,1.219423,0.718173,468,213,168,1.75054333333333,0.0759,0.0759,2.55650463178114
"ACVR2A","Acvr2a",12.514011,5.744765,5.341047,825,707,544,7.86660766666667,7.17299,7.17299,1.08486706415482
"ACVR2B","Acvr2b",1.929773,0.686498,0.67679,71,29,40,1.097687,0.0506,0.0506,1.99665619645917
"ACVRL1","Acvrl1",12.582997,20.940623,17.187393,229,362,348,16.903671,13.16946,13.16946,1.26353940093694
"ACY1","Acy1",6.602693,9.864639,8.338537,74,156,177,8.268623,5.02236,5.02236,1.53903502945689
"ACY3","Acy3",1.108628,1.280322,1.709566,12,37,47,1.366172,0,0,2.366172
"ACYP1","Acyp1",15.402887,21.43491,22.59737,97,235,240,19.8117223333333,40.39393,40.39393,0.502772322737496
"ACYP2","Acyp2",14.525832,16.757983,20.208801,131,261,297,17.1642053333333,157.43893,157.43893,0.114644837183218
"ADA","Ada",0.60434,1.298299,0.401885,14,35,17,0.768174666666667,5.95852,5.95852,0.254102117500081
"ADAD1","Adad1",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ADAD2","Adad2",0,0.020208,0.019589,0,1,1,0.0132656666666667,0,0,1.01326566666667
"ADAL","Adal",8.868136,6.54983,6.090581,222,329,298,7.16951566666667,43.1518,43.1518,0.18503244865819
"ADAM10","Adam10",20.699286,11.778541,9.67486,1332,1439,1149,14.0508956666667,30.8426,30.8426,0.472665412581468
"ADAM11","Adam11",48.344554,24.285039,26.595301,1655,1785,1743,33.0749646666667,0.64519,0.64519,20.7118719823648
"ADAM12","Adam12",0.827122,0.27961,0.555161,52,33,50,0.553964333333333,0.08856,0.08856,1.4275412777737
"ADAM15","Adam15",46.208836,42.61884,40.50396,861,1418,1393,43.1105453333333,10.82907,10.82907,3.72899520700557
"ADAM17","Adam17",6.531468,4.180438,3.7324,226,256,227,4.81476866666667,16.67372,16.67372,0.329006494765486
"ADAM18","Adam18",2.352645,0.20333,0.237599,8,11,13,0.931191333333333,0,0,1.93119133333333
"ADAM19","Adam19",3.027888,1.231458,0.981498,298,143,177,1.746948,8.9188,8.9188,0.276943581884905
"ADAM1A","Adam1a",2.013564,0.633309,0.739017,119,69,81,1.12863,2.55546,2.55546,0.59869327738183
"ADAM1B","Adam1b",0.088639,0,0,4,0,0,0.0295463333333333,5.26272,5.26272,0.164392841023283
"ADAM2","Adam2",0,0,0.029683,0,0,1,0.00989433333333333,0,0,1.00989433333333
"ADAM20","Adam25",0,0,0,0,0,0,0,0.21506,0.21506,0.823004625285994
"ADAM21","Adam21",0.327239,0.201938,0.079843,14,15,6,0.203006666666667,0.44278,0.44278,0.833811576724564
"ADAM22","Adam22",40.93577,14.501028,11.662182,3288,1921,1760,22.3663266666667,2.3657,2.3657,6.94248645650732
"ADAM23","Adam23",41.066406,24.382817,23.376903,1931,2038,1906,29.6087086666667,83.65959,83.65959,0.361550400452762
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.062589,0,0.012877,3,0,1,0.0251553333333333,3.2892,3.2892,0.239008517516864
"ADAM29","Adam29",0,0,0,0,0,0,0,0,0,1
"ADAM32","Adam32",1.358671,0.216618,0.095814,5,2,5,0.557034333333333,0.54398,0.54398,1.00845498862248
"ADAM33","Adam33",1.232301,1.066814,0.682982,34,39,24,0.994032333333333,8.48867,8.48867,0.210148770410746
"ADAM3A","Adam3",0.994868,0.185508,0.178298,3,1,3,0.452891333333333,0,0,1.45289133333333
"ADAM5","Adam5",0,0.11194,0.211581,0,4,13,0.107840333333333,0,0,1.10784033333333
"ADAM7","Adam7",0.050089,0,0,2,0,0,0.0166963333333333,0,0,1.01669633333333
"ADAM8","Adam8",0.663245,0.992273,0.7227,23,26,20,0.792739333333333,0.0253,0.0253,1.74850222699047
"ADAM9","Adam9",15.841952,8.76951,9.122416,925,905,798,11.244626,112.00998,112.00998,0.108349952809478
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"ADAMTS1","Adamts1",2.782818,0.862728,1.160106,145,113,140,1.601884,36.80111,36.80111,0.0688308888283968
"ADAMTS10","Adamts10",4.399909,3.414722,3.055412,141,210,201,3.62334766666667,0.27832,0.27832,3.61673733233202
"ADAMTS12","Adamts12",0.022268,0.044537,0.008392,3,3,2,0.0250656666666667,1.32833,1.32833,0.44025789585955
"ADAMTS13","Adamts13",1.956722,1.346145,0.758726,13,19,12,1.35386433333333,2.06208,2.06208,0.768714185564496
"ADAMTS15","Adamts15",1.37491,0.984475,0.552745,123,71,93,0.97071,5.11091,5.11091,0.322490431048731
