"Hs_symbol","DRG","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"AC004980.7",2.98982,2.98982,13.99814,30.12027,27.22311,23.7805066666667,0.161006393197234
"AC004980.8",0,0,0,0,0,0,1
"AC004980.9",2.66575,2.66575,10.7678,6.99122,8.49903,8.75268333333333,0.375870914158667
"AC004985.12",2.28941,2.28941,1.80568,0,0,0.601893333333333,2.05345133258977
"AC004987.10",0,0,0,0,0,0,1
"AC004987.8",0.02091,0.02091,1.04365,1.29876,0.65545,0.999286666666667,0.51063712724205
"AC004987.9",0.08363,0.08363,0,0,0,0,1.08363
"AC004996.1",0,0,0,0,0,0,1
"AC005000.1",0.31362,0.31362,0.54667,0.35923,0,0.301966666666667,1.00895056197035
"AC005003.1",2.34168,2.34168,4.09176,3.09493,5.96461,4.38376666666667,0.620695547726808
"AC005007.3",0,0,0,0,0,0,1
"AC005008.2",0,0,0,0,0,0,1
"AC005008.3",0,0,0,0,0,0,1
"AC005013.1",0.21953,0.21953,2.65053,2.81859,3.77977,3.08296333333333,0.298687472905708
"AC005014.5",0,0,0.21536,0,0.06555,0.0936366666666667,0.914380461518298
"AC005017.2",0,0,0,0,0,0,1
"AC005019.2",0,0,0,0,0,0,1
"AC005033.6",0,0,0,0,0,0,1
"AC005034.2",0,0,0,0,0,0,1
"AC005034.3",0,0,0,0,0,0,1
"AC005035.1",20.52107,20.52107,69.60967,94.06365,55.45125,73.0415233333333,0.290662172131611
"AC005037.1",0,0,0,0,0,0,1
"AC005037.4",0,0,0,0,0,0,1
"AC005037.6",0,0,0,0,0,0,1
"AC005040.3",0,0,0,0,0,0,1
"AC005041.11",0,0,0.96082,6.46619,3.29911,3.57537333333333,0.218561399725487
"AC005042.2",0.02091,0.02091,0,0,0,0,1.02091
"AC005042.3",0,0,0,0,0,0,1
"AC005046.5",0,0,0,0,0,0,1
"AC005071.2",3.61706,3.61706,9.60819,4.64239,17.04175,10.4307766666667,0.403914811271208
"AC005077.12",0.25089,0.25089,2.65053,0.4974,0.54621,1.23138,0.560590307343438
"AC005077.14",0.21953,0.21953,2.12043,0.38687,0.28403,0.930443333333333,0.631735715284745
"AC005077.5",0,0,5.78148,0,9.76624,5.18257333333333,0.161744947626986
"AC005077.7",0.02091,0.02091,0.54667,0.30397,0,0.283546666666667,0.7953820663578
"AC005077.8",0.10454,0.10454,2.51801,2.21066,2.01005,2.24624,0.340252107053083
"AC005077.9",0,0,0,0,0,0,1
"AC005082.1",0,0,12.88822,0.38687,0,4.42503,0.184330777894316
"AC005086.1",0,0,0,0,0,0,1
"AC005086.2",1.24402,1.24402,2.70023,10.36248,9.32927,7.46399333333333,0.265125445120861
"AC005086.3",0,0,0,0,0,0,1
"AC005086.4",0,0,0,0,0,0,1
"AC005094.2",0,0,0,0,0,0,1
"AC005102.1",0,0,0,0,0,0,1
"AC005105.2",0,0,0,0,0,0,1
"AC005154.7",0.66905,0.66905,10.32052,5.36085,6.16125,7.28087333333333,0.201554827952929
"AC005154.8",0.30316,0.30316,0,0.71847,0,0.23949,1.05136790131425
"AC005178.1",0,0,0,0,0,0,1
"AC005189.6",0,0,0,0,0,0,1
"AC005204.2",0,0,0.66263,0,0,0.220876666666667,0.819083554713416
"AC005205.2",0,0,0,0,0,0,1
"AC005205.3",0,0,0,0,0,0,1
"AC005205.4",0,0,0,0,0,0,1
"AC005215.1",0,0,0,0,0,0,1
"AC005229.5",0,0,0,0,0,0,1
"AC005229.7",0.05227,0.05227,0,0,0,0,1.05227
"AC005237.2",0,0,0,3.56469,0,1.18823,0.45699035293365
"AC005251.4",0,0,0,0,0,0,1
"AC005255.1",0.61678,0.61678,0.36445,2.04486,0,0.803103333333333,0.896665193897188
"AC005262.4",0,0,0,0,0,0,1
"AC005280.1",1.95488,1.95488,0,3.45416,0,1.15138666666667,1.37347695129963
"AC005300.5",0.12545,0.12545,0,0,0,0,1.12545
"AC005324.8-001",0.45997,0.45997,7.40493,2.68043,1.20166,3.76234,0.306565679896857
"AC005326.2",0,0,0,10.08614,0,3.36204666666667,0.229250183782231
"AC005329.1",1.22311,1.22311,11.79488,8.92555,9.15448,9.95830333333333,0.20286990899747
"AC005336.2",0,0,0,0,0,0,1
"AC005336.4",0.14636,0.14636,2.07073,3.61996,1.55124,2.41397666666667,0.335784368766434
"AC005336.5",0,0,0.13253,0,0,0.0441766666666667,0.957692344526629
"AC005351.1",0,0,0,0.22107,0,0.07369,0.931367526939806
"AC005357.1",0,0,0,0,0,0,1
"AC005363.9",1.54718,1.54718,3.2966,0,1.15797,1.48485666666667,1.02508125887878
"AC005392.1",0,0,0,0,0,0,1
"AC005392.8",0,0,0,0,0,0,1
"AC005481.5",0.16726,0.16726,0.14909,0.2487,0,0.132596666666667,1.03060518748952
"AC005488.11",0,0,0,0,0,0,1
"AC005488.12",0.05227,0.05227,0,0,0,0,1.05227
"AC005488.13",0.04182,0.04182,0,0,0,0,1.04182
"AC005493.1",0,0,0,0,0,0,1
"AC005510.1",0,0,0,0,0,0,1
"AC005517.3",0.20908,0.20908,4.15803,4.08972,5.00328,4.41701,0.223200621745206
"AC005522.6",0,0,1.64002,0,2.88399,1.50800333333333,0.398723552998999
"AC005534.6",0.07318,0.07318,1.44123,0,0,0.48041,0.724920798967854
"AC005537.2",1.05585,1.05585,0.41415,0.69083,2.0319,1.04562666666667,1.00499765353078
