"Hs_symbol","DRG","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SPG7",62.09635,62.09635,115.82105,115.82105,0.540111135792736
"SPHAR",0,0,0,0,1
"SPHK1",36.53649,36.53649,6.22359,6.22359,5.19637604016839
"SPHK2",73.64794,73.64794,56.24053,56.24053,1.30410986760605
"SPHKAP",10.65256,10.65256,12.05302,12.05302,0.892709886294513
"SPI1",92.695,92.695,23.27624,23.27624,3.85953508451062
"SPIB",1.4531,1.4531,0,0,2.4531
"SPIC",0.04182,0.04182,0,0,1.04182
"SPICE1",1.05585,1.05585,2.90434,2.90434,0.526555064364272
"SPIN1",23.89768,23.89768,37.09261,37.09261,0.653609190864055
"SPIN2A",0.34498,0.34498,0.99577,0.99577,0.673915330924906
"SPIN2B",10.16122,10.16122,8.15291,8.15291,1.21941764968737
"SPIN3",2.25805,2.25805,6.55552,6.55552,0.431214529244843
"SPIN4",0.43907,0.43907,1.3277,1.3277,0.618236886196675
"SPINK1",0.05227,0.05227,0,0,1.05227
"SPINK13",0,0,0,0,1
"SPINK14",0,0,0,0,1
"SPINK2",0.45997,0.45997,1.03727,1.03727,0.716630588974461
"SPINK4",0.07318,0.07318,0,0,1.07318
"SPINK5",0.03136,0.03136,1.03727,1.03727,0.506246103854668
"SPINK6",0.17772,0.17772,0,0,1.17772
"SPINK7",0,0,0,0,1
"SPINK8",0,0,5.02036,5.02036,0.166103023739444
"SPINK9",0.09409,0.09409,0.56012,0.56012,0.701285798528318
"SPINLW1-WFDC6",0,0,0,0,1
"SPINT1",7.84045,7.84045,3.00807,3.00807,2.20566257575342
"SPINT2",125.6876,125.6876,106.79684,106.79684,1.17524409806447
"SPINT3",0,0,0,0,1
"SPINT4",0,0,0,0,1
"SPINT5P",0,0,0,0,1
"SPIRE1",16.3604,16.3604,17.55053,17.55053,0.935843881549476
"SPIRE2",37.02782,37.02782,19.74953,19.74953,1.83270753602612
"SPN",2.42531,2.42531,2.03304,2.03304,1.12933228707831
"SPNS1",27.2534,27.2534,32.57013,32.57013,0.841623192999253
"SPNS2",34.00664,34.00664,155.69353,155.69353,0.223408330899176
"SPNS3",1.79808,1.79808,3.40223,3.40223,0.635605136487644
"SPO11",0,0,0,0,1
"SPOCD1",2.22669,2.22669,2.67614,2.67614,0.877738606255475
