"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ABCC13",0,0.032583,0.030135,0.020906,0,1,1,0.065046,0,0.010734,0.02526,3,0,1,0.995753272340675
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,0.525342,0.194318,0.093136,0.270932,8,4,5,1.53649447806806
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.735677,0.386222,0.301105,0.474334666666667,6,5,4,1.00238751762377
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,7.050166,6.396275,5.373786,6.273409,388,482,551,0.515561776694624
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,40.658816,35.616212,29.02946,35.101496,2274,2699,2335,1.23033937430183
"ABCC5.AS1",0,0,0,0,0,0,0,0,0.388532,0,0.129510666666667,0,2,0,0.885339138010206
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,1.563937,2.080382,1.038311,1.56087666666667,47,91,70,0.630382824631669
"ABCC6P1",0.068151,0,0.668788,0.245646333333333,3,0,10,0.326616,0.114229,0.382804,0.274549666666667,8,7,15,0.977322709275878
"ABCC6P2",0.199733,0,0.688996,0.296243,2,0,5,0.427513,0.600883,0.259824,0.429406666666667,3,6,3,0.906839900937918
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,59.334917,46.332088,44.755074,50.140693,729,907,811,0.403196706779081
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,2.011239,0.868414,0.975146,1.284933,245,158,167,0.570140860439526
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,10.618352,6.729346,8.415782,8.58782666666667,351,364,475,0.907498397273209
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,1.015291,0.95263,0.78988,0.919267,101,128,108,0.527141004004827
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,11.715671,11.503515,12.736033,11.985073,658,873,979,0.963611037586517
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,58.610022,52.354869,50.095508,53.6867996666667,722,999,947,1.25193715395024
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,0.829426731058095
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,1.20288303671185
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,19.522918,29.608502,27.332976,25.488132,499,751,734,1.28019975134524
"ABCF2.H2BE1",6.221399,6.723693,6.848703,6.59793166666667,199,174,194,6.205134,7.639992,5.964636,6.603254,207,347,288,0.99929999269611
"ABCF2P1",0,0,0,0,0,0,0,0.036536,0,0,0.0121786666666667,1,0,0,0.987967868650331
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,46.460597,40.982435,31.451225,39.631419,710,879,744,1.18248963115629
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,2.981022,2.516257,2.216058,2.57111233333333,133,150,148,1.43879960090866
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0,0.032841,0.010415,0.0144186666666667,0,3,1,4.6609161371899
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,12.913126,10.418173,10.808669,11.3799893333333,598,780,776,0.305361033159748
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,0.106507,0.151389,0.042838,0.100244666666667,5,10,3,0.925134530683175
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.375379,0.464493,0.42013,0.420000666666667,27,45,55,0.804569810061122
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,0.400221,0.717874,0.22597,0.448021666666667,14,18,14,1.7370782895744
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,22.938499,24.352688,21.626771,22.9726526666667,576,818,829,0.780259000123446
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,6.937606,7.064101,6.864255,6.95532066666667,76,110,135,1.17281695998678
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,64.546737,62.306897,62.683147,63.178927,766,1044,1187,0.577883204560276
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,1.904262,0.479376,0.66991,1.01784933333333,10,10,16,2.22339973185973
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,2.367033,2.196661,1.88721,2.15030133333333,196,246,214,1.34706150861336
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,22.540257,19.428712,18.954588,20.3078523333333,283,320,352,0.835712568372877
"ABHD14A.ACY1",5.286409,7.547299,9.72672,7.52014266666667,36,39,52,3.863768,4.694379,6.380052,4.97939966666667,22,47,62,1.42491606877591
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,3.320588,2.072545,1.528819,2.30731733333333,54,55,44,2.19034651649192
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,0.626613,0.218831,0.501833,0.449092333333333,33,16,41,2.3853996421208
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,37.200716,47.134845,37.037113,40.457558,666,1034,935,1.08423732209858
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,0.906896588227182
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,10.201998,14.689547,11.447473,12.113006,457,762,669,0.565378932438019
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,22.112876,26.685209,23.848278,24.2154543333333,525,820,771,0.230523217619861
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,4.011071,3.517854,4.147912,3.892279,213,284,273,0.771904464156684
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,2.86354673399937
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,1.597983,1.039653,1.180823,1.27281966666667,33,27,32,2.22326393691009
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,25.455379,4.883742,6.507743,12.282288,182,133,112,2.18893599757311
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,10.403327,7.362645,6.909279,8.22508366666667,314,407,402,0.484209700573267
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,11.668832,13.764524,17.829011,14.420789,180,342,395,0.768390839145779
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,9.661101,10.705984,15.55678,11.9746216666667,265,375,569,0.270076083143336
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,25.555257,19.141618,16.288946,20.328607,935,970,821,0.701612815126651
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,0.566636139229172
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,0.107534,0.068506,0,0.05868,1,1,0,0.98304334957998
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,1.876574,1.343379,0.53984,1.25326433333333,21,26,23,2.6213012735745
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,8.026917,12.043578,11.681156,10.5838836666667,142,241,232,1.29302360339657
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,1.07857769271634
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,1.99633443554683
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,78.965193,95.017141,84.824801,86.269045,7302,12899,12481,0.168361660578884
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,29.024891,22.325349,27.889239,26.4131596666667,811,842,921,0.109623834071225
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,59.162438,43.070208,35.850085,46.027577,2210,2652,2304,0.773728274369738
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,0.94183,1.656334,1.424069,1.34074433333333,43,107,83,0.45563939561675
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,0.426907585982607
"ABRA",0,0,0,0,0,0,0,0.023562,0,0.016861,0.0134743333333333,1,0,1,0.986704810481962
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,17.048097,16.217016,13.732567,15.6658933333333,152,196,170,1.19514233460433
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,2.109371,2.159075,1.935205,2.06788366666667,56,86,86,1.9851412227604
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,10.186842,8.464947,8.190416,8.94740166666667,471,532,542,0.730877527314084
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,3.263841,4.270345,3.155402,3.563196,152,271,212,1.23962211280573
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,3.761994,3.647191,4.428543,3.94590933333333,98,109,136,1.21296346718312
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,1.172037,1.371578,1.223632,1.255749,92,149,130,1.18564595026604
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,39.895704,46.043135,40.381622,42.1068203333333,585,998,977,0.923310789929832
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,13.144815,9.897038,9.823666,10.955173,271,275,335,1.25097935986929
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,100.200507,77.444775,45.429501,74.358261,3946,4127,3502,0.559597896418195
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,5.011705,4.261474,2.549066,3.94074833333333,60,56,49,1.05093857239575
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,12.856185,11.636386,10.582543,11.6917046666667,221,279,250,1.7668838496452
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,18.399625,10.629317,9.67092,12.899954,358,253,310,0.877382735703058
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,23.137744,24.865645,22.47821,23.4938663333333,569,801,726,1.00402728035355
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,17.669058,19.626573,12.870046,16.7218923333333,447,569,481,1.0637517509652
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,0.160831,0.314712,0.317482,0.264341666666667,8,12,13,1.01639456634217
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,31.655912,30.807253,30.544017,31.002394,568,773,686,0.886822842066128
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,3.004861,4.19166,2.473391,3.223304,78,146,97,1.22025030639518
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,3.572105,3.466148,3.181139,3.406464,336,406,350,0.86187057619594
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,2.36725280210099
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.292759,0.315011,0.284229,0.297333,25,26,39,13.1193325075366
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,11.286318,12.913279,6.490646,10.230081,45,54,54,0.715135862926248
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,11.321554,4.989484,5.03907,7.11670266666667,561,490,425,0.741589195415478
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,201.068487,222.065102,155.227804,192.787131,2075,3473,3111,1.20101666778551
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,0.499961821544145
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,119.603573,70.690947,60.766009,83.686843,2428,1983,1817,0.348697801853353
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,65.899098,64.268898,51.033552,60.400516,1039,1267,1242,0.759519371683022
"ACBD3.AS1",0,1.337289,0,0.445763,0,5,0,0.205463,0.151175,0,0.118879333333333,1,1,0,1.29215274331042
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,3.64765,3.399864,4.113433,3.72031566666667,75,106,119,0.963450961295173
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,0.322555483148879
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,45.008644,45.056697,44.61445,44.8932636666667,636,975,991,0.531042809325589
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,1.034596,0.949647,0.691054,0.891765666666667,40,52,53,0.994539492823019
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,5.273883,5.411674,5.203006,5.29618766666667,72,100,76,3.16443622524382
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,12.408905,8.62736,10.509139,10.5151346666667,165,217,228,1.02887017908374
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,5.405634,2.557996,4.848241,4.27062366666667,108,104,195,0.432183199572018
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,0.05341,0,0.099057,0.0508223333333333,1,0,1,1.06860436604095
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0.050862,0,0,0.016954,1,0,0,0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,0.928813895757464
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,0.989215,1.238033,0.764366,0.997204666666667,43,73,48,0.97669492727669
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,5.100368,4.487993,5.453281,5.01388066666667,507,602,712,0.727144957205115
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,0.158197246292671
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,80.771096,83.773455,54.064282,72.869611,1809,2688,1954,2.28505024436458
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,5.527193,8.511619,6.913666,6.98415933333333,150,313,243,1.09508740598781
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,0.648149,0.227417,0.267559,0.381041666666667,15,14,12,0.896362286921104
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,1.953183,0.627658,0.254604,0.945148333333333,33,11,7,0.926941647123741
"ACKR4",0,0,0,0,0,0,0,0.058436,0.043248,0,0.0338946666666667,2,2,0,0.96721651851059
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,0.667120127400716
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,0.069346,0.050982,0.281347,0.133891666666667,2,2,7,0.928552257343808
"ACNATP",0,0.075637,0,0.0252123333333333,0,1,0,0,0,0,0,0,0,0,1.02521233333333
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,12.481148,12.32891,11.425298,12.078452,956,1358,1328,0.751024458654077
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,69.325062,71.569862,65.685688,68.860204,2171,3126,3037,0.572754716452493
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,2.514575,1.663513,2.042674,2.07358733333333,51,52,55,1.55507353947537
"ACOT11",0.37798,0.458171,0.465699,0.43395,35,34,33,1.059936,0.383645,0.558014,0.667198333333333,60,46,67,0.860095629494191
"ACOT12",0.838379,0.711122,0.64397,0.731157,19,13,12,0.137311,0.78691,0.64326,0.522493666666667,4,17,11,1.1370536626206
"ACOT13",12.191412,9.46509,13.396844,11.6844486666667,229,175,231,14.096614,5.754241,11.441671,10.430842,306,262,371,1.10966879488551
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,9.413227,10.383521,11.05022,10.2823226666667,97,146,165,1.61699065629749
"ACOT4",0.146906,0.447474,0.101508,0.231962666666667,5,12,3,0.689296,0.540441,0.531756,0.587164333333333,24,26,28,0.776203598325147
"ACOT6",0,0.122286,0,0.040762,0,1,0,0.172208,0.138878,0.065032,0.125372666666667,2,2,1,0.924815424105437
"ACOT7",38.203304,38.030315,39.780133,38.6712506666667,695,547,661,144.140782,166.680788,158.146086,156.322552,2648,4286,4367,0.25216505937856
"ACOT8",9.983366,11.016138,11.40912,10.8028746666667,177,144,156,21.302306,21.395702,21.651743,21.449917,347,511,489,0.525742463398269
"ACOT9",23.22135,28.851472,24.154281,25.4090343333333,541,489,487,15.355328,9.120068,8.944808,11.140068,361,377,386,2.17536131867905
"ACOX1",33.537489,28.271905,20.230548,27.3466473333333,771,581,655,32.7541,26.088828,22.676301,27.1730763333333,735,866,739,1.00616088204023
