"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"LDB3",0.41392,1.88225,0.235179,23,31,17,2.29651633333333,9.943618,0.622752,0.745344,631,22,24,8.87095533333333,0.333961224827074
"LDC1P",0,0,0,0,0,0,74.029851,0,0,0,0,0,0,126.267174333333,0.589545979888614
"LDHA",787.202789,607.446999,873.054076,3445,2265,3503,5.22694533333333,2481.090022,1304.925251,947.491565,12825,5826,5663,5.02084466666667,1.03423118815998
"LDHAL6A",0.166401,0.322536,0.151826,5,7,5,87.5096346666667,0.242479,0.279695,0.202443,7,7,4,41.4399566666667,2.0855260376876
"LDHAL6B",0,0,0,0,0,0,10.1552686666667,0,0,0.049259,0,0,1,3.40730533333333,2.53108596363795
"LDHB",599.547805,579.039709,616.212895,4873,3713,4414,8.244728,766.300869,784.005508,1011.419679,7563,5928,6482,11.4219606666667,0.744224542974724
"LDHC",0.209271,0.262096,0.231922,6,6,6,2.536967,0.384784,0.43452,0.540319,13,12,13,3.03684533333333,0.876171046434278
"LDHD",1.357354,0.160834,0.553025,25,3,14,0.184411333333333,3.524476,1.824388,1.812732,116,35,42,0.308642333333333,0.905068790122689
"LDLR",29.775412,42.346109,20.735146,808,1021,717,12.5615333333333,48.12571,40.333184,47.103103,1455,960,902,13.9117933333333,0.909450193560444
"LDLRAD1",0.126426,0.161943,0.2505,4,4,7,11.9216706666667,0.180661,0.205473,0.154971,7,6,4,13.427871,0.895604810069806
"LDLRAD2",0.474836,0.770744,0.850714,13,18,26,0.745844666666667,0.585733,0.461847,0.536029,26,13,9,2.60448133333333,0.484353920915483
"LDLRAD3",11.236687,8.330482,12.040881,599,393,553,62.272752,8.720383,10.357106,13.632634,530,486,654,61.878764,1.00626583563252
"LDLRAD4",0.853534,2.000812,0.504472,26,112,23,16.4862833333333,1.297645,1.225273,0.968242,202,67,40,32.1271046666667,0.527854260409557
"LDLRAD4.AS1",0,0.038686,0,0,1,0,3.33381633333333,0,0,0,0,0,0,5.54220733333333,0.6624394661496
"LDLRAP1",25.642211,54.983681,24.765585,416,418,415,0.620648666666667,8.655429,11.766343,28.42643,228,130,169,1.45527366666667,0.660068443151144
"LDOC1",19.03625,11.354912,19.785841,314,150,278,39.8258133333333,28.573394,41.804357,46.00535,542,602,576,32.869192,1.20539673144058
"LEAP2",0.585211,0.22361,0.331485,5,2,3,0.672283333333333,0.852904,0.392936,0.863899,11,4,8,0.989380333333333,0.840605139858458
"LECT2",0.233357,0.337303,0.773671,2,3,6,88.18124,0.505959,0.404401,0.413048,6,3,3,84.785938,1.03957877105686
"LEF1",100.373223,160.357663,97.208073,1350,1909,1216,1.86731733333333,73.45772,45.632824,48.904122,1350,626,621,3.15745333333333,0.68968118303192
"LEF1.AS1",1.891769,1.21235,0.807526,17,16,10,43.6475686666667,2.555999,0.922314,0.761553,28,11,8,120.908944,0.366237022499897
"LEFTY1",0.329026,0.154676,0.365783,7,3,7,0.26944,0.268812,0.12759,0,7,2,0,0.639342,0.774359468616067
"LEFTY2",0.444436,1.355176,0.135158,7,30,3,19.3707746666667,0,0.137465,0,0,1,0,35.6605126666667,0.555659841745439
"LEKR1",1.248852,0.39846,4.41196,7,4,8,1.391596,0.669816,0.536549,0.840923,6,10,10,0.749626333333333,1.36691815528611
"LELP1",0,0,0,0,0,0,24.306207,0,0,0,0,0,0,95.317967,0.262736099901278
"LEMD1",0.515988,0.212901,1.067761,3,1,6,7.33554733333333,4.419199,1.453394,2.056045,37,9,12,4.91410933333333,1.40943409455625
"LEMD1.AS1",0.05892,0.030804,0.110446,2,1,4,4.088913,0.204154,0.142186,0.064572,10,5,2,6.49305333333333,0.679150777876042
"LEMD1.DT",0.162064,0.17389,0.092574,7,6,4,2.11828633333333,0.159978,0.31546,0.091269,8,12,3,5.32197,0.493245987142194
"LEMD2",34.338671,36.141495,42.972358,570,471,540,9.191846,35.842736,30.13789,37.761221,718,487,448,16.5858423333333,0.579548355251754
"LEMD3",11.95737,16.768358,13.51453,397,391,355,4.571214,16.915121,12.248793,12.687734,490,397,395,5.09370833333333,0.914256753892334
"LENEP",0,0,0,0,0,0,2.65437633333333,0,0,0,0,0,0,11.8481943333333,0.284427230669482
"LENG1",1.692882,2.538582,1.21411,32,39,20,10.689037,3.167801,2.280516,3.061816,72,39,46,19.2524893333333,0.577165444089935
"LENG8",172.090274,157.766894,165.50046,7095,5199,5177,1.80998366666667,154.523498,104.816639,104.699751,6369,3291,3154,1.845664,0.987461508690649
"LENG8.AS1",10.138603,6.694076,7.86359,69,34,42,3.67207866666667,9.530878,8.133142,8.500034,76,56,49,7.465596,0.55189010515818
"LENG9",0.455104,0.35055,0.230126,12,7,5,5.337902,1.252206,1.642983,1.54018,39,38,30,1.03442166666667,3.11533351411089
"LEO1",8.576519,10.947896,9.295209,252,264,253,4.34252466666667,10.271114,11.082372,11.73953,385,298,298,6.11367133333333,0.751022139810226
"LEP",0.11475,0.023721,0.15138,6,1,7,0.458286666666667,0.03165,0.041756,0.023818,2,2,1,1.00683766666667,0.726659007297219
