"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,14.897475,9.350053,15.513101,13.253543,250,167,160,4.75091460885667
"ABCC11",0.446327,0.700426,0.435039,0.527264,5,6,8,0.152197,0,0.378463,0.176886666666667,2,0,3,1.29771544130559
"ABCC12",0,0,0,0,0,0,0,0.174113,0,0.046512,0.0735416666666667,1,0,1,0.931496215796623
"ABCC13",0,0.032583,0.030135,0.020906,0,1,1,0,0.021593,0,0.00719766666666667,0,1,0,1.01361037042381
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,0.206724,0.320286,0.182112,0.236374,3,4,1,1.57944117233135
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.348225,0.325404,0.504307,0.392645333333333,2,3,3,1.0611852359634
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.874694,0.850797,0.835235,0.853575333333333,82,50,37,2.02305867974793
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,26.815209,20.139758,16.661965,21.205644,1688,1220,1081,2.00026137499097
"ABCC5.AS1",0,0,0,0,0,0,0,0.393644,0.205992,0,0.199878666666667,2,1,0,0.833417601113001
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,2.370812,3.482122,1.641663,2.498199,98,80,51,0.46147536680065
"ABCC6P1",0.068151,0,0.668788,0.245646333333333,3,0,10,1.554418,1.274452,1.425343,1.418071,38,40,29,0.515140512141014
"ABCC6P2",0.199733,0,0.688996,0.296243,2,0,5,2.969539,3.945743,2.768744,3.22800866666667,30,40,28,0.306584754714315
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,0.18336,0.761856,0.182109,0.375775,9,6,1,14.9877407279533
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,5.937915,4.245439,2.802442,4.32859866666667,581,434,370,0.244479599264247
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,9.855316,6.357848,6.647314,7.62015933333333,690,437,443,1.00937082446813
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,0.210704,0.12733,0.165506,0.167846666666667,19,13,17,0.866316068890322
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,10.323186,7.852999,5.423063,7.866416,539,489,336,1.41123083630033
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,36.841234,32.142947,25.91358,31.632587,577,476,396,2.09803888160425
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,25.279482,10.850918,4.462396,13.530932,450,444,265,2.79745371230604
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,30.647549,12.146954,19.277681,20.690728,895,681,599,2.94890833846917
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,6.164294,6.22041,10.611419,7.66537433333333,480,500,342,3.91328737750625
"ABCF2.H2BE1",6.221399,6.723693,6.848703,6.59793166666667,199,174,194,4.069336,1.886728,2.946105,2.96738966666667,184,81,125,1.91509589554643
"ABCF2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,42.225453,35.384299,25.704264,34.4380053333333,787,609,496,1.35578261854016
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,4.885127,3.443918,3.219942,3.84966233333333,306,199,192,1.0594789176731
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.576877,0.198017,0.199392,0.324762,10,14,4,3.56903378367838
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,0.753032,0.371896,0.214828,0.446585333333333,40,26,15,2.61330337465977
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,0,0.01593,0,0.00531,0,1,0,1.01249796911732
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,1.09239115191816
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,0.548215,0.837679,0.573511,0.653135,17,19,15,1.52154966170337
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,4.682414,3.63352,2.996599,3.77084433333333,164,141,99,3.92066407811951
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,16.413349,19.071503,13.597818,16.36089,302,309,281,0.537422620614496
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,31.484105,29.04836,22.06709,27.533185,638,567,468,1.2998171777879
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.21345,0.366161,0.189974,0.256528333333333,7,7,3,3.57054078897279
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,1.172633,1.326137,0.716184,1.07165133333333,82,109,59,2.04843817025838
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,8.546513,7.684425,5.406513,7.21248366666667,139,127,86,2.1683135970519
"ABHD14A.ACY1",5.286409,7.547299,9.72672,7.52014266666667,36,39,52,2.555792,7.592045,3.544598,4.564145,22,61,25,1.53125820169436
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,8.124944,8.387924,5.480449,7.33110566666667,292,279,180,0.869532963551817
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,1.644095,1.578787,1.43262,1.551834,123,111,101,1.35458040504725
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,19.452254,20.109003,15.952975,18.504744,486,433,358,2.30455891482947
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,21.413135,20.573032,17.57639,19.8541856666667,715,597,525,0.962656881175749
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,2.046774,1.634046,1.489593,1.723471,103,84,78,2.72219433705493
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,1.848624,2.204347,1.707873,1.92028133333333,50,65,54,1.99047523275155
