"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,45.798715,35.435408,31.250175,37.494766,534,550,292,0.42149854000065
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,7.623563,5.152974,8.512265,7.09626733333333,182,173,131,0.785072726106458
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,22.108301,23.197393,18.535002,21.280232,526,651,446,1.05663247432373
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,1.19318345016426
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,1.50467183024744
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,1.10571878547404
"ABCC11",0.446327,0.700426,0.435039,0.527264,5,6,8,0.569528,0.322889,0.314366,0.402261,8,11,9,1.08914388976089
"ABCC12",0,0,0,0,0,0,0,0.051357,0.030371,0,0.0272426666666667,2,1,0,0.973479813922578
"ABCC13",0,0.032583,0.030135,0.020906,0,1,1,0.084804,0,0,0.028268,3,0,0,0.992840387914435
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,1.37031936084791
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.450343,0.479305,0,0.309882666666667,4,3,0,1.12823438638779
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.599145460742855
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,0.996552164455424
"ABCC5.AS1",0,0,0,0,0,0,0,0,0.295589,0,0.0985296666666667,0,1,0,0.910307687032576
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,0.688326,0.691802,0.278854,0.552994,12,21,8,1.03949704034057
"ABCC6P1",0.068151,0,0.668788,0.245646333333333,3,0,10,0.625841,0.060185,0.401571,0.362532333333333,5,1,3,0.914214145866141
"ABCC6P2",0.199733,0,0.688996,0.296243,2,0,5,0,0.457876,0,0.152625333333333,0,3,0,1.12460047728721
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.397375442637799
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,0.674526125756063
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,1.0213162119182
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,0.465535324371433
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,0.732582315220348
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,49.321733,40.153747,59.337327,49.604269,485,502,452,1.35293795733584
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,40.838605,40.205738,45.232008,42.092117,918,1004,713,0.943318929229368
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,46.260735,63.760304,59.860432,56.627157,625,761,519,1.10996224690846
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,1.11939630902906
