"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ABCF2P1",0,0,0,0,0,0,0,0.036536,0,0,0.0121786666666667,1,0,0,0.987967868650331
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,46.460597,40.982435,31.451225,39.631419,710,879,744,1.21875854249639
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,2.981022,2.516257,2.216058,2.57111233333333,133,150,148,3.11398950672419
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,0,0.032841,0.010415,0.0144186666666667,0,3,1,1.49962408683331
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,12.913126,10.418173,10.808669,11.3799893333333,598,780,776,1.04227943868988
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,0.106507,0.151389,0.042838,0.100244666666667,5,10,3,0.962294144272153
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,0.375379,0.464493,0.42013,0.420000666666667,27,45,55,0.828062991519722
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,0.400221,0.717874,0.22597,0.448021666666667,14,18,14,1.04195056934001
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,22.938499,24.352688,21.626771,22.9726526666667,576,818,829,1.12175376280845
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,6.937606,7.064101,6.864255,6.95532066666667,76,110,135,1.2736676610815
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,64.546737,62.306897,62.683147,63.178927,766,1044,1187,0.939875612649824
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,1.904262,0.479376,0.66991,1.01784933333333,10,10,16,3.21001617563782
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,2.367033,2.196661,1.88721,2.15030133333333,196,246,214,1.29163072654214
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,22.540257,19.428712,18.954588,20.3078523333333,283,320,352,0.974433525343404
"ABHD14A.ACY1",6.987703,5.383026,5.109098,5.826609,46,28,32,3.863768,4.694379,6.380052,4.97939966666667,22,47,62,1.14168802564851
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,3.320588,2.072545,1.528819,2.30731733333333,54,55,44,2.04682102876531
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,0.626613,0.218831,0.501833,0.449092333333333,33,16,41,1.68519604340832
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,37.200716,47.134845,37.037113,40.457558,666,1034,935,1.01843317286882
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,0.915142554271736
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,10.201998,14.689547,11.447473,12.113006,457,762,669,0.7941816188701
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,22.112876,26.685209,23.848278,24.2154543333333,525,820,771,0.759768952804777
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,4.011071,3.517854,4.147912,3.892279,213,284,273,1.15711471075137
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,2.25168575243001
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,1.597983,1.039653,1.180823,1.27281966666667,33,27,32,3.51206687610793
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,25.455379,4.883742,6.507743,12.282288,182,133,112,1.60056480228908
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,10.403327,7.362645,6.909279,8.22508366666667,314,407,402,1.20416458011528
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,11.668832,13.764524,17.829011,14.420789,180,342,395,0.809251199792695
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,9.661101,10.705984,15.55678,11.9746216666667,265,375,569,0.507238990783675
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,25.555257,19.141618,16.288946,20.328607,935,970,821,0.773128018471468
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,1.05450878334852
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,0.107534,0.068506,0,0.05868,1,1,0,1.04245318069042
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,1.876574,1.343379,0.53984,1.25326433333333,21,26,23,3.20624507288907
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,8.026917,12.043578,11.681156,10.5838836666667,142,241,232,1.3561840558309
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,1.17348003748444
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,1.31373560232935
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,78.965193,95.017141,84.824801,86.269045,7302,12899,12481,0.693902047398364
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,29.024891,22.325349,27.889239,26.4131596666667,811,842,921,0.427543977996261
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,59.162438,43.070208,35.850085,46.027577,2210,2652,2304,1.29189070631189
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,0.94183,1.656334,1.424069,1.34074433333333,43,107,83,0.488958284352
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,0.509911102844822
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,0.023562,0,0.016861,0.0134743333333333,1,0,1,1.02826975062352
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,17.048097,16.217016,13.732567,15.6658933333333,152,196,170,0.832677356229329
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,2.109371,2.159075,1.935205,2.06788366666667,56,86,86,2.07103930820497
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,10.186842,8.464947,8.190416,8.94740166666667,471,532,542,0.949387654162955
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,3.263841,4.270345,3.155402,3.563196,152,271,212,1.27006934028986
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,3.761994,3.647191,4.428543,3.94590933333333,98,109,136,1.6463788795697
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,1.172037,1.371578,1.223632,1.255749,92,149,130,2.23490379470411
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,39.895704,46.043135,40.381622,42.1068203333333,585,998,977,1.05134350704178
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,13.144815,9.897038,9.823666,10.955173,271,275,335,1.54157367693466
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,100.200507,77.444775,45.429501,74.358261,3946,4127,3502,0.742803942003562
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,5.011705,4.261474,2.549066,3.94074833333333,60,56,49,1.18909031661533
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,12.856185,11.636386,10.582543,11.6917046666667,221,279,250,1.54427676828492
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,18.399625,10.629317,9.67092,12.899954,358,253,310,1.14419201195438
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,23.137744,24.865645,22.47821,23.4938663333333,569,801,726,1.54533038944893
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,17.669058,19.626573,12.870046,16.7218923333333,447,569,481,1.234498452827
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,0.160831,0.314712,0.317482,0.264341666666667,8,12,13,1.02888723380415
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,31.655912,30.807253,30.544017,31.002394,568,773,686,1.08361728604845
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,3.004861,4.19166,2.473391,3.223304,78,146,97,1.19124963141023
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,3.572105,3.466148,3.181139,3.406464,336,406,350,1.43408009990172
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,1.87511730359777
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,0.292759,0.315011,0.284229,0.297333,25,26,39,1.3997367419673
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,11.286318,12.913279,6.490646,10.230081,45,54,54,0.832249710991993
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,11.321554,4.989484,5.03907,7.11670266666667,561,490,425,1.5447524093117
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,201.068487,222.065102,155.227804,192.787131,2075,3473,3111,1.09051409610889
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,1.10089383617569
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,119.603573,70.690947,60.766009,83.686843,2428,1983,1817,1.04942759920019
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,65.899098,64.268898,51.033552,60.400516,1039,1267,1242,0.948465595956881
"ACBD3.AS1",0,0.469787,0,0.156595666666667,0,2,0,0.205463,0.151175,0,0.118879333333333,1,1,0,1.03370902671066
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,3.64765,3.399864,4.113433,3.72031566666667,75,106,119,1.13571804202078
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,0.816461757388252
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,45.008644,45.056697,44.61445,44.8932636666667,636,975,991,0.740881579345221
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,1.034596,0.949647,0.691054,0.891765666666667,40,52,53,1.06180363776557
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,5.273883,5.411674,5.203006,5.29618766666667,72,100,76,2.74603541836401
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,12.408905,8.62736,10.509139,10.5151346666667,165,217,228,1.12308534588277
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,5.405634,2.557996,4.848241,4.27062366666667,108,104,195,1.80061372876113
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,0.05341,0,0.099057,0.0508223333333333,1,0,1,1.05333568916027
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0,0,0,0,0,0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,0.913329310625125
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,0.989215,1.238033,0.764366,0.997204666666667,43,73,48,1.47631289332056
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,5.100368,4.487993,5.453281,5.01388066666667,507,602,712,1.06518187202695
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,0.439389052154841
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,80.771096,83.773455,54.064282,72.869611,1809,2688,1954,1.51638540508897
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,5.527193,8.511619,6.913666,6.98415933333333,150,313,243,0.710735440399945
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,0.648149,0.227417,0.267559,0.381041666666667,15,14,12,0.862379001357671
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,1.953183,0.627658,0.254604,0.945148333333333,33,11,7,1.19841006127211
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,0.058436,0.043248,0,0.0338946666666667,2,2,0,1.04602789968288
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,0.896490081988417
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,0.069346,0.050982,0.281347,0.133891666666667,2,2,7,0.97412216040627
"ACNATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,12.481148,12.32891,11.425298,12.078452,956,1358,1328,0.659806196227709
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,69.325062,71.569862,65.685688,68.860204,2171,3126,3037,1.07460135196093
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,2.514575,1.663513,2.042674,2.07358733333333,51,52,55,1.87973141482233
"ACOT11",1.265227,0.289037,0.841305,0.798523,109,23,34,1.059936,0.383645,0.558014,0.667198333333333,60,46,67,1.07876967247448
"ACOT12",0.237945,0.109798,0.174106,0.173949666666667,8,3,2,0.137311,0.78691,0.64326,0.522493666666667,4,17,11,0.771070312060411
"ACOT13",11.326065,11.195552,12.209772,11.5771296666667,355,281,284,14.096614,5.754241,11.441671,10.430842,306,262,371,1.10028024765513
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,9.413227,10.383521,11.05022,10.2823226666667,97,146,165,1.91117349122675
"ACOT4",0.591094,0.748843,1.193545,0.844494,24,23,33,0.689296,0.540441,0.531756,0.587164333333333,24,26,28,1.16213170952892
"ACOT6",0.245134,0.088672,0.12044,0.151415333333333,3,1,1,0.172208,0.138878,0.065032,0.125372666666667,2,2,1,1.02314137124354
"ACOT7",80.632403,114.029529,128.44021,107.700714,1778,1946,1942,144.140782,166.680788,158.146086,156.322552,2648,4286,4367,0.690941715717909
"ACOT8",20.763417,18.37889,19.993785,19.7120306666667,370,284,270,21.302306,21.395702,21.651743,21.449917,347,511,489,0.922588295834976
"ACOT9",18.917753,21.089502,23.207269,21.071508,535,461,410,15.355328,9.120068,8.944808,11.140068,361,377,386,1.81807120026016
"ACOX1",21.711569,42.59937,35.250653,33.1871973333333,754,736,847,32.7541,26.088828,22.676301,27.1730763333333,735,866,739,1.21347051095319
