"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,1.68499422052711
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.689887993240116
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,1.71688316239119
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,1.20064562897402
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,1.43470120396789
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,4.5032396638002
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,0.900754967387463
"ABCA9.AS1",0,0.165671,0,0.0552236666666667,0,1,0,0,0.188498,0,0.0628326666666667,0,1,0,0.992840829757459
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,0.242278,0.606745,0.127132,0.325385,1,5,2,0.984043378590623
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,1.23260295306502
"ABCB10P3",0,1e-06,0,3.33333333333333e-07,0,0,0,0,0,0,0,0,0,0,1.00000033333333
"ABCB10P4",0.029557,0.039022,0,0.0228596666666667,1,1,0,0.036736,0,0,0.0122453333333333,1,0,0,1.01048592962971
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.739872285455598
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,1.39039721021371
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,0.218901,0.076822,0,0.0985743333333333,4,2,0,1.1306508465669
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,2.62447292031058
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,1.47436753729034
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,0.937837143660165
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,0.857268123845669
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.572243318793829
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.685525544931983
"ABCC11",0.25035,0.196406,0.516811,0.321189,9,7,11,0.446327,0.700426,0.435039,0.527264,5,6,8,0.865069169442873
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,0,0,0,0,0,0,0,1.00802833333333
"ABCC13",0.022398,0.058119,0,0.026839,1,2,0,0,0.032583,0.030135,0.020906,0,1,1,1.0058115046831
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,1.027977,1.07924,0.751123,0.95278,20,15,18,0.614212558506335
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.948962279556583
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,1.09652234397883
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.651602045446829
"ABCC5.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,1.07072581900715
"ABCC6P1",0.402881,0.194607,0.446474,0.347987333333333,12,2,9,0.068151,0,0.668788,0.245646333333333,3,0,10,1.08215895416008
"ABCC6P2",1.433948,0.663051,0.936095,1.01103133333333,12,5,6,0.199733,0,0.688996,0.296243,2,0,5,1.5514308145412
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,29.752164,6.667184,22.439929,19.619759,265,116,210,1.04150305539459
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,1.44492158924272
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.779469736823757
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,0.010725,0,0.024448,0.0117243333333333,1,0,2,1.88307322185589
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.5824863066254
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,0.82549609247495
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,1.26804578008699
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.854765917015802
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,41.126604,23.175533,34.428163,32.9101,544,392,458,0.984873533254104
"ABCF2.H2BE1",6.976405,9.86168,8.581834,8.47330633333333,270,289,221,6.221399,6.723693,6.848703,6.59793166666667,199,174,194,1.24682699831248
"ABCF2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,1.03067165274391
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,4.150456,4.415328,3.848561,4.138115,183,146,140,2.16429689357543
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.321744490287578
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,3.4132692960356
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,0,0.053623,0,0.0178743333333333,0,2,0,1.04016671344171
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,1.02919968058063
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,0.539133,1.449996,2.556852,1.515327,16,11,17,0.599829366122178
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,17.896254,16.509149,18.709231,17.704878,474,316,439,1.43766846986831
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,8.315591,5.793527,10.881287,8.330135,88,44,86,1.08599014555166
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,34.456652,32.027544,41.779576,36.087924,424,313,435,1.62641102083075
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,1.44374226984045
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.958850593149026
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,19.98651,11.809536,18.625674,16.80724,220,94,202,1.16599122978444
"ABHD14A.ACY1",6.987703,5.383026,5.109098,5.826609,46,28,32,5.286409,7.547299,9.72672,7.52014266666667,36,39,52,0.801231771236381
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,6.270991,5.484107,6.977415,6.244171,142,105,131,0.934473615637547
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,0.70646277196137
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,0.939308352619341
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,22.251861,16.580488,18.393927,19.0754253333333,855,595,608,1.00909250972117
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,6.982168,5.876005,6.383279,6.41381733333333,292,190,217,1.4046890913417
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,5.189827,4.249834,4.998582,4.81274766666667,101,79,94,3.29584568812351
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,3.285167,2.22549,2.818459,2.776372,157,105,137,1.49903875995267
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.786327572620127
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,3.984849,5.25904,2.915345,4.053078,43,53,50,1.57968958062129
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.731206761670347
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,2.814933,3.503613,4.082079,3.466875,117,93,117,2.4868658737932
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,11.831495,8.409419,12.306665,10.849193,138,99,156,1.0531765327816
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,3.366122,1.881682,2.264601,2.504135,60,36,33,1.8781336906255
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,12.69711,14.372399,14.823763,13.964424,447,426,457,1.10192972791112
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,1.86099810856229
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,0,0.122185,0,0.0407283333333333,0,1,0,1.06043459948722
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,1.22315016027018
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,13.474933,12.693075,15.766697,13.978235,185,143,177,1.0488470993634
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,1.08798841790348
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.658073907325803
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,4.12149681235322
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,3.90010057227588
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,1.66969561421835
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,1.07312556608532
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,1.19442970700829
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,0,0,0,0,0,0,0,1.042125
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.696718149897186
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,3.82892,6.035163,5.406464,5.09018233333333,107,132,131,1.04327051620294
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,5.545332,5.945653,7.320012,6.27033233333333,243,210,286,1.29896955191915
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,1.02456170083576
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,1.35731942808889
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,1.8849672570489
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,1.13866697812735
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,1.23229345454247
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,1.32738873172685
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,3.811888,6.196471,2.56891,4.192423,69,75,51,1.13145558441598
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,21.73928,19.257871,23.277153,21.424768,392,285,343,0.87401147992553
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,1.3040967931031
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,26.483493,20.192299,24.101738,23.59251,534,375,468,1.53913187389169
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,19.252462,17.316786,16.985834,17.851694,406,304,324,1.16051367408503
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,0.207989,0.400506,0.246715,0.28507,5,7,5,1.01229115923646
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,27.650351,25.508799,28.982212,27.380454,462,377,403,1.22190953440468
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,4.599063,3.579749,4.281652,4.153488,112,71,98,0.97623383101568
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,1.66391583552064
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,0.79210691056467
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.106692679765773
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,1.16376447348973
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,4.317336,5.926497,4.813944,5.019259,442,447,434,2.0830298214448
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.907992474508812
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,56.259875,44.471839,63.751794,54.827836,369,255,375,2.20195580689652
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,25.297509,32.783013,27.509826,28.530116,501,530,488,3.00956184301251
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,1.2487707770444
"ACBD3.AS1",0,0.469787,0,0.156595666666667,0,2,0,0,1.337289,0,0.445763,0,5,0,0.799989809302539
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,1.17880212657012
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,7.912379,6.095147,7.392269,7.133265,308,226,288,2.53122888942305
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,1.39514473472698
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,1.06763345792495
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.867780300471195
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.09157148172273
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,1.303784,1.277742,1.252099,1.277875,41,16,21,4.16632051070991
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,0,0.275135,0.093605,0.122913333333333,0,1,2,0.985711571685556
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0,0,0,0,0,0.050862,0,0,0.016954,1,0,0,0.983328646133453
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,1.51153942965277
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,2.862275,3.818158,3.438456,3.372963,324,261,332,1.46488243021189
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,2.77747598300133
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.663611405844883
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,7.550579,5.560224,10.119254,7.74335233333333,197,125,214,0.649021654813789
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,0.359601,0.085355,0.268785,0.237913666666667,6,3,9,0.962087555378795
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,0.58853,1.270426,0.550161,0.803039,17,15,14,1.29286462097233
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,0,0,0,0,0,0,0,1.08148266666667
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,1.34382106785084
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.0490762934472
"ACNATP",0,0,0,0,0,0,0,0,0.075637,0,0.0252123333333333,0,1,0,0.975407696031749
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,0.878541555637426
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,1.87619817190989
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,1.20877332621613
"ACOT11",1.265227,0.289037,0.841305,0.798523,109,23,34,0.37798,0.458171,0.465699,0.43395,35,34,33,1.25424387182259
"ACOT12",0.237945,0.109798,0.174106,0.173949666666667,8,3,2,0.838379,0.711122,0.64397,0.731157,19,13,12,0.678130098348484
"ACOT13",11.326065,11.195552,12.209772,11.5771296666667,355,281,284,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,0.991539324820477
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,1.18193230355633
"ACOT4",0.591094,0.748843,1.193545,0.844494,24,23,33,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,1.49719959046378
"ACOT6",0.245134,0.088672,0.12044,0.151415333333333,3,1,1,0,0.122286,0,0.040762,0,1,0,1.10631953639097
"ACOT7",80.632403,114.029529,128.44021,107.700714,1778,1946,1942,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,2.74003748743254
"ACOT8",20.763417,18.37889,19.993785,19.7120306666667,370,284,270,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,1.75482933197291
"ACOT9",18.917753,21.089502,23.207269,21.071508,535,461,410,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.835755965985529
"ACOX1",21.711569,42.59937,35.250653,33.1871973333333,754,736,847,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,1.20604023930308
"ACOX2",5.471821,1.789143,2.323278,3.19474733333333,63,12,15,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,0.569961676883417
