"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"CPEB2",8.722426,7.198955,5.67993,7.200437,709,499,430,8.280462,9.736375,9.350241,9.12235933333333,561,616,408,0.810130991200404
"CPEB2.DT",0.175346,0.300257,0.187963,0.221188666666667,5,7,4,0,0.094386,0.126336,0.073574,0,2,2,1.13749836216848
"CPEB3",2.838172,4.480898,3.404128,3.57439933333333,392,472,324,4.894913,5.680367,6.631626,5.73563533333333,489,613,473,0.67913405446633
"CPEB4",18.533783,21.832497,14.493134,18.2864713333333,1387,1502,1089,16.993749,17.101214,21.498738,18.5312336666667,1340,1353,1169,0.987468158053372
"CPED1",0.56002,2.548605,0.375006,1.16121033333333,35,6,9,0.055856,0.033438,0.08115,0.0568146666666667,2,1,2,2.04502303147446
"CPHXL",0,0.05971,0.06742,0.0423766666666667,0,1,1,0,0,0,0,0,0,0,1.04237666666667
"CPLANE1",21.332463,20.261907,25.219168,22.2711793333333,820,594,548,28.353821,21.375829,24.343751,24.6911336666667,668,622,465,0.905805856419908
"CPLANE2",5.11683,8.17098,9.895708,7.72783933333333,42,47,37,14.151217,11.50302,17.674239,14.4428253333333,49,67,60,0.565171148733664
"CPLX1",42.248481,36.300581,57.558429,45.3691636666667,932,689,863,14.746366,27.869756,27.211493,23.2758716666667,260,508,242,1.9100926345041
"CPLX2",26.016624,30.092902,35.240021,30.449849,1917,1765,1715,27.1775,28.928163,28.839359,28.3150073333333,1505,1777,1182,1.07282419009458
"CPLX3",0.191624,0.114934,0.100766,0.135774666666667,7,3,2,0,0.048721,0.131546,0.060089,0,1,2,1.07139557779268
"CPLX4",0,0,0.043229,0.0144096666666667,0,0,1,0.042671,0,0,0.0142236666666667,1,0,0,1.00018339150043
"CPM",7.568941,23.329321,14.565122,15.1544613333333,155,262,209,0.599726,0.902236,1.20469,0.902217333333333,10,19,10,8.49243724691816
"CPN1",0,0.629358,0.540286,0.389881333333333,0,4,3,0,0,0,0,0,0,0,1.38988133333333
"CPN2",0.143336,0.118136,0.080808,0.114093333333333,8,5,3,0.127291,0.046317,0.107448,0.0936853333333333,5,2,3,1.01865984609833
