"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,3.14149012630203
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,0.20805619686182
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,3.33578508806159
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,2.13506047120888
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.0659748255293202
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.338974703030012
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,3.83934740268679
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,"Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,0.410485834523594
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,"Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,0.474632589302367
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.253908952114723
"ABCF3",42.225453,35.384299,25.704264,34.4380053333333,787,609,496,"Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.142702614248976
"ABCG1",4.885127,3.443918,3.219942,3.84966233333333,306,199,192,"Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.252471056819904
"ABCG2",0.576877,0.198017,0.199392,0.324762,10,14,4,"Abcg3",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,1.19270706413505
"ABCG4",0.753032,0.371896,0.214828,0.446585333333333,40,26,15,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.0733500760069516
"ABCG5",0,0.01593,0,0.00531,0,1,0,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0.987517890172757
"ABCG8",0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.921581194196265
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,1.4106422975521
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,0.26134376307857
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.779889344047258
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.137029669507724
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,1.07570301506806
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,0.49325587637575
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,0.397893385517024
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.498937627478963
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,1.08250126660604
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.256917399122473
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0.927879054058234
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.424315077584157
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.119175229491884
