"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"CASQ2",5.31577,4.377302,0.860286,3.517786,47,33,44,"Casq2",221.798284,248.16723,316.590225,8706,8904,8352,262.185246333333,0.017165802653991
"CASR",0.019858,0.026025,6.579705,2.20852933333333,4,6,36,"Casr",0,0,0,0,0,0,0,3.20852933333333
"CASS4",0.017298,0.035245,0.090486,0.0476763333333333,1,2,5,"Cass4",0.070705,0.086957,0.063594,7,9,5,0.073752,0.975715373133958
"CAST",79.557441,63.523164,47.739596,63.6067336666667,1998,1513,1216,"Cast",59.020288,64.077927,66.471843,1728,1588,1421,63.1900193333333,1.00649188670858
"CASTOR1",8.069368,5.219077,6.327106,6.538517,76,64,71,"Castor1",0.864662,0.667741,0.85155,43,31,30,0.794651,4.20054762736599
"CASTOR2",3.614986,3.376073,3.107549,3.36620266666667,671,592,540,"Castor2",1.659089,2.31366,2.131782,425,389,307,2.03484366666667,1.43869113082266
"CAT",40.259372,35.579575,29.414088,35.084345,526,443,386,"Cat",33.383372,34.008397,35.333401,2312,2261,1821,34.2417233333333,1.023909774749
"CATIP",0.145241,0.106366,0,0.083869,7,5,0,"Catip",0.119803,0.938737,0.041748,8,7,2,0.366762666666667,0.79301917328734
"CATSPER1",0.178494,0,0,0.059498,2,0,0,"Catsper1",0,0,0,0,0,0,0,1.059498
"CATSPER2",8.062075,6.90322,4.629348,6.53154766666667,58,51,43,"Catsper2",0.811854,0.721013,1.024454,55,46,33,0.852440333333333,4.06574372795813
"CATSPER3",0.348507,0.202439,0.460325,0.337090333333333,6,5,6,"Catsper3",0,0.029237,0,0,1,0,0.00974566666666667,1.32418526513442
"CATSPER4",0,0,0,0,0,0,0,"Catsper4",0.021952,0,0,1,0,0,0.00731733333333333,0.992735821085179
"CATSPERB",0.043838,0,0,0.0146126666666667,1,0,0,"Catsperb",0,0,0,0,0,0,0,1.01461266666667
"CATSPERD",0,0,0,0,0,0,0,"Catsperd",0,0,0,0,0,0,0,1
"CATSPERE",0.132611,0.093133,0.110731,0.112158333333333,4,4,6,"Catspere1",0,0,0,0,0,0,0,1.11215833333333
"CATSPERE",0.132611,0.093133,0.110731,0.112158333333333,4,4,6,"Catspere2",0,0,0.0129,0,0,1,0.0043,1.10739652826181
"CATSPERG",0.977425,0.63295,0.767383,0.792586,23,12,11,"Catsperg2",0.035767,0,0,1,0,0,0.0119223333333333,1.77146599195525
"CATSPERG",0.977425,0.63295,0.767383,0.792586,23,12,11,"Catsperg1",0.054317,0.029633,0.019954,4,2,1,0.0346346666666667,1.73257871377465
"CATSPERZ",0.892641,0.294815,0.318377,0.501944333333333,3,1,2,"Catsperz",0.06718,0.793874,1.317463,2,4,4,0.726172333333333,0.870101034717082
"CAV1",46.460965,36.531299,31.577163,38.189809,1355,1261,1118,"Cav1",74.752012,87.634224,78.300245,2613,2720,2071,80.228827,0.482461835870165
"CAV2",51.072712,46.558959,37.489709,45.04046,834,797,784,"Cav2",11.977762,11.629223,12.899041,697,608,579,12.1686753333333,3.49621042622713
"CAV3",0.252273,0.378431,0.19146,0.274054666666667,7,10,5,"Cav3",11.310876,12.466868,13.607807,384,394,328,12.4618503333333,0.0946418683256296
"CAVIN1",56.084899,45.804261,43.527762,48.4723073333333,4505,3445,3272,"Cavin1",16.307723,19.268433,20.928099,1802,1941,1523,18.8347516666667,2.49422368198711
"CAVIN2",0.871616,0.576948,0.669541,0.706035,41,28,33,"Cavin2",16.747529,17.580917,19.630737,1655,1537,1400,17.9863943333333,0.0898556603243414
"CAVIN3",16.49499,16.972603,15.26766,16.2450843333333,295,281,273,"Cavin3",2.125883,2.189962,2.325102,101,109,73,2.213649,5.36620033280963
"CAVIN4",12.525862,9.515063,9.240284,10.4270696666667,743,577,551,"Cavin4",17.758948,16.684679,17.982887,1104,965,809,17.4755046666667,0.618498377870201
"CBARP",1.536265,0.831251,0.792237,1.053251,61,27,24,"Cbarp",0.263673,0.546241,0.243566,9,20,13,0.35116,1.51962091832203
"CBFA2T2",2.798345,2.191082,1.767896,2.252441,416,317,258,"Cbfa2t2",1.243469,1.848244,2.910986,169,176,141,2.00089966666667,1.08382197383251
"CBFA2T3",0.026462,0.083113,0.063081,0.057552,1,3,3,"Cbfa2t3",2.128853,1.314713,3.067263,289,224,166,2.17027633333333,0.333583539352879
"CBFB",19.563857,11.829897,9.016351,13.470035,219,265,182,"Cbfb",5.284498,5.276868,4.803914,257,201,223,5.12176,2.3637050456078
"CBL",2.856101,0.89994,0.707233,1.487758,327,215,154,"Cbl",9.596185,23.483774,14.227026,493,443,329,15.768995,0.148354627096019
"CBLB",3.810895,3.119686,2.22333,3.05130366666667,215,170,138,"Cblb",1.516872,2.281633,1.343373,190,157,112,1.71395933333333,1.49276505985474
"CBLC",0,0,0,0,0,0,0,"Cblc",0.218555,0.475171,0.098799,2,6,2,0.264175,0.791029722941839
"CBLIF",0.267749,0.186696,0,0.151481666666667,3,3,0,"Cblif",0,0.024066,0,0,1,0,0.008022,1.14231799173695
"CBLL1",3.97308,2.722506,1.702676,2.79942066666667,131,138,104,"Cbll1",1.032577,0.815317,1.242353,100,71,80,1.03008233333333,1.87155988911451
"CBLN1",0.020114,0.284363,0.095206,0.133227666666667,1,4,3,"Cbln1",0.01969,0.020653,0.033453,1,1,2,0.0245986666666667,1.10602102416686
"CBLN2",0.291861,0.022639,0.022506,0.112335333333333,3,1,1,"Cbln2",0,0,0,0,0,0,0,1.11233533333333
"CBLN3",0.429026,0.563994,0.284753,0.425924333333333,23,16,10,"Cbln3",0.024759,0,0.063233,4,0,6,0.0293306666666667,1.3852927727792
"CBLN4",0,0,0,0,0,0,0,"Cbln4",0,0,0,0,0,0,0,1
"CBR1",7.182179,6.209222,6.675309,6.68890333333333,174,132,149,"Gm5678",0,0,0.056405,0,0,1,0.0188016666666667,7.54700702295671
"CBR1",7.182179,6.209222,6.675309,6.68890333333333,174,132,149,"Cbr1",5.594279,6.983289,6.162475,169,166,121,6.246681,1.06102412032948
"CBR3",0.055948,0.303545,0.180279,0.179924,1,5,3,"Cbr3",0.547436,0.499377,0.527846,18,13,12,0.524886333333333,0.773778329707198
"CBR4",6.498906,5.357998,3.579069,5.14532433333333,286,252,189,"Cbr4",14.769628,18.496616,17.357376,294,320,239,16.87454,0.343803215821685
"CBS",2.62559,1.582658,1.589146,1.93246466666667,99,59,27,"Cbs",0.023643,0.005028,0.013081,5,1,2,0.0139173333333333,2.89221277737304
"CBSL",0,0,0.758559,0.252853,0,0,39,"Cbs",0.023643,0.005028,0.013081,5,1,2,0.0139173333333333,1.23565596406282
"CBWD3",15.763612,10.408232,15.484525,13.8854563333333,194,130,201,"Cbwd1",2.224303,2.484353,2.555942,92,101,76,2.42153266666667,4.35052293328974
"CBWD5",55.727618,53.431191,69.124106,59.4276383333333,270,284,270,"Cbwd1",2.224303,2.484353,2.555942,92,101,76,2.42153266666667,17.6609853595825
"CBWD6",9.923318,10.282326,13.510569,11.2387376666667,77,63,63,"Cbwd1",2.224303,2.484353,2.555942,92,101,76,2.42153266666667,3.57697525027283
"CBX1",20.187748,15.701776,18.559739,18.1497543333333,690,671,580,"Cbx1",3.976955,3.748967,3.856498,259,226,178,3.86080666666667,3.93962476735686
"CBX2",1.236868,1.95113,1.217144,1.46838066666667,95,71,72,"Cbx2",0.258667,0.300278,0.287514,34,38,27,0.282153,1.92518417588748
"CBX4",8.942014,6.08205,5.626767,6.88361033333333,337,290,274,"Cbx4",0.367809,0.443863,0.398147,67,52,34,0.403273,5.61801611898279
"CBX6",11.370346,9.162698,8.316497,9.61651366666667,1547,1186,1086,"Npcd",0.081301,0.007434,0.034939,3,0,1,0.0412246666666667,10.1961795629121
"CBX6",11.370346,9.162698,8.316497,9.61651366666667,1547,1186,1086,"Cbx6",1.755688,1.966785,2.145145,364,303,294,1.95587266666667,3.59166813455428
"CBX7",2.397515,2.151981,1.636341,2.06194566666667,179,156,127,"Cbx7",2.277217,1.73334,2.123082,225,155,126,2.04454633333333,1.00571491822701
"CBX8",2.866682,1.249727,2.058719,2.058376,97,58,71,"Cbx8",0.460557,1.125131,0.647372,22,30,17,0.744353333333333,1.75330074564404
"CBY1",19.391196,20.30442,18.086953,19.2608563333333,365,341,324,"Cby1",3.363321,3.464785,3.886436,86,93,67,3.571514,4.43197950029975
"CBY2",0,0,0,0,0,0,0,"Cby2",0,0,0,0,0,0,0,1
"CC2D1A",8.690818,8.55333,7.635291,8.29314633333333,362,261,251,"Cc2d1a",0.863095,1.209404,1.880033,102,142,94,1.31751066666667,4.00996917382041
"CC2D1B",102.832941,93.654804,57.020383,84.5027093333333,392,291,244,"Cc2d1b",11.359411,12.414078,10.830482,144,164,121,11.534657,6.82130427129624
"CC2D2A",8.537244,5.672174,5.396568,6.53532866666667,156,118,107,"Cc2d2a",0.930933,0.980233,1.199527,151,153,141,1.03689766666667,3.69941445266519
"CC2D2B",0,0,0.154423,0.0514743333333333,0,0,3,"Cc2d2b",0,0,0.011928,0,0,1,0.003976,1.04731022786733
"CCAR1",52.733472,44.183114,34.899871,43.938819,783,681,506,"Ccar1",5.9845,6.92225,6.873766,576,543,410,6.59350533333333,5.91805984552764
"CCAR2",44.623664,27.214156,24.39078,32.0762,837,602,588,"Ccar2",1.851977,1.80974,2.042571,234,216,185,1.90142933333333,11.3999674643118
"CCBE1",0.37731,0.132043,0.145498,0.218283666666667,21,16,16,"Ccbe1",0.688522,0.700876,1.290898,135,127,119,0.893432,0.643426152439943
"CCDC102A",3.204875,2.706374,1.464128,2.458459,108,76,47,"Ccdc102a",0.552269,0.579381,0.461063,27,30,21,0.530904333333333,2.25909544097356
"CCDC103",0.092004,0,0.108717,0.066907,1,0,1,"Ccdc103",0,0,0.08615,0,0,2,0.0287166666666667,1.03712424865933
"CCDC105",0,0,0,0,0,0,0,"Ccdc105",0,0,0,0,0,0,0,1
"CCDC106",9.89837,9.887689,7.029331,8.93846333333333,239,214,176,"Ccdc106",0.180437,0.021678,0.582414,1,1,3,0.261509666666667,7.87823002545363
"CCDC107",12.126231,11.729665,10.213483,11.3564596666667,233,196,173,"Ccdc107",4.211056,6.024996,4.855337,86,117,69,5.030463,2.04900679544285
"CCDC110",0.058468,0.0456,0,0.0346893333333333,2,2,0,"Ccdc110",0.111708,0,0,1,0,0,0.037236,0.997544756770237
"CCDC112",3.647276,3.151208,2.586074,3.128186,85,89,75,"Ccdc112",0.189358,0.236455,0.256657,10,6,3,0.22749,3.36311171577773
"CCDC113",1.325614,0.869331,0.914865,1.03660333333333,101,76,75,"Ccdc113",0,0,0,0,0,0,0,2.03660333333333
"CCDC115",3.719731,3.095128,2.708127,3.17432866666667,117,96,83,"Ccdc115",2.031172,2.345603,1.923003,108,120,74,2.099926,1.34658977880977
"CCDC116",0.02079,0.022037,0.052323,0.0317166666666667,1,1,2,"Ccdc116",0.016395,0.014036,0.045831,2,1,4,0.0254206666666667,1.00613991916163
"CCDC117",2.849121,2.66966,2.196471,2.57175066666667,197,192,153,"Ccdc117",2.779442,2.703471,3.212593,292,272,240,2.898502,0.91618541344
"CCDC12",25.00327,21.879831,22.999358,23.294153,315,310,237,"Ccdc12",14.016208,19.48038,18.361199,211,240,170,17.285929,1.32857089185898
"CCDC120",1.067219,0.576521,0.417627,0.687122333333333,65,44,30,"Ccdc120",0.023612,0,0.088208,3,0,8,0.0372733333333333,1.62649735524548
"CCDC122",4.620249,9.872807,4.862769,6.45194166666667,59,73,55,"Ccdc122",0.434633,0.567181,0.654422,13,16,14,0.552078666666667,4.801265442731
"CCDC124",27.271844,25.6836,24.975921,25.9771216666667,488,434,401,"Ccdc124",4.992047,5.508429,5.264871,208,222,151,5.25511566666667,4.31280940341791
"CCDC125",0.63338,0.466871,0.390704,0.496985,40,35,32,"Ccdc125",0.147976,0.146162,0.130083,11,10,7,0.141407,1.31152603760096
"CCDC126",2.669867,1.913858,2.033332,2.20568566666667,53,38,36,"Ccdc126",0.699943,0.52025,0.522574,50,33,27,0.580922333333333,2.02773128007343
"CCDC127",3.477083,3.845704,3.109735,3.47750733333333,320,285,190,"Ccdc127",7.214474,7.246341,9.444984,394,339,292,7.96859966666667,0.49924263538875
"CCDC13",0.452162,0.916794,0.525245,0.631400333333333,7,11,11,"Ccdc13",0,0,0,0,0,0,0,1.63140033333333
"CCDC130",14.981211,10.919207,12.332009,12.7441423333333,308,220,214,"Ccdc130",1.42288,2.622536,2.737372,42,44,20,2.26092933333333,4.21479306308181
"CCDC134",1.843847,0.968943,0.873947,1.22891233333333,31,20,20,"Ccdc134",1.127457,0.457994,1.152816,47,36,33,0.912755666666667,1.16528857928709
"CCDC136",1.376934,0.694707,1.073048,1.04822966666667,22,9,15,"Ccdc136",0.397608,0.151966,0.709117,13,11,15,0.419563666666667,1.44285861547598
"CCDC137",16.749914,5.125942,5.058657,8.978171,217,207,177,"Ccdc137",2.291399,0.858598,0.991546,71,59,35,1.38051433333333,4.19160299111831
"CCDC138",1.294858,0.688675,1.462234,1.148589,25,21,31,"Ccdc138",0.104948,0.128929,0.146237,8,10,8,0.126704666666667,1.90696733897141
"CCDC14",19.704955,11.587084,12.706664,14.6662343333333,399,299,282,"Ccdc14",0.266969,0.248881,0.320407,33,29,30,0.278752333333333,12.2511872901112
"CCDC141",14.290905,6.359974,5.159139,8.60333933333333,705,438,315,"Ccdc141",55.590738,55.719833,64.158474,2240,2024,1944,58.4896816666667,0.161428655596829
"CCDC142",1.923239,1.426589,2.062829,1.804219,83,63,65,"Ccdc142",0.422677,0.037329,0.65634,7,1,3,0.372115333333333,2.04371959985871
"CCDC146",2.483977,2.3865,2.320093,2.39685666666667,57,52,34,"Ccdc146",0.997421,0.627964,0.626885,35,20,13,0.750756666666667,1.94022203732862
"CCDC148",0,0.061507,0,0.0205023333333333,0,2,0,"Ccdc148",0.021823,0.060305,0.01093,1,3,1,0.0310193333333333,0.989799415335891
"CCDC149",6.304191,1.797323,2.260054,3.453856,133,76,85,"Ccdc149",0.604666,0.919551,1.00477,65,78,70,0.842995666666667,2.41663943141845
"CCDC15",0.104787,0.180449,0.142629,0.142621666666667,5,1,5,"Ccdc15",0.188559,0.224426,0.176703,16,19,14,0.196562666666667,0.954920037618868
"CCDC150",6.353686,5.143403,7.010292,6.169127,100,74,56,"Ccdc150",0.052945,0,0.043071,3,0,1,0.0320053333333333,6.94679258763521
"CCDC152",0.224443,0.237393,0.255433,0.239089666666667,12,14,15,"Ccdc152",0.961749,0.166566,0.297474,12,4,5,0.475263,0.83991103055297
"CCDC153",0.226129,0.095053,0.192279,0.171153666666667,5,2,4,"Ccdc153",0.034041,0,0.207912,1,0,2,0.080651,1.08374828382768
"CCDC154",0.45751,0.715413,0.396823,0.523248666666667,7,10,5,"Ccdc154",0.015485,0,0,1,0,0,0.00516166666666667,1.51542654000932
"CCDC157",0.650466,0.950982,0.315294,0.638914,32,35,18,"Ccdc157",1.167327,0.721738,0.734714,121,101,73,0.874593,0.874277243113572
"CCDC158",0.077471,0.131577,0.048971,0.0860063333333333,5,9,3,"Ccdc158",0,0.010258,0.013012,0,1,1,0.00775666666666667,1.07764738180844
"CCDC159",9.194981,8.107199,6.225029,7.842403,74,71,58,"Ccdc159",1.172705,0.83784,0.771546,51,28,25,0.927363666666667,4.58782281358076
"CCDC160",0.076777,0.396326,0.315986,0.263029666666667,2,9,9,"Ccdc160",0.090858,0.097629,0.126164,4,4,4,0.104883666666667,1.14313362100565
"CCDC167",19.976669,17.560688,17.249788,18.2623816666667,153,128,124,"Ccdc167",1.387801,1.485722,0.956708,137,99,94,1.27674366666667,8.46049643123344
"CCDC169",1.043886,0.653776,0.598579,0.765413666666667,16,17,13,"Ccdc169",0,0.012221,0,0,1,0,0.00407366666666667,1.75825113761573
"CCDC17",2.068331,3.598483,0.693506,2.12010666666667,27,13,18,"Ccdc17",0.493628,0.376484,0.39673,15,13,8,0.422280666666667,2.19373485120846
"CCDC170",0,0.0189,0.030148,0.0163493333333333,0,2,3,"Ccdc170",0,0.039966,0,0,4,0,0.013322,1.0029875334132
"CCDC171",0.222908,0.267402,0.297591,0.262633666666667,22,11,14,"Ccdc171",0.149831,0.132368,0.325862,14,13,14,0.202687,1.04984394665168
"CCDC172",0,0,0,0,0,0,0,"Ccdc172",0,0,0,0,0,0,0,1
"CCDC173",0.03046,0,0.055628,0.028696,1,0,2,"Ccdc173",0.352484,0.283153,0.18557,15,12,5,0.273735666666667,0.807621256843715
"CCDC174",5.666879,8.243078,5.909817,6.60659133333333,134,115,90,"Ccdc174",2.470717,1.723078,1.493093,85,68,57,1.89562933333333,2.62692163177423
"CCDC175",0,0,0,0,0,0,0,"Ccdc175",0.011759,0,0,1,0,0,0.00391966666666667,0.996095637134312
"CCDC177",0,0,0,0,0,0,0,"Ccdc177",0.006157,0,0.009366,1,0,1,0.00517433333333333,0.994852302569073
"CCDC178",0,0,0,0,0,0,0,"Ccdc178",0,0,0,0,0,0,0,1
"CCDC18",3.000579,2.787498,1.717312,2.50179633333333,58,58,34,"Ccdc18",0.005567,0.006118,0.00784,1,1,1,0.00650833333333333,3.47915284688817
"CCDC180",2.613426,1.638024,1.563038,1.93816266666667,63,51,44,"Ccdc180",0.006711,0,0.009281,1,0,1,0.00533066666666667,2.92258334902745
"CCDC181",0.825949,0.385362,0.263731,0.491680666666667,28,14,9,"Ccdc181",1.534972,1.459225,1.637751,87,77,67,1.54398266666667,0.586356458403543
"CCDC182",0,0,0,0,0,0,0,"Ccdc182",0,0,0,0,0,0,0,1
"CCDC184",0,0,0.065883,0.021961,0,0,3,"Ccdc184",0.050831,0.080773,0.08957,5,8,6,0.0737246666666667,0.951790558349223
"CCDC185",0,0,0,0,0,0,0,"Ccdc185",0,0,0,0,0,0,0,1
"CCDC186",2.652234,1.910216,1.602766,2.055072,223,159,139,"Ccdc186",4.663862,5.246179,3.88323,436,439,314,4.597757,0.54576717067211
"CCDC187",0.004115,0.004568,0.008937,0.00587333333333333,1,1,2,"Ccdc187",0.019216,0.016124,0.037654,6,5,9,0.0243313333333333,0.98198043992276
"CCDC188",0.214754,0,0.104558,0.106437333333333,3,0,3,"Ccdc188",0,0.055951,0.192932,0,1,4,0.082961,1.02167791207009
"CCDC189",1.684801,3.761379,1.995307,2.48049566666667,28,31,19,"Ccdc189",2.465436,2.577937,3.226054,44,47,39,2.75647566666667,0.926532200794237
"CCDC190",0,0.043565,0,0.0145216666666667,0,1,0,"Ccdc190",0,0,0,0,0,0,0,1.01452166666667
"CCDC191",0.442584,0.12604,0.053062,0.207228666666667,16,9,4,"Ccdc191",16.949344,8.946764,0.271208,46,35,22,8.72243866666667,0.124169327064581
"CCDC192",0.419751,0.399253,0.057661,0.292221666666667,5,5,1,"Ccdc192",0,0,0,0,0,0,0,1.29222166666667
"CCDC194",0.422325,0.146938,0,0.189754333333333,6,2,0,"Ccdc194",0,0,0,0,0,0,0,1.18975433333333
"CCDC196",0.09267,0,0,0.03089,1,0,0,"Gm6657",0,0,0,0,0,0,0,1.03089
"CCDC198",0.358153,0.135724,0.136855,0.210244,4,1,1,"ccdc198",0,0.11929,0,0,1,0,0.0397633333333333,1.16396102959327
"CCDC200",2.818973,1.487016,1.044373,1.783454,25,12,12,"Gm11634",0,0,0,0,0,0,0,2.783454
"CCDC22",3.117893,2.91727,1.734853,2.59000533333333,143,138,82,"Ccdc22",1.298798,1.597749,1.184906,102,117,66,1.36048433333333,1.52087657716573
"CCDC24",3.231078,2.259308,2.526621,2.67233566666667,74,55,57,"Ccdc24",0.171827,0.091371,0,3,1,0,0.0877326666666667,3.37613807069016
"CCDC25",4.481413,4.400929,4.06981,4.317384,185,176,159,"Ccdc25",3.877322,3.822859,4.101456,262,239,198,3.933879,1.07772890255314
"CCDC27",0.130321,0.071181,0,0.0671673333333333,6,1,0,"Ccdc27",0,0,0,0,0,0,0,1.06716733333333
"CCDC28A",1.682448,2.011468,1.212319,1.63541166666667,37,44,26,"Ccdc28a",2.093684,4.780017,2.527123,81,81,50,3.133608,0.637557230067937
"CCDC28B",16.552173,15.175574,18.003654,16.5771336666667,253,218,246,"Ccdc28b",7.089353,7.403069,7.240236,60,53,37,7.24421933333333,2.13205555989979
"CCDC3",0.631983,0.949556,0.668307,0.749948666666667,37,52,36,"Ccdc3",0.310317,0.268349,0.454828,25,21,26,0.344498,1.30156286336362
"CCDC30",2.189278,1.130752,2.117541,1.81252366666667,65,56,59,"Ccdc30",0.149121,0.143426,0.007575,9,5,0,0.100040666666667,2.55674517487535
"CCDC32",12.728537,14.018727,12.131538,12.9596006666667,181,149,90,"Ccdc32",1.761217,1.697212,2.192155,89,85,68,1.883528,4.84115315220337
"CCDC33",0.272053,0.248009,0.45927,0.326444,4,4,5,"Ccdc33",0,0,0,0,0,0,0,1.326444
"CCDC34",10.267096,10.688935,9.002824,9.986285,185,188,172,"Ccdc34",0.856932,0.602522,0.813325,39,27,22,0.757593,6.25075600551436
"CCDC38",0.048991,0.089851,0.050285,0.0630423333333333,2,4,2,"Ccdc38",0.026317,0.009703,0.020789,3,1,1,0.0189363333333333,1.04328631589347
"CCDC39",0.660491,0.704619,0.378556,0.581222,13,13,3,"Ccdc39",0.101821,0.042409,0.071306,12,4,6,0.0718453333333333,1.4752333670032
"CCDC40",6.707838,2.489638,2.768264,3.98858,145,84,87,"Ccdc40",0,0,0,0,0,0,0,4.98858
"CCDC42",0,0,0,0,0,0,0,"Ccdc42",0.052173,0,0,1,0,0,0.017391,0.982906276937775
"CCDC43",6.841386,5.985217,5.981461,6.26935466666667,243,232,217,"Ccdc43",4.418429,6.954828,4.524572,137,184,132,5.29927633333333,1.15399837727392
"CCDC47",17.918344,15.808059,17.175656,16.967353,688,572,535,"Ccdc47",23.913193,29.376403,27.260956,1487,1403,1157,26.850184,0.645143062609568
"CCDC50",12.629477,10.855032,10.230752,11.2384203333333,648,604,467,"Ccdc50",3.498327,4.840128,3.498671,472,400,372,3.94570866666667,2.47455342766517
"CCDC51",5.073473,4.476512,4.726861,4.75894866666667,136,102,100,"Ccdc51",1.309199,1.54286,1.663035,62,68,56,1.50503133333333,2.2989527476303
"CCDC54",0.04793,0.092958,0.095276,0.0787213333333333,1,2,2,"Ccdc54",0,0,0,0,0,0,0,1.07872133333333
"CCDC57",31.087636,24.993689,9.033459,21.704928,190,159,116,"Ccdc57",0.133943,0.238892,0.165814,8,8,4,0.179549666666667,19.2488104923659
"CCDC59",13.9406,12.324664,5.895731,10.7203316666667,105,98,77,"Ccdc59",3.03162,2.328969,2.689826,127,89,69,2.68347166666667,3.18187099760507
"CCDC6",4.388695,4.349728,2.736223,3.824882,473,492,301,"Ccdc6",2.177447,1.306803,1.828287,270,225,185,1.77084566666667,1.74130304623005
"CCDC60",0.841134,1.320027,2.360816,1.50732566666667,12,9,31,"Ccdc60",0.038935,0,0.02681,3,0,1,0.021915,2.45355598720702
"CCDC61",2.65222,2.848971,1.860993,2.45406133333333,47,39,35,"Ccdc61",2.15809,2.570057,3.023311,23,54,31,2.58381933333333,0.963793375744945
"CCDC62",0.076701,0.091021,0.073522,0.0804146666666667,4,5,3,"Ccdc62",0.675104,0.74698,0.959861,28,16,12,0.793981666666667,0.602243984284492
"CCDC65",0.543319,0.367516,0.123447,0.344760666666667,23,15,5,"Ccdc65",0.016998,0.018298,0.070473,1,1,3,0.0352563333333333,1.29896396029454
"CCDC66",8.717963,6.820041,10.681239,8.73974766666667,194,150,133,"Ccdc66",1.687706,1.543287,1.669089,152,127,105,1.63336066666667,3.69859996389911
"CCDC68",1.090017,1.384979,0.82721,1.10073533333333,35,38,37,"Ccdc68",0.600616,0.459645,1.024849,24,16,34,0.695036666666667,1.23934506824828
"CCDC69",39.509958,33.556826,29.824593,34.2971256666667,2740,2250,1882,"Ccdc69",1.389821,1.465967,2.159783,56,54,63,1.671857,13.2107091310151
"CCDC70",0,0,0,0,0,0,0,"Ccdc70",0,0,0,0,0,0,0,1
"CCDC71",3.982785,3.592246,2.661554,3.412195,147,126,92,"Ccdc71",2.970553,2.326121,1.962333,143,155,111,2.419669,1.29024037121721
"CCDC71L",0.944622,0.824174,1.010157,0.926317666666667,42,32,38,"Ccdc71l",1.474738,1.295897,1.656643,182,162,140,1.47575933333333,0.778071454979873
"CCDC73",0,0.049566,0.016612,0.0220593333333333,0,2,1,"Ccdc73",5.033115,2.454427,2.412481,35,20,12,3.30000766666667,0.237687793269826
"CCDC74A",0.672056,0.633382,0.24842,0.517952666666667,17,14,6,"Ccdc74a",0.476995,0.072781,0.17434,7,2,2,0.241372,1.2228024046512
"CCDC74B",0.440646,0.047934,0.677053,0.388544333333333,18,3,6,"Ccdc74a",0.476995,0.072781,0.17434,7,2,2,0.241372,1.11855618890496
"CCDC77",6.641733,6.620055,5.169517,6.14376833333333,101,88,75,"Ccdc77",0.921219,0.751837,0.71983,66,51,41,0.797628666666667,3.97399555636815
"CCDC78",1.468525,1.053155,1.198079,1.23991966666667,41,21,19,"Ccdc78",0,0.020778,0,0,1,0,0.006926,2.22451269176351
"CCDC8",10.87187,8.823505,8.174301,9.289892,787,600,556,"Ccdc8",0.413426,0.555466,0.62271,69,87,74,0.530534,6.72307312349807
"CCDC80",11.513244,10.214126,10.560609,10.7626596666667,348,260,223,"Ccdc80",6.764638,6.651633,6.380957,672,670,530,6.599076,1.54790657004439
"CCDC81",0.986682,0.382069,0.31614,0.561630333333333,16,10,10,"Ccdc81",0,0,0,0,0,0,0,1.56163033333333
"CCDC82",5.857781,15.071284,4.41558,8.448215,122,129,89,"Ccdc82",1.572579,1.780222,1.631467,220,220,167,1.66142266666667,3.55006182157212
"CCDC83",0,0,0,0,0,0,0,"Ccdc83",0.050891,0.027244,0.035526,2,1,1,0.037887,0.963496026060641
"CCDC85A",0.348047,0.159519,0.195761,0.234442333333333,26,12,15,"Ccdc85a",1.576127,1.301222,1.048943,202,199,113,1.308764,0.534676707248265
"CCDC85B",17.517654,18.695231,17.539487,17.9174573333333,316,276,282,"Ccdc85b",0.75991,1.33862,1.010196,114,205,106,1.036242,9.29037773178892
"CCDC85C",7.984604,7.037845,5.990021,7.00415666666667,731,600,547,"Ccdc85c",3.069345,2.783178,3.854543,383,377,341,3.23568866666667,1.88969428505369
"CCDC86",5.314633,5.91139,3.697909,4.974644,195,181,134,"Ccdc86",0.795547,0.736659,0.837612,79,70,58,0.789939333333333,3.33790307232014
"CCDC87",0.23951,0.269736,0.101955,0.203733666666667,15,16,6,"Ccdc87",0.009672,0.020771,0,1,2,0,0.0101476666666667,1.1916412880889
"CCDC88A",7.830145,5.38265,4.017928,5.74357433333333,356,330,193,"Ccdc88a",0.734141,1.027386,1.044217,134,119,130,0.935248,3.48460472938524
"CCDC88B",2.65464,1.073838,1.960369,1.89628233333333,71,24,48,"Ccdc88b",0.051114,0.146993,0.772821,8,18,11,0.323642666666667,2.18811496959905
"CCDC88C",0.123475,0.248883,0.031045,0.134467666666667,3,5,2,"Ccdc88c",0.415998,0.873406,0.809372,112,134,128,0.699592,0.667494120157465
"CCDC89",0.027653,0.026485,0,0.018046,1,1,0,"Ccdc89",0.014822,0.01622,0,1,1,0,0.0103473333333333,1.00761982183025
"CCDC9",10.228245,5.280548,5.582432,7.03040833333333,188,113,114,"Ccdc9",23.349393,15.083244,21.805285,143,118,125,20.0793073333333,0.380961679923638
