"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,2.5419703972591
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,2.82021474240552
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.0682164304761791
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.414735210198346
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,6.88663806899598
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,0.709074069495537
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,0.720874522723303
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.261742819142488
"ABCF3",42.225453,35.384299,25.704264,34.4380053333333,787,609,496,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.170845887859626
"ABCG1",4.885127,3.443918,3.219942,3.84966233333333,306,199,192,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.299199688958726
"ABCG2",0.576877,0.198017,0.199392,0.324762,10,14,4,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,1.24326669686497
"ABCG4",0.753032,0.371896,0.214828,0.446585333333333,40,26,15,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.10334133956242
"ABCG5",0,0.01593,0,0.00531,0,1,0,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.970745006147765
"ABCG8",0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.0350799406713
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.748052529844617
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,0.532037841678096
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.940855317202105
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.101992823838163
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,0.612601080149231
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.275726749441499
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,0.532226908348605
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.886181966416849
