"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.755711256846788
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,0.318903544739808
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,1.17545809934649
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.132041333940443
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",0.508261,0.346372,0.237091,5,12,5,0.363908,0.921270594008785
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.221689885123482
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,0.720393788568922
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,0.720222672862776
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,1.75509994472543
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.208973409926471
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0.992170124103946
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.402711031781768
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.13389150760739
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,0.321988095232845
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,1.31495428618127
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,0.266157043712805
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.0586989226531069
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.535538676894654
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.314318663700391
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.172639665984017
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.0717297303426072
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.141756456808217
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,0.466737649021613
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.541450015961231
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",2.876543,2.528344,3.212496,93,298,218,2.872461,0.341594832502294
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,1.61344014317407
