"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.644523021991834
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,10.9322282841868
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.0565001438477835
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,0.557259588985349
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,2.71229789580372
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,0.371028679406997
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,2.17697465966888
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,1.93570096396214
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.0882525538135824
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.226114418345171
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,0.72209888666339
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.07335759433059
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,2.82564139326097
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.939913227210864
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.407242258484278
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,0.326405239500418
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,1.15919552326114
"ACER1",0,0,0,0,0,0,0,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.983628809963242
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.224203138029487
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,0.920904843957703
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,0.0275176582907368
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,0.587409006844811
"ACKR1",0,0,0,0,0,0,0,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.00732656330391861
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.969724555768288
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,1.06598867076818
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.929595244934403
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,0.391652468971552
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.902353964442742
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,1.00083761031094
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.519140128947077
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,4.50986858919923
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,2.86103790817881
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,0.796028033005559
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,3.66847035986177
"ACOT11",20.174206,15.320592,11.474642,15.65648,1325,899,708,"Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,1.1620708655825
"ACOT12",0.102651,0,0,0.034217,1,0,0,"Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.869016645935455
"ACOT13",28.624228,30.396445,27.420034,28.813569,613,576,520,"Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,0.208574936652335
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,9.55265138265031
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,44.0230959241865
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,54.1202076157089
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,34.3335870047034
"ACOT4",0.124947,0.174781,0.261237,0.186988333333333,6,8,12,"Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.479020872251639
"ACOT6",0.188194,0,0.040322,0.076172,5,0,1,"Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.393626225069447
