"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"NOS1AP","Nos1ap",48.236325,55.894384,45.745783,860,862,1508,49.9588306666667,3.064027,4.050334,6.228545,185,259,207,0.400353333333333,36.3899806239378
"NOS2","Nos2",0.084778,0.171491,0.175659,5,4,12,0.143976,0.393536,0.555493,0.817943,21,33,31,0.192567,0.959255119418867
"NOS3","Nos3",1.799994,1.535333,1.716734,102,87,190,1.68402033333333,0.817971,0.403481,0.199675,12,18,7,1.78161766666667,0.964913462226357
"NOSIP","Nosip",23.501343,28.722877,26.495924,309,334,546,26.240048,29.593415,29.214892,37.381761,200,232,195,1.59635333333333,10.491656759609
"NOSTRIN","Nostrin",3.191247,1.371776,3.727618,51,31,109,2.763547,0.212993,0.214011,0.442985,1,4,3,0.441455333333333,2.61093556835846
"NOTCH1","Notch1",6.457122,42.526017,15.080344,352,372,672,21.3544943333333,0.564799,0.276883,1.37859,16,33,97,0.164565,19.1955745993855
"NOTCH2","Notch2",1.481686,1.674436,1.800092,226,251,525,1.65207133333333,0.981487,1.793379,1.497206,134,164,111,0.0558516666666667,2.51178401006455
"NOTCH3","Notch3",2.657313,3.808877,3.269633,201,219,480,3.24527433333333,2.041267,4.255333,5.251324,62,230,127,99.129648,0.0423977754653979
"NOTCH4","Notch4",3.635753,1.710077,8.983268,104,68,192,4.776366,1.580479,1.959543,2.022504,35,45,29,2.25866766666667,1.77261586355896
"NOTO","Noto",0,0,0,0,0,0,0,0.114084,0.064788,0,3,2,0,1.014111,0.496496965658794
"NOTUM","Notum",2.306398,1.674363,1.620199,26,22,42,1.86698666666667,0.378022,0.450643,0.358571,7,11,6,18.9923806666667,0.143403965464043
"NOVA1","Nova1",18.818547,22.734201,16.225319,795,859,1454,19.2593556666667,46.206356,53.738828,42.760166,1625,1853,1133,8.70636533333333,2.08722368991125
"NOX1","Nox1",0.116902,0.184276,0.046097,4,2,3,0.115758333333333,0.174173,0.415451,0.245615,4,6,5,0.787295,0.624272061038236
"NOX3","Nox3",0,0.044372,0.022757,0,1,1,0.0223763333333333,0.081784,0,0,2,0,0,0.822685,0.560917730344702
"NOX4","Nox4",0.498534,0.516101,0.785811,9,9,23,0.600148666666667,0.49377,1.454946,0.586668,13,27,11,0,1.60014866666667
"NOXA1","Noxa1",0,0,0,0,0,0,0,1.587432,1.226466,1.996183,27,24,22,99.4724866666667,0.00995297352714737
"NOXO1","Noxo1",0.616226,0.450244,1.300442,13,12,27,0.788970666666667,0.201496,0.083313,0.328642,2,1,2,0.008038,1.77470558318899
"NOXRED1","Noxred1",0.551341,0.893653,0.808503,9,15,25,0.751165666666667,0.398369,0.715784,0.310679,9,15,5,1.39944166666667,0.729822146124272
"NPAS1","Npas1",2.213861,2.422222,2.721716,53,61,138,2.45259966666667,4.730511,5.118187,5.512574,41,54,28,5.040555,0.571569941282989
"NPAS2","Npas2",9.430826,7.260607,8.211661,527,421,899,8.30103133333333,6.490987,7.343063,6.64839,37,101,64,9.62338566666667,0.87552420905865
"NPAS3","Npas3",7.698242,18.682978,3.187764,123,134,214,9.856328,4.359173,5.557436,5.491218,241,258,211,0.080578,10.0467786684534
"NPAS4","Npas4",3.577806,2.393303,3.102434,140,118,243,3.02451433333333,2.229961,2.068868,0.490945,20,33,15,137.745585333333,0.0290064316184513
"NPAT","Npat",5.559459,4.706131,4.604492,345,345,640,4.956694,3.453851,4.818231,3.547638,141,164,111,0.642723333333333,3.62610908308764
"NPB","Npb",0.269222,0.240657,0.24158,1,1,2,0.250486333333333,0,0.406415,0,0,2,0,0.319935,0.947384782836528
"NPC1","Npc1",15.504323,15.078616,14.28246,758,775,1415,14.955133,23.684592,23.847737,14.891043,325,381,178,0.416057666666667,11.267290432852
"NPC1L1","Npc1l1",0.252847,0.242522,0.282561,16,15,34,0.25931,0.015223,0.039839,0.040844,1,3,2,1.83146466666667,0.444755682394765
"NPC2","Npc2",12.552948,10.979189,11.162307,516,464,885,11.5648146666667,17.804135,19.771613,16.67799,134,136,75,28.7352516666667,0.42255619046103
"NPDC1","Npdc1",103.51851,111.259166,117.52853,1085,1111,2307,110.768735333333,124.980781,136.102798,156.740058,1023,1305,932,8.64118733333333,11.5928392913708
"NPEPL1","Npepl1",4.258726,6.187892,5.409027,99,99,191,5.285215,17.914283,11.832829,16.444266,347,283,256,4.11277933333333,1.22931474061922
"NPEPPS","Npepps",90.042286,61.367625,84.612152,1661,1619,3045,78.674021,165.060392,168.804786,184.560853,2695,2880,2161,2.20530966666667,24.8568872544712
"NPFF","Npff",1.366607,0.640583,1.067982,11,7,17,1.02505733333333,2.005148,0,0,10,0,0,1.222313,0.911238575904174
"NPFFR2","Npffr2",0.193541,0.098642,0.075926,4,2,3,0.122703,0.620631,0.723178,0.217895,10,12,2,0.146803666666667,0.978984487609184
"NPHP1","Nphp1",4.097578,5.836375,6.835354,124,117,258,5.589769,1.292744,2.137842,2.074562,70,58,35,0.146732666666667,5.74656080841859
"NPHP3","Nphp3",17.441246,16.203149,13.601271,84,83,183,15.7485553333333,6.445534,5.812034,6.925538,200,168,181,0.207708666666667,13.8680426791671
"NPHP4","Nphp4",3.124672,3.499336,2.551653,146,175,306,3.05855366666667,10.632671,8.367125,9.405752,470,478,375,5.59521433333333,0.615378585371221
"NPHS1","Nphs1",0.96129,0.603766,0.780818,16,22,39,0.781958,0.061073,0.825709,1.654485,3,14,9,19.485207,0.086987551553665
"NPHS2","Nphs2",0.120294,0.266041,0.376305,5,11,16,0.254213333333333,0.053737,0,0,1,0,0,0.0160893333333333,1.23435340987079
"NPL","Npl",2.026386,1.918757,1.76955,43,40,71,1.90489766666667,3.817245,5.10791,4.52763,28,44,27,14.3681956666667,0.189020086005759
"NPLOC4","Nploc4",20.84866,18.53853,19.402293,647,700,1246,19.5964943333333,203.82959,261.392033,256.730852,1064,1305,811,0,20.5964943333333
"NPM1","Npm1",96.048125,107.697752,109.876705,1196,1233,2278,104.540860666667,994.444212,857.436378,881.69086,2608,2703,2011,0.044625,101.032294523553
"NPM2","Npm2",0,0.181999,0.3493,0,2,4,0.177099666666667,247.168457,149.553862,238.652316,206,256,180,0.0477086666666667,1.12349902612876
"NPM3","Npm3",5.247544,5.033448,4.507153,50,43,77,4.92938166666667,11.362139,16.083639,25.220226,45,56,50,1.68267366666667,2.21025081818251
"NPNT","Npnt",3.808431,5.036009,4.137147,242,284,508,4.32719566666667,0.550672,0.682551,0.432168,10,5,10,0,5.32719566666667
"NPPA","Nppa",0.219665,0.4442,0.057004,2,4,1,0.240289666666667,0.470966,0.320135,0.207415,4,3,1,0,1.24028966666667
"NPPB","Nppb",0,0,0,0,0,0,0,3.121312,1.682826,0,20,12,0,514.754813666667,0.00193890580078289
"NPPC","Nppc",2.16321,2.158391,1.551323,24,24,34,1.95764133333333,0.213833,1.037996,1.193187,2,11,6,6.098431,0.416661278151937
"NPR1","Npr1",1.697108,2.075052,1.159513,25,36,62,1.643891,0,0,0,0,0,0,0,2.643891
"NPR2","Npr2",31.125127,41.749324,38.631814,351,419,859,37.168755,19.084605,15.696216,25.688276,380,420,286,6.957422,4.79662320284132
"NPR3","Npr3",1.929797,1.487703,2.094463,156,133,300,1.837321,0.454493,0.675658,2.346683,21,57,133,10.2710573333333,0.251735122632091
"NPRL2","Nprl2",14.179865,16.478634,15.114064,227,233,411,15.257521,19.053835,23.677538,24.887585,172,222,168,0.065251,15.2616810498183
"NPRL3","Nprl3",17.582738,21.126249,19.683773,211,222,433,19.4642533333333,10.450896,15.260345,14.131012,245,344,230,16.594727,1.16309013111334
"NPS","Nps",0,0,0.06011,0,0,1,0.0200366666666667,0,0,0,0,0,0,37.8069346666667,0.0262849069484179
"NPSR1","Npsr1",1.135155,2.047026,0.763357,31,33,51,1.31517933333333,0,0,0,0,0,0,6.483634,0.309365654885492
"NPTN","Nptn",611.643009,696.202532,614.83042,6519,7313,12130,640.891987,132.716537,154.02591,161.48539,2021,2334,1509,17.9327816666667,33.903733656324
"NPTX1","Nptx1",48.491497,46.476518,43.749509,3464,3326,6150,46.2391746666667,36.736989,27.982325,18.042868,1782,1471,641,160.527044666667,0.292453655449162
"NPTX2","Nptx2",15.530723,9.953109,9.438174,469,311,590,11.6406686666667,36.755806,19.952064,11.865807,1121,666,257,15.6089216666667,0.761077023563541
"NPTXR","Nptxr",122.260127,131.73722,120.093886,7057,7720,13880,124.697077666667,13.774805,17.407331,16.244151,1010,1425,837,20.6754196666667,5.79906085324699
"NPVF","Npvf",0,0.121349,0,0,1,0,0.0404496666666667,0,0,0,0,0,0,3.23013266666667,0.245961474179139
"NPY","Npy",86.579289,93.100553,78.361705,408,431,707,86.013849,0,0,0.329471,0,0,1,0.802240333333333,48.2809353395524
"NPY1R","Npy1r",5.791355,7.893571,6.976687,232,307,529,6.88720433333333,10.782811,9.340568,25.214301,347,287,554,0.050404,7.5087340997686
"NPY2R","Npy2r",1.561138,1.362142,1.631893,62,59,119,1.518391,0,0,0.033089,0,0,1,22.141128,0.108827495358048
"NPY4R","Npy4r",0,0.020291,0,0,1,0,0.00676366666666667,0.044386,0.163958,0.044172,1,4,1,0.006033,1.00072628498933
"NPY5R","Npy5r",2.48156,2.571501,1.771591,59,64,92,2.274884,1.933107,2.99889,6.679818,38,65,88,6.01289033333333,0.466980637702828
"NPY6R","Npy6r",0.029155,0,0,1,0,0,0.00971833333333333,0.025721,0.453525,0.03613,1,14,1,0.0129523333333333,0.996807352238029
"NQO1","Nqo1",1.393014,2.265412,1.67655,27,43,62,1.77832533333333,5.401245,6.597205,10.243855,71,91,81,10.5320296666667,0.240922492712977
"NQO2","Nqo2",3.155811,3.552355,2.285657,91,91,142,2.997941,23.259163,21.576698,24.903361,277,343,242,11.8331623333333,0.311532021192906
"NR0B1","Nr0b1",0,0,0.022552,0,0,1,0.00751733333333333,0.047633,0,0,1,0,0,3.69673566666667,0.214514378674494
"NR0B2","Nr0b2",0,0,0,0,0,0,0,0,0.139422,0,0,2,0,7.97860533333333,0.111375872184455
"NR1D1","Nr1d1",29.226903,35.883095,30.18623,1022,1232,1983,31.7654093333333,0.470546,0.461289,0.49635,16,17,12,86.5017583333333,0.374454296204143
"NR1D2","Nr1d2",36.03679,37.349908,38.49207,1766,1882,3579,37.2929226666667,3.928363,6.455083,5.864806,167,306,189,11.507977,3.06148009919323
"NR1H2","Nr1h2",64.682972,56.575332,91.511017,291,288,606,70.923107,21.557804,19.21372,6.446415,84,137,77,28.9679336666667,2.40000220902785
"NR1H3","Nr1h3",1.697502,1.311954,2.642164,29,10,55,1.88387333333333,2.658403,2.933745,3.179911,19,29,20,0.133438,2.5443591385972
"NR1H4","Nr1h4",0,0,0.14319,0,0,7,0.04773,0,0.205441,0.071314,0,2,1,8.197514,0.113914477325068
"NR1I2","Nr1i2",0,0,0,0,0,0,0,0.056731,0.140495,0,2,3,0,16.2218416666667,0.0580657991958855
"NR1I3","Nr1i3",0.122239,0.050649,0.091392,5,2,7,0.0880933333333333,3.418673,3.840314,4.120429,38,46,26,7.73968366666667,0.124500310861747
"NR2C1","Nr2c1",2.037609,2.571314,2.398469,102,112,203,2.33579733333333,28.442754,31.097343,34.579029,326,322,258,0.696299666666667,1.96651417133647
"NR2C2","Nr2c2",19.799031,22.478689,20.332871,2052,2098,3766,20.870197,13.553058,14.32009,16.272986,1376,1285,1109,16.1388443333333,1.27606019254546
"NR2C2AP","Nr2c2ap",7.103528,9.16254,7.979251,91,114,190,8.081773,3.790287,4.46772,2.197589,37,55,21,29.083608,0.301884434872307
"NR2E1","Nr2e1",4.569789,3.610675,4.268777,123,150,286,4.149747,0.030025,0,0.047707,1,0,1,7.06556333333333,0.638485718501167
"NR2E3","Nr2e3",0,0,0,0,0,0,0,0.32834,0.073935,0.057831,8,2,1,3.46766333333333,0.223830652712566
"NR2F1","Nr2f1",15.694693,17.054084,17.261499,353,447,848,16.670092,0.256511,0.769157,1.524939,7,19,19,9.56295433333333,1.67283616329182
"NR2F2","Nr2f2",2.766791,5.471963,2.704988,80,121,171,3.647914,1.06165,1.448099,4.485665,24,30,52,11.8813743333333,0.360824387190777
"NR2F6","Nr2f6",13.178413,20.429368,17.564932,104,122,285,17.057571,15.070477,13.185985,16.353657,289,313,205,603.050862666667,0.0298941233529282
"NR3C1","Nr3c1",15.948975,21.043343,19.997054,1322,1501,2451,18.9964573333333,3.416118,2.624404,2.7378,267,252,178,0,19.9964573333333
"NR3C2","Nr3c2",13.852448,8.81738,11.053433,442,472,892,11.241087,0.098971,0.537212,0.206159,5,13,9,0.494069,8.19312026419128
"NR4A1","Nr4a1",30.543239,25.721132,23.180362,830,659,1330,26.4815776666667,6.507829,5.770477,6.639312,83,141,84,0.204483666666667,22.8160650303546
"NR4A2","Nr4a2",4.888798,25.490743,17.457745,217,337,488,15.945762,0.108264,0.323669,0.152975,3,6,3,0.062804,15.9443904990948
"NR4A3","Nr4a3",5.790435,4.469018,4.668006,398,319,649,4.97581966666667,0.946933,0.885915,1.267554,62,63,59,3.78856433333333,1.24793555034205
"NR5A1","Nr5a1",0.025566,0.051005,0,1,2,0,0.0255236666666667,0,0.12334,0.193207,0,4,3,6.927475,0.129363216745138
"NR5A2","Nr5a2",0,0,0.054936,0,0,5,0.018312,1.727781,0.585921,11.014132,108,31,96,111.048519666667,0.00908813434599027
"NR6A1","Nr6a1",1.97939,1.585401,2.815364,116,124,245,2.12671833333333,6.59338,4.23593,8.933398,625,445,609,0,3.12671833333333
"NRAP","Nrap",0.152237,0.197905,0.201351,11,14,22,0.183831,0.013672,0,0,1,0,0,1.21471066666667,0.534530770911836
"NRARP","Nrarp",4.292633,5.508411,5.31701,131,175,338,5.03935133333333,0.393071,0.782651,0.568283,11,25,11,11.5491803333333,0.481254645555735
"NRAS","Nras",59.147162,54.092847,56.628218,592,591,1076,56.6227423333333,16.730016,16.717114,22.144222,962,1028,913,0,57.6227423333333
"NRBF2","Nrbf2",7.848596,8.54436,7.90405,174,195,337,8.099002,10.464958,10.954905,10.241671,231,261,161,0.0539603333333333,8.63315412566128
"NRBP1","Nrbp1",70.826647,50.473995,53.79695,654,700,1254,58.365864,49.330221,59.440796,60.738129,1225,1440,948,0.220471,48.6417653512455
"NRBP2","Nrbp2",62.518273,54.568902,66.363396,996,937,2021,61.1501903333333,32.990257,34.154358,48.395798,1023,1289,1053,6.284136,8.53226660421131
"NRCAM","Nrcam",135.342996,132.65175,121.551487,4187,4310,7593,129.848744333333,127.870523,121.181002,107.445688,4694,4759,3000,4.90503466666667,22.1588443962847
"NRDE2","Nrde2",4.438106,3.836192,3.072427,164,155,283,3.78224166666667,6.611094,6.709221,4.378864,291,295,243,13.1580796666667,0.337774739177787
"NREP","Nrep",20.961454,25.078487,21.867505,579,684,1118,22.6358153333333,220.5514,217.07207,389.587463,3988,4189,5043,4.28298266666667,4.4739528453245
"NRF1","Nrf1",5.648775,4.727976,4.152402,168,133,288,4.843051,11.761493,12.952645,13.834258,259,282,203,5.37339633333333,0.916787642632612
"NRG2","Nrg2",11.371489,8.929992,8.005293,46,49,117,9.43559133333333,5.22328,5.494477,5.569995,107,129,80,1125.824974,0.00926105790528329
"NRG3","Nrg3",8.48069,10.505255,8.770871,410,486,823,9.252272,25.210872,18.979488,20.693601,821,744,550,1.58600933333333,3.96451469368247
"NRG4","Nrg4",1.187089,0.623523,0.974921,21,15,36,0.928511,0.790536,2.070974,2.664871,10,17,19,17.741716,0.1028993823191
"NRGN","Nrgn",466.042555,745.369298,706.909292,6161,8380,15778,639.440381666667,1.699045,2.636015,1.205082,20,37,11,0,640.440381666667
"NRIP1","Nrip1",5.334866,5.803238,5.543449,605,534,1063,5.56051766666667,2.905489,2.925333,2.941822,296,319,214,9.569216,0.620719423906813
"NRIP2","Nrip2",6.928251,6.912701,6.538082,143,145,253,6.79301133333333,0.663219,0.935186,1.196549,24,23,30,6.59887766666667,1.02554767627307
"NRIP3","Nrip3",22.892038,23.572748,20.120753,1249,1260,1909,22.1951796666667,19.718811,17.763985,6.06492,556,534,145,11.1560346666667,1.9081205592701
"NRK","Nrk",0,0.044107,0.037403,0,1,3,0.02717,0.099563,0.366227,0.063498,11,28,5,61.2946563333333,0.0164888942400405
"NRL","Nrl",0.186452,0.136267,0.1573,5,5,12,0.160006333333333,0.782486,0.798157,0.798809,20,26,14,4.23112766666667,0.22175072130719
"NRM","Nrm",7.498448,1.631053,3.385367,23,22,31,4.17162266666667,3.043138,3.03044,3.814573,43,45,37,1.08852966666667,2.47620263633634
"NRN1","Nrn1",93.850208,90.852678,79.640145,1579,1440,2407,88.1143436666667,64.554517,86.723154,94.633715,1197,1720,1278,74.0997923333333,1.18661238464055
"NRN1L","Nrn1l",2.30091,2.517175,1.766526,12,13,19,2.19487033333333,0.091717,0,0.35198,0,0,2,3.12527033333333,0.774463265478117
"NRP1","Nrp1",5.72624,4.500986,4.881544,285,219,461,5.03625666666667,157.256454,103.390938,152.396401,5256,3710,3823,17.035124,0.334694492073726
"NRP2","Nrp2",5.320584,5.805554,5.500683,488,529,974,5.54227366666667,85.631876,47.656135,51.967906,639,512,363,71.5498076666667,0.0901763061416432
"NRROS","Nrros",5.986032,3.178142,2.351767,76,65,108,3.838647,0.061736,0.249699,0,2,9,0,2.20657,1.50897906485746
"NRSN1","Nrsn1",141.464638,147.335242,128.43808,3842,3909,6725,139.07932,3.669111,4.143059,4.461631,61,77,86,5.13016233333333,22.8508336946161
"NRSN2","Nrsn2",35.932304,42.939201,34.591595,649,758,1188,37.8210333333333,63.231653,60.152695,69.460517,1131,1249,923,20.653185,1.79285556990038
"NRTN","Nrtn",0,0.448503,0.877223,0,3,14,0.441908666666667,0.12412,0.199322,0.189828,1,2,1,55.0236896666667,0.0257374813270213
"NRXN1","Nrxn1",137.088693,155.951133,149.67418,4761,4941,8369,147.571335333333,82.742556,111.154783,147.781748,2827,2842,2529,0,148.571335333333
"NRXN2","Nrxn2",114.934179,134.302668,129.392005,2877,3260,5891,126.209617333333,384.923115,447.004307,467.470016,6162,7723,4895,42.376883,2.93265925385495
"NRXN3","Nrxn3",33.425606,37.29152,31.618391,3090,3106,5343,34.111839,19.58687,16.041916,17.061669,893,789,649,3.94014766666667,7.10744726051711
"NSA2","Nsa2",23.087494,22.550911,23.744106,434,454,813,23.1275036666667,56.584932,53.341577,52.621435,378,415,306,100.718789,0.237198101784978
"NSD1","Nsd1",12.619387,12.830086,12.29672,1968,1939,3757,12.5820643333333,15.444989,13.24864,13.554526,1555,1736,1304,1.110685,6.4349082564823
"NSD2","Nsd2",25.973305,25.361331,24.768308,1577,1327,2678,25.367648,38.724705,49.105178,47.182235,2604,2762,2178,1.15863066666667,12.2149881437183
"NSD3","Nsd3",12.019392,12.122158,13.503717,1043,1002,2068,12.5484223333333,28.826569,26.312541,28.52759,1800,2009,1486,0.118376333333333,12.1143678827252
"NSDHL","Nsdhl",6.978708,7.799405,7.490542,199,218,406,7.422885,23.787197,21.454373,18.510809,428,414,232,21.3345166666667,0.377124122527836
"NSF","Nsf",357.110634,542.539803,421.060173,7986,8726,14733,440.23687,115.931459,138.190443,118.073074,4106,5163,3020,104.198587666667,4.19432313481344
"NSFL1C","Nsfl1c",53.709306,50.660436,49.674285,605,625,1173,51.348009,47.343321,44.768059,43.468232,855,930,632,0.048432,49.9298085140477
"NSG1","Nsg1",198.175529,214.045056,197.53727,2515,2585,4594,203.252618333333,239.653245,235.851453,263.680232,5115,5533,3952,1.07625966666667,98.3752762780635
"NSG2","Nsg2",203.130561,229.165429,201.433698,5993,6639,11381,211.243229333333,305.469982,325.71295,312.820396,7234,7887,5002,0,212.243229333333
"NSL1","Nsl1",0.386775,0.089473,0.292212,9,6,21,0.256153333333333,6.059411,9.966966,7.629485,289,313,213,64.1289076666667,0.0192871856497639
"NSMAF","Nsmaf",19.198147,17.368237,18.283389,409,356,753,18.2832576666667,24.7082,21.892124,21.338076,240,259,222,0,19.2832576666667
"NSMCE1","Nsmce1",6.323997,6.896401,5.883459,75,67,112,6.36795233333333,74.221519,93.399653,41.288683,99,128,86,5.95446266666667,1.05945673828239
"NSMCE2","Nsmce2",10.665224,9.689965,11.945836,228,204,432,10.7670083333333,24.356035,13.976769,11.722902,158,148,91,6.20190266666667,1.63387494637991
"NSMCE3","Nsmce3",2.181532,2.217425,2.207161,182,181,352,2.20203933333333,4.079051,4.026718,3.936846,260,277,178,26.2817526666667,0.117369267746703
"NSMF","Nsmf",166.984097,181.329937,180.626608,3580,3668,7063,176.313547333333,89.730155,96.613177,91.437454,1682,2302,1363,146.682418333333,1.20064087068997
"NSRP1","Nsrp1",28.306844,28.676199,16.366528,164,151,326,24.449857,10.892574,10.260814,12.065861,195,189,147,2.62349933333333,7.02355779836398
"NSUN2","Nsun2",27.185219,31.307236,25.8131,720,747,1260,28.1018516666667,15.80008,19.264971,17.97308,486,521,385,0.049605,27.7264796439295
"NSUN3","Nsun3",9.341136,12.86144,4.215257,140,153,186,8.80594433333333,6.507393,7.66674,3.901608,245,256,190,0.0189056666666667,9.62399626789133
"NSUN4","Nsun4",11.728326,17.009582,13.107237,109,112,170,13.9483816666667,4.883195,7.300189,6.802513,193,283,194,8.03739166666667,1.6540592925503
"NSUN5","Nsun5",5.125164,4.584187,8.788076,66,55,147,6.165809,21.354659,20.11244,25.929278,203,267,189,4.14872333333333,1.39176423670075
"NSUN6","Nsun6",2.827957,3.5129,1.867565,75,76,137,2.73614066666667,12.717105,18.406679,18.772988,144,183,126,12.7434963333333,0.271847903622972
"NSUN7","Nsun7",2.472852,1.956239,2.720076,107,76,205,2.38305566666667,0.593149,2.179072,1.082856,14,19,11,5.448414,0.524633757489309
"NT5C","Nt5c",30.783617,53.605116,39.457478,127,173,302,41.2820703333333,26.170001,16.496957,31.635685,110,94,91,0.392001666666667,30.3750141582685
"NT5C1A","Nt5c1a",2.079313,1.973078,1.919984,30,28,53,1.99079166666667,0.243827,0.444215,0.457248,3,6,4,7.196509,0.364886034611402
"NT5C1B","Nt5c1b",0.123581,0,0.08269,2,0,3,0.068757,0,0.042856,0.473181,0,1,2,0.800615666666667,0.593550872507126
"NT5C2","Nt5c2",57.201785,53.617714,45.97359,883,940,1662,52.264363,93.097874,85.257493,99.324618,1564,1597,1244,6.57760866666667,7.0291783784383
"NT5C3B","Nt5c3b",24.746052,24.222689,26.443781,222,254,462,25.1375073333333,107.634828,106.338516,126.002038,1014,1131,823,2.519789,7.42587335017336
"NT5DC1","Nt5dc1",0.808865,0.69934,0.705951,16,12,31,0.738052,7.230964,9.017293,10.506708,269,357,216,83.0520053333333,0.0206782930770924
"NT5DC3","Nt5dc3",41.993729,43.108458,34.211425,1352,1326,2295,39.771204,9.929969,12.515232,13.663552,356,448,372,3.14288266666667,9.84126447220969
"NT5E","Nt5e",2.09811,4.400677,4.020512,111,104,216,3.506433,1.640482,1.926949,2.710755,41,59,35,0.006202,4.47865637317358
"NT5M","Nt5m",14.415026,17.7218,15.44857,218,272,467,15.8617986666667,7.899274,9.341089,14.601934,83,120,100,0.183097666666667,14.2522457289381
"NTAN1","Ntan1",32.349721,37.243192,37.859722,257,296,582,35.817545,53.855844,50.918305,70.492589,266,299,205,1.02227166666667,18.2060331491895
"NTF3","Ntf3",0.608007,0.500402,0.288794,10,9,9,0.465734333333333,0,0,0,0,0,0,10.174244,0.131170782858629
"NTHL1","Nthl1",3.170576,1.553772,1.986193,29,18,46,2.236847,18.409026,13.554129,21.820052,104,137,104,342.881732333333,0.00941267504393761
"NTM","Ntm",86.865353,98.055951,81.146491,2499,2531,4422,88.689265,54.011431,49.579821,59.107427,855,952,607,0.099483,81.5740352511135
"NTMT1","Ntmt1",14.948054,19.115935,15.246115,149,170,285,16.4367013333333,27.682043,26.947974,26.256789,183,211,132,28.6054546666667,0.588969212925672
"NTN1","Ntn1",2.125124,2.338549,2.315399,163,183,337,2.25969066666667,0.147779,0.449793,1.286168,11,38,67,11.3525816666667,0.263887400596016
"NTN3","Ntn3",2.852072,4.157722,1.726842,72,78,142,2.912212,0.671814,0.921731,0.853916,13,22,11,17.695348,0.209261255794757
"NTN4","Ntn4",2.771374,3.06967,2.737618,131,118,209,2.859554,2.062667,2.778349,4.624755,85,105,58,83.34067,0.045761481382588
"NTN5","Ntn5",1.085565,1.310687,0.952838,17,24,36,1.11636333333333,0.104422,0.141898,0.239528,3,3,4,4.364436,0.394517398163261
"NTNG1","Ntng1",5.357181,7.357639,4.829929,242,277,391,5.84824966666667,11.409391,16.092903,20.073138,506,685,583,0.0317116666666667,6.63775538062152
"NTNG2","Ntng2",9.504852,11.339473,13.029374,175,200,419,11.291233,8.03003,6.294062,9.611724,402,393,365,19.7934093333333,0.591111962591737
"NTPCR","Ntpcr",13.490659,15.004243,15.246487,109,132,240,14.580463,20.586282,34.270984,27.096479,368,509,276,21.8573933333333,0.681637786635921
"NTRK1","Ntrk1",0.884815,0.764876,0.916708,30,26,61,0.855466333333333,0.560682,0.907829,1.238884,15,20,9,9.73247633333333,0.172883337983291
"NTRK2","Ntrk2",80.27644,72.18965,75.812201,8386,7454,14757,76.0927636666667,22.698633,22.35742,28.684937,2523,2674,2254,38.7022303333333,1.94177412753411
"NTRK3","Ntrk3",128.668558,71.321737,144.60248,2802,2470,5170,114.864258333333,11.636344,9.224115,13.863924,323,250,171,0,115.864258333333
"NTS","Nts",9.533532,7.109218,5.439522,141,100,149,7.36075733333333,81.106876,16.784337,8.461183,1093,239,81,2.63335933333333,2.30110940490518
"NTSR1","Ntsr1",1.685657,1.675042,1.051215,92,90,110,1.470638,0.158819,0.047409,0.112118,8,2,3,6.77435033333333,0.317793499658342
"NTSR2","Ntsr2",39.919072,37.234264,37.115813,803,746,1537,38.0897163333333,0,0.103242,0.086682,0,2,1,0.252883,31.1998138160813
"NUAK1","Nuak1",14.257219,16.119067,17.191705,1001,898,1669,15.855997,6.155363,7.625677,7.401989,245,365,219,0,16.855997
"NUAK2","Nuak2",0.329527,0.229872,0.305425,13,9,23,0.288274666666667,0.714204,0.615189,0.850484,32,30,27,0.178143666666667,1.0934784127912
"NUB1","Nub1",21.182317,23.542384,21.211063,961,1049,1847,21.978588,39.010691,48.238419,57.215799,546,625,461,10.3623213333333,2.02234977570898
"NUBP1","Nubp1",5.756085,4.395776,5.413189,116,128,237,5.18835,16.855402,18.243929,18.139821,130,135,105,4.702957,1.08511251268421
"NUBP2","Nubp2",10.369871,10.77181,10.272544,141,156,303,10.4714083333333,16.709349,22.815664,22.165045,207,280,181,0.009535,11.3630615415348
"NUBPL","Nubpl",1.182419,3.154837,2.846624,46,70,71,2.39462666666667,7.432675,6.718953,7.319203,193,215,144,0.068599,3.17670769546543
"NUCB1","Nucb1",36.486745,35.21523,32.726229,619,578,1040,34.8094013333333,60.470918,69.129134,56.545635,842,1066,565,0,35.8094013333333
"NUCB2","Nucb2",9.871465,11.207097,11.272869,149,156,262,10.7838103333333,63.9068,66.621178,65.27727,440,547,373,0.084756,10.8630976305578
"NUCKS1","Nucks1",22.394214,22.378341,21.393449,1808,1753,3153,22.0553346666667,519.412484,448.513665,525.57031,3101,3477,2993,55.5229513333333,0.407893326919577
"NUDC","Nudc",631.592988,467.684054,508.703387,786,787,1499,535.993476333333,41.63241,42.179961,38.178972,800,946,552,6.89033066666667,68.0571574271159
