"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0586894122789427
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,13.831658,11.114692,9.446497,350,248,280,0.630597333333333,5.30948208754583
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,21.0618813995443
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,4.324097,2.790693,3.029996,187,127,124,0.289378,12.6083636192541
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,4.111846,2.414281,2.166516,483,341,276,0.104014333333333,10.1892780377549
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,14.897475,9.350053,15.513101,250,167,160,0,2.67967
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.174113,0,0.046512,1,0,1,13.957216,0.0974057382514678
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,1.04895937241656
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.348225,0.325404,0.504307,2,3,3,0,1.83329766666667
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,26.815209,20.139758,16.661965,1688,1220,1081,12.58667,8.37692628142142
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,2.370812,3.482122,1.641663,98,80,51,8.88939033333333,0.140852059939927
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,5.937915,4.245439,2.802442,581,434,370,0,2.43880766666667
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,9.855316,6.357848,6.647314,690,437,443,14.570826,0.245444868071439
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.210704,0.12733,0.165506,19,13,17,1.20856033333333,10.192557715954
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,10.323186,7.852999,5.423063,539,489,336,0,20.450009
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,36.841234,32.142947,25.91358,577,476,396,0.035787,4.99669494468136
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,25.279482,10.850918,4.462396,450,444,265,18.7739536666667,1.10588669832863
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,30.647549,12.146954,19.277681,895,681,599,8.455803,4.36511625013056
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,6.164294,6.22041,10.611419,480,500,342,1.52677933333333,11.2342109283254
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,42.225453,35.384299,25.704264,787,609,496,90.6919753333333,1.83249756287288
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,4.885127,3.443918,3.219942,306,199,192,16.9057156666667,1.10631845358429
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,0.576877,0.198017,0.199392,10,14,4,7.015284,2.40902630524383
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0,0.01593,0,0,1,0,10.5729776666667,0.0878575387094989
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.035989,0.06211,0.039485,4,5,3,7.553478,0.11884724942688
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,0.548215,0.837679,0.573511,17,19,15,12.967623,0.127725884354124
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,4.682414,3.63352,2.996599,164,141,99,6.34839,1.07155703494235
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,16.413349,19.071503,13.597818,302,309,281,0,14.990139
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,31.484105,29.04836,22.06709,638,567,468,0.107916333333333,210.39342170543
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,1.172633,1.326137,0.716184,82,109,59,8.10472266666667,0.891509600438864
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,8.546513,7.684425,5.406513,139,127,86,2.20865933333333,5.39770473192438
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,8.124944,8.387924,5.480449,292,279,180,11.920216,0.569388829619154
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,1.644095,1.578787,1.43262,123,111,101,57.0980066666667,0.0232966742060341
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,19.452254,20.109003,15.952975,486,433,358,0.04322,40.5271697245068
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,0,0,0,0,0,0,8.18705733333333,0.108848781902308
"ABHD17A","Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,21.413135,20.573032,17.57639,715,597,525,4.32983033333333,10.0352129407997
"ABHD17B","Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,2.046774,1.634046,1.489593,103,84,78,3.44931766666667,2.97301616210366
"ABHD17C","Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,1.848624,2.204347,1.707873,50,65,54,1.76255833333333,4.33009631772481
"ABHD18","Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,8.712244,6.827573,4.421348,367,326,288,0.113742,5.83201854648563
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,3.332886,2.82704,2.375777,614,430,406,38.1171863333333,0.53620949339071
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,2.331696,3.741765,1.156728,72,76,34,32.086452,0.911091444115354
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,15.0237,23.747182,16.357654,409,343,303,4.40507566666667,4.85140837066296
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,7.210165,4.691474,4.783658,177,215,128,10.395547,1.40380954654188
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,2.357982,2.891814,1.502824,64,48,45,0.079272,16.2922235235109
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,61.3366960590269
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,10.258949,6.855637,7.216852,359,321,284,27.1435236666667,2.91690757367968
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,21.727203,10.892244,9.493522,933,760,670,22.248018,2.96803495248498
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.029558,0.160231,0.222847,1,5,7,0.849044666666667,2.29883720133676
"ABITRAM","Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,13.449005,10.517363,5.073883,184,198,136,15.4211246666667,0.411090417802077
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,7.760499,5.097737,3.86969,787,524,458,6.07615,2.20949551191915
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,1.446018,0.98648,1.194757,315,194,136,0,10.6330433333333
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,59.262507,38.678189,34.133185,7498,5439,4652,1.242575,8.92768001070199
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,6.864886,5.835002,6.004859,163,143,105,0.375775,85.2432490777925
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,1.439051,0.939932,0.795889,79,55,65,0,5.988478
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.108377,0.428422,0.100191,15,12,11,32.133593,0.0304112002985409
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,1.71329684066038
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,1.22541,0.904378,0.700678,55,43,33,0.143714666666667,0.958098231959953
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,1.304502,3.067132,2.188819,11,29,19,2.930831,10.5232874846735
"ABRAXAS1","Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,1.870927,1.13124,1.242214,62,58,36,0.970076,1.9592059731029
"ABRAXAS2","Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,2.908321,2.115077,1.946772,158,120,108,19.409946,0.624315713525161
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,3.32542,2.791458,2.174212,199,168,128,1.20228266666667,1.28659823867599
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,4.435767,2.908722,2.928956,118,103,97,117.910354,0.190517869733474
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,3.10366190415883
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,73.219918,69.137641,52.278734,1732,1479,1295,0.441026,1.01468190025718
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,0.745589550141334
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,7.1497,4.870629,6.747958,693,417,430,0.974021333333333,7.55974994528934
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,26.02878,14.841445,7.767875,1315,753,655,1.045542,1.01432073585713
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,20.02537,13.653281,10.050915,659,558,399,14.3326123333333,0.146364338827497
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,6.08628,6.516346,6.250521,364,279,315,9.801573,0.827665563154552
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,17.886304,13.41606,11.385466,633,534,433,0.348885333333333,8.84478023335811
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,25.3456617162001
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.430319,0.363646,0.199827,20,21,12,19.283423,0.823629226684273
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,33.0573790029172
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,15.466497,14.289382,12.849752,587,501,461,11.872711,0.360336943269629
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,6.230585,3.533107,3.515221,558,395,389,0.199794666666667,98.6357360037162
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,1.02719964027391
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0,0.022851,0,0,2,0,3.04950066666667,0.386060684683593
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,14.853065,11.82895,6.245988,42,44,28,0.534163333333333,0.714054783388992
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,2.720509,0.953916,0.841565,159,108,106,26.4081756666667,1.61783883536356
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,106.632562,103.500411,97.170077,946,923,785,5.969076,5.47207702522783
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,7.765272,8.394048,3.664681,210,229,100,22.2122423333333,0.883376712980781
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,26.857783,13.437707,11.62415,382,312,276,94.706676,0.0988156945986366
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,7.618894,5.044549,4.657079,439,324,287,24.477655,1.17577953439331
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,23.154423,24.794667,23.033485,532,463,433,0.176179,29.0360871942111
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,0.572654,0.568327,0.510339,37,38,33,6.53185033333333,0.191782444251968
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,8.564602,4.575821,7.352098,163,107,122,12.768286,0.201285015917498
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,0,0,0,0,0.00512366666666667,1.05850457539056
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,6.047245,4.588355,4.00999,85,83,68,8.21773166666667,1.5668882745737
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,1.157448,0.481306,0.687591,31,27,17,3.13386766666667,1.31581352829953
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.292,0.608641,1.089188,17,9,22,0.00736633333333333,1.42436167709926
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0,0,0,0,0,0,0,1.01664366666667
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.086941,0.071304,0.036141,5,4,2,18.880558,0.238888851443036
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,5.889447,3.785697,2.608854,373,369,276,0.568908666666667,3.52617042079781
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,0.074404,0.220625,0.154447,5,9,7,25.9771216666667,1.54890502588212
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,48.187336,30.018075,26.134553,1665,1167,1053,0,60.9115413333333
"ACKR1","Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0,0,0,0,0,0,34.58212,3.83590527114929
"ACKR2","Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,2.083034,1.740608,0.931254,43,37,20,0.056822,2.52234498020165
"ACKR3","Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,4.00086800917014
"ACKR4","Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0,0,0,0,0,0,27.5920056666667,0.0376236984750644
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,20.336467,13.559479,13.590368,1109,844,693,0.014085,42.3718261618438
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.044606,0.168465,0.027939,1,1,1,2.473935,0.344635886010149
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,8.895559,7.661565,6.460032,708,594,504,23.015551,0.36081318031526
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,187.062923632241
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,1.59163107496189
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,13.5735403902773
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.102651,0,0,1,0,0,10.6504483333333,0.102150603932409
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,28.624228,30.396445,27.420034,613,576,520,0.006508,142.015130530507
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,88.207517,93.696934,77.668179,1144,999,964,0.306412,1.95132163513501
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.124947,0.174781,0.261237,6,8,12,3.80938333333333,0.515231751818494
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.188194,0,0.040322,5,0,1,12.6457773333333,0.200354629852283
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,18.509861,18.078012,11.411107,521,479,300,33.1908626666667,3.65453935899521
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,14.918157,12.104523,11.463739,289,242,204,1.29594133333333,3.73721308790701
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,29.935853,23.797934,22.855973,918,759,709,2.03923233333333,3.18486565192943
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,26.743277,25.166,14.165662,569,533,438,18.3481623333333,2.37569309553894
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,17.904677,19.718667,13.035042,296,273,205,38.0836203333333,0.0295713052375795
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,11.241262,6.789727,5.371668,239,160,120,2.683347,3.6454711796997
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.0561276398725913
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,30.223411,32.418039,30.824921,582,628,585,19.0402076666667,1.87647950687404
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,43.214406,45.839884,42.704658,569,466,395,0,20.750567
"ACP4","Acp4",0,0.057198,0,0,1,0,0.019066,0,0.080253,0,0,2,0,3.587013,0.22216331194178
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,0.224677,1.062225,0,1,4,0,0.19397,0.88992688258499
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,5.616296,6.558338,5.860511,182,148,113,0.334708,7.36937467471037
"ACP7","Acp7",0.46754,0.532842,0.496098,5,10,24,0.498826666666667,0.015824,0.016768,0.030042,1,1,2,93.1555226666667,0.0159186272267095
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,0,0.037509,0.037908,0,1,1,2.11296733333333,0.565684060074728
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,0.3985,0.030659,0.225437,4,1,2,0.842184333333333,2.554778358228
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,0.027065,0.168649,0.254211,1,3,3,0.138813666666667,0.931366588798109
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,0.540764,0.319036,0.523883,30,21,25,19.5671083333333,2.7683381515713
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.522338,0.103219,0.103778,4,1,1,21.4794623333333,0.046347490487873
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,61.978687,54.648487,53.059789,577,446,412,0,10.392044
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,19.299129,13.763293,10.433563,273,225,190,0,5.40969633333333
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,43.878419,27.152981,30.101182,716,624,486,0.0304663333333333,27.0081299761047
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,71.523045,48.918818,50.907122,1224,1079,919,3.02931966666667,31.6886822663776
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,36.054531,15.661033,10.428141,1246,833,675,0.272184333333333,30.6152318597436
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,0.1358,0,0.182111,3,0,1,13.169485,4.93860273209177
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,0.165731,0.038947,0.026724,5,3,2,1.68527833333333,29.4775094077771
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.159858,0,0,2,0,20.803934,0.0458632832038475
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0,0.111241,0,0,2,0,7.360807,0.124825590001858
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,1.027824,2.197071,1.355443,11,13,11,0.0667716666666667,3.43230713226667
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0,0,0,0,0,0,3.68238533333333,0.214879225374873
