"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"RHBDD2","Rhbdd2",18.853983,26.262719,20.9363,620,747,1213,22.0176673333333,123.892475,100.905929,138.737372,925,524,781,0.438121,16.0053759964101
"RHBDD3","Rhbdd3",6.902587,6.753576,6.542636,95,100,184,6.732933,19.129396,16.046029,17.599081,291,200,243,3.48668033333333,1.72353107988304
"RHBDF1","Rhbdf1",2.996752,6.306288,4.95413,105,89,193,4.75239,66.754587,50.545486,62.997848,1336,782,1042,0.100750666666667,5.22587918789965
"RHBDF2","Rhbdf2",0.184739,0.143324,0.31199,9,7,26,0.213351,4.989912,4.902681,4.759085,97,71,78,0,1.213351
"RHBDL1","Rhbdl1",9.992884,12.216524,11.138609,156,152,340,11.1160056666667,3.28403,3.154586,3.955185,71,46,72,0,12.1160056666667
"RHBDL2","Rhbdl2",0.818138,0.195377,0.536821,5,3,10,0.516778666666667,1.684564,0.903302,0.997607,34,22,19,0.340408333333333,1.13157955598108
"RHBDL3","Rhbdl3",5.517179,4.543653,5.184892,245,197,442,5.081908,0.491453,0.139953,0.266851,24,8,13,0.198134,5.07615008004113
"RHBG","Rhbg",0,0,0.020844,0,0,1,0.006948,0.11861,0,0.043749,1,0,1,4.47608666666667,0.183880946612727
"RHCG","Rhcg",0.326997,0.330463,1.355658,9,3,16,0.671039333333333,0.103093,0.096462,0.219335,2,1,4,0,1.67103933333333
"RHD","Rhd",0,0,0.027762,0,0,1,0.009254,0.717284,1.239353,0.627454,30,35,25,0.955290666666667,0.516165712446504
"RHEB","Rheb",95.341306,82.029235,82.255398,896,741,1450,86.5419796666667,48.671814,56.383168,56.127601,589,567,621,0,87.5419796666667
"RHEBL1","Rhebl1",3.915491,4.15225,3.862515,41,46,85,3.976752,3.513526,4.248641,4.210391,46,35,39,4.26793533333333,0.944725340212352
"RHNO1","Rhno1",6.409267,7.396927,6.79843,101,110,206,6.868208,8.087803,8.47385,8.03473,94,78,97,0.103488,7.13030680895488
"RHO","Rho",0.348198,0,0.080253,3,0,10,0.142817,0,0.029613,0,0,1,0,7.856869,0.129031715383845
"RHOA","Rhoa",93.172629,83.071069,92.801659,1376,1380,2613,89.6817856666667,194.725398,210.573437,216.600523,4054,3404,3920,0,90.6817856666667
