"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"ACKR4","Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.058436,0.043248,0,2,2,0,65.848697,0.0160921162008588
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,258.665498,200.768091,176.389823,8902,9754,9291,0,42.9686333333333
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.436128026383373
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,1.43912918988321
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,69.325062,71.569862,65.685688,2171,3126,3037,5.951061,32.7275074025869
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,2.514575,1.663513,2.042674,51,52,55,0.020844,1.58419765083271
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,1.059936,0.383645,0.558014,60,46,67,0.260889666666667,11.3677242180059
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.137311,0.78691,0.64326,4,17,11,25.126856,0.0455508436733962
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,14.096614,5.754241,11.441671,306,262,371,0,142.939365
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,9.413227,10.383521,11.05022,97,146,165,0.319983333333333,1.93125923307112
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.689296,0.540441,0.531756,24,26,28,6.764273,0.319147330342455
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.172208,0.138878,0.065032,2,2,1,8.074458,0.301284624014643
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,1.49011713204333
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,21.302306,21.395702,21.651743,347,511,489,14.0888376666667,0.568660236762659
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,15.355328,9.120068,8.944808,361,377,386,39.1634526666667,0.241003848623306
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,32.7541,26.088828,22.676301,735,866,739,23.4476393333333,1.88015272313
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,0.363302,0.170177,0,2,1,0,52.27467,0.021694243562028
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,12.315552,13.017171,11.277513,264,352,310,17.552448,0.72376083918054
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.263450916465546
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,1.26586950614018
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,93.073029,93.19527,67.827959,600,764,662,0.362774666666667,15.2267043903565
"ACP4","Acp4",0,0.057198,0,0,1,0,0.019066,0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.394474412694415
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,0.987603976641815
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,8.97902057471667
"ACP7","Acp7",0.46754,0.532842,0.496098,5,10,24,0.498826666666667,0.210181,0.206031,0.215597,10,13,14,68.932163,0.0214325798369295
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,0.12567,0.035491,0.308103,1,1,3,7.749376,0.201266467460079
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,0.628518,0.288323,1.583194,6,4,18,2.33570766666667,1.41090681107847
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,0.438865,0.108582,0.152571,4,3,4,10.4715193333333,0.0924596794182276
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,0.55242,0.59011,0.153687,22,36,23,32.135357,1.71830684264747
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.197015,0.231607,0.314471,2,4,3,56.755104,0.0180393869027864
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,3.790468,0.103387,0.401622,28,1,5,0,10.392044
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,15.936521,17.370704,11.494527,269,384,286,0,5.40969633333333
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,66.084552,37.18949,48.558232,814,835,908,0.416907,19.6420574297866
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,73.488712,65.270923,63.439938,2253,3100,3088,13.892697,8.5735868168584
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,54.339586,41.762906,53.930897,3694,4075,4130,6.48624233333333,5.20263926802263
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,0.142479,0.46299,0.406441,6,13,6,2.978719,17.5879365527782
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,11.708049,13.623248,10.446289,765,1133,1069,28.4765216666667,2.6853683154497
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4108533333333,0.0121343240550516
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0.796975,0.262418,0.897249,9,2,14,2.10627133333333,0.335979235125843
