"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"ABI3BP",4.23384,4.23384,0.99652,1.116168,1.795284,1.30265733333333,2.27295652037964
"ABL1",12.37745,12.37745,23.387004,25.535463,27.529949,25.4841386666667,0.505111764002243
"ABL2",3.27208,3.27208,4.876134,5.408775,4.808567,5.03115866666667,0.708334871641027
"ABLIM1",43.05974,43.05974,100.860799,75.151885,120.837451,98.950045,0.440817610437294
"ABLIM2",16.78901,16.78901,19.980956,30.901303,25.59889,25.4937163333333,0.671442608359877
"ABLIM3",33.63029,33.63029,48.422608,52.934019,47.138285,49.498304,0.685771347885268
"ABO",0.56451,0.56451,0.839964,0.413628,1.770949,1.00818033333333,0.77906848007176
"ABR",47.79537,47.79537,591.586845,672.731938,685.513728,649.944170333333,0.0749609140443074
"ABRA",1.81898,1.81898,0.028665,0.053548,0.080009,0.054074,2.67436631583741
"ABRACL",15.0223,15.0223,19.223716,14.20645,19.051796,17.4939873333333,0.86635184242403
"ABT1",17.48943,17.48943,4.88843,4.285503,5.231131,4.801688,3.18690525929695
"ABTB1",128.13382,128.13382,2.982307,4.057105,10.245762,5.76172466666667,19.0977637164956
"ABTB2",3.15709,3.15709,1.344934,1.96267,3.69669,2.33476466666667,1.24659171351822
"ACAA1",107.02734,107.02734,46.486176,54.061449,53.958237,51.501954,2.05758703761769
"ACAA2",67.23968,67.23968,7.463552,10.616386,8.612113,8.89735033333333,6.89474229988356
"ACACA",24.54583,24.54583,87.127535,78.297049,72.405289,79.2766243333333,0.318222523831169
"ACACB",11.31115,11.31115,3.694984,3.933355,3.564281,3.73087333333333,2.60229964587229
"ACAD10",39.86084,39.86084,11.611479,11.630295,14.269463,12.5037456666667,3.02588933534663
"ACAD11",7.42229,7.42229,6.956361,6.78533,9.702243,7.81464466666667,0.955488317282898
"ACAD8",23.71997,23.71997,28.56967,26.216904,35.090426,29.959,0.798474433928745
"ACAD9",31.85313,31.85313,16.730664,15.138342,15.036653,15.6352196666667,1.97491410743619
"ACADL",10.45393,10.45393,0.288112,0.704497,0.707281,0.56663,7.31119026189975
"ACADM",32.77307,32.77307,34.991444,30.116255,36.311604,33.8064343333333,0.970311111921519
"ACADS",28.90512,28.90512,1.771714,2.673468,3.757556,2.734246,8.008342246333
"ACADSB",5.8542,5.8542,5.696079,5.142362,5.947202,5.59521433333333,1.03926872631837
"ACADVL",745.69976,745.69976,236.028354,256.563668,245.533457,246.041826333333,3.02256411832253
"ACAN",0.09409,0.09409,0.108891,0.370897,0.103268,0.194352,0.916053223840208
"ACAP1",16.41267,16.41267,9.140538,8.118628,5.692809,7.65065833333333,2.01287223804739
"ACAP2",5.09106,5.09106,19.442193,11.477702,6.945933,12.6219426666667,0.447150611997877
"ACAP3",67.2815,67.2815,237.983872,241.790025,300.03488,259.936259,0.261678849316223
"ACAT1",141.03397,141.03397,122.137156,118.34408,129.991315,123.490850333333,1.14091894801661
"ACAT2",82.49196,82.49196,150.038137,113.788996,97.188096,120.338409666667,0.688091761127939
"ACBD3",11.19616,11.19616,55.57853,50.960754,31.733687,46.0909903333333,0.258991367853374
"ACBD4",14.40552,14.40552,2.513592,3.070246,3.546908,3.043582,3.8098695661421
"ACBD5",20.22836,20.22836,22.086031,24.008406,24.78825,23.6275623333333,0.86197568856693
"ACBD6",80.75661,80.75661,44.648742,40.179244,47.697377,44.175121,1.80977069214712
"ACBD7",0.48088,0.48088,1.043718,2.012931,2.647439,1.90136266666667,0.510408442561702
"ACCS",11.22752,11.22752,2.852259,6.929111,6.720408,5.50059266666667,1.88098541579132
"ACCSL",0,0,0,0.041683,0,0.0138943333333333,0.986296073588208
"ACD",16.4963,16.4963,10.823814,17.900748,15.750557,14.8250396666667,1.1056086031085
"ACE",6.07373,6.07373,7.650195,4.932748,4.196313,5.59308533333333,1.07290132652108
"ACE2",0.1359,0.1359,0.257103,0.077158,0.190801,0.175020666666667,0.966706401192376
"ACER1",0.10454,0.10454,0.061841,0,0.249022,0.103621,1.00083271340433
"ACER2",0.08363,0.08363,1.702671,1.924675,1.809561,1.81230233333333,0.385317747368793
"ACER3",11.8234,11.8234,5.618697,5.605735,6.031901,5.752111,1.89916901543828
"ACHE",247.40272,247.40272,123.812487,148.175891,116.216143,129.401507,1.90490681982686
"ACIN1",36.56785,36.56785,89.895784,89.267185,92.097629,90.4201993333333,0.410935988697873
