"Hs_symbol","DRG","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCC1",3.54388,3.54388,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.418732559644702
"ABCC10",18.64981,18.64981,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.290173869088833
"ABCC11",0.16726,0.16726,0.446327,0.700426,0.435039,0.527264,5,6,8,0.764281748276657
"ABCC12",0.15681,0.15681,0,0,0,0,0,0,0,1.15681
"ABCC13",0.35543,0.35543,0,0.032583,0.030135,0.020906,0,1,1,1.3276736545774
"ABCC2",0.06272,0.06272,1.027977,1.07924,0.751123,0.95278,20,15,18,0.544208769036963
"ABCC3",1.82944,1.82944,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,1.91455903196616
"ABCC4",3.8575,3.8575,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,1.29537075515515
"ABCC5",25.43441,25.43441,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.595140492313184
"ABCC6",0.45997,0.45997,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,0.904379890307615
"ABCC6P1",0.07318,0.07318,0.068151,0,0.668788,0.245646333333333,3,0,10,0.861544702763411
"ABCC6P2",0.09409,0.09409,0.199733,0,0.688996,0.296243,2,0,5,0.844046988103311
"ABCC8",10.87209,10.87209,29.752164,6.667184,22.439929,19.619759,265,116,210,0.575762791407989
"ABCC9",0.7945,0.7945,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,1.3774880053508
"ABCD1",6.76369,6.76369,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.892282026932577
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",1.589,1.589,0.010725,0,0.024448,0.0117243333333333,1,0,2,2.55899746077077
"ABCD3",23.9395,23.9395,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.99315732866702
"ABCD4",25.36124,25.36124,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,0.385035522262315
"ABCE1",15.03275,15.03275,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,0.394413381369984
"ABCF1",40.28945,40.28945,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.645511072259609
"ABCF2",29.98187,29.98187,41.126604,23.175533,34.428163,32.9101,544,392,458,0.913647261435384
"ABCF3",62.56677,62.56677,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,1.32303341583605
"ABCG1",9.4399,9.4399,4.150456,4.415328,3.848561,4.138115,183,146,140,2.03185409435172
"ABCG2",4.96562,4.96562,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,1.26173184678534
"ABCG4",11.76067,11.76067,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,3.37551149143482
"ABCG5",0.09409,0.09409,0,0.053623,0,0.0178743333333333,0,2,0,1.07487728511345
"ABCG8",0.21953,0.21953,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,1.06743197385593
"ABHD1",2.06988,2.06988,0.539133,1.449996,2.556852,1.515327,16,11,17,1.2204695453116
"ABHD10",33.57802,33.57802,17.896254,16.509149,18.709231,17.704878,474,316,439,1.84860975837426
"ABHD11",27.69246,27.69246,8.315591,5.793527,10.881287,8.330135,88,44,86,3.07524596375079
"ABHD12",152.8051,152.8051,34.456652,32.027544,41.779576,36.087924,424,313,435,4.14703988284704
"ABHD12B",1.73535,1.73535,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.60968655719172
"ABHD13",2.89574,2.89574,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.918016402390741
"ABHD14A",66.64381,66.64381,19.98651,11.809536,18.625674,16.80724,220,94,202,3.7986689683522
"ABHD14B",32.82534,32.82534,6.270991,5.484107,6.977415,6.244171,142,105,131,4.66931826981997
"ABHD15",5.26878,5.26878,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,1.81353449322483
"ABHD16A",86.71535,86.71535,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,1.95140552806668
"ABHD16B",14.72959,14.72959,0,0,0,0,0,0,0,15.72959
"ABHD2",40.91668,40.91668,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,1.06572245128256
"ABHD3",21.57691,21.57691,3.984849,5.25904,2.915345,4.053078,43,53,50,4.4679520086569
"ABHD4",20.10291,20.10291,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.725832466916263
"ABHD5",9.24127,9.24127,2.814933,3.503613,4.082079,3.466875,117,93,117,2.29271470547083
"ABHD6",13.96645,13.96645,11.831495,8.409419,12.306665,10.849193,138,99,156,1.26307757836335
"ABHD8",33.32713,33.32713,3.366122,1.881682,2.264601,2.504135,60,36,33,9.79617794405752
"ABI1",20.06109,20.06109,12.69711,14.372399,14.823763,13.964424,447,426,457,1.40741066946513
"ABI2",14.84458,14.84458,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,0.700713194135735
"ABI3",28.44514,28.44514,0,0.122185,0,0.0407283333333333,0,1,0,28.292820572772
"ABI3BP",4.23384,4.23384,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.886117597077201
"ABL1",12.37745,12.37745,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,0.580533290947579
"ABL2",3.27208,3.27208,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.42241082110828
"ABLIM1",43.05974,43.05974,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,2.99873788190121
"ABLIM2",16.78901,16.78901,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,5.91953641138997
"ABLIM3",33.63029,33.63029,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,0.951732845578228
"ABO",0.56451,0.56451,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,1.46690873813838
"ABR",47.79537,47.79537,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,0.238868701734357
"ABRA",1.81898,1.81898,0,0,0,0,0,0,0,2.81898
"ABRACL",15.0223,15.0223,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.804408462755444
"ABT1",17.48943,17.48943,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,3.26862490067717
"ABTB1",128.13382,128.13382,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,21.5251470444262
"ABTB2",3.15709,3.15709,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,1.55433143820591
"ACAA1",107.02734,107.02734,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,2.7141871010469
"ACAA2",67.23968,67.23968,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,4.56279516109649
"ACACA",24.54583,24.54583,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,0.60577741347385
"ACACB",11.31115,11.31115,3.811888,6.196471,2.56891,4.192423,69,75,51,2.37098364289658
"ACAD10",39.86084,39.86084,21.73928,19.257871,23.277153,21.424768,392,285,343,1.82212988780976
"ACAD11",7.42229,7.42229,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,0.690601859870594
"ACAD8",23.71997,23.71997,26.483493,20.192299,24.101738,23.59251,534,375,468,1.00518287885214
"ACAD9",31.85313,31.85313,19.252462,17.316786,16.985834,17.851694,406,304,324,1.74271500481601
"ACADL",10.45393,10.45393,0.207989,0.400506,0.246715,0.28507,5,7,5,8.91307866497545
"ACADM",32.77307,32.77307,27.650351,25.508799,28.982212,27.380454,462,377,403,1.19001161855973
"ACADS",28.90512,28.90512,4.599063,3.579749,4.281652,4.153488,112,71,98,5.80288922764543
"ACADSB",5.8542,5.8542,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,1.80478092370104
"ACADVL",745.69976,745.69976,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,1.44952255535535
"ACAN",0.09409,0.09409,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.0642820686054165
"ACAP1",16.41267,16.41267,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,2.16817295540329
"ACAP2",5.09106,5.09106,4.317336,5.926497,4.813944,5.019259,442,447,434,1.01192854469296
"ACAP3",67.2815,67.2815,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.293379041520992
"ACAT1",141.03397,141.03397,56.259875,44.471839,63.751794,54.827836,369,255,375,2.54414249551066
"ACAT2",82.49196,82.49196,25.297509,32.783013,27.509826,28.530116,501,530,488,2.82734954376745
"ACBD3",11.19616,11.19616,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.261524413728539
"ACBD4",14.40552,14.40552,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,3.3874719296057
"ACBD5",20.22836,20.22836,7.912379,6.095147,7.392269,7.133265,308,226,288,2.61006619112988
"ACBD6",80.75661,80.75661,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,3.35462824608241
"ACBD7",0.48088,0.48088,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,0.787101055984375
"ACCS",11.22752,11.22752,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.613711653582677
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",16.4963,16.4963,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.47678276652647
"ACE",6.07373,6.07373,1.303784,1.277742,1.252099,1.277875,41,16,21,3.10540745212095
"ACE2",0.1359,0.1359,0,0.275135,0.093605,0.122913333333333,0,1,2,1.01156515492439
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0.10454,0.10454,0.050862,0,0,0.016954,1,0,0,1.08612582280024
"ACER2",0.08363,0.08363,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,0.555519765193963
"ACER3",11.8234,11.8234,2.862275,3.818158,3.438456,3.372963,324,261,332,2.93242819571078
"ACHE",247.40272,247.40272,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,11.1995140317764
"ACIN1",36.56785,36.56785,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.222563926847789
"ACLY",93.47905,93.47905,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.665076962501962
"ACMSD",0.1359,0.1359,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.0788527822004
"ACO1",12.07429,12.07429,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,1.33109082547113
"ACO2",112.07659,112.07659,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,2.82601315760229
"ACOT1",4.03522,4.03522,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,1.05346948729835
"ACOT11",1.43219,1.43219,0.37798,0.458171,0.465699,0.43395,35,34,33,1.69614700652045
"ACOT12",0.22999,0.22999,0.838379,0.711122,0.64397,0.731157,19,13,12,0.710501704929131
"ACOT13",113.34151,113.34151,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,9.01430665256085
"ACOT2",11.03935,11.03935,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,0.659928696445663
"ACOT4",2.35213,2.35213,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,2.72096719381107
"ACOT6",0.09409,0.09409,0,0.122286,0,0.040762,0,1,0,1.05123938037707
"ACOT7",824.49103,824.49103,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,20.8082935659402
"ACOT8",123.19957,123.19957,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,10.5228237618045
"ACOT9",22.4864,22.4864,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.889332025683181
"ACOX1",12.56562,12.56562,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,0.478561709273038
"ACOX2",12.28337,12.28337,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,1.80487911147836
"ACOX3",6.50234,6.50234,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,0.738460381522541
"ACOXL",0.63769,0.63769,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,1.36163109607386
"ACP1",91.26281,91.26281,58.248272,76.17287,65.299677,66.5736063333333,903,859,858,1.36536756000379
"ACP2",61.68864,61.68864,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.438653703277142
"ACP5",7.92408,7.92408,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,1.18574703386524
"ACP6",6.57552,6.57552,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.320612789564719
"ACR",0.49133,0.49133,0.050784,0.062833,0,0.0378723333333333,1,1,0,1.43691083392723
"ACRBP",1.62036,1.62036,0.933344,1.400639,0.994766,1.109583,9,11,8,1.24212225828517
"ACRV1",1.60991,1.60991,0.230836,0.190941,0.387534,0.269770333333333,4,4,4,2.05541894584086
"ACSBG1",34.69659,34.69659,1.680716,3.357604,1.221717,2.086679,49,54,34,11.5647237694623
"ACSBG2",0.03136,0.03136,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,0.74458343992024
"ACSF2",12.0952,12.0952,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.249347202364896
"ACSF3",29.46963,29.46963,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,1.69882640539449
"ACSL1",41.32439,41.32439,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,1.51807772375853
"ACSL3",27.2743,27.2743,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.207750720903664
"ACSL4",18.97388,18.97388,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,0.652460575778521
"ACSL5",4.58928,4.58928,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,3.79789514692409
"ACSL6",22.19369,22.19369,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,4.31148961472432
"ACSM1",0.15681,0.15681,0,0.132055,0,0.0440183333333333,0,1,0,1.10803609770582
"ACSM2A",0.01045,0.01045,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.357018015373911
"ACSM2B",0.07318,0.07318,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.665716472199368
"ACSM3",0.9304,0.9304,0.848148,3.771251,3.221045,2.61348133333333,19,43,27,0.534221661031596
"ACSM4",0,0,0.291138,0.408874,0.146039,0.282017,9,5,4,0.780020857757736
"ACSM5",7.64182,7.64182,0,0.083985,0,0.027995,0,1,0,8.40648057626739
"ACSS1",10.40166,10.40166,2.170075,1.974672,2.210112,2.11828633333333,125,92,110,3.6563864832169
"ACSS2",70.14587,70.14587,53.386125,66.083436,55.009702,58.1597543333333,306,259,305,1.20260590669683
"ACSS3",5.10152,5.10152,7.547094,17.434579,3.069008,9.350227,223,394,163,0.589505911319626
"ACTA1",1.11857,1.11857,0.240853,0.05949,0.233685,0.178009333333333,5,1,4,1.79843227048569
"ACTA2",82.33516,82.33516,6.327661,72.105899,6.461854,28.2984713333333,99,1023,93,2.84435181111952
"ACTB",3647.18813,3647.18813,1508.849694,1933.919489,1684.423797,1709.06432666667,16993,17349,16522,2.13336309816556
"ACTBL2",0,0,0.024972,0,0,0.008324,1,0,0,0.991744716975893
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",4.652,4.652,0.053354,2.151921,0.356773,0.854016,1,24,3,3.04851738064828
"ACTG1",3916.71136,3916.71136,1419.3332,1648.589858,1463.03336,1510.318806,26010,23050,24917,2.59224681413777
"ACTG1P10",0.11499,0.11499,0.214912,0,0,0.0716373333333333,3,0,0,1.04045460653355
"ACTG2",3.1989,3.1989,7.933159,66.52499,5.367457,26.6085353333333,155,991,99,0.152087024874892
"ACTL10",1.54718,1.54718,0.108181,0.047738,0.13155,0.095823,3,1,3,2.3244447324066
"ACTL6A",17.77168,17.77168,127.358034,224.770196,142.955043,165.027757666667,297,293,270,0.113063503740669
"ACTL6B",30.92273,30.92273,28.097481,15.805406,34.483202,26.1286963333333,158,77,164,1.17671448741074
"ACTL7A",0,0,0,0,0,0,0,0,0,1
"ACTL7B",0.02091,0.02091,0,0,0.060404,0.0201346666666667,0,0,1,1.00076003037507
"ACTL8",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",19.08888,19.08888,90.571305,205.524402,69.241953,121.77922,1789,3484,1635,0.163617915148834
"ACTN2",5.38377,5.38377,1.088077,0.737005,1.599137,1.14140633333333,35,16,39,2.98111101131515
"ACTN4",154.94816,154.94816,278.496919,323.301901,259.392949,287.063923,4353,4197,3672,0.541366507738631
"ACTN4P1",0,0,0,0,0,0,0,0,0,1
"ACTR10",226.8921,226.8921,106.898089,119.583704,114.844543,113.775445333333,926,725,903,1.98554751269447
"ACTR1A",278.2209,278.2209,74.839265,81.902002,83.592002,80.1110896666667,2113,1784,2155,3.44245036218208
"ACTR1B",132.78582,132.78582,21.363274,19.600556,20.09068,20.3515033333333,569,419,496,6.2658735505119
"ACTR2",57.96704,57.96704,75.976968,94.052154,82.283986,84.1043693333333,4054,4017,3903,0.692879113750791
"ACTR3",75.04877,75.04877,45.55178,67.520844,47.924974,53.665866,1318,1529,1194,1.3911564119372
"ACTR3B",30.56729,30.56729,10.065129,3.446338,9.264419,7.591962,128,93,123,3.67404907051498
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",5.16424,5.16424,0.124921,0.064517,0.014714,0.0680506666666667,4,4,1,5.77148649627109
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",6.39781,6.39781,2.283258,2.083983,2.205831,2.191024,85,62,72,2.31831850841611
"ACTR6",37.71778,37.71778,13.415528,14.382194,12.825706,13.5411426666667,179,170,172,2.66263669145854
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",13.86191,13.86191,27.345583,31.670753,28.516672,29.1776693333333,451,420,408,0.492480377985453
"ACTRT1",0,0,0.102041,0,0,0.0340136666666667,2,0,0,0.967105205895087
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",2.62394,2.62394,1.292807,1.228868,1.115009,1.212228,30,23,23,1.63814037251133
"ACVR1",8.99038,8.99038,7.037928,8.229634,8.26402,7.84386066666667,266,286,274,1.12964013981526
"ACVR1B",13.88282,13.88282,23.506718,19.491365,37.165374,26.7211523333333,1068,588,961,0.536875950214528
"ACVR1C",0.08363,0.08363,0.0076,0,0,0.00253333333333333,1,0,0,1.080891740923
"ACVR2A",5.34196,5.34196,16.277364,13.847823,12.988231,14.3711393333333,858,613,699,0.412588804412633
"ACVR2B",1.01403,1.01403,4.35859,4.450622,4.619946,4.476386,801,656,751,0.367766260449866
"ACVRL1",15.74362,15.74362,0.590729,2.94744,0.548938,1.362369,17,29,14,7.0876395685856
"ACY1",23.16591,23.16591,20.950655,16.690042,15.695317,17.7786713333333,158,95,107,1.2868807154159
"ACY3",3.93068,3.93068,0,0,0,0,0,0,0,4.93068
"ACYP1",33.84983,33.84983,10.41891,8.717873,14.17402,11.103601,56,39,67,2.87929435215189
"ACYP2",88.38798,88.38798,10.213957,4.257689,7.281641,7.25109566666667,107,43,69,10.8334678945871
"ADA",1.589,1.589,1.881756,4.803617,1.30235,2.66257433333333,34,81,20,0.706879851266727
"ADAD1",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"ADAD2",0.99312,0.99312,0.3516,0,0,0.1172,2,0,0,1.78403150733978
"ADAL",6.65915,6.65915,7.68946,6.63051,7.245079,7.18834966666667,179,129,165,0.935371633087318
"ADAM10",13.71556,13.71556,123.897107,145.822332,94.147613,121.289017333333,2639,2371,2045,0.120334273027058
"ADAM11",52.30101,52.30101,76.352617,40.073029,61.625283,59.3503096666667,3716,1536,3032,0.883193645474197
"ADAM12",0.11499,0.11499,263.2453,223.75449,242.910757,243.303515666667,19064,13110,16722,0.00456395396913288
"ADAM15",99.64686,99.64686,60.668103,38.00024,71.175865,56.614736,825,388,844,1.74689440562567
"ADAM17",9.50262,9.50262,20.368008,22.287947,19.327487,20.6611473333333,954,877,913,0.484859820136951
"ADAM18",0.01045,0.01045,0.173553,0,0.041788,0.0717803333333333,3,0,1,0.942777142455497
"ADAM19",6.81596,6.81596,29.941341,40.231067,28.930422,33.0342766666667,3088,3156,2634,0.229649658094687
"ADAM1B",0.28226,0.28226,0.246283,0.130195,0.235106,0.203861333333333,7,3,6,1.06512267193564
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.14636,0.14636,0.04832,0.029938,0.054296,0.0441846666666667,2,1,2,1.09785178483755
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.53315,0.53315,0.668215,0.347816,0.872414,0.629481666666667,26,11,31,0.940882018719654
"ADAM21P1",0.09409,0.09409,0.092513,0.167063,0.171162,0.143579333333333,3,4,4,0.956724180045227
"ADAM22",19.30841,19.30841,4.293794,2.708427,3.651038,3.55108633333333,478,274,429,4.46232141351746
"ADAM23",51.57969,51.57969,37.576591,23.373305,38.05317,33.001022,1238,742,1078,1.54641498717303
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",7.84045,7.84045,0.348438,0.553339,0.041631,0.314469333333333,9,6,4,6.72548972868139
"ADAM29",0.09409,0.09409,0.239099,0.065655,0.330303,0.211685666666667,6,2,12,0.902948702042361
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.71087,0.71087,2.254211,1.354362,2.923583,2.17738533333333,55,59,42,0.538452161294884
"ADAM33",24.57719,24.57719,2.494698,2.736092,1.700388,2.31039266666667,101,92,56,7.72633115628378
"ADAM3A",0.02091,0.02091,0.436679,0.176368,0.214035,0.275694,6,2,3,0.80027812312357
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0.02091,0.02091,0,0.04341,0,0.01447,0,1,0,1.00634814237976
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
