"Hs_symbol","DRG","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ACOX1",12.56562,12.56562,32.7541,26.088828,22.676301,27.1730763333333,0.481510071512839
"ACOX2",12.28337,12.28337,0.363302,0.170177,0,0.177826333333333,11.2778680727974
"ACOX3",6.50234,6.50234,12.315552,13.017171,11.277513,12.203412,0.56821221666036
"ACOXL",0.63769,0.63769,0.066887,0.263478,0.058643,0.129669333333333,1.44970740700524
"ACP1",91.26281,91.26281,61.38661,54.776346,47.901782,54.688246,1.65677349579299
"ACP2",61.68864,61.68864,93.073029,93.19527,67.827959,84.6987526666667,0.731500028289015
"ACP5",7.92408,7.92408,5.678997,0.947109,4.648666,3.75825733333333,1.87549335288858
"ACP6",6.57552,6.57552,7.807588,6.333138,5.476793,6.539173,1.00482108581405
"ACPP",1.11857,1.11857,0.058078,0.051093,0.026328,0.0451663333333333,2.02701707128594
"ACR",0.49133,0.49133,0.12567,0.035491,0.308103,0.156421333333333,1.28960782459911
"ACRBP",1.62036,1.62036,0.628518,0.288323,1.583194,0.833345,1.42927817732069
"ACRV1",1.60991,1.60991,0.438865,0.108582,0.152571,0.233339333333333,2.11613294854241
"ACSBG1",34.69659,34.69659,0.55242,0.59011,0.153687,0.432072333333333,24.9265272215067
"ACSBG2",0.03136,0.03136,0.197015,0.231607,0.314471,0.247697666666667,0.82661050633794
"ACSF2",12.0952,12.0952,3.790468,0.103387,0.401622,1.43182566666667,5.3849254819116
"ACSF3",29.46963,29.46963,15.936521,17.370704,11.494527,14.9339173333333,1.91224978532168
"ACSL1",41.32439,41.32439,66.084552,37.18949,48.558232,50.610758,0.820069141398776
"ACSL3",27.2743,27.2743,73.488712,65.270923,63.439938,67.3998576666667,0.413367819240053
"ACSL4",18.97388,18.97388,54.339586,41.762906,53.930897,50.0111296666667,0.391559256392081
"ACSL5",4.58928,4.58928,0.142479,0.46299,0.406441,0.337303333333333,4.17951549262072
"ACSL6",22.19369,22.19369,11.708049,13.623248,10.446289,11.925862,1.79436311481586
"ACSM1",0.15681,0.15681,0,0,0,0,1.15681
"ACSM2A",0.01045,0.01045,2.512588,2.655216,3.553189,2.90699766666667,0.258625698351667
"ACSM2B",0.07318,0.07318,0.796975,0.262418,0.897249,0.652214,0.649540555884407
"ACSM3",0.9304,0.9304,3.872745,2.186119,2.135456,2.73144,0.517333790708145
"ACSM4",0,0,0.061611,0.022679,0,0.0280966666666667,0.972671182022443
"ACSM5",7.64182,7.64182,0.022484,0.016566,0,0.0130166666666667,8.53077771013968
"ACSS1",10.40166,10.40166,0.353285,0.35178,0.113193,0.272752666666667,8.95826840407327
"ACSS2",70.14587,70.14587,146.808707,110.205765,81.323006,112.779159333333,0.625297905318208
"ACSS3",5.10152,5.10152,0.364544,0.348917,0.164893,0.292784666666667,4.71967231459532
"ACTA1",1.11857,1.11857,4.15909,2.452237,3.446297,3.35254133333333,0.486743223728911
"ACTA2",82.33516,82.33516,8.348186,2.056176,1.61452,4.006294,16.6460779171179
"ACTB",3647.18813,3647.18813,1765.679464,2247.587352,2160.56381,2057.943542,1.77187380595014
"ACTBL2",0,0,0.117374,0,0,0.0391246666666667,0.962348438140563
"ACTC1",4.652,4.652,1.111111,1.335114,1.670489,1.372238,2.38256026587552
"ACTG1",3916.71136,3916.71136,1443.150928,1808.077082,1625.665986,1625.631332,2.40848143210363
"ACTG2",3.1989,3.1989,2.589937,0.036068,0,0.875335,2.23901329629106
"ACTL10",1.54718,1.54718,0.26036,0.131968,0.19882,0.197049333333333,2.12788222596228
"ACTL6A",17.77168,17.77168,59.834895,86.693273,51.995615,66.1745943333333,0.279446123736175
"ACTL6B",30.92273,30.92273,142.900347,135.126617,106.324192,128.117052,0.247238683857187
"ACTL7A",0,0,0,0.033462,0,0.011154,0.988969039335254
"ACTL7B",0.02091,0.02091,0,0,0,0,1.02091
