"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"NANP","Nanp",1.745747,2.317061,2.048455,87,28,40,2.03708766666667,4.09885,4.09885,0.59564169698396
"NANS","Nans",22.715324,23.122919,22.785209,994,238,410,22.874484,33.76493,33.76493,0.686740459422757
"NAP1L1","Nap1l1",160.390282,178.844316,160.922919,12228,3316,4857,166.719172333333,425.95168,425.95168,0.392829400116972
"NAP1L2","Nap1l2",40.681213,41.505824,42.84911,3942,1000,1629,41.6787156666667,12.08149,12.08149,3.26252710254464
"NAP1L3","Nap1l3",21.221814,21.383879,22.45496,2349,588,989,21.6868843333333,16.71168,16.71168,1.28089962856902
"NAP1L4","Nap1l4",455.678228,364.339941,475.796771,4906,1108,1951,431.938313333333,302.44214,302.44214,1.42675738225855
"NAP1L5","Nap1l5",186.442096,202.912452,185.006457,8815,2139,3490,191.453668333333,7.14769,7.14769,23.6206419651869
"NAPA","Napa",333.686767,306.669684,319.84827,9755,2029,3545,320.068240333333,32.12032,32.12032,9.69399572025069
"NAPB","Napb",107.723718,103.844754,110.979891,19682,4657,7957,107.516121,11.71462,11.71462,8.53475141215388
"NAPEPLD","Napepld",2.320383,1.852985,2.323998,368,72,149,2.16578866666667,14.39658,14.39658,0.205616355493666
"NAPG","Napg",100.362184,122.472749,112.817374,7041,1688,2659,111.884102333333,40.58369,40.58369,2.71462446775006
"NAPSA","Napsa",1.201275,1.354935,0.957966,26,8,11,1.171392,0.06325,0.06325,2.04222149071244
"NARF","Narf",17.055197,11.668679,16.154884,1509,307,559,14.9595866666667,74.75344,74.75344,0.210678045335851
"NARS2","Nars2",10.949746,11.481224,9.936091,491,140,212,10.7890203333333,41.59576,41.59576,0.276765113084808
"NASP","Nasp",6.27696,6.473202,7.035309,416,108,171,6.595157,96.09531,96.09531,0.0782237267690891
"NAT10","Nat10",12.673965,19.52244,16.679292,797,218,321,16.291899,28.04677,28.04677,0.595312284291851
"NAT14","Nat14",7.093378,7.92853,5.747952,258,63,124,6.92328666666667,1.49279,1.49279,3.17848140704458
"NAT2","Nat1",0.311563,0.291126,0.548414,13,3,9,0.383701,0,0,1.383701
"NAT8L","Nat8l",65.061003,55.417717,64.869941,15432,3539,6249,61.782887,0.01265,0.01265,61.9986046511628
"NAT9","Nat9",25.055347,27.142056,28.602728,523,127,196,26.933377,8.13445,8.13445,3.05802505898002
"NAV1","Nav1",22.43686,21.270555,23.555455,9756,2148,4053,22.4209566666667,44.7458,44.7458,0.511980480539561
"NAV3","Nav3",1.624555,1.381868,2.41649,492,100,203,1.80763766666667,2.63136,2.63136,0.773164232317001
"NBEA","Nbea",20.668214,20.10947,20.998789,3057,753,1248,20.5921576666667,23.47984,23.47984,0.88203834937919
