"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"PLEKHS1","Plekhs1",0.160836,0.076245,0.244395,15,2,9,0.160492,0.18621,0.18621,0.97831918463004
"PLG","Plg",0.008787,0,0.022563,1,0,1,0.01045,2.76205,2.76205,0.268590263287304
"PLGRKT","Plgrkt",16.190782,17.914519,18.27204,343,93,162,17.4591136666667,106.07526,106.07526,0.172393825302564
"PLIN1","Plin1",0.128319,0,0.067477,6,0,3,0.0652653333333333,3.04136,3.04136,0.263590804415675
"PLIN2","Plin2",39.779582,35.75243,32.345651,1094,241,384,35.959221,18.993,18.993,1.84860806282199
"PLIN3","Plin3",5.428832,6.066715,4.838707,560,122,212,5.44475133333333,90.83742,90.83742,0.0701756575188342
"PLIN4","Plin4",0.508561,0.344476,0.75611,130,22,77,0.536382333333333,3.87929,3.87929,0.314878257560697
"PLIN5","Plin5",0.050187,0.103286,0.094732,4,2,3,0.082735,3.66205,3.66205,0.23224439892322
"PLK1","Plk1",0.34426,0.369931,0.508962,31,8,14,0.407717666666667,1.86206,1.86206,0.491854701392237
"PLK2","Plk2",9.644098,11.374646,9.156786,1038,250,378,10.05851,19.14817,19.14817,0.548859276053359
"PLK3","Plk3",5.605602,5.193441,4.256642,516,117,157,5.01856166666667,15.64129,15.64129,0.361664370170021
"PLK4","Plk4",4.755487,4.908759,3.873655,335,72,157,4.51263366666667,0.89999,0.89999,2.90140141088462
"PLK5","Plk5",1.496292,1.242471,2.18249,89,23,69,1.64041766666667,2.42068,2.42068,0.771898472428484
"PLLP","Pllp",26.31078,27.24385,30.693241,958,230,514,28.0826236666667,165.75423,165.75423,0.174404113566814
"PLN","Pln",4.284421,3.273863,4.265492,165,28,50,3.94125866666667,8.53443,8.53443,0.518254228796757
"PLOD1","Plod1",7.054877,8.239112,5.980402,817,204,289,7.09146366666667,33.14464,33.14464,0.236976101275827
"PLOD2","Plod2",3.082628,3.51672,2.813233,327,74,141,3.137527,9.52753,9.52753,0.393019730174124
"PLOD3","Plod3",24.595782,21.711453,26.422658,1491,298,559,24.2432976666667,136.1475,136.1475,0.184059480972432
"PLP1","Plp1",130.52922,120.09566,137.668689,14469,3214,5818,129.431189666667,9320.03679,9320.03679,0.013993206185668
"PLP2","Plp2",19.269191,13.367964,15.677261,781,133,251,16.1048053333333,22.84125,22.84125,0.717445827434943
"PLPPR3","Plppr3",10.80022,6.523531,7.161772,483,112,180,8.161841,10.5827,10.5827,0.790993550726515
"PLRG1","Plrg1",21.94386,20.397428,21.817656,1456,318,559,21.3863146666667,46.95491,46.95491,0.466820074663192
"PLS1","Pls1",4.779523,5.994644,5.51744,716,188,323,5.43053566666667,2.97929,2.97929,1.6160007606047
"PLS3","Pls3",88.604101,91.438849,91.289919,10783,2605,4378,90.4442896666667,42.48597,42.48597,2.10284580674334
"PLSCR1","Plscr1",1.343957,1.202238,1.312372,76,17,27,1.286189,42.29976,42.29976,0.0527991148218835
"PLSCR2","Plscr2",4.810475,4.322544,6.109353,249,56,116,5.08079066666667,0,0,6.08079066666667
"PLSCR3","Plscr3",25.903594,20.831143,23.549819,1819,355,644,23.4281853333333,28.6757,28.6757,0.823171326483734
"PLSCR4","Plscr4",4.923619,4.813461,5.943318,619,152,299,5.22679933333333,18.40334,18.40334,0.320913787694971
"PLTP","Pltp",8.260275,8.914733,11.849038,534,127,203,9.674682,55.14796,55.14796,0.190117005141416
"PLVAP","Plvap",1.486014,2.003414,1.675655,111,36,53,1.72169433333333,3.35171,3.35171,0.625430999155121
"PLXDC1","Plxdc1",1.760552,2.16154,1.457971,209,62,66,1.79335433333333,17.81369,17.81369,0.148474559394427
"PLXDC2","Plxdc2",7.668191,6.590156,7.28297,1274,301,522,7.180439,21.10333,21.10333,0.370099844684036
"PLXNA1","Plxna1",26.295425,22.89826,27.456201,2738,609,1053,25.549962,7.78961,7.78961,3.02060751273378
"PLXNA2","Plxna2",14.273622,13.208856,15.744965,6084,1353,2495,14.4091476666667,5.89652,5.89652,2.23433668961544
"PLXNA3","Plxna3",9.521436,10.502804,9.459602,1155,245,438,9.82794733333333,23.89642,23.89642,0.434919853269399
"PLXNA4","Plxna4",10.476359,8.47763,9.757825,5811,1146,2141,9.57060466666667,1.14827,1.14827,4.92051961190477
"PLXNB1","Plxnb1",2.832961,5.293054,3.165433,849,239,409,3.763816,146.32676,146.32676,0.0323350354002219
"PLXNB2","Plxnb2",11.07478,10.711862,10.278224,1338,324,579,10.6882886666667,36.99289,36.99289,0.307644105691003
"PLXNB3","Plxnb3",4.125748,3.991337,5.064795,985,235,445,4.39396,353.66696,353.66696,0.0152085212561102
"PLXNC1","Plxnc1",68.444505,58.326877,62.209439,19025,3918,7186,62.993607,5.12066,5.12066,10.4553441949071
"PLXND1","Plxnd1",110.216623,103.887067,114.050613,6649,1511,2666,109.384767666667,102.0408,102.0408,1.07127242477413
"PM20D1","Pm20d1",0.152068,0.088961,0.120356,33,5,14,0.120461666666667,0.58965,0.58965,0.704848027343545
"PM20D2","Pm20d2",0.865224,0.858191,1.430072,38,9,27,1.05116233333333,4.18963,4.18963,0.395242499625856
"PMAIP1","Pmaip1",1.048981,1.196756,0.929243,84,26,26,1.05832666666667,1.42758,1.42758,0.847892414118862
"PMCH","Pmch",0,0,0.116036,0,0,1,0.0386786666666667,1.95516,1.95516,0.351479671715463
"PMEL","Pmel",0.186294,0.24232,0.151341,16,4,5,0.193318333333333,5.05859,5.05859,0.196963044756838
"PMEPA1","Pmepa1",14.979446,12.912069,14.534791,2003,475,747,14.142102,16.9137,16.9137,0.845280539475374
"PMFBP1","Pmfbp1",0.618505,0.520833,0.882854,88,18,49,0.674064,23.55504,23.55504,0.0681759834233624
"PML","Pml",6.541826,3.836474,7.375617,387,83,148,5.91797233333333,20.82402,20.82402,0.316988910995011
"PMM1","Pmm1",143.371288,135.098414,152.755522,4904,1064,1841,143.741741333333,46.21008,46.21008,3.06590756324356
"PMM2","Pmm2",17.488821,27.681994,19.873605,717,204,325,21.6814733333333,15.14474,15.14474,1.40488315905573
"PMP2","Pmp2",9.785284,13.636302,14.614648,501,172,294,12.6787446666667,373.37374,373.37374,0.0365376713299033
"PMP22","Pmp22",620.056187,606.791265,682.731531,37078,8499,16230,636.526327666667,226.48837,226.48837,2.80245679226005
"PMPCA","Pmpca",38.921848,36.000958,35.41649,3681,884,1464,36.7797653333333,20.0792,20.0792,1.79227699975964
"PMPCB","Pmpcb",91.490072,77.964101,93.123951,1240,295,455,87.5260413333333,26.75157,26.75157,3.18994713932701
"PMS2","Pms2",0.422837,1.504178,1.673612,30,14,14,1.200209,9.89994,9.89994,0.201855147826502
