"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"MIOS","Mios",4.846247,4.803304,5.809035,730,179,343,5.152862,6.01614,6.01614,0.876958270502014
"MIOX","Miox",0.053213,0,0,1,0,0,0.0177376666666667,0.78832,0.78832,0.569102658733709
"MIP","Mip",0.023378,0,0.02992,2,0,1,0.017766,0.10373,0.10373,0.922115010011506
"MIPEP","Mipep",6.98441,6.118603,6.937966,838,179,333,6.68032633333333,15.33078,15.33078,0.470297581213716
"MIPOL1","Mipol1",6.953822,5.703417,5.547448,325,70,125,6.068229,9.21092,9.21092,0.692222542141159
"MIS12","Mis12",23.319426,17.621691,19.76704,1221,282,506,20.2360523333333,15.35153,15.35153,1.29871958974685
"MIS18A","Mis18a",2.379076,2.130273,4.169915,116,25,60,2.893088,8.98272,8.98272,0.389982690088473
"MIS18BP1","Mis18bp1",0.223634,0.634402,0.226778,27,7,16,0.361604666666667,3.19478,3.19478,0.324595012531448
"MITD1","Mitd1",9.153163,8.881261,9.666598,279,76,115,9.233674,25.14331,25.14331,0.391445230156396
"MITF","Mitf",1.214301,1.106541,1.220673,183,34,63,1.180505,19.64581,19.64581,0.105614892319555
"MIXL1","Mixl1",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"MKI67","Mki67",0.27591,0.425969,0.357949,117,45,61,0.353276,0.58087,0.58087,0.856032437834863
"MKKS","Mkks",14.085026,7.641583,11.379413,781,133,244,11.0353406666667,19.14792,19.14792,0.597349039834716
"MKLN1","Mkln1",87.8281,88.182802,93.651343,5635,1360,2256,89.887415,19.9155,19.9155,4.34545743587292
"MKNK1","Mknk1",22.42749,27.170991,35.735952,1000,224,384,28.444811,27.65349,27.65349,1.02761691507736
"MKNK2","Mknk2",20.943692,16.329407,23.084345,1572,312,574,20.119148,79.43378,79.43378,0.262565653385928
"MKRN1","Mkrn1",54.929323,47.449346,51.634771,3843,826,1480,51.3378133333333,49.56054,49.56054,1.03515139144743
"MKRN2","Mkrn2",13.41249,8.030185,12.484941,1342,326,530,11.3092053333333,10.14446,10.14446,1.10451339350075
"MKRN3","Mkrn3",0.256781,0.04016,0.222633,26,1,9,0.173191333333333,22.63313,22.63313,0.0496418093300944
"MKS1","Mks1",1.902418,2.26014,1.626435,122,28,50,1.92966433333333,9.75029,9.75029,0.272519563038144
"MKX","Mkx",3.518352,4.2314,3.62752,432,95,142,3.792424,1.45217,1.45217,1.95436042362479
"MLC1","Mlc1",8.515372,8.278309,7.595792,980,231,341,8.12982433333333,66.28126,66.28126,0.135696393517799
"MLEC","Mlec",70.3118,67.141064,66.36428,11409,2549,4142,67.939048,25.1848,25.1848,2.63278879349852
"MLF1","Mlf1",2.065562,1.953749,3.167231,78,15,47,2.395514,8.67154,8.67154,0.351083074670632
"MLF2","Mlf2",158.081889,145.718104,153.931279,6973,1405,2755,152.577090666667,433.57693,433.57693,0.353394485682125
"MLH1","Mlh1",12.268581,13.624432,12.210553,490,126,202,12.7011886666667,31.07647,31.07647,0.427141411341917
"MLIP","Mlip",18.718349,15.731246,21.20877,495,95,225,18.5527883333333,5.20707,5.20707,3.1500834263724
"MLKL","Mlkl",1.579859,0.641316,0.832129,79,12,17,1.017768,6.88744,6.88744,0.255820392928504
"MLLT10","Mllt10",38.236609,11.63684,27.128538,730,162,315,25.667329,73.3969,73.3969,0.358446776680211
"MLLT11","Mllt11",155.355018,141.765318,150.72831,9559,2199,3650,149.282882,30.43337,30.43337,4.78099809215493
"MLLT3","Mllt3",21.54172,17.869443,19.09399,1663,406,670,19.5017176666667,22.92356,22.92356,0.85696767816607
"MLPH","Mlph",0.175231,0.085785,0.081225,34,4,6,0.114080333333333,2.67614,2.67614,0.303057101561239
"MLST8","Mlst8",17.709485,17.965654,16.489089,1606,365,601,17.388076,52.63085,52.63085,0.342863780827639
"MLX","Mlx",30.431381,23.541603,30.120532,782,173,284,28.031172,15.04035,15.04035,1.80988394891633
"MLXIP","Mlxip",7.963549,11.113644,10.427778,1933,466,729,9.83499033333333,18.69152,18.69152,0.550236362319076
"MLXIPL","Mlxipl",0.329842,0.764258,1.342784,21,3,12,0.812294666666667,14.18979,14.18979,0.119310054099936
"MLYCD","Mlycd",8.823963,7.515581,7.506004,664,135,238,7.948516,6.43105,6.43105,1.2042061350684
"MMAA","Mmaa",6.722527,4.830414,6.231494,594,100,231,5.928145,1.86708,1.86708,2.4164463495961
"MMAB","Mmab",9.666319,9.164602,11.897789,1022,219,450,10.2429033333333,41.32465,41.32465,0.265634880225432
"MMACHC","Mmachc",13.611806,12.82637,11.144273,694,169,249,12.527483,15.60047,15.60047,0.814885542397293
"MMADHC","Mmadhc",34.271706,42.110062,40.853154,1451,343,635,39.0783073333333,19.74953,19.74953,1.93152844104581
"MMD","Mmd",5.257369,5.044096,4.710594,550,132,193,5.00401966666667,39.49907,39.49907,0.148250803454664
"MMD2","Mmd2",18.483564,17.613962,18.676555,2539,590,1004,18.258027,5.64272,5.64272,2.89911768070911
"MME","Mme",4.729756,3.630012,6.257645,985,228,498,4.872471,1.99155,1.99155,1.96301950493891
"MMEL1","Mmel1",0.233531,0.486219,0.164564,7,3,2,0.294771333333333,25.08108,25.08108,0.049644084268494
"MMGT1","Mmgt1",18.572887,16.716879,18.011199,3218,722,1230,17.7669883333333,6.51403,6.51403,2.49759294723781
"MMP1","Mmp1b",0,0,0,0,0,0,0,0,0,1
"MMP10","Mmp10",0,0,0,0,0,0,0,0,0,1
"MMP11","Mmp11",3.897335,1.600311,4.334708,60,12,36,3.27745133333333,1.16174,1.16174,1.97870758432251
"MMP12","Mmp12",0.124841,0.145821,0.347436,23,7,25,0.206032666666667,0,0,1.20603266666667
"MMP13","Mmp13",0.236224,0.038141,0.048103,25,1,2,0.107489333333333,0,0,1.10748933333333
"MMP14","Mmp14",9.291063,9.056351,10.605651,749,151,286,9.65102166666667,10.06147,10.06147,0.962893870947231
"MMP15","Mmp15",25.958033,24.245924,23.296168,5221,1167,1832,24.5000416666667,4.58471,4.58471,4.56604580482544
"MMP16","Mmp16",2.460191,1.936774,2.532322,400,56,127,2.30976233333333,3.36074,3.36074,0.758990981652961
"MMP17","Mmp17",3.46022,2.724609,1.827608,616,130,199,2.67081233333333,68.52175,68.52175,0.0528009196162832
"MMP19","Mmp19",0.591809,0.495574,0.78465,53,13,16,0.624011,13.65041,13.65041,0.11085089086244
"MMP2","Mmp2",4.924708,5.380719,6.388675,326,106,148,5.56470066666667,14.70842,14.70842,0.4179096730713
"MMP20","Mmp20",0,0,0,0,0,0,0,0,0,1
"MMP21","Mmp21",0.032726,0.067499,0,2,1,0,0.0334083333333333,0,0,1.03340833333333
"MMP23B","Mmp23",1.193635,1.744209,1.608315,47,13,21,1.51538633333333,3.21552,3.21552,0.596696572032236
"MMP24","Mmp24",11.30994,9.325146,11.460293,1748,371,722,10.6984596666667,8.71303,8.71303,1.20440888854113
"MMP25","Mmp25",18.059794,17.424086,18.232385,3237,816,1324,17.9054216666667,1.01652,1.01652,9.3752710940961
"MMP3","Mmp3",0,0.05982,0,0,1,0,0.01994,0.24894,0.24894,0.816644514548337
"MMP7","Mmp7",0,0,0,0,0,0,0,0.76758,0.76758,0.565745256226026
"MMP8","Mmp8",0.167448,0.170024,0.213269,16,4,8,0.183580333333333,0.43565,0.43565,0.824421226157722
"MMP9","Mmp9",0.205572,0.209468,0.862428,16,6,14,0.425822666666667,1.26546,1.26546,0.629374461110179
"MMRN1","Mmrn1",0.093316,0.155375,0.182128,17,7,13,0.143606333333333,2.03304,2.03304,0.377049538856505
"MMRN2","Mmrn2",2.869494,3.71963,2.525403,322,92,116,3.03817566666667,6.47254,6.47254,0.540402014129957
"MMS19","Mms19",138.1744,146.684602,116.127554,2121,496,809,133.662185333333,52.04998,52.04998,2.53840218852737
"MMS22L","Mms22l",0.780805,1.159761,1.06542,47,12,23,1.00199533333333,1.72186,1.72186,0.735524726963669
"MN1","Mn1",0.068959,0.060675,0.100838,19,4,12,0.076824,2.90434,2.90434,0.275801800048152
"MNAT1","Mnat1",11.673227,13.472803,14.141875,639,195,310,13.0959683333333,215.91716,215.91716,0.0649831868227176
"MND1","Mnd1",2.763878,1.899381,2.472443,77,13,27,2.37856733333333,3.36074,3.36074,0.774769266989853
"MNS1","Mns1",1.024066,1.061949,0.661253,76,15,27,0.915756,2.92509,2.92509,0.488079509004889
"MNT","Mnt",11.173663,11.490196,13.37505,1714,357,670,12.0129696666667,20.06071,20.06071,0.617878963561374
"MNX1","Mnx1",0,0,0,0,0,0,0,0,0,1
"MOAP1","Moap1",11.611729,13.029999,13.934819,540,148,253,12.858849,54.87134,54.87134,0.248049339786731
"MOB1A","Mob1a",9.108932,10.544778,9.285798,1385,335,574,9.64650266666667,16.20209,16.20209,0.618907508719386
"MOB1B","Mob1b",3.917099,3.330848,4.564613,1010,250,409,3.93752,9.14868,9.14868,0.48651844377791
"MOB2","Mob2",27.933036,26.221416,27.151623,1529,322,575,27.102025,62.15294,62.15294,0.444983638133078
"MOB3A","Mob3a",13.729916,16.400994,12.13406,1272,258,412,14.0883233333333,8.79601,8.79601,1.54025193250449
"MOB3B","Mob3b",2.612884,2.59324,2.924317,666,163,293,2.710147,24.52095,24.52095,0.145376523993033
"MOB3C","Mob3c",1.058944,1.309688,1.318707,125,25,61,1.229113,8.42259,8.42259,0.236571155064584
"MOB4","Mob4",68.260018,72.555765,68.00186,3719,956,1501,69.605881,13.277,13.277,4.9454283813126
"MOBP","Mobp",2.421838,1.168358,0.678114,129,10,28,1.42277,2193.25615,2193.25615,0.00110414182956716
"MOCOS","Mocos",2.512391,2.113758,2.559713,288,59,112,2.39528733333333,0.08298,0.08298,3.1351339206018
"MOCS1","Mocs1",8.890704,7.70127,11.723517,382,94,152,9.438497,61.63431,61.63431,0.166657811030408
"MOCS2","Mocs2",48.341625,58.053284,47.643393,1757,457,699,51.3461006666667,47.36154,47.36154,1.08239110389509
"MOCS3","Mocs3",2.413694,2.08032,2.286514,135,27,62,2.260176,2.55167,2.55167,0.91792762278027
"MOG","Mog",0,0,0,0,0,0,0,715.13224,715.13224,0.00139639014157497
"MOGAT1","Mogat1",0.334247,0.337917,0.88177,6,2,3,0.517978,0.29043,0.29043,1.17633502010958
"MOGAT2","Mogat2",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"MOGS","Mogs",10.629081,8.541345,8.610959,836,165,260,9.26046166666667,28.96045,28.96045,0.342466874384953
"MOK","Mok",1.802102,2.183449,2.669995,81,28,40,2.21851533333333,22.84058,22.84058,0.135001553373841
"MON1A","Mon1a",10.869256,8.002259,9.086715,945,169,307,9.31941,27.05188,27.05188,0.367868748903817
"MON1B","Mon1b",8.207672,6.666472,7.612149,1709,345,620,7.495431,26.18058,26.18058,0.31255517726259
