"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SH3YL1","Sh3yl1",9.814493,9.68094,8.536284,659,159,225,9.34390566666667,14.60414,14.60414,0.662894953945983
"SHANK1","Shank1",2.64398,2.212258,2.222754,710,152,284,2.359664,1.54718,1.54718,1.3189739241043
"SHANK2","Shank2",0.765391,0.521697,1.034673,243,48,111,0.773920333333333,6.52325,6.52325,0.235791756665448
"SHANK3","Shank3",7.999183,7.331411,7.573125,857,190,395,7.634573,6.85778,6.85778,1.09885654726908
"SHARPIN","Sharpin",67.426414,65.594368,67.553947,1110,264,444,66.858243,89.71563,89.71563,0.748032538604428
"SHB","Shb",1.357111,1.296801,0.920812,60,9,20,1.19157466666667,3.66933,3.66933,0.46935527509657
"SHBG","Shbg",0,0,0,0,0,0,0,4.72518,4.72518,0.174666997369515
"SHC1","Shc1",64.683156,49.86698,51.394787,6693,1216,2053,55.3149743333333,54.15136,54.15136,1.02109856100255
"SHC2","Shc2",45.813325,41.462929,43.054055,6016,1330,2248,43.4434363333333,153.33825,153.33825,0.287961256093893
"SHC3","Shc3",1.973729,1.452882,2.187697,201,32,80,1.871436,0.37634,0.37634,2.08628391240537
"SHC4","Shc4",6.843142,7.520536,7.772397,1157,289,518,7.37869166666667,9.37718,9.37718,0.807415084509151
"SHCBP1","Shcbp1",0.81037,1.101926,0.509266,51,13,16,0.807187333333333,1.56809,1.56809,0.703708722565538
"SHCBP1L","Shcbp1l",0.418413,0.311677,0.84815,22,6,15,0.52608,0.17772,0.17772,1.29579186903508
"SHD","Shd",14.997718,11.66454,12.355142,401,88,157,13.0058,0.05227,0.05227,13.3100820131715
"SHE","She",0.533574,1.019297,0.699285,115,45,63,0.750718666666667,4.88199,4.88199,0.297640537754513
"SHF","Shf",16.116651,13.736929,18.517843,580,134,275,16.1238076666667,50.16841,50.16841,0.33465584853363
"SHH","Shh",5.721266,5.454278,5.519917,600,139,247,5.56515366666667,17.06081,17.06081,0.363502725883649
"SHISA2","Shisa2",1.315206,1.849337,1.277141,153,52,63,1.48056133333333,0.5227,0.5227,1.6290545303299
"SHISA3","Shisa3",1.467314,2.107374,1.805853,196,73,99,1.79351366666667,17.79259,17.79259,0.148649742620185
"SHISA4","Shisa4",31.648895,33.657661,31.572308,1697,421,652,32.2929546666667,146.72091,146.72091,0.225377400306204
"SHISA5","Shisa5",49.366192,42.720724,42.940248,1649,387,600,45.0090546666667,144.72421,144.72421,0.315726910900163
"SHISA6","Shisa6",12.200531,11.919062,16.077731,362,76,122,13.399108,51.37061,51.37061,0.274946348724981
"SHISA7","Shisa7",1.615449,0.953549,0.903442,212,45,83,1.15748,1.17084,1.17084,0.993845700281918
"SHISA8","Shisa8",0.130681,0.183754,0.097295,6,2,3,0.137243333333333,0.03136,0.03136,1.10266379666977
"SHISA9","Shisa9",0.056958,0.029252,0.126651,10,1,9,0.0709536666666667,4.79835,4.79835,0.184699727796126
"SHKBP1","Shkbp1",9.962494,10.567309,11.900012,405,95,153,10.8099383333333,42.51613,42.51613,0.271392201772845
"SHMT1","Shmt1",1.633529,1.192854,1.266979,42,17,11,1.364454,27.2534,27.2534,0.0836874146120467
"SHMT2","Shmt2",14.470201,11.404405,15.806743,746,177,268,13.893783,28.00608,28.00608,0.513471072271744
"SHOC2","Shoc2",57.680119,49.849605,53.550706,4531,1059,1732,53.6934766666667,35.45973,35.45973,1.50010646449293
"SHOX2","Shox2",12.443469,14.95936,9.540931,612,185,298,12.3145866666667,7.46411,7.46411,1.57306399215826
"SHPK","Shpk",5.602321,6.188415,6.671096,652,175,304,6.153944,9.82669,9.82669,0.660769265583479
"SHPRH","Shprh",4.54035,3.477263,4.253499,1240,272,510,4.09037066666667,1.474,1.474,2.05754675289679
"SHQ1","Shq1",1.576049,1.443965,1.500226,170,35,70,1.50674666666667,4.54746,4.54746,0.451872869144918
"SHROOM1","Shroom1",2.394078,0.389359,2.024803,58,14,32,1.60274666666667,6.84732,6.84732,0.33167331861918
"SHROOM2","Shroom2",6.385384,6.318492,5.476935,874,220,318,6.06027033333333,1.05585,1.05585,3.4342341772665
