"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACTG1","Actg1",2004.01029,1523.633044,1856.611586,88405,19214,32920,1794.75164,1819.21101,1453.84166,1057.48459,1443.51242,1.24315417101087
"ACTG2","Actg2",0.473826,0.461321,0.243348,22,4,4,0.392831666666667,1.52406,3.59233,6.42343,3.84660666666667,0.287382856183914
"ACTL10","Actl10",0.710671,1.282088,1.125032,41,18,26,1.03926366666667,0.18222,0.80136,0.65545,0.546343333333333,1.31876512977929
"ACTL6A","Actl6a",15.588001,15.09347,14.716698,542,125,207,15.132723,57.40064,40.37221,15.20649,37.65978,0.417299917381837
"ACTL6B","Actl6b",27.33672,29.359854,27.058544,1222,287,444,27.9183726666667,82.51446,59.10757,87.50286,76.3749633333333,0.373743281041512
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTL7B","Actl7b",0.036577,0,0,2,0,0,0.0121923333333333,0,0.05527,0,0.0184233333333333,0.993881719127933
"ACTL9","Actl9",0.05846,0.08034,0,3,1,0,0.0462666666666667,0,0.22107,0,0.07369,0.974458797852887
"ACTN1","Actn1",26.457163,22.758434,23.531673,2408,540,957,24.24909,196.73593,153.64099,75.39884,141.925253333333,0.176659403507325
"ACTN2","Actn2",0.779912,0.277064,1.615409,32,6,43,0.890795,204.83663,117.0269,46.4934,122.785643333333,0.0152747519751415
"ACTN4","Actn4",66.49921,55.517959,60.484435,5436,1108,1968,60.833868,605.08392,637.55483,640.02714,627.555296666667,0.0983745874514387
"ACTR10","Actr10",185.797811,187.589243,180.691628,4556,1115,1722,184.692894,94.92227,68.00548,97.15985,86.6958666666667,2.11746460874629
"ACTR1A","Actr1a",165.00618,161.356953,178.532191,14779,3373,5588,168.298441333333,84.3864,74.4993,79.79037,79.55869,2.10155405125547
"ACTR1B","Actr1b",227.024848,189.513865,231.271463,13607,3035,5063,215.936725333333,82.74638,66.76198,96.67919,82.0625166666667,2.61172829862487
"ACTR2","Actr2",96.296041,101.249478,99.582966,13928,3643,5634,99.0428283333333,77.5944,65.71192,67.97038,70.4255666666667,1.40065851770164
"ACTR3","Actr3",145.131737,168.363044,170.156065,9217,2330,3769,161.216948666667,66.84317,54.07831,32.35749,51.09299,3.11398805610249
"ACTR3B","Actr3b",30.263875,28.982306,32.323404,2303,528,966,30.523195,70.88524,60.59976,35.35072,55.6119066666667,0.556829770557101
"ACTR5","Actr5",3.185785,3.273232,1.840116,157,40,66,2.76637766666667,7.00735,4.94636,5.72428,5.89266333333333,0.546432849614493
"ACTR6","Actr6",10.46017,18.046925,8.818544,494,121,198,12.4418796666667,22.91056,19.42619,15.0317,19.1228166666667,0.667991956063142
"ACTR8","Actr8",24.912195,25.178437,23.250779,1393,346,585,24.447137,18.55374,15.06013,11.47041,15.0280933333333,1.58765839896116
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,0,0,1
