"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,1.1719102110035
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.121780892776296
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,0.646104168148946
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.36246602022532
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,9.710755,9.041474,7.927698,8.893309,771,591,561,1.18711915969672
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,15.593698,15.462792,19.291505,16.782665,279,197,205,0.145097674242303
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,6.36918424525708
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,0.232709391463065
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.281298103250752
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.995879098030316
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,0.936472160315657
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,1.40779799757232
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,0.543914537091604
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.516285233085901
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,0.583170828292615
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,7.98730709013643
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,0.396044498198619
