"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,3.332886,2.82704,2.375777,2.84523433333333,614,430,406,6.66242014033302
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,2.331696,3.741765,1.156728,2.410063,72,76,34,1.64536842867712
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,15.0237,23.747182,16.357654,18.3761786666667,409,343,303,0.507824590662321
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,7.210165,4.691474,4.783658,5.56176566666667,177,215,128,0.431871055844878
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,2.357982,2.891814,1.502824,2.25087333333333,64,48,45,0.761663019783402
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,4.748047,3.701303,3.322699,3.92401633333333,184,148,137,1.67102478471267
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,10.258949,6.855637,7.216852,8.11047933333333,359,321,284,0.448811365139661
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,21.727203,10.892244,9.493522,14.0376563333333,933,760,670,0.53139464174925
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,0.029558,0.160231,0.222847,0.137545333333333,1,5,7,5.67002457924021
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,0.659504,0.308934,0,0.322812666666667,5,4,0,1.24612857754134
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,13.449005,10.517363,5.073883,9.68008366666667,184,198,136,1.59330836703183
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,7.760499,5.097737,3.86969,5.57597533333333,787,524,458,0.399433270379765
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,1.446018,0.98648,1.194757,1.209085,315,194,136,1.63829368267858
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,59.262507,38.678189,34.133185,44.024627,7498,5439,4652,0.138168681182634
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,6.864886,5.835002,6.004859,6.23491566666667,163,143,105,0.230050182109978
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,1.439051,0.939932,0.795889,1.05829066666667,79,55,65,2.85545028301963
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.108377,0.428422,0.100191,0.21233,15,12,11,2.59657573983156
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,137.5781,52.298863,84.704982,91.527315,1454,973,842,0.0423940757386076
